# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 11.00, 16.00, 10.00, 16.00, 100
3  8.057299e-01 -4.887727e-01  2.218467e+00  1.011297e+00  2.810467e-02  1.850000e+00 0 2 -1.000000e+00
 2.032674e+00 -3.597391e-01  3.342813e+00  0.000000e+00  4.142596e-01 -1.363947e-01  1.591824e-01  6.328123e-03
-1.403460e-01  8.700454e-02 -9.394866e-02  3.601338e+02  3.348924e+00 -1.602143e+00  3.687098e+00  2.425779e+00
-4.246370e-02  2.499576e-02  1.054563e-02  3.613266e+02  1.340930e+01 -3.619465e+00  6.787059e+00  1.226930e+01
3 -5.838838e-02  1.621316e-01  1.087466e+00  4.657542e-01  2.397867e-01  2.480000e+00 0 2 -1.000000e+00
 1.392747e-02 -3.865521e-01 -8.186229e-01  4.682240e+01  1.069497e+00  1.099599e+00  1.314334e-01  5.053576e-01
-7.220619e-01  4.140121e-01  3.413963e+00  0.000000e+00  4.010578e-01 -5.848975e-02  2.497918e-01  2.217937e-02
 1.417951e-03 -1.181247e-02  4.703644e-03  5.716799e+01  1.761185e+01  7.958375e+00 -1.291420e-01  1.652549e+01
3  1.579214e+00  2.770879e-01  2.768485e+00  1.374159e+00  3.550540e-01  2.600000e+00 0 2  2.862721e-01
 1.076475e-01 -1.976684e+00  7.413116e+00  0.000000e+00  5.442242e-01  2.686556e-01 -2.568492e-02  9.989860e-04
-2.844911e-01  7.638883e-01 -2.632057e+00  1.675364e+02  1.087609e+00  4.440147e-01  4.364141e-01  2.480175e-02
-3.003802e-03  6.352072e-03  3.927215e-04  1.955708e+02  5.868801e+01  1.120009e+01  2.561505e+01  5.380452e+01
3  2.965167e-01 -1.091854e-01  1.133375e+00  4.841544e-01  7.595510e-01  2.240000e+00 0 1 -1.000000e+00
 8.089839e-01 -4.171991e-01  1.619014e+00  0.000000e+00  2.021225e-01 -8.685474e-02  1.067940e-01  4.019035e-02
-2.433355e-01  3.707037e-03 -1.229724e+00  1.569854e+01  1.048235e+00 -9.030357e-01 -6.610297e-03  7.717432e-01
-4.756650e-02  6.885725e-03  7.943229e-02  1.605792e+01  4.837381e+00 -1.451855e+00 -1.681436e-01  4.426150e+00
3 -2.031617e-02  5.442354e-02  6.569626e-01  3.539283e-01  4.126269e-01  2.970000e+00 0 3 -1.000000e+00
-1.906759e-01  3.396233e-01  3.179478e+00  0.000000e+00  3.227196e-01  2.704587e-01  2.665406e-01  3.430167e-02
 5.380339e-02 -2.701552e-01 -7.705457e+00  1.213635e+01  3.919738e-01  6.977773e-01  1.121645e-01  5.628092e-02
 2.234189e-04 -3.110454e-04  4.872129e-05  3.279427e+01  1.520588e+02 -1.713132e+01  4.472551e+01  1.507497e+02
3  1.015699e-04  8.175226e-03  1.277608e-01  7.974463e-02  6.676318e-01  2.920000e+00 0 2 -1.000000e+00
 3.724124e-02 -4.976288e-02 -7.144552e+00  2.679563e-01  5.497685e-01  2.218006e-01  5.417377e-01  2.911490e-01
 1.309637e-02  7.569565e-02  4.769930e+00  0.000000e+00  3.664296e-01  4.123784e-01 -1.473391e-01  1.351787e-01
 3.728938e-05 -5.105990e-04  6.963638e-03  5.823315e-01  1.302712e+01 -2.288903e-02  1.023713e+00  1.243200e+01
1 -2.602198e+00 -3.735809e+00  0.000000e+00  1.580960e+00  0.000000e+00  1.960000e+00 0 2  2.895208e-01
-1.070200e+00 -1.806434e+00  8.829564e+00  0.000000e+00  5.134805e-01  2.173273e-01 -2.760692e-01  3.706255e-03
1 -2.452072e+00 -2.394947e+00  0.000000e+00  4.031814e+00  0.000000e+00  3.020000e+00 0 2 -1.000000e+00
-7.823791e+00 -3.894414e+00  4.403200e+00  0.000000e+00  4.641171e-01 -1.081979e-01 -2.199002e-01  1.336334e-03
3 -2.015996e-01  1.064079e-01  8.895675e-01  5.870208e-01  9.839603e-02  3.990000e+00 0 2 -1.000000e+00
 2.413694e-01 -8.282922e-02 -5.011760e-01  7.491375e+01  8.572602e-01 -1.019866e+00  9.877021e-01  2.397260e-01
-4.160276e-01  5.164700e-01  5.093458e+00  0.000000e+00  4.188979e-01  9.043386e-03  3.758558e-01  1.130861e-02
 2.931042e-03 -8.187936e-04  2.571332e-04  9.542849e+01  6.653019e+01 -2.012015e+01  5.923248e-01  6.518441e+01
1 -4.710696e+00 -3.007490e+00  0.000000e+00  1.597675e+00  0.000000e+00  2.330000e+00 0 2 -1.000000e+00
-6.715507e+00 -3.993424e+00  3.158198e+00  0.000000e+00  3.741775e-01 -1.242279e-01 -2.441003e-01  3.867386e-04
3  2.374207e-02  1.976309e-01  1.108354e+00  4.423029e-01  3.684831e-02  2.000000e+00 0 2 -1.000000e+00
-5.292748e-02 -3.923255e-01 -6.851673e-01  5.362716e+01  7.268196e-01  1.206404e+00 -2.805605e-01  3.057824e-01
 1.430974e-01  6.985563e-01  1.859426e+01  0.000000e+00  4.265504e-01  4.872244e-01 -1.941050e-01  6.933041e-02
