# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 11.00, 16.00, 10.00, 16.00, 100
3 -6.323889e-02 -4.878984e-03  4.504585e-01  1.897368e-01  8.006528e-01  2.100000e+00 0 3 -1.000000e+00
-2.711002e-01 -3.632781e-02  3.278464e+00  0.000000e+00  2.684030e-01 -4.720798e-01 -8.575543e-02  4.207974e-02
 1.762727e-01  1.630550e-02 -2.624911e+00  1.401929e+01  3.948123e-01 -8.593628e-01 -9.334375e-02  1.261986e-01
 8.275286e-04  1.567194e-04  3.273988e-04  2.634940e+01  5.658791e+01  1.383179e+00 -5.807206e+00  5.579780e+01
3  5.284271e-03  5.886121e-02  3.342367e-01  1.518143e-01  6.066458e-01  1.070000e+00 0 3 -1.000000e+00
-6.773981e-03 -1.092138e-01 -1.854423e+00  5.058459e+00  8.262144e-01  7.483361e-01 -9.719038e-02  6.478993e-01
 2.429158e-02  2.235761e-01  3.056846e+00  0.000000e+00  3.197495e-01  3.592117e-01 -8.107440e-02  1.801194e-01
-6.388135e-04 -9.156324e-03  3.806555e-02  5.740860e+00  6.461498e+00  1.876119e+00 -1.940578e-01  6.146128e+00
3 -4.516424e-01 -1.740151e+00  1.523550e+00  8.201512e-01  1.640793e-01  1.600000e+00 0 3  2.819214e-01
-1.291756e+00 -1.746378e-01  4.072902e+00  0.000000e+00  4.563210e-01 -2.184598e-01 -4.834252e-02  2.003520e-02
 2.190632e-01  2.191023e-02 -6.682790e-01  8.001953e+01  1.787518e+00 -1.430446e+00 -2.653118e-01  9.446612e-01
 6.740225e-02  7.163021e-03  8.515381e-02  8.050168e+01  5.388135e+00 -2.680312e+00 -5.728872e-01  4.266857e+00
3  9.193156e-02 -6.378592e-02  6.280995e-01  2.769192e-01  6.557038e-01  2.820000e+00 0 1 -1.000000e+00
 3.867009e-01 -1.602990e-01  2.210426e+00  0.000000e+00  2.438849e-01 -2.202062e-01  2.661159e-01  4.251050e-02
-1.415891e-01  1.794343e-01 -1.449385e+00  4.754331e+00  5.020323e-01  2.401049e-01  9.382268e-01  2.330046e-01
-1.723598e-03  1.442206e-03  6.639982e-04  7.133035e+00  4.023413e+01  2.133330e+00  5.360720e+00  3.952853e+01
