# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 11.00, 16.00, 10.00, 16.00, 100
5  9.317534e-04  2.110194e-02  2.890032e-01  1.359681e-01  1.000000e+00  3.750000e+00 0 3 -1.000000e+00
-6.132169e-02 -1.251760e-01 -1.315319e+00  3.976080e+00  3.362792e-01  7.412697e-01 -8.070417e-01  1.484060e-01
-9.828830e-02  1.395070e-01  2.988920e+00  0.000000e+00  1.798803e-01  2.329129e-01  5.327090e-01  1.597176e-02
 1.581771e-01  3.604243e-02  9.865591e+00  1.438663e+00  2.289310e-01 -6.385824e-01 -2.922286e-01  4.838410e-02
 1.400369e-01  8.213433e-02 -8.461773e+00  1.453507e+00  2.771039e-01 -3.891307e-01 -6.995246e-01  9.316203e-02
-1.514460e-05 -4.207414e-05  3.917593e-06  1.682719e+01  5.479846e+02  6.270053e+01 -2.000050e+02  5.473514e+02
3 -2.244672e-01 -4.152698e+00  2.679026e+00  1.284042e+00  6.623815e-01  1.140000e+00 0 2  3.044990e-01
-3.807923e-01 -7.027321e-01 -5.781000e+00  5.472554e+01  9.623557e-01  2.549361e-01 -3.307644e-01  5.851834e-02
 1.528428e+00  1.176645e+00  3.829227e+00  0.000000e+00  4.151653e-01 -6.754015e-02 -2.762619e-01  8.044823e-03
-1.016043e-01 -1.337820e-01  5.496991e-01  5.672891e+01  2.430902e+00  2.670795e-01 -3.961984e-01  4.531072e-01
3  1.092889e-01  1.441264e-01  7.409406e-01  4.247166e-01  1.892698e-01  3.180000e+00 0 2 -1.000000e+00
 4.156802e-01  3.856490e-01  5.667842e+00  0.000000e+00  4.285205e-01  5.669729e-02 -3.833279e-01  6.706643e-02
-1.112449e-01 -1.352567e-01 -1.072752e+00  9.715047e+00  1.233192e+00  2.505072e-01 -9.611488e-01  6.310408e-01
-2.200670e-02 -2.596656e-02  8.720197e-02  9.997156e+00  4.779437e+00  1.800066e-01 -1.668566e+00  3.813645e+00
3 -6.661047e-02 -1.039904e-02  8.233307e-01  3.766052e-01  8.614277e-01  1.560000e+00 0 3 -1.000000e+00
 3.071319e-01 -2.409041e-01 -4.274449e+00  6.829804e+00  6.550273e-01 -1.896988e-01  5.629999e-01  1.530824e-01
-5.142870e-01 -1.848283e-01  3.682129e+00  0.000000e+00  3.784562e-01 -2.694396e-01 -2.052729e-01  3.804067e-02
 3.172759e-03  2.479913e-04  4.991850e-03  1.201198e+01  1.524287e+01  8.621640e-01  1.337691e+00  1.349287e+01
1 -2.207610e+00 -5.928834e-02  0.000000e+00  2.194988e+00  0.000000e+00  2.560000e+00 0 2 -1.000000e+00
-3.982227e+00  9.777001e-01  5.760651e+00  0.000000e+00  5.023493e-01 -2.709931e-01  2.505007e-02  4.618334e-03
1 -3.024697e+00  7.005695e-01  0.000000e+00  1.109880e+00  0.000000e+00  3.200000e+00 0 2  2.697337e-01
 6.844490e-01 -2.074726e+00  3.144106e+00  0.000000e+00  3.841666e-01 -7.320432e-04  2.473758e-01  7.543257e-04
5 -5.305425e-02  5.807042e-03  1.570426e+00  5.653463e-01  1.000000e+00  1.560000e+00 0 3 -1.000000e+00
 1.535397e-01 -5.864774e-01 -1.630157e+00  8.258741e+00  6.219903e-01  7.553207e-01  4.310684e-01  2.850998e-01
-8.348458e-01 -6.737141e-02  2.522378e+00  0.000000e+00  3.071376e-01 -2.883747e-01 -2.114627e-02  5.192700e-02
 7.246987e-01  1.171762e-01  3.300062e+00  4.458793e+00  3.450443e-01 -3.404733e-01 -1.001012e-01  7.225035e-02
 5.526530e-02  6.235854e-01 -1.798008e+00  7.564134e+00  6.141798e-01  8.313462e-01 -1.178630e-01  2.677521e-01
 1.130498e-03 -2.294338e-04  8.562738e-04  1.896747e+01  3.541379e+01  3.422029e+00  2.178952e+00  3.432750e+01
1 -6.619929e-01 -5.208622e-02  0.000000e+00  8.205706e-01  0.000000e+00  4.150000e+00 0 2 -1.000000e+00
-1.632019e+00 -4.787248e-01  3.552045e+00  0.000000e+00  4.268454e-01 -2.070381e-01 -6.413665e-02  3.386716e-03
1 -4.046131e+00  3.555994e+00  0.000000e+00  3.072995e+00  0.000000e+00  2.540000e+00 0 2 -1.000000e+00
-1.052536e+01  4.573758e+00  3.751142e+00  0.000000e+00  4.497243e-01 -6.071833e-02  1.803640e-01  1.334597e-03
3  3.171916e-01 -1.054448e+00  5.091885e+00  2.646931e+00  1.137922e-01  4.620000e+00 0 2 -1.000000e+00
-5.745920e-01 -4.491670e+00  4.767070e+00  0.000000e+00  5.041130e-01  1.900824e-01  3.572098e-04  2.150618e-03
-2.498098e-01  5.898460e-01 -5.424553e-01  6.817954e+02  1.732643e+00  9.439687e-01  1.220311e+00  4.850273e-01
-1.630811e-02  4.966863e-02  3.835637e-03  6.959726e+02  2.048376e+01  8.561320e+00  6.753367e+00  1.833045e+01
3  1.258959e-01  8.741042e-02  6.719259e-01  2.589342e-01  3.931084e-01  3.000000e+00 0 1 -1.000000e+00
-1.302373e-01 -1.651828e-01 -1.085860e+00  1.082886e+01  7.213193e-01  6.654873e-02 -9.970773e-01  3.254445e-01
 4.253236e-01  2.127543e-01  2.762241e+00  0.000000e+00  3.045543e-01 -2.198217e-01 -2.707365e-01  2.734848e-02
-4.103851e-03 -5.083973e-03  3.202172e-03  1.301819e+01  1.979565e+01  4.783207e+00 -4.255524e+00  1.889502e+01
5 -1.155460e-01 -3.654796e-03  2.148047e+00  9.515203e-01  1.000000e+00  1.350000e+00 0 3 -1.000000e+00
-7.423741e-01 -9.549877e-01  4.792200e+00  0.000000e+00  5.204234e-01 -2.685380e-03 -1.459933e-01  2.922527e-02
 5.170042e-01 -1.443279e-01 -2.172717e+00  8.854875e+01  9.893900e-01 -5.479256e-01  4.001792e-01  1.533253e-01
-6.778906e-01  4.820584e-01 -5.122129e+00  4.544032e+01  7.819894e-01 -2.101624e-01  4.456363e-01  5.763260e-02
 5.598750e-02  1.039185e+00  6.745119e+00  3.281822e+01  5.728553e-01  1.788800e-01  4.689578e-02  3.803540e-02
