# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 11.00, 16.00, 10.00, 16.00, 100
3 -1.839530e-01  7.471186e-02  6.099443e-01  2.476720e-01  4.911586e-01  2.670000e+00 0 1 -1.000000e+00
 1.228759e-01 -7.986588e-03 -7.754012e-01  1.457987e+01  1.002048e+00 -1.126149e+00  1.464513e-01  7.208373e-01
-4.066757e-01  2.946802e-01  1.578718e+00  0.000000e+00  1.827328e-01 -1.300503e-01  1.326174e-01  2.780752e-02
 1.942256e-02 -3.978865e-03  3.903548e-02  1.497811e+01  6.277830e+00 -1.477695e+00 -2.327791e-01  5.857484e+00
3 -5.224109e-02  4.038284e-02  3.555783e-01  1.429496e-01  2.091892e-01  2.970000e+00 0 3 -1.000000e+00
 9.615309e-02 -8.315280e-02 -8.772455e-01  1.196922e+01  5.298028e-01 -4.190973e-01  1.088749e+00  2.436590e-01
-1.267962e-01  1.938483e-01  4.193552e+00  0.000000e+00  3.078334e-01  5.304665e-02  4.876673e-01  8.042726e-02
 6.718827e-04 -8.194516e-04  2.949698e-04  1.897744e+01  6.307658e+01  1.308654e+01  1.708999e+01  6.238792e+01
1  5.261304e-01 -1.305043e+00  0.000000e+00  1.481275e+00  0.000000e+00  3.600000e+00 0 2 -1.000000e+00
-1.345083e-01 -3.840916e+00  3.573576e+00  0.000000e+00  4.467842e-01  1.269568e-01  1.004888e-01  3.464138e-04
1  4.513821e-01 -4.203162e+00  0.000000e+00  3.832126e+00  0.000000e+00  4.720000e+00 0 2 -1.000000e+00
-1.202608e+00 -8.356831e+00  4.796654e+00  0.000000e+00  4.084935e-01  3.528542e-01 -1.299819e-01  1.475789e-04
4 -1.155484e-01 -2.066213e-01  3.610257e+00  1.985871e+00  1.000000e+00  1.920000e+00 0 3 -1.000000e+00
 9.796739e-01 -1.643180e+00  4.302152e+00  0.000000e+00  4.540589e-01  2.219391e-01  1.278785e-01  5.686235e-03
-1.253574e+00 -8.848242e-01 -4.661632e+00  2.989893e+01  6.964624e-01 -5.711886e-02 -5.508082e-01  1.424104e-02
-1.816061e+00  6.410751e-01  5.028522e+00  1.589290e+01  5.188722e-01 -1.526955e-01  9.644918e-02  2.201974e-02
 6.928968e-01  7.302203e-01 -1.574345e+00  8.417579e+01  8.273484e-01  1.386577e-01 -8.035965e-01  3.307762e-02
3 -4.472570e-02  4.789008e-02  5.788167e-01  2.173954e-01  6.369056e-01  2.500000e+00 0 3 -1.000000e+00
 7.192038e-02 -2.115892e-01 -3.188772e+00  3.833425e+00  8.930177e-01  3.982054e-01  4.080172e-01  4.160959e-01
-2.806416e-01  2.474629e-01  5.006663e+00  0.000000e+00  4.448809e-01 -1.581238e-01  2.888255e-01  7.303436e-02
 5.158579e-03 -1.121742e-02  4.585591e-02  4.649782e+00  6.254320e+00  2.179203e+00  1.025436e+00  5.246718e+00
1 -1.802604e-01  1.401414e+00  0.000000e+00  1.022138e+00  0.000000e+00  3.120000e+00 0 2 -1.000000e+00
-7.511315e-01  2.642845e+00  3.768587e+00  0.000000e+00  4.219259e-01  2.457292e-01  9.184460e-02  1.784737e-02
3 -1.206070e-01  3.612271e-03  6.761501e-01  3.321882e-01  3.850778e-01  2.520000e+00 0 2 -1.000000e+00
-4.339388e-01 -8.565018e-02  3.446076e+00  0.000000e+00  3.062187e-01 -4.301626e-01 -7.815031e-02  7.593036e-02
 2.387742e-01 -1.756038e-02 -1.327007e+00  7.930928e+00  5.767201e-01 -9.361183e-01  2.375371e-01  2.908950e-01
 4.225275e-03  1.347099e-04  1.949622e-03  1.112714e+01  2.404325e+01 -4.023206e+00 -1.373076e+00  2.336403e+01
1 -4.557218e-02 -3.349910e-02  0.000000e+00  3.368038e-02  0.000000e+00  2.800000e+00 0 2 -1.000000e+00
-9.848046e-02 -4.505525e-02  3.167453e+00  0.000000e+00  3.878925e-01 -9.215884e-02 -2.246581e-01  6.257566e-02
1  3.829983e+00  9.466199e-01  0.000000e+00  3.205499e+00  0.000000e+00  4.220000e+00 0 2 -1.000000e+00
 7.344838e+00  2.452415e+00  3.362692e+00  0.000000e+00  4.066648e-01 -1.948319e-01 -1.292533e-01  2.505488e-03
1 -9.789158e-01  2.755852e-01  0.000000e+00  1.223776e+00  0.000000e+00  9.600000e-01 0 2 -1.000000e+00
-2.024742e+00  2.253748e-01  4.617634e+00  0.000000e+00  4.419513e-01 -2.867291e-01  1.124439e-01  2.362344e-02
3  1.559846e-02  3.406160e-02  1.333325e-01  6.090952e-02  4.269940e-01  2.290000e+00 0 1 -1.000000e+00
-1.450446e-02 -2.837113e-02 -7.838897e-01  6.460239e+00  1.071021e+00  7.656077e-01 -8.334138e-01  8.795959e-01
 5.269640e-02  8.678793e-02  1.835833e+00  0.000000e+00  2.242869e-01  1.638257e-01 -1.737243e-01  8.891620e-02
-2.142841e-03 -3.794144e-03  2.602411e-02  6.763308e+00  7.928474e+00  1.366530e+00 -2.776767e+00  7.643214e+00
2  9.828365e-02  1.946922e-01  8.203540e-01  4.162679e-01  1.294189e-01  3.830000e+00 0 2 -1.000000e+00
 4.239396e-02  6.001234e-01  3.380008e+00  0.000000e+00  3.523797e-01  2.956223e-01 -1.901635e-01  4.769468e-03
-1.223036e-01 -2.035278e-01 -4.374368e-01  6.506115e+01  5.769947e-01  6.754836e-01 -1.417286e+00  7.347255e-02
1  4.129417e-01  1.497162e-01  0.000000e+00  9.140252e-02  0.000000e+00  1.010000e+00 0 2  3.165749e-01
-1.949225e-01  6.696481e-02  3.961125e+00  0.000000e+00  4.518580e-01 -2.072015e-01  7.123012e-02  9.824130e-02
1  2.445884e+00  9.499821e-01  0.000000e+00  8.285071e+00  0.000000e+00  2.300000e+00 0 2 -1.000000e+00
 1.018396e+01  9.109850e+00  3.010075e+00  0.000000e+00  4.178891e-01 -1.860909e-02 -7.930472e-02  5.491223e-05
3  3.774601e+00  1.563293e+00  4.449468e+00  2.156801e+00  5.079367e-01  2.630000e+00 0 3  2.903434e-01
-3.702592e-01 -9.779492e-01 -2.296071e+00  1.704888e+02  1.172186e+00  5.326576e-01 -4.259703e-01  2.865003e-02
 1.205626e+00  3.183103e+00  4.520388e+00  0.000000e+00  4.705949e-01  2.024032e-01 -1.344721e-01  1.028652e-03
-7.763399e-03 -1.524601e-02  9.746077e-04  1.840437e+02  3.489795e+01  3.757051e+00 -1.043560e+01  3.073134e+01
1 -2.002562e+00  1.398488e+00  0.000000e+00  3.392063e+00  0.000000e+00  2.540000e+00 0 2  2.752720e-01
 7.185189e+00 -2.188723e+00  3.919462e+00  0.000000e+00  4.129390e-01 -2.962900e-01  4.142166e-02  3.279307e-04
3 -6.618980e-02  1.371782e-02  8.079620e-01  5.691643e-01  4.071932e-01  2.610000e+00 0 2 -1.000000e+00
 3.787932e-01  2.910923e-02 -1.647464e+00  1.458483e+01  5.367035e-01 -8.921432e-01 -1.603677e-01  1.580766e-01
-3.592052e-01  3.579875e-01  4.045902e+00  0.000000e+00  3.343562e-01 -3.754083e-03  4.426103e-01  2.556967e-02
 3.745819e-04 -3.260597e-05  2.452391e-05  4.264429e+01  2.167309e+02 -7.583792e+01 -3.450681e+00  2.154898e+02
1  1.266483e-01 -1.220822e-01  0.000000e+00  1.740605e-01  0.000000e+00  3.210000e+00 0 2 -1.000000e+00
 3.058989e-01 -1.979547e-01  3.234518e+00  0.000000e+00  3.723661e-01 -2.807598e-02  2.897775e-01  9.431765e-02
3 -6.738055e-02 -2.378089e-01  5.635880e-01  2.364432e-01  1.840144e-01  1.520000e+00 0 1 -1.000000e+00
-1.498870e-01 -4.495446e-01  1.501409e+00  0.000000e+00  1.428806e-01  2.040167e-01 -1.642862e-01  5.024662e-02
 1.626784e-02  8.899422e-02 -2.762809e-01  5.178676e+01  1.856590e+00  1.930753e+00 -7.908499e-01  1.695686e+00
 4.388176e-03  2.339297e-02  2.701893e-02  5.232443e+01  8.366125e+00  3.960726e+00 -1.249543e+00  8.150662e+00
1  3.320613e+00  5.570719e+00  0.000000e+00  2.430152e+00  0.000000e+00  1.540000e+00 0 2 -1.000000e+00
 5.744382e+00  8.654708e+00  3.987611e+00  0.000000e+00  4.356098e-01  1.076791e-01 -2.369912e-01  2.264126e-03
3  6.708079e-02 -4.007199e-03  4.582838e-01  1.771985e-01  4.436053e-01  2.990000e+00 0 3 -1.000000e+00
 2.783849e-01 -1.955667e-02  4.263004e+00  0.000000e+00  3.024430e-01 -4.951807e-01  8.249520e-02  1.294824e-02
-1.793511e-01  2.846302e-03 -1.891091e+00  1.354042e+01  3.884243e-01 -9.473115e-01  7.362759e-02  4.529657e-02
-2.144703e-04 -1.405892e-05  2.399397e-05  3.021316e+01  2.094492e+02  3.363839e+01 -2.534519e+01  2.082698e+02
3 -1.630938e-02  3.856703e-02  2.205820e-01  1.263111e-01  3.670076e-01  1.580000e+00 0 1 -1.000000e+00
 4.947554e-02 -6.410433e-02 -9.806005e-01  4.875074e+00  7.266374e-01  3.134297e-01  9.981344e-01  5.664582e-01
-8.502912e-03  1.487217e-01  2.671880e+00  0.000000e+00  2.410847e-01  4.434579e-01  7.091699e-02  1.089488e-01
 1.436063e-03 -2.340931e-03  6.123405e-03  6.245389e+00  1.442158e+01  4.661192e-01  4.076005e+00  1.411493e+01
1  3.146049e-01  3.202526e+00  0.000000e+00  1.966292e+00  0.000000e+00  4.020000e+00 0 2 -1.000000e+00
 3.298453e-01  6.131189e+00  3.037772e+00  0.000000e+00  3.747299e-01  2.479358e-01 -1.737482e-02  2.903773e-04
3 -2.232398e-01  2.034963e-02  6.230723e-01  3.549759e-01  6.728718e-02  1.930000e+00 0 2 -1.000000e+00
-4.482632e-01  8.646207e-02  3.528532e+00  0.000000e+00  2.531745e-01 -5.102377e-01  1.183294e-01  5.917272e-02
 1.645159e-01 -2.632535e-02 -2.374250e-01  1.840038e+01  9.684997e-01 -2.004900e+00  4.395748e-01  6.872692e-01
