# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 11.00, 16.00, 10.00, 16.00, 100
3 -7.296391e-02  1.386976e-01  5.425476e-01  2.984328e-01  4.072876e-01  8.800000e-01 0 1 -1.000000e+00
 1.121219e-01 -1.222451e-01 -5.931921e-01  8.364733e+00  5.824921e-01  2.584567e-01  1.339144e+00  4.858872e-01
-1.516681e-01  3.518569e-01  1.456445e+00  0.000000e+00  1.108331e-01  2.485135e-01  2.055616e-01  4.072415e-02
 2.211066e-03 -2.578230e-03  6.474431e-04  1.051279e+01  4.299015e+01 -4.137452e+00  1.419566e+01  4.277497e+01
3  1.749329e-01 -6.654780e-02  1.333767e+00  6.098948e-01  8.151646e-01  3.580000e+00 0 1 -1.000000e+00
 8.494381e-01 -3.258372e-01  2.230044e+00  0.000000e+00  3.193346e-01 -6.272698e-02  1.046381e-01  9.053794e-03
-4.683176e-01 -1.197908e-01 -2.735698e+00  8.141670e+01  5.529375e-01 -6.158313e-01 -4.314558e-01  1.487598e-01
-1.260423e-03  7.865323e-05  5.973347e-05  1.379215e+02  1.381350e+02 -3.626063e+01 -2.738873e+01  1.369870e+02
1  9.583000e-02 -1.491698e+00  0.000000e+00  2.934593e+00  0.000000e+00  2.750000e+00 0 2 -1.000000e+00
-1.139173e+00 -5.628144e+00  6.084775e+00  0.000000e+00  5.520963e-01  1.853817e-01 -4.366681e-02  6.567180e-03
3  5.163880e-03 -2.499376e-01  4.998805e-01  2.192921e-01  1.027410e-01  1.100000e+00 0 1 -1.000000e+00
-7.360524e-03 -4.231840e-01  1.494821e+00  0.000000e+00  1.353564e-01  2.801619e-01 -1.189966e-02  2.845266e-02
-1.339997e-03  1.138887e-02  5.113815e-03  3.264433e+01  1.681498e+01  6.989963e+00  2.388591e+00  1.650940e+01
-8.381793e-03  7.669547e-02 -1.535795e-01  3.192551e+01  1.729443e+00  2.617667e+00  4.372570e-01  1.529266e+00
3 -1.075037e-01 -9.014737e-02  1.245512e+00  6.004945e-01  5.845358e-02  2.140000e+00 0 2 -1.000000e+00
 3.504187e-01  3.379714e-01 -1.971181e+00  2.334662e+01  7.073117e-01 -9.989816e-02 -7.635423e-01  1.629763e-01
-6.172493e-01 -4.461955e-01  3.372216e+01  0.000000e+00  4.991470e-01 -1.788355e-01 -4.349914e-01  4.903581e-02
 2.924297e-03  3.103448e-03  1.128069e-03  3.880032e+01  3.191119e+01  3.085989e+00 -7.714118e+00  3.036396e+01
5 -5.403095e-02 -1.078415e-02  6.915434e-01  3.836820e-01  1.000000e+00  3.880000e+00 0 3 -1.000000e+00
 2.966869e-01  5.688553e-02 -2.330303e+00  7.294822e+00  5.813732e-01 -7.039328e-01 -3.299330e-01  1.420736e-01
-3.605570e-01  2.265052e-01  1.040070e+01  0.000000e+00  4.561011e-01 -2.673609e-01  3.580457e-01  7.217494e-02
-2.782997e-01 -2.869837e-01  3.018495e+01  3.164933e-01  4.303100e-01 -4.467159e-02 -5.379796e-01  6.704705e-02
-3.552448e-01 -1.738033e-01 -3.642674e+01  3.320876e-01  4.488258e-01 -3.552468e-01 -4.528190e-01  7.041420e-02
 1.241383e-03  1.908344e-04  7.077243e-04  1.675602e+01  3.893926e+01 -5.137797e+00 -1.039169e-01  3.745408e+01
3 -8.944737e-02 -1.780599e-01  7.562603e-01  3.373437e-01  1.073647e-01  4.280000e+00 0 2 -1.000000e+00
-5.282528e-01 -2.775456e-01  3.589955e+00  0.000000e+00  3.675136e-01 -1.205872e-01 -3.270210e-01  1.365847e-02
 6.983517e-02  1.852940e-01 -3.854345e-01  2.068256e+01  1.390412e+00  1.223380e+00 -1.118140e+00  5.630998e-01
 3.023886e-03  7.748642e-03  1.847609e-03  2.310032e+01  2.807345e+01  1.094198e+01 -8.485546e+00  2.607394e+01
1 -1.076843e-01  4.628600e+00  0.000000e+00  6.147570e+00  0.000000e+00  3.950000e+00 0 2 -1.000000e+00
-4.447575e+00  1.088981e+01  1.412026e+01  0.000000e+00  5.489734e-01  3.021411e-01  2.032621e-01  1.281352e-04
3  3.876678e-01  9.312508e-01  2.023498e+00  9.647595e-01  5.413450e-01  1.840000e+00 0 1  2.973940e-01
 5.312454e-01  8.575581e-02 -1.168485e+00  1.184239e+02  9.437152e-01 -8.582035e-01 -3.499478e-01  5.476060e-02
-1.488637e+00  2.066595e-01  2.158486e+00  0.000000e+00  2.302018e-01 -3.583519e-01  2.975478e-02  3.796194e-03
 5.122817e-02  3.996818e-03  2.417042e-02  1.259826e+02  7.884726e+00 -2.398033e+00 -5.253722e-01  2.766643e+00
1 -5.692150e-02  1.666637e-01  0.000000e+00  1.049716e-01  0.000000e+00  4.240000e+00 0 2 -1.000000e+00
-1.294392e-01  2.946656e-01  3.140853e+00  0.000000e+00  3.722389e-01  1.644445e-01  2.205837e-01  1.958668e-02
3  4.560743e-01  1.090994e+00  4.496640e+00  2.068869e+00  3.451636e-02  2.750000e+00 0 2 -1.000000e+00
 2.610579e+00  3.161439e+00  6.190277e+00  0.000000e+00  5.320413e-01  7.263345e-02 -2.283990e-01  6.450526e-04
-1.346354e-01 -3.999613e-01 -2.136658e-01  9.702419e+02  2.125164e+00  1.838261e+00 -1.602184e+00  4.942735e-01
-4.771862e-03 -1.865037e-02  4.590539e-04  9.931621e+02  5.357752e+01  2.266087e+01 -8.513951e+00  5.039531e+01
2 -5.528172e-01  2.193798e+00  2.230414e+00  9.517598e-01  8.777573e-01  4.750000e+00 0 2  2.821048e-01
-7.602544e-01 -1.714140e-01 -6.224678e+00  7.405323e+01  7.684640e-01 -4.367251e-01 -1.533981e-01  6.444373e-03
 1.316494e+00  6.421355e-01  5.463757e+00  0.000000e+00  5.231620e-01 -1.526794e-01 -1.450489e-01  1.204514e-03
3  3.861910e-01  2.383874e-02  2.058884e+00  1.060280e+00  3.389407e-01  2.100000e+00 0 2 -1.000000e+00
 1.602009e+00 -1.840821e-01  4.840087e+00  0.000000e+00  4.916276e-01 -2.231156e-01  4.532264e-02  9.393232e-03
-4.547614e-01 -9.080955e-02 -1.640502e+00  1.280889e+02  1.134435e+00 -7.218419e-01 -3.264758e-01  2.334270e-01
-3.558610e-02 -5.198001e-03  1.710193e-02  1.349106e+02  9.455122e+00 -3.322850e+00 -1.405287e+00  7.689410e+00
3 -3.331494e-01  1.801109e-01  9.452239e-01  4.379928e-01  2.496014e-02  2.750000e+00 0 2 -1.000000e+00
-7.617395e-01  2.513181e-01  5.618752e+00  0.000000e+00  4.414757e-01 -2.661175e-01  2.513074e-01  2.473890e-03
 1.254056e-01 -7.490551e-02 -1.402448e-01  8.171616e+01  1.228953e+00 -1.324020e+00  2.330189e+00  2.963307e-01
 1.461213e-03 -9.307117e-04  4.242692e-05  9.092853e+01  1.560734e+02 -1.061183e-01  2.185882e+01  1.538540e+02
3 -4.640667e-03 -2.138660e-01  1.490045e+00  6.756732e-01  4.460409e-01  1.000000e+00 0 3 -1.000000e+00
 1.390028e-01 -9.323237e-01  3.477270e+00  0.000000e+00  3.181969e-01  3.749183e-01  1.915979e-01  5.594505e-02
 2.005630e-01  5.564489e-01 -1.551005e+00  1.142096e+01  6.564946e-01  7.421626e-01 -4.603630e-01  3.433222e-01
 2.279378e-03  7.806339e-03  1.639893e-03  1.732427e+01  2.776787e+01  5.362695e+00 -8.829759e+00  2.698715e+01
3 -5.110307e+00  8.641074e+00  1.053608e+01  3.391598e+00  7.454918e-01  2.270000e+00 0 3  2.854576e-01
-4.135591e+00 -1.629324e+00  7.000935e+00  4.041693e+02  6.103084e-01 -8.660751e-02  3.899535e-02  1.655362e-03
-3.270288e+00  7.466514e-01 -5.219140e+00  4.259187e+02  8.690084e-01 -2.629424e-01  3.736610e-01  4.718584e-03
 3.636410e+00  5.484393e+00  3.096162e+00  0.000000e+00  4.195427e-01  1.031352e-01  5.756145e-02  5.170441e-04
3 -3.183095e-01  5.614775e-01  2.300043e+00  1.098321e+00  2.023649e-01  3.100000e+00 0 3 -1.000000e+00
 2.513918e-01 -4.755555e-01 -6.206739e-01  8.777243e+01  1.048307e+00  7.662301e-01  1.013103e+00  5.059840e-01
-1.000566e+00  1.453900e+00  3.067103e+00  0.000000e+00  3.464820e-01  1.208553e-01  2.940054e-01  3.138483e-02
 1.763495e-02 -2.966879e-02  5.007723e-03  9.482731e+01  1.625219e+01  2.635286e+00  5.098324e+00  1.517862e+01
5  1.692212e-01 -1.758185e-02  1.515510e+00  7.394814e-01  1.000000e+00  2.920000e+00 0 2 -1.000000e+00
 4.253509e-01 -7.344647e-01  3.016678e+00  0.000000e+00  3.118549e-01  1.852407e-02  3.764440e-01  1.184221e-01
-4.449894e-01 -6.413499e-02 -1.033816e+00  8.350190e+00  9.321289e-01 -9.758839e-01 -1.398094e-01  6.953063e-01
 7.045812e-01  2.924885e-01 -3.985685e+00  2.012994e+00  5.471231e-01 -5.834197e-01 -3.400248e-01  3.437335e-01
 3.740080e-01  7.801750e-01  3.770007e+00  1.457537e+00  3.988693e-01  1.450089e-01 -2.740056e-01  2.104419e-01
-2.262385e-02 -2.347804e-03  2.296580e-02  1.017396e+01  8.133140e+00 -2.285492e+00 -1.454370e+00  7.722641e+00
1 -3.434487e+00  9.938406e-01  0.000000e+00  8.649030e-01  0.000000e+00  2.220000e+00 0 2  2.944934e-01
-2.588200e+00  8.634097e-02  3.640834e+00  0.000000e+00  3.828138e-01 -3.223221e-01  4.863023e-02  3.701092e-03
3  7.057728e-02 -3.415638e-02  5.586528e-01  2.728192e-01  9.906878e-01  4.430000e+00 0 1 -1.000000e+00
 3.147196e-01 -1.243346e-01  2.544344e+00  0.000000e+00  2.290858e-01 -3.017750e-01  3.319817e-01  5.319503e-02
