# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 11.00, 16.00, 10.00, 16.00, 100
1 -2.293889e+00 -2.402128e+00  0.000000e+00  2.521453e+00  0.000000e+00  2.660000e+00 0 2 -1.000000e+00
-7.995603e+00 -2.920049e+00  3.434869e+00  0.000000e+00  4.387901e-01 -2.683504e-03 -1.543289e-01  4.781664e-04
1  3.505608e+00  2.021468e-01  0.000000e+00  1.228096e+00  0.000000e+00  1.830000e+00 0 2  2.890992e-01
-9.582250e-01 -2.846006e+00  4.576746e+00  0.000000e+00  4.841594e-01  6.371479e-02 -2.086532e-01  9.776921e-04
3 -1.740230e+00 -3.263765e+00  3.727489e+00  1.477184e+00  7.880002e-01  1.660000e+00 0 3  2.792316e-01
-1.509308e+00 -5.918719e-01  6.618283e+00  1.571241e+02  5.777826e-01 -1.643778e-01 -1.228204e-02  4.904911e-03
-1.337366e+00  2.386582e-01 -5.215208e+00  1.624547e+02  8.360834e-01 -3.484069e-01  3.118144e-01  8.802347e-03
 1.020942e+00  2.145281e+00  2.589558e+00  0.000000e+00  3.648065e-01  1.282639e-01 -2.920395e-02  2.039878e-03
1 -1.944379e+00 -1.900402e+00  0.000000e+00  1.575976e+00  0.000000e+00  1.080000e+00 0 2 -1.000000e+00
-3.176534e+00 -3.720428e+00  3.366102e+00  0.000000e+00  4.166442e-01  6.708865e-03 -2.077967e-01  9.715387e-03
3 -1.011630e-01 -5.380089e-01  2.869121e+00  1.408887e+00  4.572890e-01  1.890000e+00 0 3 -1.000000e+00
-6.256742e-01 -2.260842e+00  5.119064e+00  0.000000e+00  5.115253e-01  1.765401e-01 -1.099679e-01  1.412546e-02
 7.228770e-02  5.220891e-01 -2.340892e+00  8.569483e+01  1.342673e+00  7.191187e-01 -1.657721e-01  3.639665e-01
 2.575402e-02  1.526495e-01  2.875999e-01  8.639920e+01  3.297029e+00  1.284836e+00 -3.853356e-01  1.912820e+00
3 -2.603412e-01 -1.945243e-02  9.771194e-01  4.369787e-01  1.593130e-01  2.140000e+00 0 2 -1.000000e+00
-7.271195e-01  2.881493e-02  4.414083e+00  0.000000e+00  3.999284e-01 -3.651566e-01  1.410400e-02  1.629694e-02
 2.498342e-01  4.680619e-02 -7.032207e-01  4.330610e+01  8.165887e-01 -1.157236e+00 -3.412810e-01  2.591715e-01
 7.164368e-03  1.583889e-03  1.737763e-03  5.004893e+01  2.544821e+01 -2.281470e+00 -4.130065e+00  2.431424e+01
3 -1.308433e-02  1.560849e-01  8.455453e-01  4.971304e-01  8.446499e-01  1.990000e+00 0 3 -1.000000e+00
-3.256848e-02 -1.794486e-01 -3.156890e+00  1.164760e+01  9.788205e-01  4.437903e-01 -3.467942e-01  3.969031e-01
-2.622696e-01  6.342985e-01  2.666467e+00  0.000000e+00  3.704687e-01  1.455100e-01  1.041094e-02  3.785578e-02
 4.616826e-03 -4.372647e-02  3.448296e-01  1.187330e+01  2.746520e+00  3.876613e-01 -8.180297e-03  1.937260e+00
1  7.630202e+00  4.699227e+00  0.000000e+00  7.611901e+00  0.000000e+00  2.920000e+00 0 2 -1.000000e+00
 1.219125e+01  9.138284e+00  3.643367e+00  0.000000e+00  3.973803e-01 -2.734429e-02 -2.965323e-01  1.763626e-04
3  2.572563e-03 -9.692595e-02  5.553806e-01  2.819462e-01  4.035714e-01  2.100000e+00 0 1 -1.000000e+00
 6.007917e-02 -3.422867e-01  2.965746e+00  0.000000e+00  2.342713e-01  4.844968e-01  1.200834e-01  4.106787e-02
