# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 11.00, 16.00, 10.00, 16.00, 100
1  9.439995e-02  1.450414e+00  0.000000e+00  6.630498e-01  0.000000e+00  2.190000e+00 0 2 -1.000000e+00
 2.254759e-01  2.141987e+00  3.867991e+00  0.000000e+00  3.858267e-01  3.406952e-01 -5.102470e-02  4.631864e-03
1 -4.793444e+00 -7.462852e+00  0.000000e+00  2.145811e+00  0.000000e+00  4.100000e+00 0 2  2.769695e-01
-6.269664e+00  4.173055e+00  3.247543e+00  0.000000e+00  4.313750e-01 -1.026303e-01  6.983061e-02  6.943043e-04
3  2.067019e-01 -4.134779e-01  1.897357e+00  9.115218e-01  1.814460e-01  1.880000e+00 0 2 -1.000000e+00
 1.148157e+00 -1.071390e+00  4.137025e+00  0.000000e+00  4.237168e-01  4.287972e-02  2.975635e-01  3.042712e-03
-9.641158e-02  3.607452e-01 -7.506467e-01  2.336531e+02  1.242064e+00  1.042458e+00  5.514167e-01  2.194032e-01
-3.895582e-03  1.099399e-02  1.080645e-03  2.497483e+02  3.387941e+01  1.103221e+01  5.828629e+00  3.143934e+01
1  1.688958e-02  9.431276e-01  0.000000e+00  1.358212e+00  0.000000e+00  1.430000e+00 0 2 -1.000000e+00
-3.489084e-01  2.757130e+00  3.227256e+00  0.000000e+00  4.179434e-01  1.676322e-01  2.878461e-02  1.988792e-03
3 -5.816683e-01  3.079376e-01  2.181715e+00  1.114837e+00  7.637136e-02  2.010000e+00 0 2 -1.000000e+00
-1.539247e+00  1.234079e+00  3.972835e+00  0.000000e+00  4.259140e-01 -1.255517e-01  2.492029e-01  6.981427e-04
 1.831409e-01 -1.050466e-01 -3.034108e-01  3.210413e+02  2.039690e+00 -1.156114e+00  1.743622e+00  2.861131e-01
 1.265909e-02 -8.289386e-03  1.931177e-03  3.256164e+02  2.493805e+01 -1.916069e+00  7.179131e+00  2.131880e+01
3 -6.133651e-02  8.055640e-02  3.863158e-01  1.786592e-01  4.440005e-01  3.770000e+00 0 3 -1.000000e+00
 2.879747e-02 -6.691635e-02 -1.633877e+00  9.571607e+00  1.537323e+00  6.315800e-01  7.084237e-01  9.026034e-01
-2.351825e-01  2.151376e-01  3.679898e+00  0.000000e+00  3.924055e-01 -3.267104e-02  3.104143e-01  4.353196e-02
 1.351312e-02 -3.006901e-02  4.733518e-01  9.602576e+00  2.928397e+00  9.617736e-01  8.252958e-01  2.146854e+00
3 -2.170000e-02  1.388298e-01  1.088469e+00  5.218012e-01  4.630014e-01  1.490000e+00 0 1 -1.000000e+00
-5.879013e-02 -4.510927e-01 -1.310585e+00  1.406801e+01  4.854589e-01  9.715932e-01 -2.894433e-01  1.653322e-01
-3.583508e-01  5.953437e-01  2.830628e+00  0.000000e+00  2.669088e-01  2.166509e-01  3.704140e-01  3.928248e-02
 7.841527e-05 -1.132449e-03  7.907892e-05  2.979536e+01  1.157006e+02  2.204964e+01 -4.943428e+00  1.146419e+02
1  3.484678e-01 -4.225252e-01  0.000000e+00  5.848736e-01  0.000000e+00  2.210000e+00 0 2 -1.000000e+00
 7.248766e-01 -1.133788e+00  3.250390e+00  0.000000e+00  3.905506e-01  3.814175e-02  2.496365e-01  2.068986e-02
3 -6.022273e-03 -6.288384e-02  3.228267e-01  1.671517e-01  5.781502e-01  2.600000e+00 0 1 -1.000000e+00
-5.438790e-02 -2.143741e-01  2.865664e+00  0.000000e+00  3.049038e-01  3.447596e-01 -1.238562e-01  1.054184e-01
