# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 11.00, 16.00, 10.00, 16.00, 100
5  6.686406e-01  1.148920e+00  1.321072e+00  7.241459e-01  1.000000e+00  2.950000e+00 0 3  3.040953e-01
-3.342779e-01 -5.592406e-01  5.021534e+00  1.244675e+00  4.090633e-01  2.281664e-01 -3.130558e-01  7.422193e-02
 4.940480e-01 -2.123616e-01 -2.846307e+00  3.031220e+00  5.761570e-01 -4.433105e-01  5.783175e-01  1.515022e-01
-5.915685e-01  4.558844e-02 -3.968641e+00  2.049832e+00  5.712310e-01 -6.303777e-01  1.960669e-01  1.475375e-01
 1.556913e-01  6.676094e-01  3.899290e+00  0.000000e+00  3.656689e-01  3.719387e-01 -8.706651e-02  5.500042e-02
 3.903628e-04 -6.378122e-04  6.944577e-04  8.752157e+00  3.915550e+01 -3.472726e+00  1.951982e+00  3.723860e+01
3  4.001064e-01  8.131344e-02  1.034481e+00  5.270549e-01  1.166451e-01  1.210000e+00 0 1 -1.000000e+00
 8.550083e-01  1.581966e-01  1.964348e+00  0.000000e+00  2.381699e-01 -2.616756e-01 -5.325773e-02  5.513357e-02
-1.580181e-01 -5.139323e-02 -2.291316e-01  2.144991e+01  2.382115e+00 -2.084339e+00 -1.389271e+00  2.045586e+00
-3.965311e-02 -1.301849e-02  1.972388e-02  2.168765e+01  1.078528e+01 -5.222059e+00 -4.216854e+00  1.032010e+01
3  5.228000e-01 -8.919576e-02  1.866017e+00  9.138678e-01  6.715212e-02  3.070000e+00 0 2 -1.000000e+00
 1.676344e+00  2.994986e-01  4.032473e+00  0.000000e+00  4.749939e-01 -1.661891e-01 -5.076699e-03  3.640878e-03
-1.716921e-01  4.107035e-02 -2.707891e-01  2.904640e+02  2.126459e+00 -1.917011e+00  1.134411e+00  1.001422e+00
-3.301583e-02  6.398067e-03  1.238014e-02  2.926641e+02  1.175397e+01 -5.381514e+00  2.431600e+00  1.017872e+01
1 -1.204621e+01  1.259589e+01  0.000000e+00  4.637431e+00  0.000000e+00  1.800000e+00 0 2  2.848864e-01
-2.946680e+00  9.193700e+00  3.958827e+00  0.000000e+00  4.112299e-01  1.921831e-01  2.389891e-01  6.948722e-05
1  3.347563e-02 -1.081852e-02  0.000000e+00  5.166617e-02  0.000000e+00  1.600000e+00 0 2 -1.000000e+00
 9.399178e-02 -1.892426e-02  3.292276e+00  0.000000e+00  4.086931e-01 -1.888451e-01  1.011937e-01  7.032752e-02
3 -1.253284e-01 -9.517551e-02  9.234111e-01  4.251219e-01  2.745229e-01  3.440000e+00 0 3 -1.000000e+00
-6.303541e-01 -1.610068e-01  4.314732e+00  0.000000e+00  4.288536e-01 -2.261323e-01 -2.081065e-01  1.011287e-02
 2.050799e-01  2.323606e-01 -1.184493e+00  6.154441e+01  7.018869e-01  1.188615e-01 -9.586379e-01  1.090284e-01
 9.031215e-04  8.925408e-04  9.292783e-05  9.311341e+01  1.068969e+02  1.094362e+01 -1.825780e+01  1.051081e+02
3  7.502817e-03  7.781716e-02  5.041951e-01  3.129602e-01  7.646611e-01  3.160000e+00 0 3 -1.000000e+00
 2.523988e-02 -1.853425e-01 -3.019121e+00  2.094731e+00  6.432548e-01  6.713131e-01  8.847676e-02  4.410300e-01
 6.449836e-02  3.173219e-01  3.948312e+00  0.000000e+00  3.115389e-01  4.268823e-01 -1.961569e-01  1.450049e-01
 3.252016e-04 -9.762810e-03  3.578537e-02  2.598397e+00  6.344659e+00  4.280664e-01  6.616335e-01  5.971203e+00
3  4.318483e-01 -4.462264e-01  2.682883e+00  1.143722e+00  9.005387e-01  2.120000e+00 0 1 -1.000000e+00
 1.529259e+00 -1.525844e+00  2.121665e+00  0.000000e+00  3.029793e-01 -2.663208e-02  1.174759e-01  1.324151e-03
-3.410845e-01  3.976101e-01 -1.910641e+00  2.180223e+02  8.254243e-01  2.113498e-01  7.135772e-01  6.891202e-02
-3.262109e-03  2.434388e-03  7.023575e-05  2.439304e+02  1.247681e+02 -2.209446e+01  2.434383e+01  1.222060e+02
1 -9.194246e-03  3.142775e-02  0.000000e+00  3.921411e-02  0.000000e+00  2.500000e+00 0 2 -1.000000e+00
-1.980323e-02  7.275539e-02  3.230980e+00  0.000000e+00  3.525919e-01  2.718440e-01  1.890354e-01  1.577641e-01
3 -5.877292e-02 -1.400919e-01  3.823903e-01  2.287372e-01  2.435953e-01  3.190000e+00 0 1 -1.000000e+00
-1.360067e-01 -2.790416e-01  1.819614e+00  0.000000e+00  1.974855e-01  2.395826e-01 -1.925166e-01  3.210336e-02
 3.525902e-02  6.285075e-02 -4.432494e-01  1.231483e+01  1.107005e+00  9.283292e-01 -1.185631e+00  8.523679e-01
 5.639461e-03  9.462099e-03  1.737238e-02  1.265811e+01  9.040827e+00  6.416410e-01 -2.584681e+00  8.671509e+00
1  9.538715e-01  4.394181e-01  0.000000e+00  1.168454e+00  0.000000e+00  3.540000e+00 0 2 -1.000000e+00
 2.447887e+00  6.230554e-01  3.140011e+00  0.000000e+00  4.115010e-01 -1.111163e-01 -1.245553e-01  1.159448e-02
3  4.020896e-01  1.171024e-01  1.030199e+00  5.957952e-01  2.907581e-02  3.580000e+00 0 2 -1.000000e+00
 8.396013e-01  1.121701e-01  7.528776e+00  0.000000e+00  4.130332e-01 -4.125358e-01 -2.037658e-01  2.663173e-02
-1.798411e-01 -3.631399e-02 -2.189053e-01  8.249272e+01  1.516681e+00 -1.919057e+00 -1.073483e+00  9.186114e-01
-1.895438e-02 -2.820877e-03  4.636582e-03  8.569792e+01  1.711018e+01 -6.563759e+00 -8.824961e-01  1.620383e+01
3  3.068197e-01 -1.608918e-01  9.817071e-01  6.912868e-01  1.285888e-01  2.570000e+00 0 3 -1.000000e+00
 7.271423e-01 -4.032348e-01  3.483941e+00  0.000000e+00  3.667537e-01 -1.222432e-01  3.146843e-01  4.164765e-02
-1.476694e-01  4.224595e-02 -4.479958e-01  4.088597e+01  2.237692e+00 -1.545839e+00  1.172360e+00  1.706450e+00
-5.789080e-02  1.578227e-02  9.037595e-02  4.105151e+01  5.812117e+00 -3.089642e+00  1.595523e+00  5.166989e+00
1 -2.006750e-01 -5.969791e+00  0.000000e+00  1.031545e+01  0.000000e+00  3.030000e+00 0 2 -1.000000e+00
-2.438181e+00 -1.659466e+01  3.429396e+00  0.000000e+00  3.687456e-01  3.231709e-01 -4.945934e-02  1.852610e-04
1 -9.815552e+00  6.367157e+00  0.000000e+00  2.160811e+00  0.000000e+00  1.690000e+00 0 2  2.754918e-01
-5.517771e+00 -3.841511e+00  4.350663e+00  0.000000e+00  4.713438e-01 -3.476984e-02 -2.200419e-01  1.499911e-03
5 -4.738653e-02 -3.589349e-03  4.171952e-01  1.390024e-01  1.000000e+00  1.970000e+00 0 2 -1.000000e+00
 8.258947e-02 -1.081813e-01 -4.672512e+00  2.899472e+00  7.756983e-01  1.692344e-01  4.854777e-01  5.126639e-01
