# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 11.00, 16.00, 10.00, 16.00, 100
1  7.938950e-01 -1.287415e+00  0.000000e+00  1.326719e+00  0.000000e+00  2.220000e+00 0 2 -1.000000e+00
 1.454761e+00 -2.923542e+00  5.055137e+00  0.000000e+00  4.517060e-01  1.495970e-01  2.835992e-01  1.159610e-02
2  2.108171e+00  1.594361e+00  2.258232e+00  1.057183e+00  1.483933e-02  2.210000e+00 0 2  2.751352e-01
 1.914791e+00  7.680305e-01  4.736542e+00  0.000000e+00  4.648984e-01 -5.545504e-02 -2.685777e-01  5.388420e-04
-1.700325e-01 -9.979607e-02 -7.028713e-02  5.815256e+02  1.559259e+00 -1.600820e+00 -3.460853e+00  3.817987e-01
3 -7.415340e-02 -2.298951e-02  6.962983e-01  3.418174e-01  2.423395e-01  2.080000e+00 0 2 -1.000000e+00
-3.957077e-01 -7.089108e-02  7.138765e+00  0.000000e+00  2.689353e-01 -5.890019e-01 -2.178349e-01  3.437182e-02
 2.772164e-01  1.080067e-01 -1.730005e+00  2.814879e+01  3.586306e-01 -7.591767e-01 -6.426807e-01  8.733837e-02
 1.963406e-04  8.011086e-05  8.903394e-06  8.536052e+01  3.407889e+02 -1.851230e+01 -5.288732e+01  3.396100e+02
1 -8.922222e-01  4.169606e+00  0.000000e+00  5.058637e+00  0.000000e+00  2.480000e+00 0 2 -1.000000e+00
-1.594109e+00  9.605023e+00  7.905275e+00  0.000000e+00  4.699125e-01  3.764402e-01  1.130830e-01  5.290966e-04
3  2.170189e-01  8.884851e-01  5.807908e+00  2.946161e+00  1.934269e-01  4.750000e+00 0 2 -1.000000e+00
-1.256592e-01 -1.694127e+00 -2.010912e+00  3.360297e+02  9.961304e-01  6.821030e-01 -1.789892e-01  4.306414e-02
 1.761132e+00  3.798761e+00  1.039624e+01  0.000000e+00  5.428912e-01  1.933025e-01 -2.745797e-01  2.592677e-03
 1.381477e-03 -2.500845e-02  1.571680e-03  3.979066e+02  2.745959e+01  4.709612e+00  6.455032e+00  2.462145e+01
3  6.815983e-01 -1.820929e-01  4.030756e+00  2.187412e+00  2.640414e-01  3.200000e+00 0 1 -1.000000e+00
-1.003891e+00  5.834601e-01 -7.733784e-01  3.885343e+02  1.030511e+00 -3.906491e-01  1.068341e+00  3.584769e-01
 3.024562e+00  7.197239e-01  2.929005e+00  0.000000e+00  3.878910e-01 -1.768247e-01 -4.469387e-02  1.306019e-02
-2.257339e-02  7.768786e-03  9.921417e-04  4.666519e+02  3.753261e+01 -1.336378e+01  1.217049e+01  3.601647e+01
