# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 11.00, 16.00, 10.00, 16.00, 100
3  2.310012e-01 -2.171029e-01  1.306875e+00  5.203852e-01  3.207179e-01  2.750000e+00 0 1 -1.000000e+00
 7.147645e-01 -5.945380e-01  2.763650e+00  0.000000e+00  3.166979e-01 -5.793112e-02  3.189129e-01  1.003322e-02
-2.427755e-01  2.948657e-01 -8.863521e-01  1.256999e+02  6.274814e-01  1.076369e-01  1.120448e+00  1.377844e-01
-1.534141e-03  2.284482e-03  1.183606e-04  1.680569e+02  9.638198e+01  2.275153e+01  1.146005e+01  9.478933e+01
1  1.135877e-01  9.259419e-02  0.000000e+00  1.428179e-01  0.000000e+00  4.110000e+00 0 2 -1.000000e+00
 1.840321e-01  1.750844e-01  3.065967e+00  0.000000e+00  3.223532e-01 -3.038096e-02 -3.634843e-01  2.233321e-02
1 -2.064200e-01 -1.718921e-01  0.000000e+00  5.047262e-01  0.000000e+00  6.900000e-01 0 2 -1.000000e+00
-7.838163e-01 -5.256691e-01  4.799644e+00  0.000000e+00  4.908921e-01 -8.264803e-02 -2.097889e-01  1.560165e-01
1 -8.406999e-01 -3.507106e+00  0.000000e+00  2.552645e+00  0.000000e+00  3.500000e+00 0 2 -1.000000e+00
-2.397413e+00 -7.331579e+00  3.520940e+00  0.000000e+00  4.213771e-01  2.113274e-01 -7.829527e-02  3.886936e-04
3 -1.834340e-01  1.058713e-01  7.716852e-01  3.824941e-01  2.743969e-01  2.050000e+00 0 1 -1.000000e+00
 2.046087e-01 -1.017504e-01 -5.946030e-01  5.032071e+01  5.878422e-01 -8.275778e-01  1.080177e+00  2.738190e-01
-4.498704e-01  3.070959e-01  2.166946e+00  0.000000e+00  2.317730e-01 -1.389476e-01  3.307373e-01  2.784767e-02
 2.065725e-03 -1.117964e-03  1.784549e-04  6.682961e+01  7.768036e+01 -1.039097e+01  1.297101e+01  7.677683e+01
3  8.182726e-03 -3.165378e-02  2.249497e-01  8.697496e-02  5.131711e-01  4.180000e+00 0 2 -1.000000e+00
 2.350846e-02 -1.568915e-01  2.997105e+00  0.000000e+00  3.947948e-01  1.291469e-01  1.262498e-01  2.583430e-02
-9.339663e-03  6.564699e-02 -5.840361e+00  1.614357e+00  8.246832e-01  4.089950e-01  1.862292e-01  2.009988e-01
-5.198677e-04  4.013783e-03  2.086029e-02  1.791071e+00  8.899864e+00  3.770726e+00  5.015182e-01  7.360475e+00
3 -2.511110e-01 -2.716023e-01  3.132553e+00  1.943786e+00  4.457722e-01  1.930000e+00 0 1 -1.000000e+00
-2.267480e-01 -2.322780e+00  2.854055e+00  0.000000e+00  3.598474e-01  2.119390e-01 -1.204099e-01  4.164962e-02
 1.115086e+00  5.078333e-01 -1.272258e+00  7.343758e+01  7.447478e-01 -6.376081e-01 -6.667934e-01  2.434480e-01
 1.089702e-02  1.008935e-02  2.307669e-03  1.063284e+02  2.221447e+01 -1.679960e+00 -3.727402e+00  2.094291e+01
3 -1.489488e-01  1.661608e-01  1.090551e+00  4.488273e-01  2.134705e-01  2.460000e+00 0 2 -1.000000e+00
 2.008018e-01 -2.510188e-01 -8.704802e-01  1.523623e+01  1.202944e+00  1.773455e-01  1.076348e+00  9.771771e-01
-4.771885e-01  6.031651e-01  4.077754e+00  0.000000e+00  3.727641e-01  3.959279e-02  3.829154e-01  2.073395e-01
 2.275919e-02 -2.904622e-02  3.094497e-02  1.648424e+01  7.832734e+00  1.082524e+00  3.633039e+00  7.455052e+00
3  2.241196e-01  9.854469e-02  7.571391e-01  2.511859e-01  2.334624e-01  1.880000e+00 0 1 -1.000000e+00
 5.132511e-01  1.908268e-01  2.059579e+00  0.000000e+00  2.062050e-01 -3.052881e-01 -2.266572e-01  9.178105e-03
-1.745474e-01 -1.257058e-01 -4.808342e-01  6.420270e+01  4.713950e-01 -7.698105e-01 -1.329110e+00  1.765329e-01
-1.187498e-03 -1.209936e-03  7.615393e-05  8.545181e+01  1.253138e+02  3.560155e+01 -3.248321e+01  1.245190e+02
3  1.716214e-01  1.720389e-01  1.190908e+00  5.081929e-01  9.570938e-01  2.030000e+00 0 1 -1.000000e+00
 5.654578e-01  6.868227e-01  1.931556e+00  0.000000e+00  2.767931e-01  2.525020e-03 -7.283106e-02  2.632211e-02
-2.648987e-01 -1.668569e-01 -2.018147e+00  6.410199e+01  7.257360e-01 -4.270372e-01 -6.231886e-01  3.275540e-01
