# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 11.00, 16.00, 10.00, 16.00, 100
1 -1.591794e-01 -7.346045e+00  0.000000e+00  3.141183e+00  0.000000e+00  5.280000e+00 0 2 -1.000000e+00
-3.172385e+00 -1.277295e+01  4.015339e+00  0.000000e+00  4.535783e-01  2.219674e-01 -1.619325e-02  2.662074e-03
1 -4.418188e+00 -4.798370e+00  0.000000e+00  1.714642e+00  0.000000e+00  2.260000e+00 0 2  2.791220e-01
-1.589359e+00 -3.318941e+00  3.031581e+00  0.000000e+00  3.710033e-01  6.735342e-02 -2.474662e-01  1.724102e-03
3  9.004756e-02 -9.510490e-03  8.394569e-01  4.495741e-01  1.525935e-01  4.650000e+00 0 2 -1.000000e+00
-3.537974e-01  3.525028e-02 -1.615322e+00  3.473510e+01  4.274675e-01 -9.641753e-01  1.312677e-01  1.235585e-01
 4.638420e-01 -1.548912e-01  1.058578e+01  0.000000e+00  3.220735e-01 -5.111888e-01  3.221863e-01  5.993414e-02
-4.794123e-04  9.638478e-05  3.189183e-05  9.430921e+01  1.825537e+02 -2.979750e+01  2.679258e+01  1.814889e+02
5  3.198830e-02  1.898318e-02  5.183949e-01  2.367183e-01  1.000000e+00  1.450000e+00 0 2 -1.000000e+00
-2.011730e-01  3.983987e-02 -2.667288e+00  1.595765e+01  5.345212e-01 -6.902505e-01  3.393191e-01  3.081813e-01
 2.080716e-01  2.239798e-01  2.708672e+00  0.000000e+00  3.078903e-01 -2.778627e-02 -3.302410e-01  1.241320e-01
-2.383729e-02 -2.396489e-01  2.414897e+01  1.252690e+01  4.444539e-01  5.156353e-01 -3.663421e-02  2.410791e-01
 2.009062e-02 -2.367511e-01 -2.237791e+01  1.253577e+01  4.671180e-01  5.430909e-01  1.835822e-01  2.586061e-01
-1.663060e-03 -9.811490e-04  4.185037e-03  2.944529e+01  1.651090e+01 -6.766129e-01 -1.087938e+00  1.603530e+01
3 -6.515743e-02 -3.393571e-01  2.338544e+00  1.330771e+00  7.237608e-01  1.980000e+00 0 1 -1.000000e+00
 8.985752e-02 -1.601740e+00  2.483973e+00  0.000000e+00  3.097862e-01  2.716048e-01  6.718592e-03  3.601705e-02
 5.425351e-01  6.925728e-01 -1.797803e+00  9.529166e+01  6.061929e-01  1.809071e-01 -8.237665e-01  2.384502e-01
 3.210007e-03  9.472490e-03  1.392913e-03  1.394716e+02  2.823057e+01  9.562726e-01 -4.761258e+00  2.735729e+01
3 -4.709879e-02  2.585683e-02  6.217024e-01  3.554014e-01  6.269626e-01  1.980000e+00 0 3 -1.000000e+00
-2.583293e-01  2.522565e-01  4.177226e+00  0.000000e+00  2.440374e-01 -9.283082e-03  5.761944e-01  3.587464e-02
 2.783221e-01 -6.162108e-02 -2.618965e+00  6.912998e+00  3.482424e-01 -7.980084e-01  4.120688e-01  9.784571e-02
 1.826368e-04 -7.151582e-05  1.695721e-05  2.399105e+01  2.470863e+02 -3.981524e+01 -1.117195e+00  2.460565e+02
1 -1.216634e+01  1.531077e+00  0.000000e+00  8.424797e+00  0.000000e+00  2.530000e+00 0 2 -1.000000e+00
-2.003158e+01  3.998779e+00  3.119624e+00  0.000000e+00  3.687304e-01 -2.672538e-01  8.077857e-02  5.717337e-05
1 -2.576211e-01  4.178349e-03  0.000000e+00  4.402257e-01  0.000000e+00  1.230000e+00 0 2 -1.000000e+00
-6.015338e-01  2.536060e-03  3.348878e+00  0.000000e+00  3.251758e-01 -3.957400e-01 -1.304030e-02  1.211178e-01
5  6.408033e-02 -1.276671e-01  1.698387e+00  7.097349e-01  1.000000e+00  3.100000e+00 0 3 -1.000000e+00
 3.186309e-02 -8.013086e-01 -5.883594e+00  1.467268e+01  5.809330e-01  5.742435e-01  1.258005e-01  2.544964e-02
-6.490391e-01 -6.451029e-01  5.900949e+00  1.114044e+01  4.746584e-01  9.900622e-02 -3.109940e-01  2.922650e-02
 9.727340e-01 -1.407528e-01  3.999416e+00  0.000000e+00  4.372616e-01 -2.031150e-01  1.593180e-01  1.033964e-02
-1.630896e-01  5.084274e-01 -1.327888e+00  5.416475e+01  7.435020e-01  7.172677e-01  5.517190e-01  5.924142e-02
-3.254530e-04  1.007365e-03  8.605346e-05  9.942697e+01  1.101923e+02  1.575595e+01 -7.349808e+00  1.076215e+02
5 -7.368970e-01 -5.488357e-01  7.176222e+00  3.514757e+00  1.000000e+00  3.460000e+00 0 2 -1.000000e+00
-9.518391e-01 -4.657057e+00  2.462458e+00  0.000000e+00  3.599877e-01  7.956244e-03 -5.877200e-02  6.037129e-03
-2.245359e+00  7.715782e-01 -3.684697e+00  3.845523e+02  7.848581e-01 -5.355958e-01  1.755445e-01  1.215015e-02
-1.724725e+00  2.477424e+00  5.349094e+00  3.681811e+02  5.205229e-01 -1.249478e-01  1.653444e-01  6.917067e-03
 4.804853e-01  2.595254e-01 -4.933525e-01  5.938161e+02  1.995752e+00 -1.370968e+00 -1.067201e+00  7.707893e-01
 1.128649e-01  8.972649e-02  5.416997e-02  5.969680e+02  6.661473e+00 -1.304393e+00 -3.448250e+00  5.064363e+00
1  8.527572e+00 -1.534148e+01  0.000000e+00  4.149848e+00  0.000000e+00  2.450000e+00 0 2  2.797445e-01
 7.051474e+00 -1.246085e+01  3.194983e+00  0.000000e+00  3.433076e-01  2.206607e-01  2.637482e-01  5.850593e-04
3  2.464869e-01 -1.143889e-01  1.245280e+00  5.065982e-01  6.446948e-01  2.940000e+00 0 1 -1.000000e+00
 7.109648e-01 -4.543311e-01  1.925837e+00  0.000000e+00  2.190184e-01 -1.945337e-01  2.298570e-01  2.657916e-02
-3.712982e-01  1.616471e-01 -1.241577e+00  5.078735e+01  4.409997e-01 -8.200040e-01  6.674593e-01  1.675744e-01
-2.171252e-03  1.344047e-03  1.312144e-04  7.519790e+01  9.002006e+01  9.363938e-01  1.739484e+01  8.912228e+01
1  1.104153e+00  9.556150e-01  0.000000e+00  1.939172e+00  0.000000e+00  1.420000e+00 0 2 -1.000000e+00
 2.592907e+00  2.960385e+00  3.223728e+00  0.000000e+00  4.151130e-01  4.282759e-03 -1.785344e-01  3.848998e-02
3  2.159899e-01 -4.317700e-01  1.435302e+00  7.070931e-01  1.092094e-01  4.570000e+00 0 1 -1.000000e+00
-3.331639e-02 -1.128453e+00  2.061218e+00  0.000000e+00  2.397178e-01  2.644769e-01  1.514298e-01  1.013164e-02
-2.205766e-01  2.945807e-01 -2.251045e-01  7.218258e+01  9.218644e-01  6.590604e-01  2.003528e+00  5.189005e-01
-2.730238e-03  3.687919e-03  9.462454e-05  8.932086e+01  1.138810e+02  2.400461e+00  4.656471e+01  1.127745e+02
1 -3.861629e-01  2.377749e+00  0.000000e+00  1.982960e+00  0.000000e+00  2.820000e+00 0 2 -1.000000e+00
-4.750180e-01  4.597350e+00  3.594954e+00  0.000000e+00  4.007840e-01  2.503539e-01  1.349632e-01  5.529821e-03
1  2.527358e+00  7.342016e+00  0.000000e+00  6.391256e+00  0.000000e+00  1.820000e+00 0 2 -1.000000e+00
 1.679646e+00  1.528581e+01  3.068010e+00  0.000000e+00  3.671541e-01  2.481336e-01 -1.139273e-01  8.076396e-04
3  8.472467e-02  5.369266e-01  1.644250e+00  6.652877e-01  1.490635e-01  2.620000e+00 0 1 -1.000000e+00
-7.284146e-02 -3.507187e-01 -3.267142e-01  5.758245e+01  1.059469e+00  1.722942e+00 -3.094966e-01  5.143260e-01
 5.249070e-01  1.181030e+00  2.191778e+00  0.000000e+00  2.656108e-01  2.465642e-01 -1.492750e-01  2.926347e-02
-4.976402e-03 -1.299327e-02  8.264154e-04  6.367117e+01  4.047918e+01  1.095151e+01 -1.512034e+01  3.914235e+01
3  5.389045e-02  6.127515e-02  3.187615e-01  1.654498e-01  2.171366e-01  1.660000e+00 0 1 -1.000000e+00
 1.152044e-01  1.795520e-01  2.100704e+00  0.000000e+00  1.546789e-01  2.263977e-01 -4.327598e-01  8.027072e-02
-8.145591e-02 -7.131366e-02 -4.561399e-01  3.118441e+01  6.494909e-01 -1.461674e-01 -1.514530e+00  5.566276e-01
-1.082429e-03 -9.893251e-04  3.161278e-04  4.368773e+01  6.230586e+01 -6.076912e+00 -2.362629e+01  6.209646e+01
3  7.816133e-02 -8.130034e-01  1.936989e+00  9.849817e-01  1.928577e-01  3.100000e+00 0 1 -1.000000e+00
 1.893060e-01 -1.533712e+00  1.536871e+00  0.000000e+00  1.496361e-01  2.619261e-01  6.197290e-02  1.568943e-02
 2.875150e-03  3.942835e-01 -2.963974e-01  8.562577e+01  7.468088e-01  1.848169e+00  1.490859e-01  5.279798e-01
 8.475373e-04  1.738144e-02  1.119624e-03  9.323454e+01  3.159282e+01  5.271270e+00 -3.870089e+00  3.117385e+01
1  1.476719e+00  3.381686e+00  0.000000e+00  1.046446e+00  0.000000e+00  2.520000e+00 0 2 -1.000000e+00
 2.048780e+00  4.971440e+00  3.413865e+00  0.000000e+00  3.959320e-01  1.645338e-01 -2.119049e-01  2.141253e-04
3  4.876022e-01  3.847001e-01  1.610338e+00  6.149817e-01  6.867603e-02  4.440000e+00 0 2 -1.000000e+00
 1.047989e+00  8.263094e-01  3.253426e+00  0.000000e+00  3.626979e-01 -9.979742e-02 -2.980371e-01  3.551302e-03
-2.002896e-01 -1.910346e-01 -2.234324e-01  1.963543e+02  9.643976e-01 -3.360587e-01 -2.089009e+00  2.856464e-01
-3.147904e-03 -3.812891e-03  1.349923e-04  2.174148e+02  8.970317e+01  1.738836e+01 -1.257257e+01  8.818564e+01
3 -1.053683e+00  1.377565e+00  5.077496e+00  2.364343e+00  6.486048e-02  3.100000e+00 0 2 -1.000000e+00
