# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 11.00, 16.00, 10.00, 16.00, 100
1 -4.079237e-01  1.600052e+00  0.000000e+00  1.328314e+00  0.000000e+00  1.110000e+00 0 2  2.775434e-01
-3.874903e+00 -2.246651e+00  3.206358e+00  0.000000e+00  4.146383e-01 -5.025949e-02 -1.680537e-01  6.021630e-04
3 -6.093308e-04 -1.345118e-03  1.599001e-02  9.439731e-03  4.948760e-01  8.400000e-01 2 3 -1.000000e+00
-7.950440e-03 -8.913384e-03  3.309013e+01  0.000000e+00  6.892767e-01  5.161920e-02 -2.523171e-01  6.327009e-01
 1.621438e-03  3.895195e-03 -1.637551e+01  4.740386e-02  1.184424e+00  2.235806e-01 -2.123455e-01  1.116402e+00
 9.199053e-04  2.151948e-03  8.213024e+00  4.755016e-02  1.476291e+00  2.319957e-01 -2.264362e-01  1.401919e+00
3  5.891633e-02 -6.614402e-02  1.233872e+00  5.664664e-01  3.656808e-01  1.560000e+00 2 2 -1.000000e+00
 5.019758e-01 -5.113454e-01  4.916058e+00  0.000000e+00  4.406584e-01  2.338972e-02  3.300015e-01  1.923592e-02
-2.961436e-01  4.296351e-01 -1.344358e+01  1.820730e+01  5.506123e-01  2.098901e-01  4.819548e-01  4.913699e-02
-3.510908e-04  4.425440e-04  4.480174e-05  4.667267e+01  1.537651e+02  1.370832e+01  2.878713e+01  1.511996e+02
1 -2.893199e-02 -9.508280e-02  0.000000e+00  6.288838e-02  0.000000e+00  8.900000e-01 0 2 -1.000000e+00
-8.441729e-02 -1.739052e-01  4.012946e+00  0.000000e+00  4.160185e-01  1.933265e-01 -2.333790e-01  2.219515e-01
3 -2.610180e-01  1.404553e-01  1.289255e+00  6.336639e-01  6.407835e-01  1.090000e+00 2 1 -1.000000e+00
 3.722645e-01 -9.644171e-02 -1.593592e+00  2.021553e+01  7.376426e-01 -6.914265e-01  4.671981e-01  4.534782e-01
-7.552059e-01  5.288501e-01  2.486943e+00  0.000000e+00  2.799355e-01 -1.259502e-01  3.170637e-01  6.093812e-02
 2.636856e-02 -9.309746e-03  2.219270e-02  2.251812e+01  7.876172e+00 -1.487387e+00  9.771269e-02  7.392499e+00
3  1.209590e-02  1.847158e-01  8.749769e-01  4.173568e-01  2.745216e-01  1.020000e+00 5 2 -1.000000e+00
-6.894118e-02 -2.584059e-01 -9.558257e-01  6.609526e+01  8.621931e-01  9.225671e-01 -4.626840e-01  4.431026e-01
-9.054105e-02  6.163043e-01  3.481787e+00  0.000000e+00  3.712781e-01  3.172264e-01  8.631194e-02  4.562945e-02
-2.347687e-03 -1.044142e-02  4.898927e-03  7.778343e+01  1.627968e+01  4.053731e+00 -3.592971e+00  1.551406e+01
1 -2.572919e+00  1.720105e+00  0.000000e+00  3.331239e+00  0.000000e+00  1.040000e+00 0 2 -1.000000e+00
-4.786994e+00  5.084907e+00  3.671678e+00  0.000000e+00  4.430725e-01 -3.942773e-02  1.904171e-01  5.000563e-03
3 -5.262150e-01 -5.613773e-01  5.837948e+00  2.785933e+00  2.367568e-01  2.380000e+00 5 2 -1.000000e+00
-2.808768e+00 -3.041347e+00  3.304751e+00  0.000000e+00  4.164667e-01  3.999258e-02 -1.905704e-01  7.118166e-04
 1.410495e+00  9.934335e-01 -1.395842e+01  4.786701e+02  8.600157e-01 -1.293295e-01 -2.729667e-01  8.089528e-03
 5.189318e-02  5.816799e-02  4.073304e-02  5.143174e+02  6.163407e+00  1.251304e-01 -1.447417e+00  3.382139e+00
3  4.287337e-02 -2.579674e-02  4.733994e-01  2.212978e-01  4.148729e-01  1.030000e+00 2 2 -1.000000e+00
 2.395738e-01 -1.454405e-01  3.356352e+00  0.000000e+00  3.107254e-01 -1.789806e-01  3.809500e-01  8.496236e-02
-1.745922e-01  8.384866e-02 -8.090074e+00  9.368625e+00  4.543518e-01 -3.849353e-01  5.226519e-01  1.991035e-01
-1.769411e-03  9.889805e-04  3.025505e-03  1.665689e+01  1.919843e+01 -7.834794e-01  2.135476e-01  1.859136e+01
1  6.694004e-01 -1.069076e+00  0.000000e+00  1.782873e+00  0.000000e+00  1.140000e+00 0 2 -1.000000e+00
 1.997986e+00 -2.809267e+00  3.097604e+00  0.000000e+00  4.015187e-01  7.540697e-02  1.722307e-01  6.859367e-03
1 -4.530956e-01  1.579996e-04  0.000000e+00  4.823097e-01  0.000000e+00  8.100000e-01 0 2 -1.000000e+00
-8.094116e-01 -3.083646e-02  4.050316e+00  0.000000e+00  4.156798e-01 -3.068907e-01 -1.881181e-02  1.866619e-01
3  1.855078e-02  6.176367e-03  1.829931e-01  7.761190e-02  3.522699e-01  9.800000e-01 2 3 -1.000000e+00
 1.133129e-01  3.076706e-02  3.412352e+00  0.000000e+00  3.548749e-01 -3.052704e-01 -1.730414e-01  1.973826e-01
-4.430502e-02 -6.220096e-02 -9.686754e+00  8.228545e-01  6.692776e-01  1.075191e-01 -4.483868e-01  4.915506e-01
-3.429849e-03 -1.429054e-03  9.134394e-02  1.069468e+00  4.319038e+00  2.195458e-01 -1.420645e-01  3.989406e+00
3  1.478401e-01 -8.923197e-02  9.791977e-01  5.259158e-01  2.687869e-01  9.600000e-01 5 2 -1.000000e+00
 6.096544e-01 -2.158215e-01  4.389986e+00  0.000000e+00  3.568198e-01 -3.065851e-01  3.031422e-01  1.048898e-01
-2.832602e-01  1.860885e-01 -1.179971e+00  1.791950e+01  7.311066e-01 -3.195659e-01  9.042454e-01  4.129698e-01
-8.627702e-03  4.860198e-03  4.506787e-03  2.325607e+01  1.656202e+01 -2.582474e+00  3.690515e+00  1.592401e+01
5  1.833759e-01  1.179902e-02  3.509211e+00  1.447893e+00  1.000000e+00  8.100000e-01 2 2 -1.000000e+00
 1.619890e+00 -1.170588e+00  3.310750e+00  0.000000e+00  4.432332e-01 -2.149649e-02  8.649209e-02  2.628040e-02
-6.957525e-01 -4.470286e-01 -1.332485e+00  9.217687e+01  1.185812e+00 -2.660096e-01 -8.451286e-01  4.594350e-01
 7.366939e-01  9.280626e-01 -2.505291e+00  6.285473e+01  8.537298e-01  1.617996e-01 -6.279897e-01  1.941609e-01
-8.219364e-01  1.349738e+00  4.439057e+00  4.299056e+01  4.975259e-01  1.364564e-01  9.266502e-02  3.947366e-02
-3.109514e-02 -9.430266e-03  2.976372e-02  1.056016e+02  7.583925e+00 -1.965586e+00 -2.426230e+00  6.310302e+00
1 -3.887806e-01 -6.027649e-01  0.000000e+00  8.653932e-01  0.000000e+00  9.200000e-01 0 2 -1.000000e+00
-9.611546e-01 -1.557722e+00  5.054060e+00  0.000000e+00  4.691177e-01  1.023164e-01 -2.711212e-01  7.486661e-02
1 -4.828690e+00 -9.965919e-01  0.000000e+00  1.041063e+00  0.000000e+00  5.600000e-01 0 2  2.895508e-01
-2.037693e+00 -1.168229e+00  3.345805e+00  0.000000e+00  4.177103e-01 -1.426100e-01 -1.408616e-01  3.120653e-03
1  2.117803e+00 -2.567307e+00  0.000000e+00  1.320458e+00  0.000000e+00  8.700000e-01 0 2  2.732208e-01
 1.619687e+00  5.250864e+00  3.626895e+00  0.000000e+00  4.186816e-01  2.322306e-01 -9.100596e-02  6.697461e-04
3  4.162082e-02  9.773164e-02  6.051847e-01  2.792777e-01  5.905633e-01  7.700000e-01 1 2 -1.000000e+00
-6.069937e-02 -1.869758e-01 -1.990327e+00  4.550963e+00  8.235912e-01  5.742944e-01 -4.513713e-01  5.251933e-01
 1.681916e-01  3.732540e-01  3.370217e+00  0.000000e+00  3.434640e-01  2.190406e-01 -2.938433e-01  1.290436e-01
-5.163230e-03 -1.470253e-02  3.585680e-02  5.165321e+00  6.592694e+00  1.575298e+00 -9.528600e-01  5.996902e+00
1 -2.864050e+00  3.095589e-01  0.000000e+00  6.133356e-01  0.000000e+00  9.400000e-01 0 2  3.055435e-01
 1.174018e+00  7.033094e-01  4.323148e+00  0.000000e+00  4.320453e-01 -2.137318e-01 -2.134909e-01  3.557182e-03
1  1.128590e-01  5.757325e-02  0.000000e+00  4.345619e-01  0.000000e+00  8.700000e-01 0 2 -1.000000e+00
 2.981121e-01  3.341504e-01  5.028581e+00  0.000000e+00  4.243027e-01  7.812211e-02 -3.556137e-01  1.881612e-01
3 -1.191739e-01 -1.037916e-01  5.466573e-01  2.944848e-01  1.341181e-01  5.500000e-01 1 2 -1.000000e+00
-3.062944e-01 -2.450233e-01  3.265759e+00  0.000000e+00  2.597221e-01 -6.185179e-02 -4.878301e-01  1.472933e-01
 1.210961e-01  9.581614e-02 -4.379973e-01  8.599051e+00  1.138725e+00 -2.707125e-01 -1.493010e+00  9.871041e-01
 9.379807e-03  7.233183e-03  7.099246e-03  9.515027e+00  1.447913e+01 -1.994670e+00 -6.070272e+00  1.421855e+01
3  3.170828e-01 -5.264031e-01  2.329904e+00  1.552635e+00  1.518573e-01  2.430000e+00 5 2 -1.000000e+00
 7.105963e-01 -1.770312e+00  4.408564e+00  0.000000e+00  4.564079e-01  1.815731e-01  1.889243e-01  4.268640e-03
-3.082077e-01  3.250383e-01 -6.694728e-01  1.005762e+02  1.165600e+00  2.693266e-01  1.203578e+00  3.085777e-01
-2.014605e-02  1.762869e-02  3.812474e-03  1.061881e+02  1.903494e+01 -3.881391e+00  6.920770e+00  1.739610e+01
1  4.967286e+00 -2.824157e+00  0.000000e+00  3.102257e+00  0.000000e+00  5.300000e-01 0 2 -1.000000e+00
 8.953927e+00 -4.298210e+00  4.565387e+00  0.000000e+00  4.618858e-01 -1.525434e-01  2.173890e-01  2.780637e-03
