# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 11.00, 16.00, 10.00, 16.00, 100
1 -3.184600e+00  1.986554e+00  0.000000e+00  8.344701e-01  0.000000e+00  8.100000e-01 0 2  2.995122e-01
-3.765139e-01  1.983820e+00  3.767857e+00  0.000000e+00  4.755936e-01  3.190313e-02  9.263611e-02  1.358908e-02
1  1.573583e-01  1.142466e-01  0.000000e+00  3.399123e-01  0.000000e+00  6.200000e-01 0 2 -1.000000e+00
 4.777739e-01  3.417084e-01  4.603366e+00  0.000000e+00  4.517724e-01 -1.076107e-01 -2.678452e-01  1.788621e-01
1 -2.419176e+00 -4.802179e-01  0.000000e+00  2.418528e+00  0.000000e+00  1.980000e+00 0 2 -1.000000e+00
-4.429361e+00 -2.165482e+00  4.164263e+00  0.000000e+00  4.359498e-01 -2.331104e-01 -1.538623e-01  4.641042e-04
3 -1.011785e-03  9.054892e-02  5.163958e-01  2.485661e-01  1.178287e-01  1.010000e+00 4 2 -1.000000e+00
 1.712525e-02 -1.606454e-01 -1.328514e+00  5.063260e+00  9.700918e-01  8.665381e-01  5.222198e-02  3.771913e-01
-4.407751e-02  3.521107e-01  1.127496e+01  0.000000e+00  4.795353e-01  4.246838e-01  4.283827e-02  7.489712e-02
 1.971309e-03 -1.079708e-02  2.219199e-02  5.762451e+00  8.303751e+00  2.381911e+00  1.615539e+00  7.046727e+00
3 -2.854316e-01  3.430107e-01  5.599111e+00  2.972830e+00  3.083564e-01  1.440000e+00 1 2 -1.000000e+00
 1.155586e+00 -1.618169e+00 -5.558580e+00  2.207197e+02  9.941111e-01  1.651454e-01  3.907221e-01  1.166063e-01
-3.615074e+00  1.312844e+00  1.802648e+01  0.000000e+00  6.615510e-01 -1.753093e-01  1.683460e-01  2.385781e-02
 8.549734e-02 -9.817722e-02  1.018746e-01  2.555947e+02  4.519337e+00  2.175799e-01  1.588209e+00  2.759365e+00
1  8.054945e-02  1.005480e-01  0.000000e+00  3.475963e-01  0.000000e+00  9.500000e-01 0 2 -1.000000e+00
 1.853319e-01  4.850782e-01  3.935985e+00  0.000000e+00  4.578364e-01  1.113899e-01 -1.657336e-01  5.763633e-02
3  1.977044e-02  3.131386e-03  1.103076e+00  5.589105e-01  9.677160e-01  1.210000e+00 1 3 -1.000000e+00
 5.763209e-01 -1.799661e-03  2.208448e+01  0.000000e+00  4.006306e-01 -5.592971e-01 -3.390798e-02  2.302659e-01
-5.177887e-01 -1.421565e-01 -2.282124e+01  8.722706e-01  4.273447e-01 -5.050555e-01 -3.415727e-01  2.541367e-01
-7.764606e-04 -9.133228e-05  1.885146e-03  6.087147e+00  2.414420e+01 -2.255781e+00  3.198861e-01  2.365978e+01
3  3.323317e-01  3.142646e-01  1.878446e+00  7.355785e-01  1.169058e-01  7.400000e-01 1 2 -1.000000e+00
-2.662189e-01 -3.822795e-01 -6.136939e-01  7.827330e+01  1.283760e+00  2.660324e-01 -1.280322e+00  6.364945e-01
 1.184502e+00  8.110217e-01  5.249473e+00  0.000000e+00  4.598910e-01 -1.388644e-01 -2.862501e-01  2.280959e-02
-1.949527e-02 -3.071484e-02  7.719862e-03  8.416768e+01  1.478841e+01  4.481875e+00 -6.363730e+00  1.365638e+01
3 -1.795860e+00 -2.019843e+00  2.076458e+00  1.098065e+00  6.135551e-01  1.270000e+00 5 2  3.058264e-01
 7.214858e-01 -1.353436e+00  2.867196e+00  0.000000e+00  3.626922e-01  1.697349e-01  1.690518e-01  7.694489e-03
-1.513493e-01  5.306649e-01 -4.673087e+00  3.370097e+01  8.707114e-01  4.285184e-01  2.169765e-01  9.077437e-02
-2.285384e-02  5.998894e-02  1.059613e-01  3.542526e+01  4.149831e+00  5.505061e-01  4.254059e-01  2.178162e+00
3  2.917122e-02 -8.614787e-02  4.340061e-01  2.003808e-01  3.592480e-01  1.250000e+00 1 2 -1.000000e+00
 1.425188e-01 -2.680914e-01  3.147690e+00  0.000000e+00  3.242213e-01  2.168160e-01  3.032728e-01  9.340342e-02
-2.683153e-02  1.315106e-01 -1.130801e+00  7.099789e+00  8.690429e-01  8.723593e-01  3.747900e-01  5.501540e-01
-2.206477e-03  8.579460e-03  1.531441e-02  8.069895e+00  9.588761e+00  2.726541e+00  1.017253e+00  8.968266e+00
5 -2.481649e-01  1.877830e-01  3.457911e+00  1.600835e+00  1.000000e+00  9.800000e-01 4 2 -1.000000e+00
 6.310320e-01 -3.285239e-01 -2.259110e+00  1.842962e+02  1.153754e+00 -4.843213e-01  4.813787e-01  3.223237e-01
-2.909729e-01  2.288744e+00  5.348977e+00  0.000000e+00  5.499443e-01  9.225248e-02  8.418982e-02  3.715498e-02
-1.398608e+00 -9.869684e-01  2.266500e+01  7.897770e+01  6.516635e-01 -2.049782e-01 -1.876202e-01  4.569135e-02
-1.530739e+00 -4.921606e-01 -2.139802e+01  7.949428e+01  7.021476e-01 -3.494832e-01 -1.153727e-01  5.253760e-02
 7.392358e-02 -5.667971e-02  1.472539e-01  1.933689e+02  3.892602e+00 -4.133571e-01  1.185450e+00  2.663120e+00
3  1.587553e-01 -1.103462e-01  1.337430e+00  5.922038e-01  1.886331e-01  7.600000e-01 3 2 -1.000000e+00
