# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 11.00, 16.00, 10.00, 16.00, 100
1  4.411002e-03  2.617936e-02  0.000000e+00  8.813151e-02  0.000000e+00  1.180000e+00 0 2 -1.000000e+00
 1.874182e-02  1.391876e-01  1.150903e+01  0.000000e+00  6.359363e-01  2.061693e-01 -5.610966e-02  1.846518e-01
1  5.061471e+00 -3.329052e+00  0.000000e+00  1.248279e+00  0.000000e+00  5.400000e-01 0 2  2.790651e-01
 4.527768e+00  2.295230e+00  3.209185e+00  0.000000e+00  4.341443e-01 -6.608349e-02 -6.496229e-02  1.553896e-02
3 -1.602222e-02  2.036802e-02  2.302783e-01  1.112866e-01  3.311950e-01  9.800000e-01 2 2 -1.000000e+00
 5.716927e-02 -7.403813e-02 -2.154261e+00  6.041235e+00  5.875476e-01  1.798659e-01  7.758619e-01  4.340187e-01
-8.127139e-02  1.099789e-01  6.504509e+00  0.000000e+00  3.440874e-01  1.387987e-01  5.071654e-01  2.054381e-01
 1.050032e-03 -1.398813e-03  5.772758e-03  9.754529e+00  1.456388e+01  1.128914e+00  3.078459e+00  1.425724e+01
1  9.026217e-01  4.107189e+00  0.000000e+00  1.129598e+00  0.000000e+00  9.600000e-01 0 2  2.999793e-01
 5.317924e-01 -2.234086e+00  4.733701e+00  0.000000e+00  4.524295e-01  2.843536e-01  8.789381e-02  2.598816e-03
1  3.982608e-02  9.400807e-01  0.000000e+00  1.190743e+00  0.000000e+00  9.900000e-01 0 2 -1.000000e+00
 1.009766e+00  1.976108e+00  3.002277e+00  0.000000e+00  3.632737e-01  2.260594e-01 -1.457290e-01  4.389299e-02
1 -4.495033e-02 -1.078718e-01  0.000000e+00  1.062536e-01  0.000000e+00  8.400000e-01 0 2 -1.000000e+00
-7.222115e-02 -2.359598e-01  3.236198e+00  0.000000e+00  3.350506e-01  3.310311e-01 -1.535298e-01  2.178491e-01
5  1.199668e-01 -1.736425e-01  1.979799e+00  8.928922e-01  1.000000e+00  1.010000e+00 2 3 -1.000000e+00
 7.353915e-01 -1.053245e+00  3.308900e+00  0.000000e+00  4.188616e-01  6.263429e-02  1.777178e-01  2.307313e-02
 3.013947e-02  6.807274e-01 -1.108893e+01  2.460226e+01  7.226690e-01  4.014063e-01 -7.723687e-02  1.371075e-01
-6.230606e-01  2.853601e-01 -2.497754e+01  2.436673e+01  6.854756e-01 -2.776959e-01  2.486897e-01  1.052230e-01
-4.861884e-01  5.047497e-01  3.607777e+01  2.433411e+01  6.445251e-01 -1.193622e-02  3.138503e-01  9.128080e-02
-1.402060e-02  2.286042e-02  4.118032e-02  3.025175e+01  5.939340e+00  3.224131e-01  9.840715e-02  4.484601e+00
1 -6.841408e-01 -2.230419e+00  0.000000e+00  5.222988e+00  0.000000e+00  1.160000e+00 0 2 -1.000000e+00
 1.183001e-01 -1.016401e+01  3.371973e+00  0.000000e+00  4.519804e-01  4.521955e-02 -4.145437e-02  6.665738e-03
3 -3.791698e+00 -1.058355e+00  1.951428e+00  9.032295e-01  1.032015e-01  8.600000e-01 2 2  3.035511e-01
 7.687947e-01  1.607425e+00  3.940837e+00  0.000000e+00  4.089151e-01  2.010720e-01 -2.349430e-01  1.093427e-02
-5.531432e-02 -1.614490e-01 -4.067004e-01  1.154722e+02  3.569896e+00  2.379156e+00 -1.844666e+00  2.125939e+00
-3.373580e-02 -9.827517e-02  1.603206e-01  1.155061e+02  5.942463e+00  3.378840e+00 -2.602667e+00  4.253961e+00
1 -6.202995e+00 -5.810885e+00  0.000000e+00  5.644169e+00  0.000000e+00  1.130000e+00 0 2 -1.000000e+00
-1.098173e+01 -1.233928e+01  4.753073e+00  0.000000e+00  4.747810e-01  2.028277e-02 -2.550557e-01  4.095730e-04
1 -1.893423e+00 -2.308946e+00  0.000000e+00  6.315053e-01  0.000000e+00  7.200000e-01 0 2 -1.000000e+00
