# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 11.00, 16.00, 10.00, 16.00, 100
1 -3.797386e+00 -3.100888e+00  0.000000e+00  1.423545e+00  0.000000e+00  9.100000e-01 0 2  2.854110e-01
-1.765650e+00 -4.278085e+00  5.150048e+00  0.000000e+00  5.180217e-01 -1.180170e-01 -1.555704e-01  2.772707e-03
5 -3.928211e-01 -5.912179e-02  5.391694e+00  1.997332e+00  1.000000e+00  1.600000e+00 5 3 -1.000000e+00
 1.219055e+00 -1.435192e+00 -5.373752e+00  3.515111e+02  7.953944e-01  1.378916e-01  4.570985e-01  1.921343e-02
-3.180917e+00 -5.670133e-01  3.352847e+00  0.000000e+00  4.124229e-01 -2.085873e-01 -5.902765e-02  2.171386e-03
 2.119617e+00  4.202559e-01  1.002980e+01  3.255609e+02  5.919872e-01 -2.420992e-01 -9.033023e-02  6.628211e-03
 7.052772e-01  1.777381e+00 -5.495062e+00  3.493577e+02  8.107457e-01  3.848410e-01 -2.640003e-01  1.230300e-02
 1.428609e-02  1.140268e-03  2.607083e-03  4.924144e+02  2.071031e+01 -2.060534e+00  8.246325e-01  1.702049e+01
3 -6.014121e-01  3.198731e-01  2.220411e+00  1.194306e+00  6.981267e-02  1.980000e+00 5 2 -1.000000e+00
-1.591516e+00  1.110008e+00  5.537107e+00  0.000000e+00  4.864912e-01 -1.339986e-01  2.552174e-01  3.536400e-02
 2.451047e-01 -1.378091e-01 -3.865602e-01  1.346356e+02  2.844753e+00 -1.324399e+00  2.058155e+00  1.996368e+00
 1.015225e-01 -5.791919e-02  7.878621e-02  1.349690e+02  6.949594e+00 -2.435267e+00  4.095676e+00  5.918309e+00
1  1.690283e+00  2.424569e-02  0.000000e+00  6.985779e-01  0.000000e+00  1.450000e+00 0 2  2.990961e-01
 1.199836e+00  3.898592e-01  3.684124e+00  0.000000e+00  3.948202e-01 -2.629398e-01 -1.602196e-01  3.183427e-02
3  4.036003e-02  7.225860e-02  4.339264e-01  1.875756e-01  8.860192e-02  1.170000e+00 3 2 -1.000000e+00
-7.547780e-02 -1.261530e-01 -6.808149e-01  1.330870e+01  1.024863e+00  6.435186e-01 -1.027293e+00  8.550572e-01
 1.915594e-01  2.158752e-01  7.683974e+00  0.000000e+00  3.738237e-01  8.055657e-02 -5.054368e-01  2.325241e-01
-3.941517e-03 -6.265754e-03  7.399130e-03  1.612164e+01  1.443309e+01  2.619997e+00 -6.199400e+00  1.414116e+01
3  3.794839e-02 -5.425717e-02  5.081174e-01  2.712486e-01  4.345298e-01  1.030000e+00 2 3 -1.000000e+00
 1.145264e-01 -2.938117e-01  3.612888e+00  0.000000e+00  3.025932e-01  3.623947e-01  2.797489e-01  1.168950e-01
-1.504221e-01  1.397613e-01 -1.569908e+00  8.215871e+00  6.200407e-01 -5.128472e-02  8.824506e-01  4.033484e-01
-1.952353e-03  2.240113e-03  2.251457e-03  1.304381e+01  2.319423e+01 -6.849593e-01  6.925176e+00  2.272446e+01
1 -8.823935e+00 -2.487294e+00  0.000000e+00  3.659075e+00  0.000000e+00  7.700000e-01 0 2 -1.000000e+00
-1.402169e+01 -8.916924e+00  3.421393e+00  0.000000e+00  4.306448e-01 -1.553506e-01 -8.805057e-02  7.198739e-03
1 -3.552290e-02 -1.106049e-01  0.000000e+00  6.195134e-02  0.000000e+00  9.200000e-01 0 2 -1.000000e+00
-8.887683e-02 -1.859318e-01  5.426099e+00  0.000000e+00  4.136717e-01  2.055116e-01 -3.424200e-01  3.255801e-01
3 -2.174359e-02  1.944460e-02  2.371901e-01  1.238872e-01  3.499011e-01  9.300000e-01 1 2 -1.000000e+00
 5.941667e-02 -6.336937e-02 -2.349589e+00  1.187048e+00  8.714182e-01  7.832583e-02  6.603065e-01  6.011786e-01
-1.432750e-01  5.981837e-02  6.715009e+00  0.000000e+00  4.506266e-01 -2.592685e-01  2.926959e-01  2.275654e-01
 4.576609e-03 -4.238955e-03  6.244956e-02  1.418156e+00  5.263199e+00 -4.858145e-02  1.469553e+00  4.773783e+00
1 -9.421410e-01 -7.789856e-01  0.000000e+00  1.732382e+00  0.000000e+00  7.400000e-01 0 2 -1.000000e+00
-2.284273e+00 -1.585821e+00  4.347319e+00  0.000000e+00  4.499561e-01 -4.495753e-02 -2.655188e-01  2.881125e-02
3 -3.412485e-01  8.841728e-02  1.035567e+00  5.571082e-01  8.182204e-02  9.800000e-01 1 2 -1.000000e+00
-8.407750e-01  1.257651e-01  5.170734e+00  0.000000e+00  3.958205e-01 -4.056855e-01  8.399990e-02  4.893637e-02
 1.740983e-01 -8.022489e-02 -4.230800e-01  1.719373e+01  2.005027e+00 -1.336072e+00  1.260401e+00  1.433032e+00
 5.035824e-02 -2.449534e-02  5.638200e-02  1.736593e+01  6.662276e+00 -2.127876e+00  3.130073e+00  5.894498e+00
