# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 11.00, 16.00, 10.00, 16.00, 100
5 -2.195972e+00 -2.314843e+00  1.339599e+00  6.545667e-01  1.000000e+00  8.000000e-01 4 3  2.954194e-01
-7.527696e-02 -7.519523e-01  1.458701e+01  0.000000e+00  5.854910e-01  3.081382e-01 -9.118370e-02  7.212069e-02
 7.272099e-01  2.800362e-02  2.109654e+01  5.328179e-01  5.841921e-01 -3.506905e-01 -5.011289e-02  7.229245e-02
-4.119922e-01  4.326154e-01 -5.297415e+00  8.283332e+00  7.908677e-01  4.574778e-03  4.821687e-01  2.008564e-01
 5.743257e-01 -4.738632e-01 -2.361325e+01  8.470024e-01  6.602761e-01 -1.015841e-01  3.839819e-01  1.264723e-01
-4.697291e-03  5.261740e-03  1.580432e-02  1.655580e+01  9.460396e+00  3.845654e-01  2.855972e+00  7.725793e+00
5 -7.849234e-01 -1.432572e+00  6.094841e-01  3.398306e-01  1.000000e+00  5.900000e-01 2 3  3.187990e-01
-2.808886e-01 -2.509334e-02 -6.634530e+00  7.694238e-01  6.742275e-01 -4.952450e-01 -1.076417e-01  2.725195e-01
 2.861530e-01  8.512085e-02 -1.055429e+01  4.232391e-01  6.292269e-01 -3.912263e-01 -2.813589e-01  2.334951e-01
 1.199704e-01 -2.935954e-01  8.648987e+00  0.000000e+00  4.958281e-01  2.786112e-01  2.468696e-01  1.403980e-01
 6.456476e-03  3.052246e-01  1.130719e+01  2.032112e-01  5.120604e-01  3.857802e-01 -2.862610e-02  1.401901e-01
-8.448823e-04  2.028078e-04  1.012884e-02  2.451163e+00  1.120658e+01 -2.277345e+00  5.098820e-01  9.562781e+00
1  2.573744e+00  1.331714e+00  0.000000e+00  3.231398e+00  0.000000e+00  2.170000e+00 0 2 -1.000000e+00
 5.370237e+00  3.243085e+00  4.571041e+00  0.000000e+00  4.278718e-01 -1.995103e-01 -2.622171e-01  1.432285e-03
3 -1.454322e-01  1.461869e-01  1.035444e+00  6.022618e-01  6.747261e-01  6.500000e-01 4 3 -1.000000e+00
-4.345959e-01  7.015518e-01  3.217707e+00  0.000000e+00  3.791451e-01  8.287518e-02  2.604077e-01  1.578687e-01
 1.929840e-01 -1.220309e-01 -4.768909e+00  8.628829e+00  1.231516e+00 -2.828495e-01  4.281209e-01  9.060246e-01
 9.553794e-02 -6.983367e-02  1.849079e+00  8.652900e+00  1.893788e+00 -2.804814e-01  4.235288e-01  1.524122e+00
3 -2.201643e-02  1.194736e-01  2.380225e-01  1.511036e-01  9.001508e-01  7.300000e-01 1 3 -1.000000e+00
-1.684258e-01  2.607708e-01  1.201701e+01  1.225069e-01  4.574340e-01  1.768714e-01  4.241214e-01  3.488803e-01
-1.228611e-01  2.850259e-01 -1.335000e+01  1.263235e-01  5.365430e-01  3.776636e-01  3.834956e-01  4.268766e-01
 6.674291e-02  2.975185e-01  4.189992e+00  0.000000e+00  3.566434e-01  3.436971e-01 -2.389899e-01  2.464425e-01
1 -6.582662e-02 -8.889908e-02  0.000000e+00  4.933316e-01  0.000000e+00  3.600000e-01 0 2 -1.000000e+00
-1.518064e-01 -5.086361e-01  3.091320e+00  0.000000e+00  3.870878e-01  1.811792e-01 -1.391009e-01  1.471049e-01
