# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 11.00, 16.00, 10.00, 16.00, 100
1  1.987710e+00  1.704638e-01  0.000000e+00  3.072371e+00  0.000000e+00  6.900000e-01 0 2 -1.000000e+00
 5.195287e+00  8.456229e-01  3.779731e+00  0.000000e+00  4.332496e-01 -2.282128e-01 -6.749750e-02  1.512202e-02
5  1.063932e-02  1.085659e-02  4.058901e-01  1.907432e-01  1.000000e+00  1.000000e+00 3 2 -1.000000e+00
 1.647351e-01  1.445888e-01  4.850276e+00  0.000000e+00  3.246486e-01 -8.867798e-02 -4.919979e-01  1.883339e-01
 2.090896e-02 -1.929298e-01 -7.578394e+00  1.019471e+00  4.789599e-01  6.220170e-01  1.285757e-01  3.316238e-01
-1.897120e-01  3.564479e-02 -1.866564e+01  9.070696e-01  4.247530e-01 -5.854115e-01  2.043937e-01  2.749002e-01
-1.794453e-01 -7.055449e-02  2.376216e+01  8.956004e-01  3.856682e-01 -4.310565e-01 -3.866654e-01  2.408635e-01
-4.716771e-04 -5.458286e-04  3.358211e-03  3.375647e+00  1.830270e+01  1.128919e+00 -5.756724e-01  1.785726e+01
1 -6.576187e+00 -1.253032e+00  0.000000e+00  1.778094e+00  0.000000e+00  7.600000e-01 0 2  2.920963e-01
-4.685466e+00  3.165088e+00  3.017666e+00  0.000000e+00  4.071313e-01 -1.361494e-01  3.968285e-02  3.722415e-03
5  2.562438e-02 -5.888564e-03  7.934347e-01  4.799323e-01  1.000000e+00  5.900000e-01 1 3 -1.000000e+00
 1.658421e-01 -3.794580e-01  3.103644e+00  0.000000e+00  2.736321e-01  3.029957e-01  3.370489e-01  1.275528e-01
-3.396861e-01 -6.322916e-02 -1.603810e+00  5.132151e+00  7.111972e-01 -7.971957e-01 -2.672104e-01  5.378210e-01
 3.679131e-01  1.230280e-01 -2.436192e+00  2.872401e+00  6.118957e-01 -6.064835e-01 -4.396355e-01  4.483543e-01
 1.424208e-02  3.993591e-01  3.540993e+00  1.155109e+00  2.931588e-01  4.659861e-01  8.653354e-03  1.480139e-01
-1.665541e-03  3.548409e-05  3.492808e-03  1.126606e+01  1.912578e+01 -6.094949e+00 -2.256720e+00  1.858633e+01
1  7.274076e-01 -8.791007e-01  0.000000e+00  1.552503e+00  0.000000e+00  8.000000e-01 0 2 -1.000000e+00
 2.301044e+00 -3.033778e+00  5.825547e+00  0.000000e+00  5.619777e-01  4.344939e-02  1.353439e-01  7.266844e-02
5  1.389003e-02  1.931948e-03  3.280989e-01  1.651792e-01  1.000000e+00  1.030000e+00 2 3 -1.000000e+00
-1.288369e-01 -1.018095e-01 -3.004241e+00  2.479046e+00  6.029622e-01 -1.921894e-01 -6.734724e-01  4.841973e-01
 1.708623e-01 -6.708515e-02  4.745939e+00  0.000000e+00  3.002966e-01 -3.406529e-01  4.035269e-01  1.858085e-01
 5.216503e-02  1.718458e-01 -1.530626e+01  1.122423e+00  4.572002e-01  5.408194e-01 -2.597666e-01  3.407342e-01
-1.646589e-02  1.733007e-01  1.770002e+01  1.106435e+00  3.770613e-01  5.387816e-01  2.031499e-01  2.589931e-01
-8.466171e-04 -2.996939e-04  4.451028e-03  6.386939e+00  1.663727e+01 -1.374095e+00 -4.238964e+00  1.631545e+01
3  8.100666e-01 -4.621667e-01  1.396003e+00  7.425082e-01  2.195882e-01  1.040000e+00 3 2  2.861014e-01
 8.682271e-01 -3.662388e-01  1.573123e+01  0.000000e+00  5.343487e-01 -1.338286e-01  3.679038e-01  1.052740e-02
-4.257201e-01  1.577113e-01 -3.454392e+00  1.082838e+02  7.289651e-01 -3.780342e-01  4.690806e-01  7.860450e-02
-6.286809e-03  1.560300e-03  1.491578e-03  1.397130e+02  2.909361e+01 -1.082001e+01 -1.321713e+00  2.697503e+01
1 -3.581025e+00  7.079132e+00  0.000000e+00  2.444866e+00  0.000000e+00  7.400000e-01 0 2 -1.000000e+00
-7.073145e+00  1.083171e+01  3.333962e+00  0.000000e+00  4.100580e-01  1.238196e-01  1.809886e-01  5.389944e-03
3 -1.173001e-01 -7.245575e-02  1.333657e+00  9.745161e-01  4.096729e-01  7.100000e-01 3 2 -1.000000e+00
-4.233914e-01 -7.314370e-01  3.472793e+00  0.000000e+00  2.919630e-01  2.566158e-01 -3.840730e-01  7.161736e-02
 6.045683e-01  1.182327e-01 -1.422709e+00  3.345403e+01  6.509038e-01 -8.182822e-01 -3.939121e-01  3.904930e-01
 4.763949e-03  1.690673e-03  1.342616e-03  6.181288e+01  3.026669e+01 -1.016125e+01 -2.910994e+00  2.961700e+01
1 -5.951565e-03  1.114838e-02  0.000000e+00  4.820883e-03  0.000000e+00  8.900000e-01 0 2 -1.000000e+00
-1.059264e-02  2.334433e-02  3.650193e+00  0.000000e+00  4.465655e-01  1.041982e-01  1.465412e-01  3.927390e-01
5 -3.293243e-02  2.344860e-02  5.035217e-01  2.493160e-01  1.000000e+00  1.190000e+00 1 2 -1.000000e+00
-2.174988e-01  1.922772e-01  2.404184e+00  0.000000e+00  1.859738e-01 -3.772032e-02  4.952517e-01  6.319104e-02
 6.256178e-02 -2.261725e-01  1.439834e+01  6.380678e+00  2.599756e-01  5.591308e-01  4.068862e-01  1.225271e-01
 2.246421e-01  7.797450e-02 -2.337902e+00  7.575801e+00  4.526668e-01 -7.211571e-01 -4.552362e-01  3.214185e-01
-3.743922e-02 -2.378626e-01 -1.101766e+01  6.410664e+00  3.216156e-01  7.325294e-01 -1.198727e-01  1.827197e-01
 6.283319e-04 -2.870896e-04  6.017352e-04  1.869435e+01  4.270736e+01 -4.673600e+00 -7.470004e+00  4.232825e+01
3  7.630209e+00 -1.512763e+00  5.835189e+00  2.473579e+00  1.461589e-01  9.100000e-01 5 2  2.851400e-01
 4.117045e+00  1.184274e+00  3.011138e+00  0.000000e+00  4.055077e-01 -1.365384e-01 -5.174920e-02  7.918329e-03
-1.299798e+00 -9.853420e-01 -2.060181e+01  2.243862e+02  8.075607e-01 -7.725483e-03 -2.924254e-01  8.020715e-02
-1.681238e-01 -4.430954e-02  1.571945e-01  2.380521e+02  3.574526e+00 -4.396631e-01 -2.708046e-01  2.052188e+00
