# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 11.00, 16.00, 10.00, 16.00, 100
1 -1.144151e+00  1.479268e+00  0.000000e+00  1.591478e+00  0.000000e+00  5.900000e-01 0 2 -1.000000e+00
-3.305769e+00  3.308081e+00  3.456078e+00  0.000000e+00  4.412271e-01  3.054283e-02  1.481519e-01  4.484005e-02
3 -5.533351e-02  6.137793e-03  2.316092e-01  9.848944e-02  8.361136e-01  1.050000e+00 5 1 -1.000000e+00
 6.710566e-02 -1.316298e-02 -1.790132e+00  1.208154e+01  7.157916e-01 -7.421904e-01  2.975664e-01  5.633457e-01
-1.633491e-01  9.933046e-03  2.141016e+00  0.000000e+00  2.176997e-01 -3.770407e-01  5.259323e-02  1.045046e-01
 6.725814e-03 -9.553033e-04  4.033282e-02  1.319823e+01  6.048126e+00 -7.466583e-01  3.638363e-01  5.798361e+00
1  4.309399e+00 -9.250638e-02  0.000000e+00  2.931423e+00  0.000000e+00  1.120000e+00 0 2  2.826619e-01
 4.869735e+00  1.576268e+00  4.931334e+00  0.000000e+00  4.898710e-01 -2.347447e-01 -4.839041e-02  3.808784e-03
3  5.076914e-02  2.566970e-02  4.430074e-01  2.356966e-01  9.286996e-01  9.400000e-01 4 3 -1.000000e+00
-1.547971e-01 -5.045766e-02 -3.709760e+00  1.527295e+00  7.511582e-01 -4.452234e-01 -3.650446e-01  6.007231e-01
 2.467448e-01  1.366775e-01  3.994575e+00  0.000000e+00  3.697119e-01 -1.648683e-01 -3.460375e-01  2.417569e-01
-1.081282e-02 -4.294277e-03  6.953519e-02  1.833731e+00  4.936433e+00 -9.252125e-01 -5.082127e-01  4.667753e+00
1 -1.184181e-01  1.728498e-01  0.000000e+00  2.102594e-01  0.000000e+00  9.300000e-01 0 2 -1.000000e+00
-2.702471e-01  3.774437e-01  4.372267e+00  0.000000e+00  4.022899e-01  7.543328e-02  3.505037e-01  1.516408e-01
3  4.758438e-02 -7.728866e-02  1.061078e+00  4.497618e-01  6.824997e-01  9.400000e-01 4 2 -1.000000e+00
