# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 11.00, 16.00, 10.00, 16.00, 100
5  8.382200e-04 -3.750324e-02  1.089208e+00  5.069255e-01  1.000000e+00  1.390000e+00 5 3 -1.000000e+00
-4.624067e-01 -3.585161e-01  1.572594e+01  6.529123e-02  5.018685e-01 -1.193136e-01 -4.126864e-01  1.510003e-01
 4.729562e-01 -3.533275e-01  1.400556e+01  0.000000e+00  5.046929e-01 -1.320724e-01  3.955829e-01  1.432407e-01
-2.606304e-03  5.025653e-01 -5.343873e+00  2.401420e+00  6.732830e-01  5.420957e-01  2.550320e-03  2.571314e-01
-2.749394e-02 -5.863583e-01 -2.128900e+01  2.157395e-01  5.750911e-01  4.743198e-01 -5.040690e-02  1.936804e-01
-5.872351e-05  3.870849e-03  1.129406e-02  6.238612e+00  1.067953e+01  2.269572e+00  1.750129e-02  9.117031e+00
3 -3.298860e+00  3.560914e+00  1.163523e+00  7.669333e-01  8.487744e-01  1.010000e+00 1 3  3.342307e-01
-1.271123e-01 -7.002386e-01  3.924132e+00  0.000000e+00  3.252698e-01  4.228086e-01 -1.471744e-01  3.758140e-02
 3.398992e-01  3.654470e-01 -3.330703e+00  5.905618e+00  5.096502e-01  1.482460e-01 -7.202104e-01  1.473707e-01
 1.710621e-03  2.531858e-03  1.002149e-03  1.105588e+01  3.337697e+01 -5.089527e+00 -4.950681e+00  3.186762e+01
5 -4.278912e-02 -2.057223e-02  6.966817e-01  4.453467e-01  1.000000e+00  1.750000e+00 5 3 -1.000000e+00
-1.597834e-01 -3.489946e-01  5.856760e+00  0.000000e+00  3.383382e-01  3.789023e-01 -3.514066e-01  6.872756e-02
 2.956291e-01  1.018588e-01 -1.639557e+00  2.537145e+01  6.128237e-01 -6.714368e-01 -5.558766e-01  3.159744e-01
-3.877801e-01 -3.348228e-02 -1.113422e+01  2.848157e+00  4.552204e-01 -6.167535e-01 -7.882328e-02  1.780184e-01
-3.614749e-01  1.256051e-01  1.146028e+01  2.610420e+00  3.753362e-01 -3.875098e-01  3.908749e-01  1.031274e-01
