# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
1  1.703382e+00 -8.198364e-01  0.000000e+00  1.890113e+00  0.000000e+00  2.970000e+00 0 2 -1.000000e+00
 3.254855e+00 -2.620628e+00  3.632187e+00  0.000000e+00  4.285561e-01 -1.207170e-01  1.914664e-01  3.663411e-03
1 -8.312782e-01 -1.890303e-01  0.000000e+00  4.638484e-01  0.000000e+00  3.390000e+00 0 2  2.790281e-01
-7.693490e-01  1.346509e-01  3.312700e+00  0.000000e+00  3.349399e-01 -3.709817e-01  5.299946e-02  4.198690e-03
3 -7.406100e-01  7.459377e-01  1.976687e+00  8.471794e-01  4.025220e-01  3.400000e+00 0 3  2.741695e-01
-3.442144e-01 -2.736555e-01 -6.000210e+00  1.703893e+02  1.034622e+00 -1.700776e-01 -3.727373e-01  1.087328e-01
 8.759137e-01  1.281523e+00  2.415217e+00  0.000000e+00  3.471952e-01  7.691608e-02 -7.871772e-02  3.616398e-03
-5.551972e-02 -5.838841e-02  2.090194e-01  1.734244e+02  3.583557e+00 -1.294206e-01 -1.368857e+00  1.730929e+00
1  8.101123e-02 -1.025129e-01  0.000000e+00  3.154779e-02  0.000000e+00  5.040000e+00 0 2  3.013054e-01
-6.211819e-02 -6.962491e-02  3.436052e+00  0.000000e+00  4.306259e-01 -2.321924e-02 -1.805990e-01  1.974801e-03
3  1.713681e-02  9.839799e-03  1.190735e-01  5.797588e-02  5.313983e-01  2.940000e+00 0 3 -1.000000e+00
-4.058999e-02 -7.405281e-03 -4.449157e+00  3.302119e-01  5.918975e-01 -5.844659e-01 -2.229551e-01  3.270034e-01
 6.548060e-02  4.670143e-02  2.364275e+00  0.000000e+00  2.852137e-01 -1.178579e-01 -2.721512e-01  7.525437e-02
-1.638132e-03 -8.547998e-04  2.231102e-02  4.029281e-01  7.704482e+00 -3.582931e-01 -2.830976e-02  7.228028e+00
3  1.925045e-01  4.633077e-02  4.343967e-01  1.856124e-01  5.944295e-01  2.490000e+00 0 1  2.831186e-01
 6.102139e-02 -5.711166e-02 -1.163128e+00  1.370784e+01  9.866139e-01 -9.333798e-02  9.226148e-01  3.023235e-01
-2.826496e-01  2.085775e-01  1.956713e+00  0.000000e+00  2.690235e-01 -9.822175e-02  1.166957e-01  7.465775e-03
 4.491464e-03 -4.019654e-03  6.655883e-03  1.432380e+01  1.411748e+01  4.188918e-01  4.652925e+00  1.253865e+01
1 -1.543119e-02 -3.577615e-01  0.000000e+00  3.477851e-01  0.000000e+00  2.200000e+00 0 2 -1.000000e+00
-3.597731e-02 -7.008693e-01  3.480429e+00  0.000000e+00  3.777473e-01  3.116981e-01 -5.217118e-02  8.548621e-02
1 -1.250606e+01  6.542589e+00  0.000000e+00  1.615495e+01  0.000000e+00  3.190000e+00 0 2 -1.000000e+00
-3.303201e+01  1.406219e+01  5.698388e+00  0.000000e+00  5.098035e-01 -1.376173e-01  2.141633e-01  1.414203e-03
3  2.832816e-01  5.926990e-02  1.328515e+00  5.901346e-01  6.619252e-01  2.500000e+00 0 1 -1.000000e+00
-2.825207e-01 -1.618745e-01 -1.550736e+00  1.090499e+02  7.753621e-01 -4.172557e-01 -7.219522e-01  1.135182e-01
 1.025708e+00  6.940403e-02  2.342766e+00  0.000000e+00  3.284524e-01 -1.494371e-01 -4.241324e-02  3.065453e-03
-4.038657e-03 -1.964365e-03  4.989111e-04  1.262625e+02  4.739952e+01  2.120113e+00 -1.200232e+01  4.543902e+01
1  6.696234e-02 -1.310017e-01  0.000000e+00  4.282791e-02  0.000000e+00  1.690000e+00 0 2  2.940512e-01
 8.375737e-02 -9.686682e-02  3.320344e+00  0.000000e+00  3.984234e-01  6.439145e-02  2.378541e-01  2.916687e-03
1  3.316889e+00  2.248692e+00  0.000000e+00  1.147786e+00  0.000000e+00  3.810000e+00 0 2  2.825236e-01
-8.161936e-01  2.866694e+00  3.200636e+00  0.000000e+00  3.926057e-01  1.780562e-01  1.574355e-01  1.652350e-03
3 -8.858344e-02 -9.076912e-02  5.894902e-01  3.048709e-01  2.136986e-01  2.790000e+00 0 3 -1.000000e+00
-2.882534e-01 -2.701788e-01  4.312861e+00  0.000000e+00  3.369985e-01 -7.703930e-02 -4.491897e-01  2.176990e-02
 1.127414e-01  1.619114e-01 -9.216525e-01  2.502032e+01  6.040661e-01  1.912965e-01 -1.097806e+00  1.810678e-01
 8.320977e-04  1.554325e-03  2.656722e-04  3.575646e+01  6.626804e+01  2.090840e+01 -7.662785e+00  6.510356e+01
3 -3.415956e-02  9.262947e-02  5.910211e-01  3.075433e-01  2.588869e-01  4.750000e+00 0 2 -1.000000e+00
 6.024421e-02 -1.817527e-01 -1.209360e+00  2.818193e+01  9.528735e-01  7.992012e-01  4.363276e-01  5.419136e-01
-3.026329e-01  2.847514e-01  4.671385e+00  0.000000e+00  4.188768e-01  4.188232e-02  3.491142e-01  1.242800e-01
 4.980368e-03 -1.134120e-02  1.979292e-02  3.259303e+01  8.820171e+00  2.041354e+00  2.542601e+00  8.040520e+00
3  2.212820e-01 -8.026556e-02  1.497429e+00  8.028882e-01  7.251590e-01  4.660000e+00 0 1 -1.000000e+00
