# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
5 -3.740775e-01 -1.033828e-01  7.461636e+00  3.688040e+00  1.000000e+00  2.580000e+00 0 2 -1.000000e+00
-2.633095e+00 -3.648195e+00  6.561748e+00  0.000000e+00  5.448793e-01  6.923494e-02 -2.234791e-01  7.147704e-03
 2.620858e+00 -2.793080e-01 -4.403162e+00  2.754070e+02  9.311484e-01 -4.610428e-01  1.388871e-01  1.722120e-02
-2.823271e+00  2.408697e+00 -1.641945e+01  1.256141e+02  7.326623e-01 -8.184903e-02  3.545046e-01  5.420083e-03
-1.162331e+00  3.667053e+00  1.734992e+01  1.203410e+02  6.331845e-01  2.068641e-01  1.847261e-01  5.733072e-03
 2.058184e-02  7.354833e-03  4.060666e-03  3.872482e+02  1.728486e+01 -2.878795e+00 -3.262547e+00  1.401024e+01
1 -3.303114e+01  3.909684e+01  0.000000e+00  2.561346e+01  0.000000e+00  1.480000e+00 0 2  2.781482e-01
-2.568637e+00  5.156711e+01  3.553690e+00  0.000000e+00  3.979951e-01  2.679322e-01  9.604483e-02  1.530618e-04
1 -6.620457e-01 -6.281782e-01  0.000000e+00  1.743172e+00  0.000000e+00  1.080000e+00 0 2 -1.000000e+00
-1.833073e+00 -3.077003e+00  3.898959e+00  0.000000e+00  4.817489e-01  2.742598e-02 -1.065519e-01  3.110546e-02
1  3.391803e-01  3.574588e-01  0.000000e+00  7.090064e-01  0.000000e+00  2.390000e+00 0 2 -1.000000e+00
 9.707971e-01  6.844567e-01  3.989464e+00  0.000000e+00  3.937311e-01 -2.080468e-02 -3.412754e-01  1.472330e-02
3  1.397259e-01 -2.497964e-01  6.378608e-01  2.601998e-01  1.464908e-01  2.930000e+00 0 1 -1.000000e+00
 2.470828e-01 -4.998076e-01  1.467741e+00  0.000000e+00  1.653399e-01  3.696033e-02  1.182039e-01  1.539094e-02
-3.333205e-02  7.310945e-02 -2.150106e-01  2.072519e+01  1.685454e+00  1.338438e+00  1.824655e+00  1.390125e+00
-6.597951e-03  1.543431e-02  1.231234e-02  2.095347e+01  1.114027e+01  3.513452e+00  3.043254e+00  1.072537e+01
3 -1.205279e-01 -3.864107e-01  1.162874e+00  5.761870e-01  1.594582e-01  2.000000e+00 0 1 -1.000000e+00
-8.779530e-02 -8.699025e-01  2.213393e+00  0.000000e+00  2.233068e-01  3.652050e-01 -1.344715e-01  2.275000e-02
 1.152114e-01  2.751147e-01 -3.529437e-01  3.414217e+01  6.971160e-01  1.177843e+00 -1.240055e+00  3.658172e-01
 1.826855e-03  5.403086e-03  3.691373e-04  4.083040e+01  5.380460e+01  6.386507e+00 -6.206420e+00  5.305914e+01
5 -3.440800e-01 -4.147428e-01  1.818860e+00  9.943312e-01  1.000000e+00  2.320000e+00 0 3 -1.000000e+00
-4.944483e-01 -1.376233e+00  1.573672e+01  0.000000e+00  5.484966e-01  2.482422e-01 -2.805093e-01  9.696152e-03
-9.575967e-01 -1.071459e+00 -3.511837e+01  5.130732e-01  5.988994e-01  4.624080e-02 -4.326876e-01  8.764034e-03
-1.202051e+00 -8.040275e-01  2.358925e+01  3.506076e-01  5.582542e-01 -1.129974e-01 -3.741373e-01  6.498746e-03
 2.284856e-01  2.927850e-01 -2.520790e-01  1.565883e+02  1.352032e+00  3.916785e-01 -1.984320e+00  3.578140e-01
 2.739096e-03  3.917454e-03  8.869506e-05  1.815570e+02  1.163176e+02  2.043799e+01 -4.007319e+01  1.139961e+02
