# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  1.562555e+00 -3.462328e+00  3.328766e+00  1.505117e+00  1.273593e-01  1.780000e+00 0 1  2.837116e-01
-2.057930e+00 -2.363344e+00  2.759542e+00  0.000000e+00  3.892131e-01  2.338132e-02 -1.006725e-01  1.444476e-03
 1.569177e-01  1.216380e-01 -3.514532e-01  2.461728e+02  2.939845e+00 -7.699218e-01 -2.452662e+00  1.433396e+00
 6.358314e-02  5.137332e-02  5.581744e-02  2.463482e+02  7.496083e+00 -1.244135e+00 -4.768193e+00  5.600163e+00
3  3.853775e-01 -1.008722e+00  1.786389e+00  7.030792e-01  3.297762e-03  4.150000e+00 0 2 -1.000000e+00
 1.559082e-01 -1.670407e+00  4.583344e+00  0.000000e+00  4.173501e-01  2.786069e-01  2.089924e-01  1.737515e-03
-2.288284e-03  5.717535e-03  5.923045e-05  3.139444e+02  1.432232e+02  4.111235e+01  4.066943e+01  1.414373e+02
-4.068642e-02  1.051317e-01 -1.511478e-02  3.069884e+02  3.706319e+00  6.412274e+00  5.689229e+00  2.646917e+00
1 -8.756075e-01  5.787373e-01  0.000000e+00  1.203033e+00  0.000000e+00  2.900000e+00 0 2 -1.000000e+00
-1.822066e+00  1.444872e+00  3.584939e+00  0.000000e+00  3.982831e-01 -1.005955e-01  2.701833e-01  5.852764e-03
3  3.529119e+00  1.241569e+00  3.036680e+01  1.286399e+01  9.641679e-01  2.150000e+00 0 3 -1.000000e+00
 1.023738e+01 -1.179765e+01  9.275654e+00  1.794883e+03  5.685501e-01 -9.176051e-02  2.644237e-01  2.607154e-03
 1.334961e+01 -4.899973e+00 -8.943288e+00  1.865040e+03  7.089147e-01 -3.872799e-01  2.157792e-01  3.655715e-03
 7.527454e+00  1.844799e+01  3.478483e+00  0.000000e+00  4.434146e-01  4.903681e-02 -1.410710e-01  1.138500e-03
2  4.722214e-01 -4.001545e-01  6.822235e-01  3.334846e-01  4.063084e-01  3.600000e+00 0 2  2.707137e-01
-2.094421e-01 -8.519810e-02 -1.269588e+00  5.808245e+01  5.865900e-01 -7.059727e-01 -6.783565e-01  4.829590e-02
 3.578966e-01  2.936895e-01  3.124690e+00  0.000000e+00  3.430834e-01 -7.139126e-02 -3.262070e-01  5.336993e-03
1  6.012491e-01 -2.143040e-01  0.000000e+00  6.703883e-01  0.000000e+00  2.490000e+00 0 2 -1.000000e+00
 1.315657e+00 -5.546851e-01  3.019605e+00  0.000000e+00  3.812036e-01 -1.662953e-01  1.551959e-01  3.909915e-03
3  1.215428e+00  4.582770e-01  3.169033e+00  1.617263e+00  1.056518e-02  3.470000e+00 0 2 -1.000000e+00
 2.937471e+00  8.447527e-01  5.475639e+00  0.000000e+00  4.769739e-01 -2.589291e-01 -1.545476e-01  5.025818e-04
-1.066077e-01 -3.635585e-02 -5.785110e-02  6.467054e+02  4.148255e+00 -3.884408e+00 -3.479748e+00  2.406169e+00
-3.934128e-02 -1.206043e-02  9.169335e-03  6.471959e+02  1.359900e+01 -5.764732e+00 -4.055070e+00  1.146086e+01
3 -2.775266e-01 -8.396373e-02  8.277757e-01  4.339580e-01  2.052610e-01  3.260000e+00 0 2 -1.000000e+00
-6.973867e-01 -4.280423e-02  3.013399e+00  0.000000e+00  3.388725e-01 -2.949099e-01 -1.351538e-01  1.539645e-02
