# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3 -2.834572e-01  4.207525e-02  1.710188e+00  9.510107e-01  3.366195e-01  1.330000e+00 0 3 -1.000000e+00
-1.240619e+00 -5.576512e-01  4.325204e+00  0.000000e+00  4.700079e-01 -2.053892e-01 -8.662526e-02  1.429428e-02
 4.343431e-01 -2.123313e-01 -1.455948e+00  9.466633e+01  9.471027e-01 -5.344559e-01  6.356042e-01  1.888969e-01
 1.914101e-02 -5.821772e-03  1.239528e-02  1.067251e+02  1.012397e+01 -2.045065e-01  1.590331e+00  8.704474e+00
3 -9.935598e-01 -1.794364e+00  7.748413e-01  3.669382e-01  6.617380e-01  2.720000e+00 0 1  3.083329e-01
 1.511070e-01 -1.696627e-01 -1.592965e+00  1.913974e+01  6.460440e-01  1.608754e-01  8.527393e-01  1.053430e-01
-4.910775e-01  2.639018e-01  2.407243e+00  0.000000e+00  3.056159e-01 -1.179474e-01  2.298801e-01  9.982671e-03
 2.005410e-03 -1.412364e-03  4.588028e-04  2.425930e+01  4.783054e+01 -2.378369e+00  2.803052e+00  4.587931e+01
1  1.807007e+00  3.806791e-01  0.000000e+00  3.917986e+00  0.000000e+00  1.730000e+00 0 2 -1.000000e+00
 5.778688e+00  2.508656e+00  5.617972e+00  0.000000e+00  5.005177e-01 -1.673292e-01 -2.085266e-01  2.020835e-03
1 -1.154587e+00 -1.296113e+00  0.000000e+00  1.474227e+00  0.000000e+00  3.080000e+00 0 2 -1.000000e+00
-2.240655e+00 -2.728557e+00  3.083392e+00  0.000000e+00  3.839172e-01 -6.174196e-03 -2.349505e-01  6.949147e-03
3  1.780625e-01  9.781308e-01  2.509052e+00  1.126760e+00  4.892637e-02  2.750000e+00 0 2 -1.000000e+00
 2.160114e-01  2.207488e+00  3.124101e+00  0.000000e+00  3.852335e-01  2.311432e-01 -6.647180e-02  3.017953e-03
-5.199309e-02 -2.872103e-01 -1.528509e-01  1.655742e+02  1.460734e+00  2.388676e+00 -1.024122e+00  6.280869e-01
-2.191679e-03 -1.628797e-02  7.408647e-04  1.712681e+02  3.890692e+01  9.229509e+00 -1.405827e+00  3.742437e+01
5  5.586506e-02  1.438658e-01  1.403537e+00  6.768967e-01  1.000000e+00  4.790000e+00 0 3 -1.000000e+00
-2.234941e-01 -4.405910e-01 -9.681950e-01  1.374627e+01  6.791313e-01  3.652191e-01 -1.001210e+00  3.108907e-01
-4.000684e-01  8.299848e-01  2.399505e+00  0.000000e+00  3.151987e-01  1.600522e-01  1.630445e-01  6.944035e-02
 6.982880e-01 -4.381719e-02  9.420878e+00  4.923756e+00  3.625274e-01 -5.337979e-01 -1.236282e-01  4.442506e-02
 6.417025e-01  1.910116e-01 -9.362694e+00  4.969189e+00  4.017214e-01 -5.182255e-01 -4.429294e-01  5.431295e-02
-1.214945e-03 -5.523261e-03  1.090750e-03  2.122083e+01  3.472436e+01  1.441475e+01 -3.570309e+00  3.376264e+01
5  4.326673e-02  8.580011e-02  1.147521e+00  5.063037e-01  1.000000e+00  2.260000e+00 0 3 -1.000000e+00
 1.190792e-01 -3.737122e-01 -2.401399e+00  4.356337e+01  7.069793e-01  5.554404e-01  4.401943e-01  1.104083e-01
 4.568480e-01  5.580313e-01  3.223748e+00  0.000000e+00  4.245572e-01  2.153947e-02 -1.430821e-01  1.187456e-02
-4.500675e-01 -1.450403e-01  1.345938e+01  3.579266e+01  5.215126e-01 -3.524636e-01 -1.744189e-01  5.196303e-02
-4.583479e-01  2.518038e-02 -1.078231e+01  3.594345e+01  5.702995e-01 -5.121596e-01  1.227992e-01  8.757059e-02
-6.566168e-04 -1.636883e-03  7.172019e-04  6.998691e+01  3.854388e+01  9.059449e-01  3.796656e+00  3.700442e+01
3 -8.580949e-01  6.025883e-01  2.346481e+00  9.875149e-01  7.232483e-03  3.380000e+00 0 2 -1.000000e+00
-1.630512e+00  1.563314e+00  3.012580e+00  0.000000e+00  3.681129e-01 -1.022942e-01  2.384865e-01  2.245992e-04
 5.593811e-02 -6.820665e-02 -2.178843e-02  8.299723e+02  3.713637e+00 -1.268311e+00  7.186872e+00  2.231673e+00
 5.712881e-03 -1.055261e-02  3.147340e-04  8.340779e+02  7.285548e+01  3.156253e+01  3.145999e+01  7.064064e+01
1  2.544540e+00 -2.050272e+00  0.000000e+00  1.004591e+00  0.000000e+00  4.390000e+00 0 2 -1.000000e+00
 2.884609e+00 -1.994128e+00  3.934109e+00  0.000000e+00  2.968514e-01 -1.063987e-01  4.784455e-01  3.991638e-04
1  3.566344e-01 -3.896745e-01  0.000000e+00  8.374403e-02  0.000000e+00  3.750000e+00 0 2  3.059091e-01
-1.099343e-01  7.633475e-03  3.685643e+01  0.000000e+00  6.113543e-01 -3.496823e-01  4.044087e-02  7.694109e-03
1 -1.604501e-01  8.118223e-01  0.000000e+00  1.114549e+00  0.000000e+00  1.700000e+00 0 2 -1.000000e+00
 4.372149e-01  2.278697e+00  4.122061e+00  0.000000e+00  4.710585e-01  1.898284e-01  3.387077e-02  2.698012e-03
3 -5.116341e-01  2.572581e-01  1.403965e+00  6.274025e-01  2.705317e-02  4.290000e+00 0 2 -1.000000e+00
-1.184552e+00  2.493633e-01  3.909042e+00  0.000000e+00  4.298483e-01 -1.980746e-01  1.732693e-01  1.268341e-03
 1.747551e-01 -1.019221e-01 -1.057520e-01  2.422948e+02  9.943322e-01 -1.544145e+00  2.659274e+00  2.347283e-01
 6.825371e-04 -4.256449e-04  3.417580e-06  2.833961e+02  5.467231e+02  1.349647e+01  7.090037e+01  5.450219e+02
1 -1.855691e+00  7.263371e-01  0.000000e+00  1.446271e+00  0.000000e+00  1.260000e+00 0 2 -1.000000e+00
-3.724518e+00  1.626099e+00  3.810851e+00  0.000000e+00  4.451945e-01 -1.489045e-01  1.524074e-01  2.635503e-02
3  2.181322e-01 -4.406139e-02  1.136798e+00  5.207729e-01  7.886247e-01  2.230000e+00 0 1 -1.000000e+00
 7.758953e-01 -1.142198e-01  2.483406e+00  0.000000e+00  3.157251e-01 -2.323601e-01  1.075552e-01  3.151107e-02
-3.465658e-01  6.575654e-02 -1.958475e+00  2.529160e+01  6.124499e-01 -7.346176e-01  3.480423e-01  2.241738e-01
-6.826051e-03  1.002003e-03  1.625432e-03  3.207060e+01  2.631120e+01 -5.025613e+00  4.233455e-01  2.539469e+01
1  1.130369e+00 -2.382113e+00  0.000000e+00  1.890022e+00  0.000000e+00  3.280000e+00 0 2 -1.000000e+00
 3.633900e+00 -2.878677e+00  4.219804e+00  0.000000e+00  4.194901e-01  1.087359e-01  2.969686e-01  7.114956e-04
1  2.242144e-02  4.705249e-02  0.000000e+00  9.489019e-02  0.000000e+00  3.780000e+00 0 2 -1.000000e+00
 4.670963e-02  1.401194e-01  4.999760e+00  0.000000e+00  4.496059e-01  2.861325e-01 -1.450941e-01  3.718934e-02
3 -1.126802e-01 -2.257232e-01  9.809947e-01  4.918432e-01  5.025978e-01  2.040000e+00 0 1 -1.000000e+00
-2.239392e-01 -7.080295e-01  2.896346e+00  0.000000e+00  3.368204e-01  1.888146e-01 -2.426800e-01  2.462049e-02
 1.096453e-01  2.145062e-01 -1.455697e+00  2.671086e+01  7.851418e-01  4.303380e-01 -7.402225e-01  3.055945e-01
 7.902001e-03  1.936139e-02  2.524799e-02  2.859141e+01  7.322484e+00  6.026305e-01 -5.935493e-02  6.465399e+00
3 -1.538672e-02 -6.530046e-02  4.055901e-01  2.149604e-01  5.938990e-01  1.790000e+00 0 3 -1.000000e+00
-6.384079e-03 -2.638290e-01  3.494699e+00  0.000000e+00  2.851428e-01  4.684891e-01 -7.342387e-02  1.394014e-01
 6.123462e-02  1.360848e-01 -2.075498e+00  4.030132e+00  6.243865e-01  5.481543e-01 -5.678243e-01  4.486929e-01
 1.885209e-03  6.051543e-03  1.788111e-02  5.125614e+00  8.552163e+00  5.053376e-01 -9.245902e-01  8.213318e+00
3 -1.816719e-01 -7.897167e-01  9.383719e-01  5.130499e-01  7.679393e-01  2.770000e+00 0 1  2.885743e-01
 6.289336e-01 -5.476393e-02  2.981693e+00  0.000000e+00  3.123771e-01 -3.667010e-01  5.454954e-02  1.002427e-02
-2.293883e-01  3.244792e-01 -2.289759e+00  2.906538e+01  7.584895e-01  2.216084e-01  6.677905e-01  6.605650e-02
-4.853876e-03  3.317905e-03  5.022631e-03  4.115720e+01  1.555316e+01  1.129024e+00  3.379504e+00  1.062670e+01
3  1.297709e+00 -1.530240e+00  2.361657e+00  1.004680e+00  5.694541e-01  3.170000e+00 0 3  2.788140e-01
 2.969023e-01 -1.869683e+00  2.265735e+00  0.000000e+00  3.276259e-01  1.027446e-01  1.313716e-02  1.126511e-03
 2.702603e-02  4.765041e-01 -3.978784e+00  1.444597e+02  8.924147e-01  4.811378e-01 -1.772402e-01  4.424995e-02
-5.075280e-03  1.869741e-02  6.196355e-03  1.518147e+02  1.398755e+01  9.442591e-01  2.529742e+00  1.159633e+01
1  3.198813e+00  3.452946e+00  0.000000e+00  2.742518e+00  0.000000e+00  2.650000e+00 0 2 -1.000000e+00
 5.162878e+00  6.241232e+00  3.916505e+00  0.000000e+00  4.204803e-01  6.502845e-02 -2.761969e-01  2.825155e-03
5 -1.385777e-02 -4.951170e-03  7.270801e-01  3.393421e-01  1.000000e+00  2.530000e+00 0 3 -1.000000e+00
-2.184377e-01 -3.059255e-01  3.132578e+00  0.000000e+00  3.354312e-01  1.054339e-01 -3.336309e-01  7.175125e-02
 2.745188e-01 -1.327055e-01 -1.733144e+00  2.174545e+00  7.600679e-01 -4.935964e-01  6.252329e-01  4.470523e-01
-2.674143e-01  1.809502e-01 -2.228398e+00  1.715409e+00  6.963736e-01 -2.555613e-01  6.896596e-01  3.797840e-01
 1.525525e-01  3.193839e-01  3.694031e+00  6.326311e-01  3.611014e-01  2.277917e-01 -2.925670e-01  8.030083e-02
 7.403316e-04  2.371163e-05  2.639497e-03  4.795499e+00  2.182411e+01 -5.845517e+00  4.540200e+00  2.071183e+01
3  4.935141e-01  4.019095e-01  1.102043e+00  5.480715e-01  6.762415e-02  3.590000e+00 0 2  2.727502e-01
 3.512094e-01 -8.515577e-01  3.544616e+00  0.000000e+00  3.817010e-01  2.699759e-01  1.651929e-01  2.241561e-03
-3.458041e-05  1.976834e-03  4.845825e-05  1.777456e+02  1.476032e+02  2.577792e+01 -1.384517e+01  1.450845e+02
-1.091198e-02  1.892911e-01 -2.397017e-01  1.582250e+02  1.122622e+00  2.025941e+00  2.871453e-01  2.184534e-01
1  6.339166e-01  8.032488e-02  0.000000e+00  2.547799e+00  0.000000e+00  2.730000e+00 0 2 -1.000000e+00
 3.208524e+00 -1.481843e+00  9.334837e+00  0.000000e+00  5.972809e-01 -1.893442e-01  1.385852e-01  1.066383e-02
1  2.426605e-01  7.772063e+00  0.000000e+00  3.567287e+00  0.000000e+00  2.400000e+00 0 2 -1.000000e+00
 1.749292e-01  1.080568e+01  3.203589e+00  0.000000e+00  3.243213e-01  3.782224e-01 -3.660017e-02  1.176891e-04
1 -2.652552e+00 -1.108673e+00  0.000000e+00  1.180878e+00  0.000000e+00  2.420000e+00 0 2  2.939499e-01
-7.748255e-01 -2.015242e+00  5.817022e+00  0.000000e+00  5.377411e-01  8.710290e-02 -1.848976e-01  9.333701e-03
3 -2.513803e+00  4.587183e-01  2.141761e+00  1.025699e+00  3.804632e-01  3.260000e+00 0 1  2.831752e-01
-1.313970e+00 -1.262559e+00  1.947928e+00  0.000000e+00  2.721141e-01 -4.835634e-02 -1.188004e-01  7.153225e-04
 3.892807e-01  3.593126e-02 -7.411148e-01  2.251613e+02  1.277030e+00 -1.193962e+00 -2.277081e-02  7.004458e-02
 4.172490e-03  1.487094e-03  1.505899e-04  2.414787e+02  8.455434e+01 -1.692777e+01 -7.363875e+00  7.955045e+01
1 -5.593206e-01  4.818442e-01  0.000000e+00  1.185841e-01  0.000000e+00  1.920000e+00 0 2  3.111368e-01
-5.256173e-02  2.393067e-01  4.192915e+00  0.000000e+00  4.278240e-01  2.912945e-01  6.352377e-02  3.302893e-02
1  3.132554e+00  5.901541e+00  0.000000e+00  2.142810e+00  0.000000e+00  3.560000e+00 0 2  2.815629e-01
-8.746520e-02  4.004785e+00  5.245645e+00  0.000000e+00  3.735084e-01  4.465931e-01 -4.911116e-02  2.880309e-04
1  1.356170e+01 -1.310079e+01  0.000000e+00  3.847513e+00  0.000000e+00  2.620000e+00 0 2  2.903501e-01
 9.170610e+00 -1.268873e+01  3.862001e+00  0.000000e+00  4.532004e-01 -1.232033e-01  1.577265e-01  1.261158e-04
3 -8.564433e-01  9.648183e-01  3.158934e+00  1.747460e+00  1.408649e-01  2.980000e+00 0 2  2.903512e-01
-1.973020e+00 -1.400942e+00  6.407254e+00  0.000000e+00  4.107568e-01 -1.326678e-01 -4.165738e-01  1.109160e-03
 5.428158e-01  5.094070e-01 -9.025574e-01  1.711086e+02  1.418120e+00 -5.605427e-02 -1.131214e+00  3.106460e-02
 1.018791e-02  9.201684e-03  6.569591e-04  1.827719e+02  4.283480e+01 -1.598861e+00 -1.501429e+01  3.569741e+01
1  6.511731e+00  8.017450e+00  0.000000e+00  4.399179e+00  0.000000e+00  2.510000e+00 0 2 -1.000000e+00
 6.801317e+00  1.642925e+01  3.245274e+00  0.000000e+00  3.965072e-01  6.624788e-02 -2.273200e-01  3.823934e-04
1 -1.433546e+00  1.283857e-01  0.000000e+00  1.070907e+00  0.000000e+00  2.120000e+00 0 2 -1.000000e+00
-2.385642e+00  5.096378e-01  4.366967e+00  0.000000e+00  4.254056e-01 -3.089877e-01  7.545520e-02  8.043661e-03
3 -3.031098e+00 -6.219517e-01  1.251777e+00  6.441230e-01  6.417624e-02  2.130000e+00 0 2  2.898635e-01
 2.122658e-01  1.054401e+00  4.213860e+00  0.000000e+00  4.121333e-01  3.243340e-01 -5.552125e-02  1.073893e-02
 1.971126e-03 -1.795850e-01 -2.704297e-01  8.868058e+01  1.843852e+00  2.099654e+00  3.685314e-02  8.689954e-01
 3.592424e-04 -2.426298e-02  7.115999e-03  9.041662e+01  1.475060e+01  6.959624e+00  3.379153e-01  1.307328e+01
1  9.805463e-01 -1.982951e-02  0.000000e+00  1.939327e+00  0.000000e+00  6.400000e-01 0 2 -1.000000e+00
 3.231226e+00 -1.630920e+00  3.745670e+00  0.000000e+00  4.618797e-01 -1.203064e-01  9.013787e-02  2.004991e-02
1 -6.895350e-01  2.971139e-01  0.000000e+00  6.230358e-01  0.000000e+00  5.030000e+00 0 2 -1.000000e+00
-1.464799e+00  2.345533e-01  3.467202e+00  0.000000e+00  4.137338e-01 -1.724889e-01  1.598079e-01  2.229155e-03
3  4.536129e-02 -2.466701e-02  1.445507e-01  6.823649e-02  2.545513e-01  2.350000e+00 0 1 -1.000000e+00
 1.002464e-01 -5.215610e-02  1.713879e+00  0.000000e+00  1.735138e-01 -1.378118e-01  2.839288e-01  7.845649e-02
-2.911464e-02  1.234682e-02 -4.362701e-01  9.994961e+00  1.259556e+00 -9.914589e-01  1.173259e+00  1.128369e+00
-4.369002e-03  1.823641e-03  1.739509e-02  1.035929e+01  9.558820e+00 -3.079301e+00  2.506754e+00  9.373648e+00
3  4.524362e-02 -5.788027e-02  4.266274e-01  2.013338e-01  7.294830e-01  1.290000e+00 0 1 -1.000000e+00
 1.640652e-01 -2.235866e-01  2.052207e+00  0.000000e+00  2.190304e-01  1.351903e-01  3.230429e-01  1.222617e-01
-1.149171e-01  9.918244e-02 -2.813234e+00  8.249017e+00  5.646504e-01 -8.253503e-02  7.336075e-01  4.499605e-01
-3.917315e-03  4.202064e-03  1.073211e-02  1.049717e+01  1.086079e+01 -5.493588e-01  1.937788e+00  1.065026e+01
3 -1.397956e-02  4.288218e-01  2.249934e+00  1.054750e+00  5.223865e-01  2.260000e+00 0 3 -1.000000e+00
 1.051956e-01 -4.790782e-01 -1.908037e+00  1.299608e+02  9.961632e-01  6.527370e-01  3.131263e-01  1.564800e-01
 2.825240e-01  1.763857e+00  3.652539e+00  0.000000e+00  4.494695e-01  1.711638e-01 -2.157114e-03  3.996971e-03
 4.616877e-03 -2.272451e-02  6.427812e-03  1.388481e+02  1.422644e+01  3.336256e+00  2.869513e+00  1.238970e+01
3  2.176561e-01  8.558161e-02  7.905309e-01  3.906925e-01  2.035396e-01  2.940000e+00 0 1 -1.000000e+00
-1.949707e-01 -3.349256e-02 -4.749289e-01  2.348117e+01  1.157123e+00 -1.347063e+00 -5.618603e-01  7.592484e-01
 5.065444e-01  3.309463e-01  2.333349e+00  0.000000e+00  2.717812e-01 -1.439190e-01 -2.846428e-01  3.607711e-02
-1.411911e-02 -2.776777e-03  5.468992e-03  2.539877e+01  1.637082e+01 -7.168742e+00 -1.421989e+00  1.559347e+01
3 -3.776041e+00 -1.705003e+00  2.700014e+00  1.403144e+00  2.701287e-01  3.110000e+00 0 2  2.883581e-01
 1.816612e+00 -1.238720e+00  3.709389e+00  0.000000e+00  4.215373e-01 -1.010802e-01  2.341275e-01  1.639151e-03
-3.168940e-01  4.160405e-01 -1.002012e+00  2.142270e+02  1.344576e+00  3.274710e-01  1.004732e+00  1.100027e-01
-6.795490e-03  8.162530e-03  4.846245e-04  2.283054e+02  5.044704e+01  5.842464e+00  1.863927e+01  4.650901e+01
3 -8.725995e-02  5.191163e-02  6.777157e-01  3.312731e-01  2.583013e-01  2.380000e+00 0 2 -1.000000e+00
 2.099950e-01 -1.151210e-01 -1.438014e+00  1.502112e+01  7.901950e-01 -4.217746e-01  7.493516e-01  4.026454e-01
-3.864299e-01  2.067112e-01  5.567197e+00  0.000000e+00  4.193179e-01 -1.914738e-01  3.477153e-01  1.084176e-01
 5.678501e-03 -2.997358e-03  4.337460e-03  1.990680e+01  1.745753e+01 -3.977694e+00  4.947578e+00  1.660240e+01
3  5.705201e-02  1.463398e-02  2.519064e-01  1.445913e-01  5.738702e-01  2.350000e+00 0 2 -1.000000e+00
-5.168234e-02 -1.828928e-02 -2.310863e+00  3.681400e+00  1.402437e+00 -5.636565e-01 -5.262942e-01  1.104885e+00
 2.001845e-01 -1.382302e-02  4.026804e+00  0.000000e+00  3.780986e-01 -3.703799e-01 -3.527274e-02  1.772746e-01
-2.537156e-02 -8.121662e-03  8.359016e-01  3.694702e+00  2.393164e+00 -6.509921e-01 -5.663944e-01  2.044324e+00
5  3.151754e-02 -1.890186e-02  4.699675e-01  2.163483e-01  1.000000e+00  3.230000e+00 0 3 -1.000000e+00
-1.052362e-01 -1.691237e-01 -5.346467e+00  1.474483e+00  7.410219e-01  2.365026e-01 -4.451691e-01  4.175813e-01
 2.736187e-01 -7.042601e-02  3.174253e+00  0.000000e+00  3.892293e-01 -2.032132e-01  1.292690e-01  1.018631e-01
-1.962123e-01 -5.909930e-02  8.186216e+00  1.410838e+00  5.324969e-01 -2.607858e-01 -1.685034e-01  2.070116e-01
-2.650125e-02  1.567786e-01 -2.453662e+00  1.914098e+00  9.598667e-01  6.067169e-01  2.026310e-01  6.133859e-01
-4.852317e-03  5.377811e-03  8.298629e-02  2.291738e+00  4.644444e+00  1.053296e+00  3.497900e-01  3.930138e+00
1  1.436666e-01 -3.703097e+00  0.000000e+00  2.497781e+00  0.000000e+00  1.670000e+00 0 2 -1.000000e+00
-2.242988e-01 -6.177029e+00  1.145989e+01  0.000000e+00  5.231650e-01  3.740435e-01 -1.421999e-02  3.036926e-03
3 -2.409722e-01  1.303536e+00  6.469290e+00  2.592154e+00  9.044003e-01  2.000000e+00 0 3 -1.000000e+00
