# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
1 -3.076707e-02  1.583442e-02  0.000000e+00  2.422262e-02  0.000000e+00  1.800000e+00 0 2 -1.000000e+00
-5.862879e-02  4.619575e-02  9.691412e+00  0.000000e+00  5.773467e-01 -1.111233e-01  2.512036e-01  1.239542e-01
1 -1.270702e+01 -9.233467e+00  0.000000e+00  1.351260e+01  0.000000e+00  3.250000e+00 0 2 -1.000000e+00
-2.770168e+01 -1.359799e+01  4.117146e+00  0.000000e+00  4.219939e-01 -1.767202e-01 -2.448965e-01  3.996848e-05
1  8.047516e+00 -8.109574e+00  0.000000e+00  3.759038e+00  0.000000e+00  1.580000e+00 0 2 -1.000000e+00
 1.489276e+01 -1.081767e+01  3.302846e+00  0.000000e+00  4.053143e-01 -1.005560e-02  2.253459e-01  1.271780e-03
3  5.623215e-02 -1.185851e-01  3.975307e-01  2.094837e-01  7.513120e-02  3.020000e+00 0 2 -1.000000e+00
 3.827235e-02 -3.123209e-01  3.519557e+00  0.000000e+00  3.432299e-01  3.566863e-01  1.414046e-01  1.968743e-02
-4.727148e-02  7.589668e-02 -2.644286e-01  1.357110e+01  1.441148e+00  9.120032e-01  1.773302e+00  7.792945e-01
-2.120248e-03  3.522611e-03  1.104427e-03  1.483524e+01  3.609295e+01  7.007575e+00  1.664220e+01  3.465762e+01
5 -2.607209e-01  1.422906e+00  1.873732e+00  8.472680e-01  1.000000e+00  4.330000e+00 0 3  2.828187e-01
 1.012411e+00 -4.309980e-01  4.177951e+00  0.000000e+00  4.565418e-01 -1.234659e-01  2.018693e-01  1.186320e-03
-8.579878e-01 -3.192796e-01  8.080084e+00  3.286610e+01  4.898834e-01 -1.164663e-01 -3.505616e-01  1.861543e-03
-8.994626e-02  5.714512e-01 -1.784063e+00  8.355799e+01  8.854568e-01  7.404054e-01  1.594940e-01  1.174606e-02
-4.419524e-01 -6.814066e-01 -7.711970e+00  3.485403e+01  5.469938e-01  3.144412e-01 -4.858085e-01  3.581338e-03
-1.593721e-03  4.686374e-03  1.521419e-03  1.144978e+02  2.792063e+01  6.883066e+00  4.479098e+00  1.941387e+01
3 -7.925246e-02  9.290700e-02  5.755948e-01  3.217487e-01  4.674539e-01  1.750000e+00 0 3 -1.000000e+00
 6.718737e-02 -1.177585e-01 -2.038736e+00  7.799718e+00  1.408043e+00  4.133815e-01  6.972192e-01  1.026946e+00
-3.552881e-01  2.731684e-01  4.361363e+00  0.000000e+00  4.139570e-01 -1.064221e-01  3.206783e-01  1.397150e-01
 2.778306e-02 -4.593730e-02  5.407732e-01  7.856766e+00  2.755791e+00  6.324510e-01  9.130183e-01  2.291265e+00
1 -2.575354e-01 -1.713258e+00  0.000000e+00  4.827261e-01  0.000000e+00  1.740000e+00 0 2  2.961260e-01
-2.502485e-01 -7.781623e-01  3.472937e+00  0.000000e+00  3.614179e-01  3.196787e-01 -1.328607e-01  2.832970e-02
1 -6.846377e-02 -5.381466e-02  0.000000e+00  9.930509e-02  0.000000e+00  3.100000e+00 0 2 -1.000000e+00
-1.211239e-01 -1.443379e-01  3.066576e+00  0.000000e+00  3.468385e-01 -2.348662e-02 -3.161831e-01  1.111551e-01
1 -1.414102e-02  4.763190e-03  0.000000e+00  2.017497e-02  0.000000e+00  4.490000e+00 0 2 -1.000000e+00
-5.947078e-02  1.626649e-02  3.045944e+00  0.000000e+00  4.259614e-01  5.205760e-03  3.446496e-02  1.023577e-01
1  2.322161e-01 -1.234193e-01  0.000000e+00  1.761606e-01  0.000000e+00  2.960000e+00 0 2 -1.000000e+00
 3.580234e-01 -2.803053e-01  3.621296e+00  0.000000e+00  3.795357e-01 -1.296982e-01  3.033318e-01  1.276064e-01
3  1.280235e-01 -3.117459e-01  8.108088e-01  3.613062e-01  1.043948e-01  1.960000e+00 0 1 -1.000000e+00
 3.269948e-01 -5.667379e-01  1.845901e+00  0.000000e+00  2.178801e-01  1.735408e-01  1.996350e-01  1.138527e-02
-8.704225e-04  3.912555e-03  2.167744e-04  7.687751e+01  7.336883e+01  2.480259e+01  2.997867e+00  7.262045e+01
-4.114698e-02  1.556764e-01 -1.927024e-01  6.863265e+01  9.429508e-01  1.883441e+00  1.282675e+00  5.902212e-01
1  5.561427e-01  6.547553e-01  0.000000e+00  2.668985e-01  0.000000e+00  1.600000e+00 0 2  3.004483e-01
 1.426965e-02 -3.886657e-01  2.140859e+01  0.000000e+00  6.114264e-01  3.210428e-01  3.479482e-02  1.387618e-01
3  2.363202e-04 -4.173452e-03  5.751790e-02  1.578695e-02  9.567759e-01  4.930000e+00 0 3 -1.000000e+00
 1.472714e-02 -3.971402e-02  4.117452e+00  0.000000e+00  4.990124e-01 -2.345115e-02 -8.700572e-02  9.737610e-03
-9.790942e-03  9.671812e-03 -6.688762e+01  3.890956e-02  8.812019e-01 -1.704777e-01  8.861136e-04  5.937875e-02
-9.826795e-03  1.229956e-02  6.990939e+01  3.890050e-02  8.274120e-01 -1.240051e-01 -1.025401e-02  5.115084e-02
5 -9.693445e-02 -2.905750e-01  2.889053e+00  1.178547e+00  1.000000e+00  1.480000e+00 0 2 -1.000000e+00
-1.630129e+00 -8.847653e-01  3.439490e+00  0.000000e+00  4.496102e-01 -9.573371e-04 -1.103961e-01  5.096803e-03
 6.717883e-01 -1.000474e+00 -6.091131e+00  8.338960e+01  7.195091e-01  2.697203e-01  4.124308e-01  4.025837e-02
 1.238238e+00 -5.396601e-01  7.817803e+00  8.011070e+01  5.685376e-01 -5.812140e-02  2.342404e-01  1.350100e-02
 2.104082e-03  5.599845e-01 -8.211709e-01  1.635824e+02  1.278079e+00  1.136599e+00  5.695886e-02  3.708015e-01
 2.950597e-03  2.149986e-02  5.494389e-03  1.807394e+02  1.645561e+01  7.522919e+00 -5.270603e-01  1.469236e+01
1  1.564063e-01  1.534321e-01  0.000000e+00  6.617982e-02  0.000000e+00  3.140000e+00 0 2  2.938549e-01
-5.157378e-02  1.908941e-01  4.336357e+00  0.000000e+00  4.968576e-01 -7.119417e-02 -1.321943e-01  8.080081e-03
1  4.160627e-02 -9.784777e-01  0.000000e+00  8.125447e-01  0.000000e+00  2.490000e+00 0 2 -1.000000e+00
 1.113202e-01 -2.150806e+00  4.579454e+00  0.000000e+00  4.836404e-01  2.195798e-01 -6.726141e-03  4.203681e-03
1 -9.622522e-02 -2.101288e-01  0.000000e+00  1.493415e-01  0.000000e+00  9.700000e-01 0 2 -1.000000e+00
