# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
1 -8.388240e-01  2.171617e+00  0.000000e+00  1.139123e+00  0.000000e+00  1.960000e+00 0 2  2.962826e-01
-1.801068e+00  2.111445e-01  4.041407e+00  0.000000e+00  4.541077e-01 -2.234852e-01  2.478288e-02  2.100032e-02
5  1.114315e-01 -2.462882e-01  4.775401e+00  2.201294e+00  1.000000e+00  2.560000e+00 0 2 -1.000000e+00
 2.154644e+00 -2.031013e+00  5.513739e+00  0.000000e+00  5.391300e-01 -1.202673e-02  1.757596e-01  4.798446e-04
-1.937343e+00 -7.079159e-01 -2.528259e+01  2.878158e+02  7.462702e-01 -2.044879e-01 -2.492317e-01  4.811247e-03
 3.022817e-01  1.470447e+00 -5.174052e+00  4.100482e+02  9.576992e-01  3.784327e-01 -2.277064e-01  3.207744e-03
-2.148457e+00  3.968274e-02  2.758176e+01  2.860879e+02  6.843347e-01 -2.476530e-01 -4.535139e-02  3.543296e-03
-1.072143e-03  1.923132e-03  1.466748e-04  5.487369e+02  8.392594e+01 -7.645455e+00  6.748686e-01  7.986321e+01
3  1.225237e+00  9.925129e-02  8.376174e+00  4.696911e+00  3.151164e-01  3.840000e+00 0 2 -1.000000e+00
-1.908662e+00 -4.665798e-01 -3.828666e+00  8.498223e+02  1.331817e+00 -5.507905e-01 -2.606148e-01  8.999365e-02
 6.276673e+00  1.311222e+00  1.215001e+01  0.000000e+00  5.752046e-01 -3.131832e-01 -7.933568e-03  4.727970e-03
-4.613738e-01 -1.009535e-01  3.965601e-01  8.609967e+02  3.256329e+00 -1.397696e+00 -7.847170e-01  1.101116e+00
1  6.090839e-01 -3.443308e-02  0.000000e+00  3.406344e-01  0.000000e+00  1.830000e+00 0 2  3.058922e-01
-6.243173e-01 -6.160561e-01  4.138346e+00  0.000000e+00  4.271039e-01 -6.887363e-02 -2.860488e-01  9.308130e-02
3  4.749335e-03  1.415803e-02  1.780776e-01  9.108038e-02  1.735488e-01  4.010000e+00 0 2 -1.000000e+00
-2.288334e-02 -7.539468e-02 -2.133454e+00  2.097892e+00  3.528243e-01  7.255925e-01 -6.008955e-01  1.653827e-01
 1.343862e-02  9.893937e-02  1.229311e+01  0.000000e+00  2.771495e-01  6.120038e-01 -2.581042e-01  9.969335e-02
-2.927116e-05 -1.325164e-04  9.680722e-05  6.603048e+00  1.045665e+02  1.989248e+01  7.069487e-01  1.040464e+02
5 -6.241685e-01  9.321644e-01  1.497775e+01  6.247220e+00  1.000000e+00  1.920000e+00 0 3 -1.000000e+00
 3.022328e-02 -2.940863e+00 -2.566464e+00  2.840318e+03  1.281777e+00  6.773526e-01 -1.011589e-01  8.462569e-03
 6.455058e+00  5.712581e-01  6.854953e+00  1.864205e+03  5.613720e-01 -1.890688e-01 -1.037667e-01  8.049764e-04
