# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  8.265985e-05  2.676417e-02  4.219826e-01  2.063948e-01  9.817371e-02  3.650000e+00 0 2 -1.000000e+00
-6.201419e-03  2.294783e-01  2.317547e+01  0.000000e+00  3.025461e-01  6.656161e-01 -1.575128e-02  1.090544e-01
 7.045427e-03 -1.922963e-01 -2.275222e+00  2.719649e+00  3.800895e-01  9.076264e-01  4.558695e-03  1.752174e-01
 9.099374e-06 -1.197580e-04  1.415170e-05  1.213807e+01  2.877521e+02  1.032597e+02  3.002126e+01  2.870691e+02
3 -5.388510e-02 -1.114940e-01  1.541474e+00  7.175023e-01  4.144306e-01  3.810000e+00 0 3 -1.000000e+00
-4.247757e-01 -8.571638e-01  3.954734e+00  0.000000e+00  4.478827e-01  1.121556e-01 -1.984770e-01  1.451009e-02
-5.546602e-02  6.394166e-01 -9.542573e+00  1.560843e+01  6.001429e-01  4.936425e-01  1.449009e-01  6.646139e-02
 3.476581e-04  1.099681e-03  1.178059e-04  3.348862e+01  9.476039e+01  1.729069e+01  1.870946e+00  9.277571e+01
3  1.482768e-01  2.531577e-01  8.915825e-01  4.538383e-01  5.231336e-02  2.200000e+00 0 2 -1.000000e+00
 4.532335e-01  5.677396e-01  5.878046e+00  0.000000e+00  4.654988e-01  1.123068e-01 -3.208647e-01  1.593934e-02
-8.199106e-02 -1.453201e-01 -3.075003e-01  7.225686e+01  1.327041e+00  9.622592e-01 -1.559821e+00  5.942103e-01
-5.281307e-03 -9.135980e-03  2.573539e-03  7.663914e+01  2.199843e+01  3.685049e+00 -6.227728e+00  2.074078e+01
3  4.007066e-01 -3.921990e-02  1.236959e+00  5.507165e-01  4.088906e-01  2.140000e+00 0 1 -1.000000e+00
 9.993488e-01 -8.455266e-02  1.794708e+00  0.000000e+00  2.315561e-01 -1.805966e-01  2.640524e-02  2.666378e-02
-2.320114e-01  3.300438e-02 -7.338394e-01  4.597829e+01  1.056235e+00 -1.125825e+00  3.136493e-01  6.889978e-01
-3.533297e-02  4.722120e-03  2.485258e-02  4.723385e+01  7.741700e+00 -2.158848e+00  7.433899e-01  7.158793e+00
3 -2.677588e-01 -5.823772e-02  9.763071e-01  4.957061e-01  2.167802e-01  2.370000e+00 0 2 -1.000000e+00
-7.462275e-01 -5.222385e-02  3.212888e+00  0.000000e+00  3.501548e-01 -3.253098e-01 -7.228950e-02  2.313169e-02
 2.204104e-01  8.484093e-02 -6.964905e-01  4.264329e+01  9.665914e-01 -9.495171e-01 -7.316442e-01  4.377941e-01
 1.388988e-02  5.369830e-03  6.112486e-03  4.624954e+01  1.451804e+01 -2.180546e+00 -3.792492e+00  1.350013e+01
1 -6.919365e-03  6.746070e-03  0.000000e+00  2.687902e-02  0.000000e+00  2.190000e+00 0 2 -1.000000e+00
-3.859004e-02  1.751034e-03  9.489539e+00  0.000000e+00  5.607036e-01 -2.355422e-01  1.792261e-01  3.003543e-01
3  1.686355e-01  1.998973e-01  2.323647e+00  1.107559e+00  7.869747e-01  1.800000e+00 0 3 -1.000000e+00
 1.091037e+00  9.820427e-01  3.870834e+00  0.000000e+00  4.169462e-01 -5.150556e-02 -2.809922e-01  1.859999e-02
-3.719189e-01 -8.232533e-01 -3.046248e+00  6.009579e+01  6.008237e-01  4.836640e-01 -5.036700e-01  9.797236e-02
-8.957786e-04 -1.353794e-03  3.932292e-05  1.198017e+02  1.673173e+02  3.042042e+01 -3.613289e+01  1.657027e+02
3  2.390581e-03 -1.511109e-01  4.574364e-01  2.213352e-01  9.004387e-02  3.870000e+00 0 2 -1.000000e+00
-8.375464e-02 -3.445843e-01  3.016199e+00  0.000000e+00  3.362355e-01  3.206546e-01 -7.887178e-02  2.015799e-02
-9.486076e-03  1.067828e-01 -2.715902e-01  3.172681e+01  1.051955e+00  1.889350e+00  3.392247e-01  5.507736e-01
-1.820446e-04  2.331377e-03  2.881373e-04  3.685597e+01  6.498290e+01  2.420216e+01  6.123653e+00  6.388051e+01
1  1.948358e-01 -8.228086e-01  0.000000e+00  1.164681e+00  0.000000e+00  1.850000e+00 0 2 -1.000000e+00
 1.023642e+00 -2.144570e+00  4.307988e+00  0.000000e+00  4.821562e-01  1.420617e-01  1.259120e-01  5.843090e-03
1 -6.756489e+00  3.139435e+00  0.000000e+00  1.738895e+00  0.000000e+00  1.410000e+00 0 2  2.832581e-01
