# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 11.00, 16.00, 10.00, 16.00, 100
1  6.140797e-01  7.713518e-01  0.000000e+00  5.415451e-01  0.000000e+00  5.330000e+00 0 2 -1.000000e+00
 7.447337e-01  1.013451e+00  5.101716e+00  0.000000e+00  3.664356e-01  1.010458e-01 -4.417930e-01  1.019629e-02
5 -1.621765e-02 -1.289004e-02  7.123754e-01  4.058264e-01  1.000000e+00  2.100000e+00 0 3 -1.000000e+00
-3.697536e-01 -1.200641e-01  5.550664e+00  0.000000e+00  4.002786e-01 -2.947329e-01 -3.043676e-01  7.150235e-02
 5.656116e-02  3.014152e-01 -5.644194e+00  8.394731e+00  4.435108e-01  6.665578e-01 -2.062868e-01  5.702266e-02
 2.649276e-01 -2.147840e-01 -2.649696e+01  6.012031e+00  4.499793e-01  1.110478e-02  5.832149e-01  8.057373e-02
 3.422157e-01 -9.601124e-02  3.162557e+01  5.963306e+00  4.578254e-01 -3.966193e-01  3.240777e-01  1.061481e-01
 1.860301e-04  9.758965e-05  1.143837e-04  3.934931e+01  9.718173e+01 -2.189444e+01 -5.390311e+00  9.558146e+01
3 -5.140571e-02 -7.103129e-02  8.939345e-01  4.437760e-01  6.983804e-01  1.920000e+00 0 3 -1.000000e+00
-5.703714e-01 -2.724787e-01  3.698030e+00  0.000000e+00  4.004529e-01 -1.649395e-01 -2.486713e-01  1.582525e-01
 5.408866e-02  3.671842e-01 -2.582632e+00  5.063530e+00  8.559990e-01  6.129876e-01 -1.794000e-01  5.456690e-01
 7.386041e-03  1.525061e-02  5.713683e-02  6.365565e+00  5.353584e+00  1.129109e+00 -4.206696e-01  4.775314e+00
3 -2.112330e+00  1.982065e+00  1.655418e+00  7.833619e-01  3.007850e-01  1.280000e+00 0 1  2.821379e-01
 1.589957e-01 -3.353071e-01 -8.822162e-01  1.294091e+02  9.026428e-01  5.737303e-01  9.021202e-01  1.031993e-01
 3.842645e-02  1.315715e+00  2.933046e+00  0.000000e+00  3.925498e-01  1.627017e-01  3.976628e-02  2.594520e-03
 4.706326e-04 -1.650295e-03  3.040377e-05  1.567126e+02  1.879396e+02  3.593667e+01  2.764643e+01  1.853717e+02
3 -4.512720e-01  6.693703e-01  3.562563e+00  1.787392e+00  2.144075e-01  3.000000e+00 0 2 -1.000000e+00
-8.136184e-01  2.928211e+00  3.305404e+00  0.000000e+00  4.318133e-01  8.400913e-02  1.150813e-01  2.949350e-03
 3.917291e-01 -4.242496e-01 -7.087035e-01  1.851842e+02  1.237576e+00 -1.972982e-02  1.211231e+00  2.631553e-01
 1.549171e-02 -2.057984e-02  2.114457e-03  1.942466e+02  2.404993e+01  1.308527e+00  7.526775e+00  2.206535e+01
3 -2.160864e-02  1.128548e-01  6.911722e-01  3.700206e-01  6.923897e-01  3.640000e+00 0 3 -1.000000e+00
-1.255142e-02 -2.142526e-01 -3.980356e+00  4.779925e+00  7.732619e-01  5.356984e-01 -1.251848e-01  3.960655e-01
-1.531259e-01  4.624731e-01  2.755957e+00  0.000000e+00  3.436532e-01  2.194365e-01  1.406713e-01  8.726130e-02
 3.737368e-03 -2.102764e-02  8.479099e-02  5.256043e+00  4.497905e+00  6.477819e-01  1.483578e-01  3.847775e+00
3 -4.388826e-01  6.508262e-01  2.222189e+00  1.024709e+00  1.118457e-01  1.900000e+00 0 2 -1.000000e+00
 2.123134e-01 -3.465661e-01 -3.536501e-01  1.495696e+02  1.221124e+00  6.961974e-01  1.546563e+00  6.858604e-01
-9.361893e-01  1.555818e+00  3.161947e+00  0.000000e+00  3.601462e-01  1.008621e-01  2.880605e-01  1.924226e-02
 1.855352e-02 -3.144833e-02  5.118671e-03  1.562200e+02  1.589018e+01  2.922509e+00  4.220562e+00  1.503879e+01
3 -9.321282e-02 -4.853960e-02  2.424941e-01  9.204474e-02  1.261280e-01  2.250000e+00 0 1 -1.000000e+00
-1.733983e-01 -8.760103e-02  1.640973e+00  0.000000e+00  1.594644e-01 -2.214146e-01 -2.192742e-01  3.092182e-02
 2.814606e-03  2.328379e-03  2.004109e-03  6.095257e+01  2.616708e+01  4.914078e-01 -1.158298e+01  2.582815e+01
 3.880404e-02  2.975959e-02 -2.069726e-01  5.739807e+01  1.251886e+00 -8.688823e-01 -2.034710e+00  1.050513e+00
3  5.466386e-02 -3.520808e-02  2.351924e-01  1.093450e-01  6.925244e-01  1.370000e+00 0 1 -1.000000e+00
