# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  1.245661e+00  2.658334e+00  2.971225e+00  1.344296e+00  3.809239e-01  4.980000e+00 0 2  3.017211e-01
 8.108009e-01 -6.000842e-01 -7.286596e+00  6.460185e+01  7.303057e-01 -1.575703e-01  4.302847e-01  2.963662e-02
-1.093458e+00  1.680699e+00  2.775638e+00  0.000000e+00  3.670025e-01  1.069259e-01  1.702211e-01  3.577682e-03
 1.102017e-02 -1.240892e-02  3.550141e-03  7.973583e+01  1.827444e+01 -1.041518e+00  3.955075e+00  1.424570e+01
3 -3.835862e-02 -2.470671e-01  1.244483e+00  6.898484e-01  6.828883e-02  4.640000e+00 0 2 -1.000000e+00
 2.837272e-01 -8.749237e-01  1.064042e+01  0.000000e+00  5.509175e-01  3.035035e-01  1.248178e-01  8.423722e-03
 7.216656e-02  3.514455e-01 -7.266220e-01  7.870065e+01  8.917055e-01  1.091616e+00 -4.430964e-01  1.291976e-01
 4.218122e-04  1.907412e-03  8.745173e-05  1.076182e+02  1.100270e+02  1.634315e+01 -1.359835e+01  1.082534e+02
1 -1.394682e+00 -6.806194e-01  0.000000e+00  8.270803e-01  0.000000e+00  3.570000e+00 0 2 -1.000000e+00
-2.012640e+00 -1.214219e+00  3.269973e+00  0.000000e+00  3.809460e-01 -1.428662e-01 -2.387555e-01  2.097547e-03
3  1.506901e-01 -1.040562e-01  2.012951e-01  9.565285e-02  9.517480e-01  2.670000e+00 0 3  2.828465e-01
 1.155312e-01 -4.832164e-02  7.770849e+00  1.816670e-01  5.476188e-01 -2.561607e-01  1.017074e-01  5.013590e-02
 1.112534e-01  2.240400e-02 -8.164818e+00  2.236993e-01  6.677618e-01 -4.067726e-01 -2.596054e-01  1.144283e-01
 1.989134e-02  1.288018e-01  5.434615e+00  0.000000e+00  5.021343e-01  1.743944e-01 -1.828966e-01  2.204977e-02
1 -4.328492e-02  1.046133e+00  0.000000e+00  1.703008e+00  0.000000e+00  5.070000e+00 0 2 -1.000000e+00
 1.856051e-01  3.373943e+00  4.246806e+00  0.000000e+00  4.807161e-01  1.820954e-01  3.203027e-02  2.339467e-02
3  5.097776e+00  6.376067e+00  2.263722e+01  7.307878e+00  8.359777e-01  1.970000e+00 0 1 -1.000000e+00
 1.583040e+01  1.844544e+00  2.955077e+00  6.372385e+02  3.875756e-01 -1.137199e-01 -1.540479e-01  7.887008e-04
 9.683398e+00  9.607481e+00 -2.378625e+00  1.221886e+03  8.594141e-01  3.508591e-02 -6.625288e-01  1.323639e-03
-1.321341e+00  1.661823e+01  2.470378e+00  0.000000e+00  3.425550e-01  1.425474e-01 -8.436726e-02  3.632938e-04
1  7.214422e-01 -1.498222e+00  0.000000e+00  1.774725e+00  0.000000e+00  1.380000e+00 0 2 -1.000000e+00
 7.936573e-01 -4.381495e+00  3.665354e+00  0.000000e+00  4.539842e-01  1.091168e-01  1.157664e-01  9.480572e-04
3 -1.135093e-01  4.789514e-02  6.367082e-01  2.840533e-01  6.838501e-01  3.400000e+00 0 1 -1.000000e+00
 2.045993e-01 -4.351019e-02 -1.370395e+00  9.481112e+00  6.329174e-01 -8.563589e-01  3.620988e-01  3.561301e-01
-3.856394e-01  1.952692e-01  2.003941e+00  0.000000e+00  2.519599e-01 -1.217983e-01  2.138047e-01  5.290470e-02
 3.659000e-03 -1.126568e-03  1.187448e-03  1.248782e+01  3.174842e+01 -9.378518e+00  3.920056e+00  3.106551e+01
3 -1.908056e-01  2.204577e-01  8.163565e-01  3.391715e-01  4.191695e-01  2.500000e+00 0 1 -1.000000e+00
 5.570377e-02 -1.266331e-01 -6.293954e-01  1.872640e+01  1.000119e+00  6.168818e-01  1.099219e+00  6.246747e-01
-4.391072e-01  5.226742e-01  1.501530e+00  0.000000e+00  1.762209e-01 -1.259320e-02  1.116505e-01  9.192195e-03
 6.898320e-03 -1.787364e-02  1.475987e-02  1.918823e+01  1.007851e+01  3.688823e+00  1.029893e+00  9.423354e+00
3  1.814500e-01 -8.455262e-01  6.454029e-01  3.324225e-01  1.372746e-01  1.700000e+00 0 2  2.791581e-01
-5.667097e-02 -5.160496e-01  3.786354e+00  0.000000e+00  3.815358e-01  3.430696e-01 -2.636091e-02  3.426778e-02
 2.452405e-02  1.242256e-01 -5.197700e-01  4.785891e+01  1.409906e+00  1.349503e+00 -5.203764e-01  7.931698e-01
 3.478787e-03  1.874015e-02  2.017938e-02  4.921976e+01  9.042947e+00  3.525942e+00 -1.643528e+00  8.051898e+00
3 -3.954782e-01 -1.652611e+00  1.078301e+00  4.745864e-01  6.828576e-01  3.040000e+00 0 1  2.985356e-01
 7.753196e-01 -2.642317e-01  2.102285e+00  0.000000e+00  2.956959e-01 -1.176158e-01  8.085642e-02  1.728871e-02
-2.783392e-01 -3.502441e-02 -1.435561e+00  1.811745e+01  7.801400e-01 -8.118313e-01 -2.930190e-01  2.884384e-01
-1.084745e-02  9.508650e-04  4.251654e-03  2.037473e+01  1.683248e+01 -3.899723e+00 -5.069345e-01  1.574236e+01
1 -3.650371e-01 -3.293066e-01  0.000000e+00  2.654856e-01  0.000000e+00  1.920000e+00 0 2  3.003501e-01
 4.243001e-02  4.175763e-01  5.656948e+00  0.000000e+00  4.488366e-01  3.450509e-01 -8.914696e-02  1.246379e-01
1  2.968376e+00  6.336360e+00  0.000000e+00  2.298753e+00  0.000000e+00  1.200000e+00 0 2  2.770751e-01
 1.400771e+00  7.534345e+00  3.833517e+00  0.000000e+00  4.655002e-01  8.363452e-02 -1.335599e-01  1.763950e-04
3  1.692405e-01 -9.584503e-02  6.157599e-01  3.017389e-01  3.123034e-01  1.030000e+00 0 1 -1.000000e+00
 3.897065e-01 -2.512413e-01  2.036209e+00  0.000000e+00  2.117368e-01 -1.650623e-01  3.209435e-01  7.039276e-02
-1.359461e-01  6.946062e-02 -6.359150e-01  1.143894e+01  9.526459e-01 -7.364790e-01  1.016060e+00  7.466955e-01
-1.373528e-02  7.310005e-03  1.391094e-02  1.218464e+01  9.979254e+00 -1.780684e+00  2.360152e+00  9.638514e+00
3  1.821286e-01  2.480200e-01  1.087735e+00  5.221168e-01  1.372875e-01  1.790000e+00 0 1 -1.000000e+00
-1.386481e-01 -2.528452e-01 -2.945081e-01  2.411888e+01  1.801726e+00  1.076525e+00 -1.696865e+00  1.562105e+00
 6.081141e-01  5.380496e-01  2.145193e+00  0.000000e+00  2.393459e-01 -1.075290e-01 -3.176060e-01  8.580857e-02
-1.364418e-02 -2.380365e-02  6.207005e-03  2.593042e+01  1.824745e+01  6.426696e+00 -9.750068e+00  1.781414e+01
3  1.010360e+00  1.789970e+00  1.974445e+00  1.177867e+00  9.007814e-02  3.960000e+00 0 2  2.903107e-01
-8.992545e-02  4.857209e-01 -1.615200e+00  4.694827e+01  1.177221e+00  7.683278e-01  2.453535e-01  1.534738e-01
 1.015873e+00 -1.150018e+00  1.793110e+01  0.000000e+00  5.698022e-01  1.894247e-01  3.056458e-01  1.138152e-02
-8.740384e-03  4.434960e-02  3.500530e-02  4.963410e+01  6.856777e+00  2.136516e+00  1.081683e+00  4.612659e+00
3  2.118828e-01  5.682663e-01  6.019635e-01  3.063374e-01  9.409741e-02  1.130000e+00 0 2  2.889106e-01
 1.638219e-01 -4.266267e-01  3.734138e+00  0.000000e+00  3.528521e-01  3.321085e-01  2.017548e-01  2.234525e-02
-1.084701e-02  1.494382e-01 -3.513727e-01  3.573122e+01  9.616095e-01  1.675994e+00  1.962107e-01  4.035599e-01
-3.438920e-04  3.125978e-03  4.049954e-04  4.200623e+01  5.315092e+01  1.551785e+01  3.122637e+00  5.182347e+01
1 -1.422623e-01  3.878729e-01  0.000000e+00  8.813083e-02  0.000000e+00  1.800000e+00 0 2  3.075897e-01
-1.902318e-01 -6.831261e-03  3.206458e+00  0.000000e+00  4.269974e-01 -1.187955e-01 -4.846636e-02  5.917260e-02
3 -2.992086e-01  1.075568e-01  8.048936e-01  3.773984e-01  2.782198e-01  2.150000e+00 0 1 -1.000000e+00
 1.607451e-01  3.631703e-03 -4.527165e-01  2.080754e+01  1.080396e+00 -1.454755e+00  3.147056e-01  8.239811e-01
-6.092608e-01  2.380343e-01  1.627190e+00  0.000000e+00  1.705875e-01 -1.528635e-01  2.236101e-01  1.774730e-02
 2.123079e-02  1.021641e-03  1.240508e-02  2.149555e+01  1.120438e+01 -4.124170e+00 -2.551187e+00  1.080657e+01
