# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  1.527586e+00 -2.196459e-01  3.038732e+00  1.588430e+00  2.868497e-01  2.830000e+00 0 1  2.938946e-01
 7.785557e-01 -4.518707e-02 -7.377254e-01  2.790990e+02  1.191892e+00 -1.175780e+00  9.940260e-02  5.830241e-02
-2.078136e+00  9.907677e-01  2.571819e+00  0.000000e+00  2.710102e-01 -2.575565e-01  2.761537e-01  2.105088e-03
 2.408867e-02 -2.929939e-03  1.465307e-03  3.024190e+02  3.105232e+01 -1.463059e+01  2.576219e+00  2.301912e+01
1 -2.910078e-01 -3.539493e-01  0.000000e+00  7.925932e-01  0.000000e+00  2.430000e+00 0 2 -1.000000e+00
-8.511674e-01 -9.159700e-01  5.512316e+00  0.000000e+00  4.587417e-01 -1.016851e-02 -3.338340e-01  1.440800e-02
3  2.507459e-02  7.478426e-02  3.407776e-01  1.747745e-01  4.275601e-01  2.580000e+00 0 1 -1.000000e+00
-1.592422e-02 -1.185415e-01 -9.020782e-01  1.117112e+01  3.253096e-01  1.205910e+00 -3.309675e-01  1.380177e-01
 1.292203e-01  1.897804e-01  2.109828e+00  0.000000e+00  1.729852e-01  2.735563e-01 -3.676249e-01  2.476304e-02
-1.803634e-04 -5.762345e-04  1.377339e-04  1.784529e+01  8.657769e+01 -5.279064e+00  5.941078e+00  8.612665e+01
1 -7.795263e+00 -9.085971e-01  0.000000e+00  5.619383e+00  0.000000e+00  1.430000e+00 0 2 -1.000000e+00
-1.508188e+01 -3.559510e+00  4.783050e+00  0.000000e+00  4.704146e-01 -2.486673e-01 -9.774256e-02  7.319260e-04
1 -1.026352e+00  7.379452e-01  0.000000e+00  2.020609e+00  0.000000e+00  1.670000e+00 0 2 -1.000000e+00
-3.483846e+00  2.012353e-01  4.729154e+00  0.000000e+00  4.896236e-01 -1.919366e-01  1.104089e-01  5.931056e-03
3  1.078235e-01  1.603396e-01  5.721111e-01  3.020027e-01  4.394696e-01  2.660000e+00 0 1 -1.000000e+00
-6.842580e-02 -9.882671e-02 -1.032390e+00  9.593398e+00  1.023265e+00  4.250113e-01 -8.879938e-01  7.347995e-01
 2.988504e-01  3.398295e-01  2.349172e+00  0.000000e+00  2.376607e-01  1.374408e-01 -3.695800e-01  5.458636e-02
-1.688941e-02 -2.228851e-02  9.742023e-02  9.772564e+00  4.316932e+00  1.471363e-01 -8.459208e-01  3.913323e+00
2 -4.504794e+00 -2.820831e+00  1.763640e+00  5.997984e+00  1.415734e-01  2.470000e+00 0 2  2.945004e-01
 1.689960e+00 -2.435935e+00 -3.374753e+01  6.334286e+02  9.666949e-01  1.229077e-01  1.250389e-01  3.329585e-02
 9.288531e-01 -8.449784e-01  4.777754e+00  6.364034e+02  1.479821e+00  3.381883e-02  1.406466e-01  1.614203e-01
1  3.961684e+00  1.231729e+00  0.000000e+00  1.265795e+00  0.000000e+00  1.280000e+00 0 2  2.958017e-01
-9.657468e-01  2.399653e+00  4.025608e+00  0.000000e+00  4.478007e-01  1.206507e-01  2.048360e-01  2.281148e-02
1 -1.450034e-01 -8.424254e-01  0.000000e+00  8.919285e-01  0.000000e+00  2.480000e+00 0 2 -1.000000e+00
-1.172894e+00 -1.560513e+00  3.322225e+00  0.000000e+00  4.112120e-01  1.807396e-01 -1.140237e-01  3.648773e-03
1  1.409291e-02  1.541693e-02  0.000000e+00  7.886873e-03  0.000000e+00  3.540000e+00 0 2 -1.000000e+00
 1.609179e-02  3.070547e-02  3.054467e+00  0.000000e+00  3.761143e-01  6.027955e-02 -2.412683e-01  1.332391e-01
3  1.306414e+00  1.502151e+00  6.467827e-01  3.666887e-01  4.812598e-01  1.900000e+00 0 3  2.963651e-01
-4.061788e-01  1.217034e-01  6.562738e+00  0.000000e+00  4.736793e-01 -3.133847e-01  1.625672e-01  4.441000e-02
 2.393388e-01  1.621365e-01 -3.158382e+00  8.753454e+00  7.278785e-01 -2.142890e-01 -5.871526e-01  1.108448e-01
 2.484007e-03  1.074197e-03  4.468482e-03  1.537652e+01  1.619201e+01 -1.616998e+00 -2.095934e+00  1.370352e+01
3  4.110260e-02 -1.376765e-02  3.220917e-01  1.671406e-01  2.661822e-01  3.340000e+00 0 3 -1.000000e+00
 1.617174e-01 -1.255193e-01  5.369605e+00  0.000000e+00  3.847154e-01 -1.241257e-01  4.206359e-01  6.643499e-02
-1.225469e-01  2.592993e-02 -1.429293e+00  2.820733e+00  6.574174e-01 -8.390851e-01  3.360735e-01  2.446898e-01
-1.061724e-03  3.386983e-04  7.282444e-04  4.607778e+00  3.973957e+01 -9.442424e+00  6.199152e+00  3.861678e+01
3 -3.340856e-02  5.316837e-03  2.653689e-01  1.429261e-01  6.268675e-01  1.500000e+00 0 2 -1.000000e+00
