# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 11.00, 16.00, 10.00, 16.00, 100
5 -3.063809e-02  1.956892e-02  8.974613e-01  3.654811e-01  1.000000e+00  3.040000e+00 0 3 -1.000000e+00
-7.479085e-02 -3.271081e-01 -2.325349e+00  1.642369e+01  5.622370e-01  7.000761e-01 -3.627297e-01  1.071357e-01
 3.676422e-01 -1.779349e-01  4.391639e+00  1.151136e+01  4.198017e-01 -1.959660e-01  2.655598e-01  3.178351e-02
-4.314575e-01  2.305702e-01  2.869302e+00  0.000000e+00  3.619612e-01 -1.191489e-01  2.106663e-01  1.937060e-02
 2.432499e-01  2.432490e-01 -2.351620e+00  1.588399e+01  5.744015e-01  7.553303e-02 -7.750274e-01  1.237037e-01
 3.414889e-04 -2.004068e-04  2.113800e-04  4.154718e+01  6.993867e+01 -5.047559e-01 -4.633495e+00  6.747197e+01
3  6.408568e-03  6.809388e-02  2.387280e-01  1.361850e-01  9.522854e-01  2.010000e+00 0 1 -1.000000e+00
 4.301530e-03 -4.814679e-02 -1.674570e+00  2.343258e+00  1.184571e+00  7.564957e-01  2.427934e-01  9.974114e-01
 5.663674e-02  1.847740e-01  1.758475e+00  0.000000e+00  2.072799e-01  2.350658e-01 -6.689424e-02  9.013363e-02
-3.414908e-05 -1.777770e-02  3.310775e-01  2.360222e+00  2.929858e+00  8.167858e-01  1.917626e-01  2.696896e+00
3  2.627871e+00 -8.441382e-01  3.627777e+00  1.683617e+00  7.208676e-01  2.770000e+00 0 3  2.755877e-01
 2.305154e+00 -1.328791e-01  4.594850e+00  0.000000e+00  4.562809e-01 -2.780969e-01  2.564324e-02  7.681563e-04
-1.280922e+00  4.155980e-01 -6.374055e+00  3.051325e+02  7.631493e-01 -3.551822e-01  2.946691e-01  4.696249e-03
-2.349749e-03  8.516484e-04  7.923542e-05  4.385729e+02  1.161610e+02 -1.132728e+00  2.530140e+01  1.096381e+02
3 -7.893446e-01  6.015851e-02  3.343749e+00  1.763475e+00  1.075617e-01  2.910000e+00 0 2 -1.000000e+00
-2.591164e+00  1.135018e-01  7.404603e+00  0.000000e+00  5.064639e-01 -3.291503e-01  1.366791e-02  9.975114e-03
 7.464967e-01 -8.818232e-02 -7.964520e-01  3.515512e+02  1.071520e+00 -1.094629e+00  2.499412e-01  2.446047e-01
 2.488898e-02 -2.647965e-03  1.788176e-03  3.874664e+02  2.581070e+01 -7.216922e+00  2.063452e+00  2.405765e+01
3  2.380395e-02 -4.119701e-02  2.763275e-01  1.392390e-01  9.120564e-01  1.430000e+00 0 1 -1.000000e+00
 1.331943e-01 -1.700193e-01  2.182012e+00  0.000000e+00  2.865417e-01  7.038607e-02  2.139530e-01  6.643072e-02
 3.294080e-02  8.748053e-02 -2.392409e+00  2.249706e+00  9.915965e-01  4.763928e-01 -4.371605e-01  6.559891e-01
-2.278398e-03  9.010949e-03  1.522650e-01  2.414213e+00  3.690243e+00  3.731831e-01 -7.284529e-01  3.125905e+00
3 -8.265228e-02 -1.136712e-01  8.412219e-01  3.846920e-01  5.406923e-01  2.710000e+00 0 1 -1.000000e+00
-4.506216e-01 -3.361011e-01  2.074910e+00  0.000000e+00  2.326175e-01 -5.265019e-02 -3.227310e-01  5.029430e-02
