# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3 -1.337067e-01 -5.573049e-02  7.348180e-01  3.628265e-01  4.746424e-01  2.980000e+00 0 1 -1.000000e+00
-4.155885e-01 -2.103473e-01  2.409962e+00  0.000000e+00  1.970422e-01 -2.934951e-01 -3.790218e-01  2.645477e-02
 2.591789e-01  8.059365e-02 -1.143870e+00  4.489226e+01  3.294588e-01 -9.254084e-01 -6.837177e-01  1.235834e-01
 6.193264e-04  1.883897e-04  3.155137e-05  8.475227e+01  1.802369e+02 -1.978532e+01  6.329100e+00  1.796047e+02
3  3.872578e-02 -2.512688e-02  4.133520e-01  2.124391e-01  7.041502e-01  2.460000e+00 0 3 -1.000000e+00
 2.544641e-01 -6.548387e-02  3.251819e+00  0.000000e+00  3.161858e-01 -3.318626e-01  2.234923e-01  8.889208e-02
-1.077686e-01  1.336325e-01 -2.289769e+00  1.309236e+00  5.460905e-01  2.278008e-01  7.686781e-01  2.546974e-01
-1.384699e-03  9.587290e-04  1.769866e-03  2.260602e+00  2.521736e+01 -1.047723e+00  4.513128e+00  2.437519e+01
3 -2.183707e-01  1.224548e+00  7.794314e+00  4.061188e+00  7.754631e-01  3.380000e+00 0 3 -1.000000e+00
 7.726495e-01 -2.132320e+00 -3.637580e+00  7.116762e+02  9.132995e-01  4.297693e-01  3.126073e-01  1.123467e-02
-3.773673e-01  5.576687e+00  4.690848e+00  0.000000e+00  4.465034e-01  3.020538e-01  4.405567e-02  6.324538e-04
 2.689218e-02 -3.668723e-02  3.746419e-03  8.020537e+02  1.884815e+01 -3.802051e+00  6.097491e+00  1.546927e+01
3  2.856733e-02 -3.348516e-03  4.953922e-01  2.593927e-01  5.392973e-01  2.110000e+00 0 3 -1.000000e+00
 2.531365e-01 -1.036907e-01  7.086526e+00  0.000000e+00  2.297102e-01 -4.600647e-01  4.904835e-01  8.109694e-02
-2.365263e-01 -2.856604e-02 -3.821744e+00  4.333895e+00  3.158788e-01 -8.442077e-01 -1.303680e-01  1.572515e-01
-2.526190e-04 -3.205848e-06  9.640251e-05  1.845827e+01  1.042733e+02 -1.217884e+01 -1.199507e+01  1.037209e+02
1  8.167257e-02 -1.844136e-01  0.000000e+00  6.454874e-02  0.000000e+00  1.560000e+00 0 2  3.029268e-01
-7.811535e-02 -6.640731e-02  8.627431e+00  0.000000e+00  5.259047e-01 -1.108258e-01 -3.107646e-01  9.019382e-03
3  2.441563e-02 -1.987624e-02  4.542444e-01  2.274006e-01  5.141652e-01  1.400000e+00 0 3 -1.000000e+00
 1.837627e-01 -1.736400e-01  3.633677e+00  0.000000e+00  2.160512e-01 -7.780238e-03  5.825048e-01  8.111161e-02
-1.952640e-01  7.671313e-02 -7.067139e+00  2.958839e+00  2.988956e-01 -5.612923e-01  5.639134e-01  1.484767e-01
-2.601772e-04  1.846445e-04  1.497467e-04  1.034359e+01  8.297902e+01 -6.157436e+00  2.168221e+00  8.251319e+01
3 -2.792797e-03 -1.921128e-03  2.556824e-02  9.655723e-03  8.754658e-01  4.440000e+00 0 3 -1.000000e+00
-4.120080e-03 -1.653022e-02  2.371221e+00  0.000000e+00  3.385381e-01 -3.039075e-02 -1.220024e-01  7.525729e-02
-8.070618e-03  6.076634e-03 -8.070580e+00  5.651286e-02  6.389502e-01 -3.369820e-01  3.751092e-01  2.929785e-01
-6.472131e-03  8.929610e-03  9.218613e+00  5.623467e-02  5.392651e-01 -1.116296e-01  3.022240e-01  2.172215e-01
3  2.726261e-01 -3.788425e-01  1.061291e+00  4.737274e-01  1.178050e-01  3.710000e+00 0 1 -1.000000e+00
 5.123299e-01 -6.821914e-01  1.611077e+00  0.000000e+00  1.613529e-01  1.007456e-01  2.692146e-01  2.523939e-02
-6.201252e-03  7.697425e-03  7.704089e-04  3.929523e+01  3.943923e+01  1.633247e+00  1.330019e+01  3.895695e+01
-1.273795e-01  1.646322e-01 -1.897930e-01  3.629359e+01  1.079093e+00  6.708883e-01  2.196603e+00  8.358760e-01
3  9.494781e-02  1.618949e-01  1.070837e+00  4.774519e-01  1.906846e-01  2.460000e+00 0 2 -1.000000e+00
 3.615338e-01  5.906831e-01  1.634877e+00  0.000000e+00  1.794963e-01  1.173997e-01 -2.185795e-01  3.265033e-02
-1.598828e-01 -3.446333e-01 -8.573726e+00  1.797442e+01  3.349695e-01  5.069539e-01 -5.494531e-01  1.497900e-01
