# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
2  2.184133e-01  1.633440e-01  2.173202e+00  1.129375e+00  3.957672e-01  2.150000e+00 0 2 -1.000000e+00
-4.750402e-01 -5.197929e-01 -2.315970e+00  3.559118e+02  8.939437e-01  1.062064e-01 -6.570789e-01  1.553787e-02
 1.495126e+00  3.974045e-01  5.851849e+00  0.000000e+00  5.204852e-01 -2.011003e-01 -1.364071e-01  1.116680e-03
3 -1.982511e+00 -5.066012e-01  1.228402e+00  5.984165e-01  2.804228e-01  3.040000e+00 0 1  2.957313e-01
-7.596022e-01 -4.469637e-01  2.719429e+00  0.000000e+00  2.949879e-01 -8.805506e-02 -3.486606e-01  6.380794e-03
 2.701478e-01  2.228014e-01 -7.625900e-01  5.742471e+01  6.449353e-01 -1.297041e-01 -1.191876e+00  7.847956e-02
 8.958408e-04  5.900524e-04  1.941256e-05  7.994819e+01  2.301840e+02 -2.868025e+01 -1.377299e+01  2.272254e+02
3 -5.951354e-02 -6.914725e-02  2.608683e-01  1.224561e-01  3.982291e-01  1.680000e+00 0 1 -1.000000e+00
-1.284804e-01 -1.622502e-01  1.563834e+00  0.000000e+00  1.525847e-01 -1.400649e-02 -2.801118e-01  7.800367e-02
 2.875897e-02  4.590367e-02 -6.227644e-01  2.819125e+01  1.273717e+00  4.545696e-01 -1.214097e+00  1.160485e+00
 6.399726e-03  1.026247e-02  4.840045e-02  2.874434e+01  6.186230e+00  1.425198e+00 -2.050567e+00  6.029492e+00
5 -1.621724e-02 -5.719954e-02  1.353807e+00  6.515170e-01  1.000000e+00  3.380000e+00 0 2 -1.000000e+00
-2.967979e-01 -7.197068e-01  3.947603e+00  0.000000e+00  3.701549e-01  1.958763e-01 -3.240665e-01  6.600004e-02
-2.728875e-01  5.605684e-01 -5.557527e+00  9.720642e+00  5.241986e-01  2.544900e-01  5.844296e-01  1.185488e-01
 4.932987e-01  3.796296e-01  2.469228e+01  8.001332e+00  3.940857e-01 -2.977036e-01 -4.878588e-01  5.912030e-02
 5.631524e-01  2.033159e-01 -2.287329e+01  8.022110e+00  3.965131e-01 -5.613378e-01 -3.046563e-01  5.147532e-02
 1.691966e-04  1.107129e-03  2.910115e-04  3.095234e+01  6.341940e+01  2.140571e+01 -1.298951e+00  6.131976e+01
3 -8.151405e-01  1.417939e+00  1.574170e+00  7.713935e-01  5.676555e-01  1.660000e+00 0 3  3.082308e-01
-1.088923e+00 -1.169712e-01  3.786352e+00  0.000000e+00  4.259559e-01 -2.486421e-01 -5.997740e-02  8.060076e-02
 4.542858e-01  1.937028e-01 -6.670158e+00  7.620317e+00  8.485707e-01 -2.805227e-01 -3.068539e-01  3.320252e-01
 6.945557e-02  2.009182e-02  2.961939e-01  8.149605e+00  2.885455e+00 -2.619955e-01 -3.318587e-01  1.900000e+00
5  6.204698e-01  1.541001e+00  2.419661e+00  1.230624e+00  1.000000e+00  1.820000e+00 0 3  3.093603e-01
 8.928253e-01 -7.627875e-01 -5.128900e+00  8.229683e+00  4.610165e-01 -1.079514e-01  6.883482e-01  4.539456e-02
-1.145284e+00 -5.255823e-01  9.755335e+00  0.000000e+00  3.563986e-01 -3.672564e-01 -4.205205e-01  6.885133e-03
-9.185535e-01  8.414781e-01 -1.117495e+01  2.046574e+00  4.224333e-01 -5.692817e-02  6.479417e-01  3.686853e-02
 4.095023e-01  1.191376e+00  1.219122e+01  5.283045e-01  3.754107e-01  4.350980e-01 -3.446377e-01  5.052731e-03
 3.116116e-04 -2.228627e-04  4.627291e-05  5.627071e+01  1.622803e+02 -2.557236e+01  6.120835e+01  1.485403e+02
3  3.011837e-01 -5.878699e-01  1.158126e+00  5.867103e-01  8.740772e-01  2.430000e+00 0 3  2.918994e-01
-7.033325e-01 -3.343304e-01  2.979801e+00  0.000000e+00  3.507899e-01 -2.165803e-01 -1.974179e-01  6.359522e-03
 4.443853e-01 -1.794128e-01 -3.409082e+00  2.227938e+01  6.620396e-01 -3.718408e-01  5.189275e-01  5.264073e-02
 4.479693e-03  2.172343e-04  1.768110e-03  3.402018e+01  2.576687e+01 -6.589071e+00  2.099113e+00  1.970776e+01
4  3.490876e-01 -2.725283e-01  1.023498e+00  4.453368e-01  1.000000e+00  3.140000e+00 0 2  2.755641e-01
-8.604020e-02 -3.167297e-01 -1.182831e+00  8.380443e+01  7.636325e-01  8.583153e-01 -4.057016e-01  2.093596e-02
 6.285206e-01  1.658844e-01  1.557241e+00  0.000000e+00  1.700810e-01 -1.868731e-01 -1.080859e-01  1.926045e-03
-2.665820e-01  2.671028e-01 -3.279536e+00  7.363169e+01  5.409201e-01  7.427977e-02  7.142535e-01  1.435536e-02
-3.902737e-01  6.787331e-02  4.872305e+00  7.254444e+01  3.503296e-01 -4.190078e-01  2.031315e-01  8.906884e-03
3 -1.300382e-01 -1.002479e-01  1.150899e+00  5.593698e-01  1.759531e-01  9.800000e-01 0 2 -1.000000e+00
-5.541635e-01 -4.818080e-01  2.148675e+00  0.000000e+00  2.366786e-01 -8.750178e-02 -3.310587e-01  6.051686e-02
 4.214015e-01  1.287989e-01 -1.221164e+01  1.921577e+01  4.286837e-01 -5.341722e-01 -3.506443e-01  1.966967e-01
 6.021268e-03  5.363869e-03  5.909442e-03  2.814763e+01  1.405562e+01  9.977819e-01  4.826536e-01  1.344271e+01
3 -1.043684e-01  1.027929e-01  7.420148e-01  3.335103e-01  5.994670e-01  2.350000e+00 0 3 -1.000000e+00
-3.514226e-01  3.599045e-01  1.922180e+00  0.000000e+00  2.407192e-01 -2.598729e-02  2.357742e-01  2.943198e-02
 1.609288e-01 -1.768282e-01 -3.206482e+00  7.645050e+01  4.746625e-01  4.562959e-02  7.653533e-01  1.884167e-01
 2.689537e-03 -2.814165e-03  1.485114e-03  1.007827e+02  2.700925e+01  7.951046e-01  1.581136e+00  2.630335e+01
1  1.725514e+00 -1.866680e+00  0.000000e+00  2.382629e+00  0.000000e+00  2.460000e+00 0 2 -1.000000e+00
 2.749720e+00 -4.475886e+00  3.791546e+00  0.000000e+00  4.194935e-01  1.136072e-01  2.456349e-01  1.729991e-03
3 -2.710053e-02  2.849933e-01  9.616504e-01  4.329344e-01  3.488065e-01  2.590000e+00 0 1 -1.000000e+00
-9.112550e-03  6.746129e-01  1.553679e+00  0.000000e+00  1.426713e-01  2.981505e-01  4.985277e-02  7.901674e-03
 3.657615e-02 -2.859516e-01 -5.419335e-01  7.903487e+01  2.894333e-01  1.460046e+00  4.673510e-01  8.639503e-02
 3.817349e-06 -2.391794e-04  9.898685e-07  1.368820e+02  1.013314e+03  9.974210e+01 -6.779269e+01  1.012509e+03
5  2.684325e-02  3.624988e-02  1.285195e+00  6.457062e-01  1.000000e+00  1.640000e+00 0 3 -1.000000e+00
-2.139562e-01 -5.449599e-01 -2.341382e+00  1.818290e+01  4.864692e-01  5.701527e-01 -6.047628e-01  1.089542e-01
-5.007778e-01  4.533056e-01  5.447224e+00  3.468352e+00  3.435599e-01 -5.607197e-02  4.941556e-01  2.457461e-02
 1.188528e-01  6.438522e-01 -4.727567e+00  6.632762e+00  4.527882e-01  6.547818e-01 -2.867523e-01  9.985585e-02
 6.884072e-01 -3.410095e-02  4.814263e+00  0.000000e+00  3.469680e-01 -4.672552e-01  2.018067e-02  1.533579e-02
-6.590097e-05 -1.510996e-04  1.073886e-05  8.904407e+01  3.276778e+02  1.085135e+02 -4.270239e+01  3.260868e+02
3  1.896443e-01 -1.717576e-01  7.281937e-01  3.435347e-01  2.125048e-01  1.940000e+00 0 1 -1.000000e+00
 4.006970e-01 -3.869041e-01  2.024660e+00  0.000000e+00  2.286299e-01 -5.708869e-02  3.127980e-01  2.057467e-02
-1.198872e-01  1.222698e-01 -4.302500e-01  6.648576e+01  7.219921e-01 -7.279572e-02  1.547973e+00  4.017005e-01
-3.872179e-03  4.165653e-03  1.107571e-03  7.508499e+01  3.151413e+01  2.418410e+00  4.731426e+00  3.086593e+01
