# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  2.645309e+00 -1.211462e+00  1.755319e+00  8.973264e-01  4.011610e-02  1.050000e+00 0 2  2.988027e-01
 4.121607e-01 -1.401453e+00  4.833210e+00  0.000000e+00  4.145638e-01  2.727308e-01  2.478943e-01  1.103502e-02
-6.353732e-03  1.206738e-02  7.494997e-04  1.093385e+02  4.049579e+01  9.040786e+00  1.199826e+01  3.839121e+01
-1.486990e-01  2.618517e-01 -1.938895e-01  1.027088e+02  1.567731e+00  1.119576e+00  2.055832e+00  6.124509e-01
3 -1.139458e+00  7.468376e-02  1.417123e+00  6.569829e-01  8.260814e-01  2.230000e+00 0 1  2.885171e-01
-2.676019e-01 -1.076304e+00  1.516576e+00  0.000000e+00  1.690411e-01  1.756944e-01 -1.561867e-02  3.271487e-03
 2.962001e-01  2.238363e-01 -1.252815e+00  1.141941e+02  9.430655e-01 -3.726325e-01 -8.139957e-01  7.619402e-02
 3.579487e-03  9.134373e-03  2.373603e-03  1.261792e+02  2.172097e+01  1.145521e+00 -2.597333e+00  1.778898e+01
3 -2.006176e-01  2.373725e-01  1.245742e+00  6.018803e-01  2.491896e-01  1.770000e+00 0 1 -1.000000e+00
 2.795537e-01 -2.231727e-01 -6.335005e-01  8.681288e+01  6.652934e-01 -2.930544e-01  1.266759e+00  2.344105e-01
-3.554659e-01  8.485659e-01  2.542243e+00  0.000000e+00  3.121940e-01  1.150636e-01  2.578450e-01  1.316412e-02
 2.335815e-03 -2.114768e-03  1.460274e-04  1.140939e+02  8.650153e+01 -1.041294e+01  1.881633e+01  8.539376e+01
1  2.472010e+00 -8.230040e-01  0.000000e+00  1.563047e+00  0.000000e+00  1.970000e+00 0 2  2.742529e-01
-1.946474e+00  2.608763e+00  6.540228e+00  0.000000e+00  5.263513e-01  5.331552e-02  2.619174e-01  6.351777e-04
3  3.696892e-01 -2.842991e-01  1.375263e+00  7.080752e-01  1.843083e-01  1.170000e+00 0 1 -1.000000e+00
 8.189864e-01 -7.927997e-01  2.394367e+00  0.000000e+00  2.763153e-01  5.955619e-02  3.201963e-01  5.838769e-02
-2.253623e-01  1.020090e-01 -4.413017e-01  2.659548e+01  2.438753e+00 -1.295820e+00  1.629995e+00  2.024829e+00
-8.841559e-02  4.009326e-02  9.435143e-02  2.672248e+01  6.119685e+00 -2.776776e+00  2.811052e+00  5.582039e+00
1  3.609303e-01 -1.573216e+00  0.000000e+00  9.132363e-01  0.000000e+00  2.570000e+00 0 2  3.027081e-01
-1.363277e+00  9.564182e-02  3.210733e+00  0.000000e+00  3.202794e-01 -3.747884e-01  1.004904e-01  3.500528e-02
5 -9.773196e-02  5.138770e-02  2.172823e+00  1.176497e+00  1.000000e+00  1.580000e+00 0 2 -1.000000e+00
 8.614142e-01 -5.582172e-01 -3.307127e+00  1.985423e+01  5.093864e-01 -2.897768e-01  6.775753e-01  2.487533e-01
-1.206390e+00 -4.040849e-01  8.498545e+00  0.000000e+00  3.978318e-01 -4.238545e-01 -2.555127e-01  1.477186e-01
-5.945245e-01  1.054669e+00 -4.697232e+01  2.512469e+00  4.180399e-01  2.776015e-01  5.318873e-01  1.716739e-01
 3.539177e-03 -1.882096e-03  1.629519e-03  5.858649e+01  2.603495e+01 -1.935360e+00  3.053754e+00  2.539882e+01
-3.459575e-01  1.171694e+00  4.367882e+01  2.495164e+00  4.105817e-01  4.476622e-01  3.523040e-01  1.654555e-01
1 -6.837391e-01  4.556466e+00  0.000000e+00  2.823146e+00  0.000000e+00  1.670000e+00 0 2  2.743533e-01
 9.798249e+00 -7.777141e-01  3.360692e+00  0.000000e+00  3.950386e-01 -1.647383e-01  2.031794e-01  9.088203e-05
1 -2.689553e+00  1.648212e+00  0.000000e+00  9.937417e-01  0.000000e+00  2.790000e+00 0 2  2.816581e-01
-1.162735e+00  1.763584e+00  7.343875e+00  1.132789e+02  6.221034e-01 -1.866985e-02  7.930566e-02  2.394902e-03
5 -6.169876e-01  3.308576e+00  3.394988e+00  1.533442e+00  1.000000e+00  2.900000e+00 0 3  2.908842e-01
 9.405635e-01 -9.805418e-01 -5.394249e+00  9.752719e+01  5.454818e-01  1.074702e-01  6.167816e-01  1.014913e-02
-1.878993e+00 -2.724136e-01  3.237187e+00  0.000000e+00  3.560220e-01 -3.160478e-01 -7.688482e-02  2.529459e-03
 1.445188e+00  4.173469e-01  1.099866e+01  8.905773e+01  4.817872e-01 -3.520976e-01 -2.316281e-01  5.136489e-03
 6.845641e-01  1.232238e+00 -7.070942e+00  9.277441e+01  5.415082e-01  3.895695e-01 -4.470729e-01  1.329918e-02
 3.348212e-03  3.940040e-04  5.967452e-04  2.081333e+02  4.196724e+01  4.637126e-01 -1.530476e+00  3.258974e+01
1  3.795863e+00  4.496547e+00  0.000000e+00  4.607040e+00  0.000000e+00  2.380000e+00 0 2 -1.000000e+00
 9.864163e+00  8.507644e+00  3.006413e+00  0.000000e+00  3.973899e-01  3.177477e-03 -1.746614e-01  7.977635e-04
3  1.481526e-02 -6.331409e-02  4.921697e-01  2.464193e-01  8.236396e-01  3.130000e+00 0 1 -1.000000e+00
 1.466505e-01 -2.733861e-01  2.278765e+00  0.000000e+00  2.090814e-01  2.852774e-01  3.245533e-01  6.689805e-02
 1.804682e-02  2.016846e-01 -1.876881e+00  1.252976e+01  3.653936e-01  9.318413e-01 -2.592216e-01  1.934047e-01
-1.885838e-04  7.943108e-04  2.140370e-04  2.531453e+01  7.002738e+01  8.526169e+00  4.471363e+00  6.953453e+01
1  6.663351e-01 -1.177316e+00  0.000000e+00  1.855888e+00  0.000000e+00  2.700000e+00 0 2  2.720086e-01
-2.210576e+00  3.058890e+00  3.589476e+00  0.000000e+00  3.952349e-01  1.178276e-01  2.706756e-01  3.478578e-04
1  2.227021e+00 -1.276369e+01  0.000000e+00  8.031359e+00  0.000000e+00  2.590000e+00 0 2 -1.000000e+00
-2.516821e+00 -2.084414e+01  5.131730e+00  0.000000e+00  4.361603e-01  3.507674e-01  3.370684e-03  1.142953e-03
3  2.792979e-01 -1.556013e-01  9.500856e-01  4.366013e-01  6.555446e-01  1.410000e+00 0 1 -1.000000e+00
 6.274856e-01 -3.535386e-01  1.525971e+00  0.000000e+00  1.512975e-01 -1.265527e-01  2.212685e-01  1.136046e-02
-2.085825e-01  9.774045e-02 -1.000342e+00  5.215866e+01  4.435526e-01 -6.776096e-01  9.220289e-01  2.138015e-01
-6.876583e-03  3.109249e-03  2.334095e-03  5.894588e+01  2.198712e+01  4.936566e-01 -3.432791e+00  2.147774e+01
3  1.932178e-02 -8.474112e-02  3.705648e-01  1.856508e-01  7.134793e-01  2.080000e+00 0 1 -1.000000e+00
 5.056773e-02 -2.439839e-01  2.071739e+00  0.000000e+00  1.817414e-01  4.205849e-01  9.984644e-02  4.171944e-02
-6.288803e-02  1.087853e-01 -1.478143e+00  8.114023e+00  4.796713e-01  6.694824e-01  7.064415e-01  2.901199e-01
-1.413186e-03  2.600558e-03  2.583732e-03  1.043099e+01  2.141102e+01 -2.737893e+00  4.698598e+00  2.098017e+01
5 -5.286021e-01  1.153433e+00  1.925092e+00  8.052312e-01  1.000000e+00  3.900000e+00 0 3  2.797065e-01
-3.142382e-01 -5.184659e-01 -6.197839e+00  1.491307e+02  6.946093e-01  3.218106e-01 -3.886489e-01  2.300560e-02
 1.078066e+00  7.705485e-01  3.540076e+00  0.000000e+00  4.377229e-01 -1.559563e-01 -9.671283e-02  1.411190e-03
