# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 11.00, 16.00, 10.00, 16.00, 100
1 -1.155385e+00  8.728929e-01  0.000000e+00  5.435431e-01  0.000000e+00  2.460000e+00 0 2  3.358105e-01
 9.637405e-01  6.492877e-01  3.398836e+00  0.000000e+00  4.309021e-01 -1.645317e-01  5.082656e-02  1.488510e-02
1  1.677928e+00 -4.731070e+00  0.000000e+00  2.090154e+00  0.000000e+00  1.430000e+00 0 2  2.852883e-01
 3.288094e+00 -1.387470e+00  3.406496e+00  0.000000e+00  3.845114e-01 -1.569717e-01  2.462304e-01  1.679977e-03
3 -1.964476e+00 -5.840484e+00  4.241091e+00  2.402861e+00  1.621747e-01  2.130000e+00 0 2  2.855909e-01
-3.125209e+00 -2.343896e+00  3.011083e+00  0.000000e+00  3.745450e-01 -9.147365e-03 -2.429071e-01  2.486200e-03
 4.210544e-02  4.765608e-01 -4.883215e-01  2.969256e+02  2.465368e+00  2.021276e+00 -3.310216e-01  7.590487e-01
 1.616741e-02  1.486196e-01  6.598571e-02  2.978089e+02  6.552453e+00  3.923942e+00 -5.268968e-01  4.160241e+00
1  1.034981e+00 -1.905651e+00  0.000000e+00  1.730637e+00  0.000000e+00  2.460000e+00 0 2 -1.000000e+00
 2.001812e+00 -3.875035e+00  4.934202e+00  0.000000e+00  4.762893e-01  1.291876e-01  2.343427e-01  2.945633e-03
3 -3.042600e-01 -3.242670e-01  1.724853e+00  7.011728e-01  4.072807e-01  2.020000e+00 0 1 -1.000000e+00
-7.371356e-01 -1.000178e+00  2.139686e+00  0.000000e+00  2.675424e-01  4.087939e-02 -2.597398e-01  7.062959e-03
 3.524737e-01  3.369348e-01 -8.714529e-01  9.738090e+01  4.915334e-01 -1.703092e-01 -1.173474e+00  8.657653e-02
 9.580606e-04  1.427229e-03  2.857141e-05  1.377127e+02  1.904629e+02  2.976208e+01  3.221648e+00  1.891917e+02
3 -7.726265e-01  1.374847e-02  1.891264e+00  9.809152e-01  2.344704e-02  3.270000e+00 0 2 -1.000000e+00
-1.609115e+00 -2.162063e-01  4.917851e+00  0.000000e+00  4.512119e-01 -3.095216e-01 -4.498811e-02  4.565530e-03
 6.564506e-03 -8.152466e-04  1.132288e-04  3.580503e+02  1.009174e+02 -3.071182e+01  1.444287e+01  9.936800e+01
 2.721743e-01 -2.221962e-02 -1.153090e-01  3.312125e+02  1.459199e+00 -2.962799e+00  3.240833e-01  6.491039e-01
3 -1.469196e-01 -7.554863e-02  4.434335e-01  1.885972e-01  3.122573e-01  2.520000e+00 0 1 -1.000000e+00
-3.266145e-01 -1.693289e-01  1.582628e+00  0.000000e+00  1.817571e-01 -1.135717e-01 -1.573611e-01  4.014782e-02
 6.610846e-02  3.658826e-02 -4.941871e-01  3.132612e+01  1.394277e+00 -8.161403e-01 -1.229998e+00  1.140657e+00
 1.548867e-02  8.690849e-03  3.791420e-02  3.174642e+01  6.828327e+00 -1.362943e+00 -2.395086e+00  6.469878e+00
1 -1.361022e+00 -1.269079e+00  0.000000e+00  4.052372e+00  0.000000e+00  3.000000e+00 0 2 -1.000000e+00
-3.757898e+00 -5.309584e+00  1.612569e+01  0.000000e+00  6.102965e-01  9.613313e-02 -2.839268e-01  2.092505e-02
3  2.066931e-01 -3.956746e-01  1.357310e+00  5.612127e-01  3.168854e-01  2.020000e+00 0 1 -1.000000e+00
 4.313303e-01 -1.000023e+00  1.703135e+00  0.000000e+00  2.104695e-01  8.393387e-02  1.707660e-01  3.428579e-02
-1.178399e-01  2.412272e-01 -5.396987e-01  4.321601e+01  1.145828e+00  7.802007e-01  1.124917e+00  7.886072e-01
-1.404721e-02  3.009323e-02  1.252432e-02  4.480926e+01  1.083155e+01  2.796588e+00  2.998990e+00  1.018132e+01
3 -8.338563e-03  7.933531e-03  1.704647e-01  8.328951e-02  8.327843e-01  8.900000e-01 0 3 -1.000000e+00
-8.170827e-02  5.149694e-02  5.580382e+00  0.000000e+00  3.126843e-01 -2.420651e-01  4.843637e-01  2.645390e-01
 4.365979e-02 -6.400655e-02 -4.647254e+00  1.585097e+00  4.730749e-01  2.625681e-01  6.510675e-01  4.241668e-01
 5.196075e-04 -5.317917e-04  5.333645e-03  3.570766e+00  1.489602e+01  4.776992e-01  2.319922e+00  1.478697e+01
1  3.468918e-02  5.021768e-02  0.000000e+00  9.245241e-02  0.000000e+00  2.110000e+00 0 2 -1.000000e+00
 9.308059e-02  1.434997e-01  3.025579e+00  0.000000e+00  3.725080e-01  1.137687e-01 -2.242490e-01  1.893603e-01
3 -4.834088e-01 -2.944703e-02  1.007548e+00  6.234212e-01  1.673573e-02  4.160000e+00 0 2 -1.000000e+00
-8.515915e-01  1.379115e-01  6.550260e+00  0.000000e+00  3.605294e-01 -5.016199e-01  6.807687e-02  1.826235e-02
 1.548330e-02  1.444229e-03  1.806986e-03  8.110115e+01  2.861474e+01 -1.413881e+01 -3.043011e+00  2.725809e+01
 1.482841e-01  1.380895e-02 -1.096234e-01  7.881601e+01  2.240579e+00 -3.215065e+00 -5.696802e-01  1.462394e+00
3 -6.353900e-02 -1.010911e-01  8.648644e-01  4.282199e-01  8.244344e-01  2.430000e+00 0 3 -1.000000e+00
-2.930215e-01 -4.371334e-01  2.522035e+00  0.000000e+00  2.464329e-01  1.704585e-01 -3.772296e-01  5.513184e-02
 1.776274e-01  2.884561e-01 -3.059109e+00  1.716483e+01  4.019529e-01  4.034124e-01 -7.223650e-01  1.671300e-01
 9.322960e-04  1.339486e-03  2.583984e-04  3.209881e+01  6.398128e+01  1.017818e+00 -9.778203e+00  6.320354e+01
1 -2.287059e+00 -4.450372e+00  0.000000e+00  2.534301e+00  0.000000e+00  2.000000e+00 0 2 -1.000000e+00
-3.947064e+00 -6.496218e+00  3.125716e+00  0.000000e+00  3.497775e-01  1.872407e-01 -2.603910e-01  1.563197e-03
3  1.094218e-01  1.312464e-01  1.045696e+00  5.244369e-01  8.358850e-01  3.150000e+00 0 2 -1.000000e+00
-1.287508e-01 -2.466789e-01 -4.437160e+00  1.401238e+01  1.056017e+00  3.229806e-01 -3.524071e-01  4.074852e-01
 6.171963e-01  4.861534e-01  3.708956e+00  0.000000e+00  4.152739e-01 -3.574317e-02 -2.664757e-01  7.861481e-02
-4.578078e-02 -6.639011e-02  7.041900e-01  1.427286e+01  2.304452e+00  3.033878e-01 -4.352919e-01  1.286069e+00
1  3.565147e-01  4.499499e+00  0.000000e+00  1.901559e+00  0.000000e+00  1.760000e+00 0 2 -1.000000e+00
-6.673335e-01  8.728546e+00  3.003486e+00  0.000000e+00  4.060282e-01  1.393522e-01 -2.090447e-02  5.879901e-03
5 -3.898132e+00 -2.595756e+00  2.191772e+00  1.153527e+00  1.000000e+00  1.800000e+00 0 2  2.679255e-01
 5.156584e-01 -1.265185e+00  3.804100e+00  0.000000e+00  4.727808e-01  1.224716e-01  9.301297e-03  2.499789e-03
-9.147182e-01 -1.642425e-01 -6.968554e+00  9.280508e+01  6.888857e-01 -3.839355e-01 -3.047743e-01  4.333100e-02
 3.427985e-01  3.687424e-01 -1.051758e+00  1.817084e+02  8.986468e-01  1.154788e-01 -9.735123e-01  7.201978e-02
-9.830556e-01  3.341015e-01  8.295914e+00  8.976743e+01  5.748727e-01 -2.404318e-01  4.883157e-02  2.065298e-02
 1.117364e-03  1.443283e-03  1.363634e-04  2.488168e+02  9.018791e+01 -1.961089e+01 -1.538026e+01  8.804548e+01
1 -1.917401e+00 -3.292792e+00  0.000000e+00  6.876412e-01  0.000000e+00  3.200000e+00 0 2  3.284909e-01
 3.078439e-01  8.701661e-01  3.776941e+00  0.000000e+00  4.234642e-01  2.396038e-01 -1.010889e-01  6.942566e-02
