# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3 -4.384443e-01 -2.658682e-01  1.759051e+00  8.600802e-01  1.473378e-01  3.400000e+00 0 2 -1.000000e+00
-1.107493e+00 -6.393457e-01  3.164283e+00  0.000000e+00  3.247561e-01 -1.770660e-01 -3.295065e-01  1.636549e-02
 4.133640e-01  2.445418e-01 -4.662186e-01  1.648734e+02  6.734709e-01 -6.870295e-01 -1.333990e+00  2.259780e-01
 3.409994e-03  1.882268e-03  8.877469e-05  2.156366e+02  1.089707e+02 -1.332676e+01 -1.468299e+01  1.078246e+02
5 -8.215755e-02 -2.347342e-01  1.677810e+00  8.773876e-01  1.000000e+00  2.650000e+00 0 2 -1.000000e+00
-1.048595e+00 -6.321674e-01  2.501621e+00  0.000000e+00  3.361855e-01 -1.412083e-01 -1.448072e-01  1.030704e-01
 6.275690e-01 -7.064616e-01  7.690788e+00  7.291596e+00  4.405039e-01  1.225130e-02  4.276214e-01  1.854257e-01
 2.664442e-01 -9.361573e-01 -6.136989e+00  7.474966e+00  6.199891e-01  4.117458e-01  3.712411e-01  3.597551e-01
 4.531279e-02  3.008941e-01 -1.753542e+00  2.035705e+01  2.325617e+00  1.485072e+00 -3.494196e-01  1.974434e+00
 3.068500e-02  1.818378e-01  9.684620e-01  2.037791e+01  3.188933e+00  1.873987e+00 -4.970270e-01  2.799626e+00
3 -3.525033e-02 -4.992736e-03  5.304624e-01  2.985824e-01  6.059356e-01  2.300000e+00 0 3 -1.000000e+00
 2.252877e-01  1.334755e-01 -1.865484e+00  1.265070e+01  3.383175e-01 -4.203700e-01 -8.928420e-01  7.663836e-02
-3.045971e-01  1.582229e-01  3.078683e+00  0.000000e+00  2.626331e-01 -2.969042e-01  3.615849e-01  2.855124e-02
 6.606389e-05  1.239284e-05  4.181335e-06  5.469560e+01  4.936033e+02 -4.507527e+01 -3.831683e+01  4.923890e+02
5 -5.375005e-01 -4.477936e-01  4.921090e-01  2.247479e-01  1.000000e+00  1.440000e+00 0 2  2.994415e-01
 4.626680e-02 -2.045944e-01  5.865747e+00  3.150552e+00  4.346000e-01  3.613785e-01  1.363872e-01  7.206190e-02
-1.700938e-01 -9.324296e-02 -2.678790e+00  3.677028e+00  6.421413e-01 -3.261279e-01 -6.284952e-01  2.507390e-01
 1.947989e-01 -5.134713e-02 -2.676763e+00  3.565704e+00  6.708229e-01 -6.041037e-01  3.420553e-01  2.744151e-01
-4.039714e-02  2.798235e-01  2.812223e+00  0.000000e+00  3.413507e-01  2.761289e-01  4.451117e-02  3.423240e-02
 8.527743e-05 -1.317256e-03  3.533119e-03  6.450310e+00  1.808132e+01 -2.929598e+00 -3.909751e-01  1.678432e+01
5  4.574775e-03  1.148836e-02  1.708875e-01  8.783620e-02  1.000000e+00  2.480000e+00 0 3 -1.000000e+00
 1.040236e-02 -7.216527e-02 -1.731282e+00  1.153609e+00  7.285702e-01  7.704830e-01  2.400766e-01  4.965490e-01
-8.432061e-02  2.391150e-02  9.669472e+00  5.848438e-01  3.993202e-01 -4.305566e-01  2.683634e-01  1.957306e-01
 8.212355e-02  6.262681e-02  2.969309e+00  0.000000e+00  3.105694e-01 -1.109192e-01 -3.552925e-01  1.239677e-01
-6.481689e-02  5.909502e-02 -8.449620e+00  5.957197e-01  4.934795e-01 -7.678181e-02  6.074669e-01  2.784319e-01
-1.798179e-04 -9.430949e-04  7.018922e-03  1.905910e+00  1.351023e+01  3.718417e+00  4.552819e-01  1.299386e+01
5  8.216222e-02 -2.321800e-02  8.315881e-01  4.535791e-01  1.000000e+00  3.090000e+00 0 2 -1.000000e+00
 3.664843e-01 -4.223074e-01  2.202257e+00  0.000000e+00  2.472715e-01  9.946587e-02  3.203548e-01  4.215115e-02
-3.726010e-01 -4.113605e-02 -8.028346e-01  1.711364e+01  7.826638e-01 -1.083880e+00 -3.435474e-01  5.144377e-01
 2.832831e-01  3.466244e-01 -2.782243e+01  7.635367e+00  3.326081e-01  2.056643e-01 -6.626133e-01  9.436188e-02
 2.324152e-01  3.799223e-01  2.889146e+01  7.632785e+00  3.124624e-01  3.305403e-01 -5.734446e-01  7.785066e-02
-2.586903e-03  2.075999e-04  6.421974e-04  3.025478e+01  4.598694e+01 -2.156652e+01 -1.247638e+00  4.522980e+01
3  3.669192e-01  2.232963e-01  1.515816e+00  7.467534e-01  3.202724e-01  2.450000e+00 0 1 -1.000000e+00
-2.837586e-01 -2.594131e-01 -7.232209e-01  5.339951e+01  8.590178e-01 -1.340575e-01 -1.176694e+00  4.417340e-01
 1.096800e+00  3.664929e-01  2.258143e+00  0.000000e+00  2.693267e-01 -1.949633e-01 -2.302847e-01  2.742333e-02
-1.739215e-02 -1.392992e-02  5.925174e-03  5.863463e+01  1.446386e+01  5.062461e-01 -3.499694e+00  1.358320e+01
3 -2.029925e-02 -1.379089e-01  7.139853e-01  3.444240e-01  6.007270e-01  2.030000e+00 0 1 -1.000000e+00
-8.516571e-02 -4.514547e-01  2.243884e+00  0.000000e+00  2.159047e-01  3.691500e-01 -1.813225e-01  2.383332e-02
-4.184810e-03  2.579233e-01 -1.347962e+00  2.589109e+01  3.952698e-01  1.050590e+00 -6.181119e-02  1.364095e-01
-3.776836e-05  8.816726e-04  5.872638e-05  4.473245e+01  1.347334e+02  1.831134e+01  2.282943e+01  1.338127e+02
1  2.453638e+00 -2.110890e+00  0.000000e+00  5.908391e+00  0.000000e+00  2.500000e+00 0 2 -1.000000e+00
 5.999015e+00 -8.337577e+00  1.272997e+01  0.000000e+00  6.089190e-01  5.849860e-02  2.663973e-01  3.297108e-03
3  3.131869e-01 -2.862185e-01  2.007062e+00  9.006725e-01  5.718014e-01  4.670000e+00 0 1 -1.000000e+00
 9.255459e-01 -9.965744e-01  2.011207e+00  0.000000e+00  2.436070e-01 -1.411733e-02  2.733447e-01  1.952909e-02
-5.049076e-01  4.112960e-01 -1.150011e+00  6.397460e+01  4.913417e-01 -2.734663e-01  1.026405e+00  1.482263e-01
-1.290675e-03  1.184896e-03  1.816251e-05  1.024543e+02  2.450101e+02 -5.324870e+00  6.673919e+01  2.435707e+02
1 -1.190082e+00 -4.214848e+00  0.000000e+00  2.606962e+00  0.000000e+00  2.180000e+00 0 2 -1.000000e+00
-5.636676e-01 -7.382975e+00  3.146890e+00  0.000000e+00  3.741828e-01  2.409737e-01 -1.257171e-01  1.161869e-03
1 -2.969308e+00 -6.675175e-01  0.000000e+00  2.921186e+00  0.000000e+00  2.200000e+00 0 2 -1.000000e+00
-6.632083e+00 -1.605401e+00  3.216476e+00  0.000000e+00  3.998480e-01 -1.823844e-01 -1.265667e-01  2.000089e-03
3  5.018671e-01 -6.633506e-02  4.340027e-01  2.178276e-01  1.146071e-01  2.830000e+00 0 1  2.763347e-01
 1.517432e-01 -2.925137e-01  2.963190e+00  0.000000e+00  2.958926e-01  3.299685e-01  2.222924e-01  2.337097e-02
