# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 11.00, 16.00, 10.00, 16.00, 100
3 -7.806748e-01 -7.973507e-01  3.626069e+00  1.446499e+00  1.652805e-01  2.800000e+00 0 1 -1.000000e+00
-2.039559e+00 -2.106893e+00  2.395836e+00  0.000000e+00  3.230722e-01 -1.873256e-03 -2.020814e-01  2.065096e-02
 4.562065e-01  5.236065e-01 -3.959849e-01  1.616516e+02  1.306865e+00  1.252360e-01 -1.613639e+00  7.088987e-01
 3.107782e-02  3.767435e-02  2.870160e-03  1.706422e+02  2.239779e+01  2.762154e+00 -1.009076e+01  2.122203e+01
3  9.790940e-01 -9.146581e-01  1.209390e+01  8.151073e+00  7.223817e-02  4.010000e+00 0 2 -1.000000e+00
-2.803321e+00  2.028913e+00 -4.021832e+00  1.484112e+03  1.122408e+00 -1.075582e-01  5.020537e-01  5.478303e-02
 8.059988e+00 -3.286239e+00  5.567461e+01  0.000000e+00  6.734686e-01 -1.401867e-01  2.626955e-01  6.573108e-03
-2.191990e-01  1.503403e-01  6.679942e-02  1.591198e+03  5.581022e+00 -1.124692e+00  2.179596e+00  3.196277e+00
1 -1.647274e+00  3.307284e+00  0.000000e+00  6.589816e+00  0.000000e+00  3.000000e+00 0 2 -1.000000e+00
-8.885367e+00  7.143837e+00  7.926269e+00  0.000000e+00  5.216867e-01 -2.275409e-02  3.195358e-01  7.882671e-04
1 -6.640122e-01 -6.791383e-02  0.000000e+00  8.031347e-01  0.000000e+00  2.170000e+00 0 2 -1.000000e+00
-1.605953e+00 -2.696818e-01  3.058307e+00  0.000000e+00  3.958150e-01 -1.942207e-01 -1.842714e-02  1.532442e-02
3 -1.565567e-01  5.694078e-01  1.347652e+00  7.372728e-01  1.474994e-01  1.510000e+00 0 1 -1.000000e+00
-2.923122e-01  1.038922e+00  1.605064e+00  0.000000e+00  1.577038e-01  2.645219e-01  1.283078e-01  1.316991e-02
 9.051742e-02 -2.532107e-01 -2.367459e-01  1.048886e+02  7.618576e-01  1.694877e+00  1.186610e+00  4.929070e-01
 3.278578e-03 -8.142246e-03  5.058543e-04  1.156871e+02  4.632196e+01  2.871314e+00  8.305551e+00  4.573544e+01
3 -6.160818e-02  1.110764e-01  1.390341e+00  5.631336e-01  6.020057e-01  4.250000e+00 0 3 -1.000000e+00
 6.919120e-02 -5.699107e-01 -1.959333e+00  7.527046e+01  5.763539e-01  8.304292e-01  1.553293e-02  6.265933e-02
-7.721969e-01  5.369377e-01  3.254675e+00  0.000000e+00  3.963529e-01 -7.115922e-02  2.282011e-01  1.484510e-02
 1.960118e-04 -3.429702e-04  5.834251e-06  1.836878e+02  4.648383e+02  1.034215e+02  1.817921e+02  4.627516e+02
5 -5.518195e-02 -7.951004e-02  1.131164e+00  6.546120e-01  1.000000e+00  2.530000e+00 0 2 -1.000000e+00
-3.913636e-02 -6.629817e-01  2.546292e+00  0.000000e+00  2.552445e-01  3.599844e-01 -1.798445e-01  2.972690e-02
 4.229153e-01  1.639429e-01 -1.657606e+00  2.962108e+01  4.019076e-01 -6.212424e-01 -7.583220e-01  1.342344e-01
-4.323330e-01  3.976444e-01  2.119349e+01  1.769719e+01  3.901904e-01 -7.534665e-02  5.648065e-01  1.407643e-01
-4.699103e-01  3.486065e-01 -2.014243e+01  1.770302e+01  4.175703e-01 -2.368869e-01  5.768495e-01  1.665315e-01
 5.655491e-04  5.793694e-04  1.501939e-04  6.961896e+01  8.440162e+01 -1.540449e+01  7.776264e+00  8.355116e+01
3  4.733637e-01 -7.600434e-02  2.311584e+00  9.646632e-01  3.719045e-01  3.690000e+00 0 3 -1.000000e+00
 1.715943e+00 -1.191869e-01  3.261946e+00  0.000000e+00  4.035412e-01 -2.216965e-01  6.950383e-03  3.271703e-03
-5.746605e-01  1.915510e-01 -1.213132e+00  1.172504e+02  8.276203e-01 -7.581021e-01  5.284964e-01  7.594861e-02
-3.297434e-03  1.239667e-03  9.345486e-05  1.472486e+02  1.072301e+02 -1.139494e+00  2.414918e+01  1.046773e+02
3  9.142414e-02  9.323013e-02  6.092275e-01  3.042037e-01  3.225803e-01  3.980000e+00 0 3 -1.000000e+00
-1.045129e-01 -1.371581e-01 -1.445886e+00  5.324205e+00  1.046169e+00  1.999534e-01 -8.085590e-01  5.836301e-01
 3.550892e-01  2.627471e-01  4.482252e+00  0.000000e+00  3.728960e-01 -1.184150e-01 -3.951394e-01  9.554965e-02
-1.640970e-02 -2.001889e-02  8.377988e-02  5.611434e+00  4.744933e+00  4.936119e-01 -1.358245e+00  3.907218e+00
3  9.094318e-02 -6.014588e-02  2.312102e+00  1.159269e+00  2.521148e-01  4.090000e+00 0 2 -1.000000e+00
 1.092704e+00 -6.917608e-01  8.059614e+00  0.000000e+00  5.305971e-01 -1.121045e-01  2.893030e-01  2.134491e-02
-8.802108e-01  5.138205e-01 -3.196803e+01  6.043221e+01  6.125819e-01 -1.959251e-01  3.781367e-01  4.110681e-02
-6.790834e-04  4.288962e-04  5.237145e-05  1.889475e+02  1.436462e+02 -1.719628e+01  3.094897e+01  1.411485e+02
3  3.369213e+00 -4.205630e+00  3.866949e+00  2.000803e+00  7.839238e-01  1.910000e+00 0 3  2.775074e-01
-6.841013e-01 -4.902978e-01 -2.432950e+00  5.116180e+02  9.939351e-01 -1.864193e-01 -6.134397e-01  5.946715e-02
 2.202208e+00  2.083127e+00  3.103554e+00  0.000000e+00  3.855022e-01 -4.001074e-02 -2.319384e-01  1.426977e-03
-1.528262e-02 -8.380958e-03  8.906550e-04  5.501343e+02  3.684440e+01 -9.916290e+00 -7.982426e+00  3.381461e+01
1  8.676898e-01 -1.649084e+00  0.000000e+00  1.241660e+00  0.000000e+00  1.580000e+00 0 2 -1.000000e+00
 1.094747e+00 -3.088422e+00  3.657030e+00  0.000000e+00  4.177973e-01  1.666344e-01  1.942860e-01  2.590872e-03
3  1.068363e-01 -1.068964e-01  1.426671e+00  5.672054e-01  6.530486e-01  3.100000e+00 0 2 -1.000000e+00
 5.867827e-01 -5.940739e-01  3.821567e+00  0.000000e+00  3.126625e-01 -5.679977e-02  4.555588e-01  7.015562e-02
-3.717550e-01  4.626176e-01 -2.495669e+00  1.705842e+01  4.723443e-01  1.078184e-01  8.170006e-01  1.893495e-01
-9.531087e-04  1.239089e-03  9.327451e-05  3.935811e+01  1.115943e+02  1.865993e+01  3.408608e+01  1.105845e+02
3  9.248300e-02  4.326410e-01  1.525190e+00  8.085363e-01  3.259874e-01  3.210000e+00 0 1 -1.000000e+00
-1.159285e-01 -3.225408e-01 -7.154244e-01  1.249555e+02  8.313806e-01  9.762527e-01 -6.878479e-01  2.827193e-01
 1.860843e-01  1.172449e+00  2.194638e+00  0.000000e+00  2.876043e-01  2.163898e-01 -7.090216e-02  1.005923e-02
-4.237497e-03 -1.081663e-02  1.460566e-03  1.382850e+02  2.809148e+01  2.469902e+00 -6.571283e+00  2.674303e+01
1 -9.768639e+00  3.117996e+00  0.000000e+00  6.148921e+00  0.000000e+00  2.830000e+00 0 2 -1.000000e+00
-1.553747e+01  1.366190e+00  3.055227e+00  0.000000e+00  3.431692e-01 -2.867877e-01  1.478901e-01  3.482974e-04
3  2.983801e-01 -6.556076e-01  2.009613e+00  9.588847e-01  1.086783e-01  3.260000e+00 0 1 -1.000000e+00
 6.653054e-01 -1.605370e+00  2.083477e+00  0.000000e+00  2.945647e-01  1.075008e-01  7.820255e-02  2.491744e-03
-4.532282e-03  7.323834e-03  3.289191e-04  2.378499e+02  5.776664e+01  9.585968e-01  1.346370e+01  5.597126e+01
-1.356515e-01  2.377285e-01 -2.264288e-01  2.250195e+02  1.187719e+00  1.163909e+00  1.759816e+00  3.971500e-01
3  4.734033e-01  2.949488e-01  3.039500e+00  1.506019e+00  4.033623e-01  2.130000e+00 0 3 -1.000000e+00
-9.187564e-01 -4.637499e-01 -1.345065e+00  8.486664e+01  5.665799e-01 -5.930718e-01 -7.612999e-01  9.917582e-02
 1.569298e+00  1.282144e+00  3.334631e+00  0.000000e+00  3.505560e-01 -9.733906e-02 -3.352900e-01  1.496640e-02
-2.431434e-03 -1.439669e-03  3.551302e-05  1.384916e+02  1.707783e+02 -1.511007e+01 -2.092094e+01  1.691211e+02
1  6.416286e-01  1.273051e+00  0.000000e+00  1.017484e+00  0.000000e+00  3.070000e+00 0 2 -1.000000e+00
 1.481928e+00  2.366641e+00  4.245532e+00  0.000000e+00  4.463184e-01  1.006988e-01 -2.467413e-01  1.554407e-03
1  3.743575e-02 -7.157509e-02  0.000000e+00  1.376032e-01  0.000000e+00  2.430000e+00 0 2 -1.000000e+00
 1.816615e-01 -1.603584e-01  3.426893e+00  0.000000e+00  3.599613e-01 -2.073682e-02  3.426513e-01  1.629352e-01
3 -1.803052e-01  4.905309e-01  1.731528e+00  5.757473e-01  2.659134e-01  1.490000e+00 0 1 -1.000000e+00
-2.862119e-02 -4.721145e-01 -4.756628e-01  4.062271e+01  9.567812e-01  1.446688e+00  1.062560e-01  6.482768e-01
-6.267884e-01  1.152811e+00  1.788789e+00  0.000000e+00  2.069420e-01  1.229459e-01  2.340678e-01  1.479136e-02
-1.183830e-03 -1.979178e-02  1.796386e-03  4.586006e+01  2.918474e+01  1.359018e+01 -7.281022e+00  2.851681e+01
3 -1.499491e-01 -1.939999e-01  9.289694e-01  5.259113e-01  6.952017e-01  1.980000e+00 0 1 -1.000000e+00
-4.593229e-01 -5.846241e-01  2.203374e+00  0.000000e+00  2.896215e-01  9.741519e-02 -2.032203e-01  4.072259e-02
 1.397050e-01  1.254110e-01 -1.531789e+00  2.735359e+01  1.236280e+00 -3.392736e-02 -8.411351e-01  7.139131e-01
 4.071865e-02  3.715254e-02  1.784867e-01  2.764929e+01  3.775532e+00 -3.410755e-01 -1.408753e+00  2.992200e+00
1 -6.627776e+00 -1.476109e+00  0.000000e+00  2.516318e+00  0.000000e+00  4.630000e+00 0 2  2.715771e-01
-5.798939e+00  2.028530e+00  7.000429e+00  0.000000e+00  5.835003e-01 -1.164587e-01 -1.306178e-01  1.115673e-04
1 -3.938215e-02 -3.601357e-01  0.000000e+00  2.316616e-01  0.000000e+00  2.820000e+00 0 2 -1.000000e+00
-5.080624e-02 -5.840080e-01  3.067963e+00  0.000000e+00  3.069982e-01  3.636130e-01 -1.486201e-01  5.362830e-02
1 -2.358903e+00 -2.271930e+00  0.000000e+00  1.860772e+00  0.000000e+00  1.920000e+00 0 2 -1.000000e+00
-3.571125e+00 -4.314972e+00  3.114993e+00  0.000000e+00  3.884077e-01  2.716436e-02 -2.286465e-01  1.102261e-03
3 -2.245260e-01  3.425097e-01  1.975875e+00  8.950963e-01  5.705168e-01  1.500000e+00 0 1 -1.000000e+00
 8.146616e-02 -5.865960e-01 -1.698430e+00  2.609775e+01  8.157488e-01  7.119053e-01  3.404677e-01  2.989580e-01
-1.188602e+00  9.270120e-01  2.977003e+00  0.000000e+00  3.578072e-01  3.654502e-03  2.765682e-01  2.368064e-02
 1.113667e-02 -3.542949e-02  2.636944e-02  2.890278e+01  7.391384e+00  1.412355e+00 -9.655870e-01  6.455596e+00
3 -2.139155e-01  1.096366e-01  1.416144e+00  7.914790e-01  3.348764e-01  1.380000e+00 0 2 -1.000000e+00
 4.063467e-01 -2.806165e-01 -1.071785e+00  9.949783e+00  9.607048e-01 -2.798027e-01  9.253527e-01  8.013243e-01
-9.879539e-01 -3.284979e-02  3.200539e+00  0.000000e+00  3.194109e-01 -3.882649e-01  2.134669e-03  1.923475e-01
 3.150155e-02 -1.785075e-02  2.849196e-02  1.153421e+01  7.475255e+00 -1.172433e+00  2.335959e+00  7.199621e+00
3  3.402990e-02  4.849048e-01  2.564193e+00  1.353300e+00  3.369218e-01  1.140000e+00 0 2 -1.000000e+00
 2.602049e-02 -7.974506e-01 -1.529597e+00  5.224260e+01  8.867943e-01  8.143358e-01  5.865106e-02  5.067998e-01
 4.762550e-01  1.726906e+00  4.539916e+00  0.000000e+00  3.911562e-01  3.487569e-01 -1.696792e-01  1.019295e-01
-1.483657e-03 -6.667620e-02  3.521049e-02  5.832919e+01  6.580647e+00  1.651310e+00  1.271774e-01  5.933185e+00
1  5.939431e-01 -8.751572e-01  0.000000e+00  1.428932e+00  0.000000e+00  2.440000e+00 0 2 -1.000000e+00
 1.455255e+00 -2.329973e+00  3.930310e+00  0.000000e+00  4.349750e-01  1.096381e-01  2.297822e-01  7.096103e-03
1  1.461168e+01  1.760311e+01  0.000000e+00  4.715725e+00  0.000000e+00  1.650000e+00 0 2 -1.000000e+00
 2.063481e+01  2.019789e+01  5.131904e+00  0.000000e+00  4.396848e-01  6.478635e-02 -3.389637e-01  4.475191e-04
3 -2.730559e-02 -6.250826e-02  4.221506e-01  2.776653e-01  5.040303e-01  1.320000e+00 0 3 -1.000000e+00
 4.026595e-02 -3.111182e-01  3.484888e+00  0.000000e+00  3.567245e-01  3.555231e-01  2.129277e-02  1.695770e-01
 9.442685e-02  1.075437e-01 -1.756489e+00  1.837712e+00  1.047339e+00  1.111106e-01 -7.478054e-01  7.796760e-01
 1.055488e-02  1.546531e-02  1.302570e-01  1.980036e+00  4.024227e+00  4.679162e-02 -1.211044e+00  3.585660e+00
3 -2.448226e+00 -1.343596e-02  2.010212e+00  1.119775e+00  1.851053e-01  3.010000e+00 0 3  3.102485e-01
-1.398274e+00  1.831027e-01  3.457224e+00  0.000000e+00  3.082405e-01 -4.139293e-01  1.339565e-01  2.615083e-02
 5.454942e-01 -3.294562e-01 -6.399505e-01  4.177940e+01  8.505111e-01 -5.154683e-01  1.148590e+00  1.854754e-01
 6.308218e-03 -2.713597e-03  2.837931e-04  5.518637e+01  6.327356e+01 -1.429733e+01  1.224288e+01  6.002745e+01
1  1.272090e-01 -1.401968e+00  0.000000e+00  1.160929e+00  0.000000e+00  3.190000e+00 0 2 -1.000000e+00
-1.446044e-01 -2.487352e+00  5.184862e+00  0.000000e+00  4.004673e-01  4.038308e-01  5.908434e-02  5.742223e-02
3  3.665813e-01 -3.763775e-01  3.150632e+00  1.900300e+00  4.750590e-01  3.060000e+00 0 3 -1.000000e+00
 1.114892e+00 -1.924152e+00  3.626165e+00  0.000000e+00  4.128247e-01  1.044545e-01  2.410201e-01  7.101017e-03
-9.066248e-01  4.924473e-01 -1.722642e+00  1.352245e+02  7.032282e-01 -4.222733e-01  7.001873e-01  9.496460e-02
-4.895061e-03  3.198404e-03  2.065117e-04  1.904807e+02  7.263995e+01 -1.638524e+01  4.633134e+00  7.080351e+01
3 -2.371857e-01  3.716484e-02  1.137896e+00  5.233870e-01  6.588992e-01  2.140000e+00 0 1 -1.000000e+00
 3.397225e-01 -1.624087e-02 -1.664875e+00  3.860692e+01  7.446706e-01 -8.120806e-01  7.977437e-02  3.908331e-01
-7.822454e-01  1.734840e-01  2.526752e+00  0.000000e+00  3.021077e-01 -2.728233e-01  1.298310e-01  5.906762e-02
 1.966543e-02 -2.095563e-03  1.376384e-02  4.393686e+01  9.763622e+00 -2.034136e+00  9.609386e-02  9.043313e+00
1  2.371300e+00  4.297821e-01  0.000000e+00  6.726870e-01  0.000000e+00  1.270000e+00 0 2  3.034310e-01
-5.773428e-01 -6.850491e-01  5.036556e+00  0.000000e+00  4.689251e-01  4.033940e-02 -2.861205e-01  1.761551e-01
1  2.017019e+00  1.454489e+00  0.000000e+00  2.201862e+00  0.000000e+00  1.710000e+00 0 2 -1.000000e+00
 3.465197e+00  4.320719e+00  3.121690e+00  0.000000e+00  4.077256e-01 -4.215842e-02 -1.693291e-01  6.060583e-03
3 -5.178092e-01 -3.064903e-01  1.515748e+00  7.677295e-01  7.871205e-02  3.230000e+00 0 2 -1.000000e+00
-9.871543e-01 -5.757221e-01  3.047834e+00  0.000000e+00  2.335959e-01 -2.581818e-01 -4.388799e-01  3.378398e-02
 3.184204e-01  1.943216e-01 -2.399013e-01  3.769947e+01  8.842946e-01 -9.505832e-01 -1.810569e+00  5.566605e-01
 8.822141e-03  5.381117e-03  4.886413e-04  4.356299e+01  4.792864e+01 -5.321336e+00 -1.129112e+01  4.717581e+01
1 -1.674919e-01  6.772850e-02  0.000000e+00  3.387210e-01  0.000000e+00  2.830000e+00 0 2 -1.000000e+00
-5.282428e-01  7.550753e-02  3.224439e+00  0.000000e+00  3.838048e-01 -2.316718e-01  1.260681e-01  6.758077e-02
1 -8.487347e-01 -1.493830e+00  0.000000e+00  1.152563e+00  0.000000e+00  1.830000e+00 0 2 -1.000000e+00
-1.841680e+00 -2.749914e+00  3.070132e+00  0.000000e+00  3.905281e-01  1.170980e-01 -1.789558e-01  8.622009e-03
3 -7.150215e-03 -1.699881e-02  1.051912e-01  8.443333e-02  8.302677e-01  1.300000e+00 0 3 -1.000000e+00
 7.723117e-04 -8.521214e-02  3.080050e+00  0.000000e+00  3.593055e-01  2.929045e-01 -5.129171e-03  1.407687e-01
 2.267005e-02  1.767459e-02 -2.557266e+00  8.747224e-01  1.391980e+00 -2.282581e-01 -7.018467e-01  1.106257e+00
 7.174159e-03  6.935006e-03  7.255366e-01  8.832142e-01  2.544270e+00 -3.887098e-01 -9.248693e-01  2.178547e+00
3 -1.300520e-01  2.381734e-01  7.698753e-01  3.460137e-01  2.392353e-01  1.100000e+00 0 1 -1.000000e+00
-3.426402e-01  4.777053e-01  1.617452e+00  0.000000e+00  1.660019e-01  1.286979e-01  2.464413e-01  3.179971e-02
 7.687008e-02 -1.678325e-01 -3.869515e-01  2.148098e+01  7.756482e-01  1.098633e+00  1.194840e+00  5.501093e-01
 3.176087e-03 -6.101886e-03  1.162960e-03  2.421496e+01  3.139451e+01  4.955136e+00  6.276749e+00  3.091324e+01
3  3.790657e-01  2.091316e-01  1.464116e+00  5.533070e-01  1.173157e-01  1.820000e+00 0 2 -1.000000e+00
 8.138162e-01  6.564511e-01  3.265366e+00  0.000000e+00  3.010900e-01 -2.061176e-01 -3.738267e-01  3.283358e-02
