# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  1.770866e-02 -2.807446e-01  1.131695e+00  5.723357e-01  1.837668e-01  2.080000e+00 0 3 -1.000000e+00
 1.677883e-01 -7.596175e-01  3.363685e+00  0.000000e+00  2.958892e-01  4.196735e-01  1.495098e-01  3.203169e-02
-3.864869e-03  3.589841e-01 -6.181335e-01  5.531683e+01  5.988032e-01  1.333691e+00  1.270031e-03  2.402793e-01
-1.819378e-04  3.018138e-03  1.685582e-04  7.788376e+01  7.943756e+01  1.473987e+01  1.587487e+00  7.852164e+01
1  4.017071e+00 -2.635700e+00  0.000000e+00  2.557992e+00  0.000000e+00  2.180000e+00 0 2  3.017687e-01
-1.498725e-01  4.446069e+00  3.348655e+00  0.000000e+00  4.156544e-01  2.059286e-01  2.063470e-02  3.960625e-03
3 -3.290951e-01 -1.120530e-01  1.110005e+00  6.057351e-01  1.124256e-01  3.780000e+00 0 3 -1.000000e+00
-8.242017e-01 -3.837676e-01  5.232106e+00  0.000000e+00  3.859336e-01 -2.743020e-01 -3.327286e-01  1.421985e-01
 1.916333e-01  6.365886e-02 -5.882225e-01  2.876825e+01  2.376575e+00 -1.540092e+00 -1.105944e+00  1.914986e+00
 8.742099e-02  2.961450e-02  1.717307e-01  2.886227e+01  4.874400e+00 -2.427111e+00 -1.815773e+00  4.299093e+00
3 -1.276502e-01  1.929673e-02  1.095979e+00  6.212581e-01  2.982947e-01  1.420000e+00 0 3 -1.000000e+00
-6.031394e-01 -3.583390e-01  4.104916e+00  0.000000e+00  2.674307e-01 -3.302873e-01 -4.289029e-01  7.771167e-02
 4.720098e-01 -1.456797e-01 -1.224475e+00  1.605329e+01  4.764442e-01 -8.908279e-01  5.451726e-01  2.560039e-01
 2.306553e-03 -5.882231e-04  4.285410e-04  3.412862e+01  5.027119e+01 -5.873371e+00  7.723625e+00  4.962843e+01
3  2.060738e-01  4.577460e-01  1.096013e+00  4.685148e-01  1.225441e-01  9.400000e-01 0 1 -1.000000e+00
 4.039585e-01  7.650151e-01  1.354156e+00  0.000000e+00  1.072927e-01  1.412048e-01 -1.962651e-01  8.861606e-03
-6.105509e-02 -2.274605e-01 -1.659438e-01  1.099786e+02  5.751731e-01  1.966684e+00 -1.529304e+00  4.349758e-01
-3.919075e-04 -2.432331e-03  3.237132e-05  1.326901e+02  1.896564e+02  6.741961e+01  1.242080e+01  1.893729e+02
3  4.278784e-01 -7.071574e-01  2.316271e+00  9.695139e-01  1.228912e-01  2.220000e+00 0 1 -1.000000e+00
 8.769539e-01 -1.664177e+00  1.929801e+00  0.000000e+00  2.588360e-01  8.554830e-02  1.543293e-01  1.209948e-02
