# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  3.082258e-01  1.944922e-01  5.451585e-01  2.599515e-01  2.344199e-01  2.890000e+00 0 1  2.739635e-01
 1.754323e-02 -4.262152e-01  2.233832e+00  0.000000e+00  2.649468e-01  2.993514e-01  5.505237e-02  1.307912e-02
-1.794646e-02  1.177869e-01 -5.236548e-01  5.618984e+01  8.325649e-01  1.325773e+00  4.242831e-01  3.358876e-01
-6.020147e-04  4.630636e-03  1.612150e-03  6.163935e+01  2.627022e+01  4.029789e+00  1.433507e+00  2.509449e+01
3 -8.678290e-01 -2.066322e+00  1.485686e+00  7.332837e-01  2.674853e-01  1.170000e+00 0 2  2.852635e-01
-4.800723e-01 -1.005209e+00  3.050492e+00  0.000000e+00  3.400275e-01  2.215328e-01 -2.422207e-01  1.664213e-02
 1.429908e-01  3.435144e-01 -8.159618e-01  7.082605e+01  7.208359e-01  7.934006e-01 -8.209724e-01  2.626889e-01
 4.558661e-03  1.132877e-02  2.166083e-03  8.053795e+01  2.259233e+01  1.888701e+00 -9.993326e-01  2.166836e+01
3 -7.046047e-02 -7.466763e-02  5.425011e-01  2.565675e-01  6.645465e-01  2.220000e+00 0 3 -1.000000e+00
-2.350440e-01 -3.036065e-01  2.423611e+00  0.000000e+00  3.050293e-01  3.842357e-02 -2.624890e-01  2.997755e-02
 1.243688e-01  1.027552e-01 -3.647015e+00  7.507615e+00  6.966175e-01 -1.885085e-01 -5.750672e-01  2.024351e-01
 5.955146e-03  7.362232e-03  2.070976e-02  8.464325e+00  8.062962e+00  6.079544e-01 -1.108793e+00  6.785451e+00
2  1.287776e+00  1.646906e+00  1.049533e+00  4.568033e-01  1.186927e-01  2.000000e+00 0 1  3.019840e-01
 7.164627e-01  4.467304e-01  1.734128e+00  0.000000e+00  2.087648e-01  1.329059e-03 -2.222451e-01  2.414567e-03
