# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 10.00, 16.00, 9.00, 16.00, 100
3  5.684380e+00 -2.794729e+00  3.014526e+00  1.850073e+00  1.507585e-01  1.270000e+00 1 2  3.041917e-01
-1.907459e+00 -1.635968e+00  6.917118e+00  0.000000e+00  4.844806e-01 -1.046051e-01 -3.320379e-01  1.096396e-02
 5.820209e-01  6.398889e-02 -1.042814e+00  6.514167e+01  1.678685e+00 -1.139829e+00 -3.469093e-01  5.173418e-01
 1.678585e-01  1.425144e-02  1.429786e-01  6.574592e+01  4.500720e+00 -2.273537e+00 -3.033397e-01  2.736483e+00
3 -1.255364e-01 -2.129214e-01  1.229298e+00  5.550381e-01  2.361334e-01  1.150000e+00 1 2 -1.000000e+00
-4.143862e-01 -7.679498e-01  2.035800e+00  0.000000e+00  2.693744e-01  9.470128e-02 -1.834068e-01  2.742905e-02
 1.725709e-01  3.121685e-01 -8.621396e+00  2.319108e+01  5.758478e-01  2.403298e-01 -4.879930e-01  2.105155e-01
 8.889768e-03  1.926290e-02  2.608937e-02  2.608230e+01  7.219007e+00  4.017070e-01  4.299968e-01  6.447626e+00
3  6.601864e-02  4.172921e-02  6.140236e-01  3.181208e-01  1.610796e-01  1.030000e+00 1 2 -1.000000e+00
-2.115585e-01 -1.377656e-01 -1.243932e+00  8.445918e+00  5.405951e-01 -3.474839e-01 -9.456270e-01  3.951371e-01
 3.605788e-01  8.513309e-02  7.722465e+00  0.000000e+00  3.010778e-01 -5.135080e-01 -3.087223e-01  1.757253e-01
-2.381775e-03 -1.374901e-03  1.429073e-03  1.507615e+01  2.839265e+01 -4.218116e+00 -5.728068e+00  2.808219e+01
3 -1.197686e-01  1.967983e-01  7.410565e-01  3.690542e-01  9.700861e-02  1.050000e+00 2 2 -1.000000e+00
 1.153595e-01 -1.340689e-01 -3.456546e-01  1.353307e+01  1.340563e+00  5.105609e-01  1.657822e+00  8.318894e-01
-2.806583e-01  4.922973e-01  3.563133e+00  0.000000e+00  3.481594e-01  2.375985e-01  2.962958e-01  3.728436e-02
 8.046577e-03 -8.450334e-03  2.937331e-03  1.467341e+01  2.323102e+01 -1.300621e+00  1.233213e+01  2.222893e+01
1  1.818801e+01  1.685179e-01  0.000000e+00  1.371835e+01  0.000000e+00  9.200000e-01 0 2 -1.000000e+00
 3.155396e+01  8.276395e+00  3.902891e+00  0.000000e+00  4.050711e-01 -2.869178e-01 -1.240898e-01  1.324519e-04
1 -8.928782e-01 -2.276507e+00  0.000000e+00  1.626077e+00  0.000000e+00  1.060000e+00 0 2 -1.000000e+00
-1.284032e+00 -4.413334e+00  3.443354e+00  0.000000e+00  4.096176e-01  1.973434e-01 -1.385368e-01  1.327055e-02
3  1.610281e-01 -2.310797e-01  2.556219e+00  1.236895e+00  5.354397e-01  7.300000e-01 2 3 -1.000000e+00
 8.689256e-01 -1.956698e+00  4.544075e+00  0.000000e+00  5.224487e-01  5.455160e-02  7.079976e-02  4.108964e-02
-4.307898e-01  2.444366e-01 -1.464307e+01  7.323373e+01  1.189067e+00 -2.837942e-01  1.532938e-01  3.430273e-01
-2.328636e-01  1.870281e-01  7.840484e+00  7.331826e+01  1.461407e+00 -2.296573e-01  1.805851e-01  5.174467e-01
1  6.248728e-01  5.764603e-01  0.000000e+00  6.771174e-01  0.000000e+00  1.010000e+00 0 2 -1.000000e+00
 9.043711e-01  1.438614e+00  3.429904e+00  0.000000e+00  4.142047e-01 -8.070313e-03 -2.270190e-01  1.768752e-02
3  6.602714e-02 -3.996016e-02  1.043974e+00  5.169603e-01  4.581976e-01  8.900000e-01 4 2 -1.000000e+00
-3.889556e-01  2.215289e-01 -4.143626e+00  1.219105e+01  5.682733e-01 -2.682639e-01  5.964537e-01  2.159739e-01
 5.424390e-01 -2.500485e-01  9.043315e+00  0.000000e+00  4.353773e-01 -2.546016e-01  3.786791e-01  1.185432e-01
-2.886256e-03  1.379266e-03  2.030456e-03  2.599795e+01  2.382662e+01 -4.511366e+00  2.863861e+00  2.288826e+01
3 -2.042282e-01  4.481246e-01  4.020870e+00  1.596930e+00  8.975497e-02  1.630000e+00 1 2 -1.000000e+00
-1.228815e+00  2.538571e+00  3.272058e+00  0.000000e+00  4.400867e-01  6.796786e-02  5.714233e-02  8.806298e-03
 5.263427e-01 -1.079000e+00 -3.645546e+01  1.723065e+02  7.279546e-01  2.029893e-01  2.454278e-01  8.216744e-02
