# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 10.00, 16.00, 9.00, 16.00, 100
1  9.057878e-01  5.481713e+00  0.000000e+00  1.750394e+00  0.000000e+00  1.130000e+00 0 2  2.757098e-01
 2.008776e+00  3.598429e+00  3.547017e+00  0.000000e+00  4.451053e-01  9.282765e-02 -1.317730e-01  6.786711e-04
3 -1.366781e-01  6.843821e-01  9.358971e+00  3.179578e+00  7.406851e-01  1.100000e+00 1 2 -1.000000e+00
-3.269460e+00 -1.996948e+00  8.847296e+00  2.448565e+02  6.450932e-01 -1.136831e-01  2.461540e-03  2.488716e-02
-2.667733e+00  5.598878e-01 -6.553060e+00  2.621711e+02  8.938112e-01 -2.816844e-01  2.907412e-01  5.279605e-02
 2.581835e+00  5.307343e+00  4.047357e+00  0.000000e+00  5.006135e-01  4.808068e-02 -5.684202e-04  1.115525e-02
1 -8.727153e-02  8.524997e-03  0.000000e+00  1.929361e-02  0.000000e+00  9.800000e-01 0 2  2.926090e-01
 1.932905e-02  4.135720e-02  6.009528e+00  0.000000e+00  5.338153e-01  1.376706e-01 -1.788088e-01  9.669611e-02
1 -1.730760e-01  1.320444e-01  0.000000e+00  2.546675e-01  0.000000e+00  1.030000e+00 0 2 -1.000000e+00
-4.226460e-01  2.955838e-01  3.618598e+00  0.000000e+00  4.055197e-01 -1.093130e-01  2.551613e-01  9.153611e-02
3  8.527493e-02  1.220358e-01  9.770719e-01  4.504314e-01  4.045311e-01  1.650000e+00 5 2 -1.000000e+00
 3.635700e-01  5.441737e-01  2.661812e+00  0.000000e+00  3.359407e-01  7.117449e-02 -2.454079e-01  8.750143e-02
-1.688817e-01 -2.750727e-01 -6.579995e+00  9.317651e+00  6.783713e-01  2.119076e-01 -4.588202e-01  3.432327e-01
