# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 10.00, 16.00, 9.00, 16.00, 100
1 -1.533052e+00  2.571398e+00  0.000000e+00  8.758382e-01  0.000000e+00  1.010000e+00 0 2  2.985409e-01
 1.563973e+00 -4.456294e-02  3.026488e+00  0.000000e+00  3.638554e-01 -2.673240e-01  5.293253e-02  6.813004e-03
1  8.827167e-02  7.247097e-02  0.000000e+00  2.482270e-01  0.000000e+00  8.300000e-01 0 2 -1.000000e+00
 1.561386e-01  3.077873e-01  3.797421e+00  0.000000e+00  3.745305e-01  1.894737e-01 -3.032742e-01  1.563815e-01
5 -1.252929e-02 -1.307033e-01  7.235626e-01  3.408628e-01  1.000000e+00  1.520000e+00 5 3 -1.000000e+00
-7.722564e-05 -4.904305e-01 -1.551773e+01  4.067879e-01  5.199517e-01  5.428256e-01  1.513756e-02  1.519323e-01
 2.022140e-01 -4.494926e-01  1.203897e+01  3.144507e-01  4.542684e-01  3.278006e-01  3.275762e-01  1.112335e-01
-3.318600e-01 -3.863275e-01  7.181717e+00  0.000000e+00  4.447418e-01  1.108650e-01 -3.959521e-01  1.124708e-01
 2.570173e-02  2.326727e-01 -8.702976e-01  1.677953e+01  1.110451e+00  1.058264e+00 -2.032457e-01  6.424828e-01
 2.010702e-03  1.639861e-02  1.903546e-02  1.919312e+01  9.109737e+00  3.503400e+00 -9.800381e-01  8.284786e+00
1  2.315110e-01 -1.227298e-02  0.000000e+00  1.757795e-01  0.000000e+00  4.300000e-01 0 2 -1.000000e+00
 5.815638e-01 -1.231162e-01  3.505752e+00  0.000000e+00  4.443999e-01 -1.510562e-01  2.505944e-02  2.166976e-01
1  2.019128e+00  3.235320e-01  0.000000e+00  6.293434e-01  0.000000e+00  1.770000e+00 0 2  2.862746e-01
 2.513849e-01  1.579676e+00  4.201881e+00  0.000000e+00  4.356165e-01  2.670949e-01 -9.591889e-02  1.333672e-02
1 -3.087055e-05  8.163789e-02  0.000000e+00  1.255326e-01  0.000000e+00  9.800000e-01 0 2  3.024926e-01
-8.589811e-02 -1.411515e-01  3.091508e+00  0.000000e+00  3.654388e-01  1.199101e-01 -2.546032e-01  2.837237e-03
1  8.142495e-02 -1.765141e-01  0.000000e+00  6.762490e-02  0.000000e+00  8.600000e-01 0 2  3.049249e-01
 8.259957e-02  8.289277e-02  1.101631e+01  0.000000e+00  6.084875e-01  2.430116e-02 -2.488313e-01  2.559903e-02
5  3.309614e+00 -6.962516e+00  3.201349e+00  1.940905e+00  1.000000e+00  1.830000e+00 5 3  2.886509e-01
-1.660146e+00 -1.019028e+00  1.150852e+01  0.000000e+00  5.707046e-01 -1.476274e-01 -2.749701e-01  2.035365e-03
