# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 10.00, 16.00, 9.00, 16.00, 100
1  1.816332e+00 -1.524361e+00  0.000000e+00  1.101039e+00  0.000000e+00  5.100000e-01 0 2  2.862979e-01
-4.501303e-01  2.292047e+00  6.140144e+00  0.000000e+00  4.984610e-01  2.734070e-01  1.180142e-01  7.137223e-03
3  2.812437e-01  2.179761e-01  2.537530e-01  1.041469e-01  9.820132e-01  1.020000e+00 2 3  3.012241e-01
 1.200381e-01 -1.724827e-02  2.226995e+01  7.557373e-01  6.493368e-01 -2.736980e-01 -5.612978e-02  2.666165e-02
 1.144852e-01  1.248392e-02 -2.186939e+01  7.580899e-01  7.147863e-01 -3.082912e-01 -1.789677e-01  3.366196e-02
-5.353930e-02  1.678503e-01  3.617422e+00  0.000000e+00  4.659750e-01  9.148416e-02  1.932177e-02  2.606262e-02
1 -5.274713e+00  1.389245e+00  0.000000e+00  1.593612e+00  0.000000e+00  4.300000e-01 0 2  2.893788e-01
-2.348414e+00 -2.646267e+00  4.590658e+00  0.000000e+00  5.013174e-01  4.968138e-02 -1.684709e-01  2.671573e-02
3 -3.964400e-01  1.142096e+00  6.655120e-01  4.361112e-01  2.633235e-01  1.150000e+00 2 2  3.016982e-01
-5.320693e-01 -5.941789e-02  6.200201e+00  0.000000e+00  4.878575e-01 -3.106909e-01 -6.690308e-02  5.015662e-02
 1.333547e-01 -4.859608e-02 -1.632659e+00  1.516074e+01  1.782505e+00 -8.038289e-01  7.607046e-01  8.189486e-01
 5.886967e-02 -2.007797e-02  4.741817e-01  1.522791e+01  3.308254e+00 -1.375608e+00  1.151887e+00  2.006559e+00
3  1.106142e+00  7.309085e-01  3.596681e+00  1.506656e+00  3.823369e-01  7.900000e-01 2 2  2.853995e-01
 2.175496e+00 -1.218225e+00  2.422652e+00  0.000000e+00  2.984011e-01 -1.387287e-01  2.454072e-01  2.810865e-03
-8.060929e-01  7.933013e-01 -6.336434e+00  1.550473e+02  7.300905e-01 -2.590073e-03  4.802727e-01  2.963378e-02
-4.438394e-02  3.873513e-02  2.638869e-02  1.733145e+02  7.356841e+00  3.681335e-01  1.542363e+00  3.981677e+00
3  9.206863e-02  9.681708e-03  8.369163e-01  3.985381e-01  6.882509e-01  9.500000e-01 1 2 -1.000000e+00
-3.469752e-01 -1.566750e-02 -4.304171e+00  5.240988e+00  4.030372e-01 -7.652553e-01 -5.551366e-02  2.534778e-01
 4.855744e-01  6.971417e-02  2.962350e+00  0.000000e+00  2.444708e-01 -4.659849e-01 -1.269352e-01  1.149534e-01
-2.774495e-03 -2.926973e-04  1.274731e-03  1.008788e+01  2.931845e+01 -4.084924e+00 -8.767239e-01  2.888078e+01
