# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 10.00, 16.00, 9.00, 16.00, 100
1 -9.111148e-01 -1.676590e+00  0.000000e+00  1.881182e+00  0.000000e+00  1.040000e+00 0 2 -1.000000e+00
-3.850909e-01 -4.299881e+00  3.833082e+00  0.000000e+00  4.372175e-01  1.711469e-01 -1.629302e-01  3.796998e-02
1 -3.586595e-01 -1.520768e+00  0.000000e+00  2.222236e+00  0.000000e+00  1.160000e+00 0 2 -1.000000e+00
 3.320264e-02 -4.623884e+00  3.425245e+00  0.000000e+00  4.446602e-01  1.186358e-01 -4.876438e-02  1.362971e-02
3 -1.223900e-01 -9.520939e-02  8.935795e-01  5.234503e-01  3.076687e-01  8.700000e-01 1 2 -1.000000e+00
-3.427562e-01 -4.940788e-01  4.119065e+00  0.000000e+00  3.530461e-01  1.199444e-01 -4.017327e-01  8.893064e-02
 2.779604e-01  1.487240e-01 -1.267308e+00  2.984757e+01  7.657510e-01 -4.953975e-01 -7.736461e-01  4.259755e-01
 9.196320e-03  5.942121e-03  7.311419e-03  3.771556e+01  1.319821e+01 -2.091664e+00 -2.765684e+00  1.252595e+01
1  6.508253e-01  3.435851e-01  0.000000e+00  9.306703e-01  0.000000e+00  1.230000e+00 0 2 -1.000000e+00
 1.505992e+00  9.729570e-01  3.799663e+00  0.000000e+00  4.348134e-01 -1.168144e-01 -2.064197e-01  2.605788e-02
5  9.441445e-03 -1.701926e-02  2.275716e-01  1.122086e-01  1.000000e+00  7.600000e-01 3 2 -1.000000e+00
 1.405704e-01 -5.315840e-02  3.968457e+00  0.000000e+00  3.597313e-01 -2.937398e-01  2.677198e-01  2.392211e-01
-2.182454e-02  1.001110e-01 -2.076211e+00  8.079793e-01  8.130889e-01  6.505875e-01  3.054805e-01  6.724893e-01
-7.528790e-02 -1.163411e-01  4.370473e+01  2.560428e-01  4.852733e-01  2.028611e-01 -4.482300e-01  3.592415e-01
-6.199601e-02 -1.238870e-01 -4.342334e+01  2.561620e-01  5.081359e-01  3.113030e-01 -4.099387e-01  3.812753e-01
-1.182210e-03  2.965908e-03  3.050283e-02  1.151336e+00  7.055072e+00  1.752328e+00  8.996666e-01  6.786176e+00
1  2.178166e-01 -9.011017e-03  0.000000e+00  9.233603e-02  0.000000e+00  5.600000e-01 0 2  3.006305e-01
-1.571671e-01  2.516104e-01  3.648378e+00  0.000000e+00  4.137409e-01 -6.940687e-03  2.637369e-01  6.224461e-02
3  4.239608e-03 -6.314705e-02  3.435382e-01  1.639669e-01  3.635037e-01  1.000000e+00 1 2 -1.000000e+00
 8.370636e-03 -2.188444e-01  3.202487e+00  0.000000e+00  2.476118e-01  5.024490e-01  3.708946e-02  1.297553e-01
-1.132935e-02  1.241284e-01 -1.164116e+00  1.457215e+01  5.842320e-01  9.996507e-01  1.805064e-01  4.444843e-01
-2.236571e-04  2.821609e-03  2.788623e-03  2.020541e+01  2.054303e+01  4.739119e+00  9.331608e-01  2.025652e+01
1  1.185108e-01 -1.110287e+00  0.000000e+00  5.312312e-01  0.000000e+00  7.500000e-01 0 2  3.037243e-01
 7.146291e-01 -4.984507e-01  4.716217e+00  0.000000e+00  4.364308e-01 -1.253354e-01  2.997782e-01  2.825601e-02
1 -1.120449e-01  9.006106e-01  0.000000e+00  8.799823e-01  0.000000e+00  8.800000e-01 0 2  2.960277e-01
-5.378681e-03 -1.652129e+00  3.754292e+00  0.000000e+00  3.826510e-01  3.380494e-01  2.192295e-02  1.421089e-02
