# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 10.00, 16.00, 9.00, 16.00, 100
1 -2.478679e-01  8.941420e-01  0.000000e+00  4.113893e-01  0.000000e+00  9.400000e-01 0 2 -1.000000e+00
-3.024410e-01  1.375519e+00  4.036502e+00  0.000000e+00  4.031726e-01  2.727347e-01  1.846062e-01  3.517881e-02
5  7.580078e-01  2.616130e+00  1.808413e+00  1.257181e+00  1.000000e+00  9.000000e-01 2 2  2.972722e-01
-6.886582e-01  1.329890e+00  9.286625e+00  0.000000e+00  5.355326e-01  1.558659e-01  2.894029e-01  2.322840e-02
 3.157688e-01 -1.739325e-01 -2.519663e+00  3.502360e+01  1.584392e+00 -4.908937e-01  7.052769e-01  2.975720e-01
-1.470413e+00  5.308045e-02  4.506702e+01  1.461271e+00  6.045139e-01 -3.592636e-01  7.176190e-02  1.702003e-02
 1.409030e-01 -8.116405e-02  8.512546e-01  3.513916e+01  2.540147e+00 -5.913688e-01  9.206514e-01  8.474062e-01
-1.433745e+00  2.709936e-01 -4.966753e+01  1.472966e+00  6.306308e-01 -3.535906e-01  1.775984e-01  1.725998e-02
3  1.363081e-02 -1.997594e-02  4.115676e-01  2.362222e-01  9.645502e-01  1.480000e+00 5 3 -1.000000e+00
 6.000266e-02 -2.530469e-01  4.436303e+00  0.000000e+00  3.556347e-01  3.539264e-01  2.540273e-01  1.635695e-01
-1.854991e-01  7.728137e-02 -4.599349e+00  3.760069e+00  4.964813e-01 -4.792576e-01  4.911876e-01  2.949206e-01
-7.347422e-04  1.057376e-03  4.406835e-03  8.934015e+00  1.608307e+01  1.337150e-01  7.489050e-01  1.561127e+01
1 -2.021193e+00 -4.890364e+00  0.000000e+00  8.221259e+00  0.000000e+00  8.600000e-01 0 2  2.777301e-01
-1.200646e+01  7.612458e+00  4.848727e+00  0.000000e+00  4.700004e-01 -6.884590e-02  2.644241e-01  4.099803e-04
3  3.395377e-02 -7.930779e-02  4.464691e-01  2.221241e-01  1.151947e-01  1.460000e+00 1 2 -1.000000e+00
 1.307983e-01 -2.535449e-01  7.221013e+00  0.000000e+00  2.956967e-01  3.422373e-01  4.903388e-01  1.236527e-01
-5.905940e-02  1.505451e-01 -8.318226e-01  6.450696e+00  6.509561e-01  8.308266e-01  7.960767e-01  4.407525e-01
-1.270631e-03  3.144785e-03  2.092665e-03  9.005454e+00  2.362359e+01  4.422069e+00  3.796415e+00  2.317097e+01
1  9.649626e-01  1.388923e+01  0.000000e+00  3.963602e+00  0.000000e+00  1.380000e+00 0 2  2.751778e-01
-6.374542e+00  7.650425e+00  4.615655e+00  0.000000e+00  5.190506e-01  1.208487e-01  7.345777e-03  7.988685e-05
1 -3.265782e-01 -3.430458e-01  0.000000e+00  4.951543e-01  0.000000e+00  8.100000e-01 0 2 -1.000000e+00
-5.891201e-01 -7.322738e-01  3.994103e+00  0.000000e+00  3.965371e-01  6.528312e-02 -3.309630e-01  7.596058e-02
5 -1.722359e+00  1.179100e+00  8.102223e-01  4.687478e-01  1.000000e+00  7.900000e-01 3 2  3.257373e-01
-3.414644e-01 -1.499126e-02 -2.499316e+00  1.698611e+00  7.038483e-01 -6.982030e-01  1.810682e-02  3.464661e-01
 1.926253e-01  4.151556e-01  3.860575e+00  0.000000e+00  3.851050e-01  2.572329e-01 -2.299963e-01  1.182652e-01
 8.405923e-02 -3.877601e-01  7.107736e+00  7.275725e-01  4.133686e-01  3.782666e-01  2.456807e-01  1.323022e-01
 3.526322e-01 -1.543785e-01 -6.225242e+00  8.624319e-01  5.437025e-01 -3.699574e-01  4.816381e-01  2.173921e-01
-2.548384e-03 -1.035396e-03  6.170069e-03  3.329747e+00  1.431793e+01 -3.356007e+00 -2.007909e+00  1.321364e+01
3 -1.548936e+00  1.082295e-01  1.968693e+00  1.034338e+00  7.041014e-01  7.500000e-01 1 3  2.897893e-01
-1.021077e+00 -1.013780e+00  3.256530e+00  0.000000e+00  3.847753e-01 -4.774041e-02 -2.629581e-01  1.604536e-02
 7.014883e-01 -6.061660e-02 -2.292927e+00  3.668004e+01  8.432009e-01 -6.540016e-01  1.816359e-01  6.062406e-02
 1.168165e-02  5.830143e-03  5.499309e-03  4.665298e+01  1.462343e+01 -3.202090e-01 -1.911599e+00  1.194299e+01
1 -4.201081e+00 -1.812214e+00  0.000000e+00  3.269865e+00  0.000000e+00  9.700000e-01 0 2 -1.000000e+00
-6.804097e+00 -4.870355e+00  3.574390e+00  0.000000e+00  4.211033e-01 -1.247164e-01 -1.994972e-01  5.214145e-03
3  2.816453e-02 -3.136932e-01  5.189347e-01  1.321166e-01  6.859283e-01  8.500000e-01 4 3  3.056102e-01
-2.809348e-01 -1.798311e-02  4.112635e+00  0.000000e+00  4.857401e-01 -2.686381e-02  1.434868e-01  4.204090e-03
 2.373173e-01  8.624915e-03  9.958902e+00  2.347609e-01  6.037189e-01  8.232734e-02 -2.232673e-01  5.015970e-03
 4.730469e-02  1.002385e-01 -6.831092e+00  2.815643e-01  8.471228e-01  3.762520e-01 -1.679146e-01  1.198170e-02
1  2.885376e+00  3.889696e-01  0.000000e+00  6.264528e+00  0.000000e+00  1.180000e+00 0 2 -1.000000e+00
 8.576016e+00  2.021525e+00  7.187811e+00  0.000000e+00  5.064567e-01 -2.780206e-01 -1.648186e-01  1.430437e-03
3  2.756832e-01  1.282626e+00  1.316791e+00  5.596615e-01  2.960384e-01  1.840000e+00 5 3  2.919086e-01
-8.736336e-01  2.159400e-01  3.408688e+00  0.000000e+00  4.281836e-01 -1.829218e-01 -1.206879e-02  2.124967e-02
 4.060471e-01 -9.447416e-02 -1.151434e+01  2.396081e+01  6.953394e-01 -4.025827e-01  1.326401e-01  1.340277e-01
 1.305328e-02 -3.118313e-03  1.119034e-02  2.878907e+01  1.069908e+01 -1.297003e+00  1.739882e+00  9.396618e+00
3 -5.139276e-02 -2.279395e-01  1.115896e+00  5.342376e-01  8.079774e-01  1.040000e+00 2 2 -1.000000e+00
-3.989653e-01 -8.462167e-01  2.913598e+00  0.000000e+00  3.841423e-01  1.100630e-01 -1.547537e-01  6.816902e-02
-1.752756e-02  2.024626e-01 -3.606040e+00  1.769078e+01  1.557768e+00  7.278045e-01  2.423192e-01  1.027509e+00
-5.497658e-03  1.271603e-01  1.810400e+00  1.770424e+01  2.160046e+00  8.482367e-01  2.717282e-01  1.574995e+00
5  6.745294e-02  6.727773e-02  1.129322e+00  4.587372e-01  1.000000e+00  1.680000e+00 5 2 -1.000000e+00
 5.901578e-02 -5.266432e-01 -2.308432e+00  6.941775e+00  6.641287e-01  7.341710e-01  8.364773e-02  3.481528e-01
 5.816395e-01  3.919641e-01  3.122434e+00  0.000000e+00  3.227995e-01 -1.555976e-01 -3.378267e-01  4.635606e-02
-5.283311e-01  1.837957e-01  5.880500e+01  5.305545e+00  4.393785e-01 -4.775683e-01  2.630962e-01  1.345357e-01
-5.127015e-01  2.347512e-01 -5.476453e+01  5.305923e+00  4.574738e-01 -4.323351e-01  3.545152e-01  1.522740e-01
-1.597313e-03 -3.024094e-03  2.583298e-03  1.273765e+01  2.159586e+01  5.479747e+00  2.657010e+00  2.076350e+01
5  1.399184e-02  4.047371e-02  5.614580e-01  2.321151e-01  1.000000e+00  8.600000e-01 5 3 -1.000000e+00
-8.704404e-02 -2.260693e-01 -1.331774e+00  3.082327e+00  7.991569e-01  6.635588e-01 -5.923731e-01  6.521350e-01
 2.992479e-01  8.531086e-02  4.516444e+00  1.041394e-01  3.088934e-01 -4.673266e-01 -1.944763e-01  1.839464e-01
-1.695807e-01  2.629889e-01  4.218346e+00  0.000000e+00  3.039391e-01  1.331906e-01  4.792717e-01  1.725834e-01
 1.268999e-01  2.930291e-01 -4.508143e+00  4.203125e-01  5.394684e-01  4.469335e-01 -4.839014e-01  4.024682e-01
-1.362977e-03 -3.663025e-03  6.502365e-03  5.373257e+00  1.469094e+01  4.268276e+00 -3.928542e+00  1.440223e+01
1  9.027785e-02  4.734610e-01  0.000000e+00  1.874279e-01  0.000000e+00  1.400000e+00 0 2  2.898846e-01
-1.058192e-01  3.375984e-01  4.777509e+00  0.000000e+00  5.037324e-01  1.916836e-01  1.499481e-02  1.936628e-02
3 -6.156580e-02 -4.025405e-02  1.015935e+00  5.243884e-01  6.544817e-01  9.900000e-01 5 3 -1.000000e+00
-4.599757e-01 -4.132859e-01  4.913136e+00  0.000000e+00  4.147657e-01 -3.088133e-02 -3.714964e-01  2.264741e-02
 4.608159e-01  1.597642e-02 -7.506911e+00  1.358729e+01  6.079095e-01 -5.310363e-01 -7.032767e-02  6.861842e-02
 2.202313e-03  1.171122e-03  2.335908e-03  2.693231e+01  2.179081e+01 -1.209813e+00  1.641701e+00  1.900742e+01
1  6.052887e-01  4.669849e-01  0.000000e+00  2.090861e+00  0.000000e+00  9.400000e-01 0 2 -1.000000e+00
 1.539128e+00  2.733429e+00  1.043701e+01  0.000000e+00  5.954837e-01  9.333487e-02 -2.431237e-01  9.628966e-03
5 -3.613245e-02 -8.203037e-03  2.724945e-01  9.852167e-02  1.000000e+00  8.600000e-01 3 2 -1.000000e+00
 8.401399e-02 -7.965107e-02 -2.883304e+00  2.143413e+00  6.681574e-01 -1.572334e-01  6.574356e-01  4.643816e-01
-1.675391e-01 -4.435748e-02  2.194581e+00  0.000000e+00  2.308110e-01 -3.063516e-01 -2.052623e-01  6.761729e-02
 7.019329e-02  8.882129e-02  3.422567e+01  1.987922e+00  4.145276e-01  1.507598e-02 -5.597614e-01  2.219337e-01
 5.367007e-02  1.024221e-01 -2.930566e+01  1.988333e+00  4.558294e-01  2.030878e-01 -5.375872e-01  2.627024e-01
 2.450362e-03  1.450855e-04  1.450368e-02  2.958055e+00  9.576016e+00  1.187227e+00  1.786201e+00  9.117833e+00
1 -6.505400e+00  3.037308e+00  0.000000e+00  2.601306e+00  0.000000e+00  1.010000e+00 0 2 -1.000000e+00
-1.022511e+01  5.333971e+00  3.006469e+00  0.000000e+00  3.835120e-01 -1.540123e-01  1.540183e-01  2.114683e-03
3 -1.731692e+00  3.376530e+00  1.569315e+00  7.766398e-01  2.090992e-01  9.200000e-01 2 2  3.027611e-01
-3.666588e-01 -1.000572e+00  3.117444e+00  0.000000e+00  4.097296e-01  1.463673e-01 -7.886806e-02  7.847998e-03
 8.177893e-02  5.033075e-01 -1.490893e+01  4.568591e+01  6.778630e-01  4.075115e-01 -6.914149e-02  5.318946e-02
 2.348413e-03  6.677160e-03  2.400697e-03  5.810342e+01  2.162639e+01  1.711029e+00 -2.444319e+00  1.942884e+01
1  1.984247e-01 -4.571759e-01  0.000000e+00  5.061389e-01  0.000000e+00  1.910000e+00 0 2 -1.000000e+00
 6.471225e-01 -1.092939e+00  2.127250e+01  0.000000e+00  5.636181e-01  2.074226e-01  3.168532e-01  7.285526e-02
1 -1.731761e+01 -1.783235e+01  0.000000e+00  3.999116e+00  0.000000e+00  6.700000e-01 0 2  2.662881e-01
