# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 10.00, 16.00, 9.00, 16.00, 100
1 -8.105550e-03  1.056003e-01  0.000000e+00  3.495582e-02  0.000000e+00  1.020000e+00 0 2  3.001016e-01
 7.096309e-02 -3.777386e-02  5.760101e+00  0.000000e+00  5.429958e-01 -4.575489e-02  1.820750e-01  2.726273e-02
1 -2.264776e-01  2.976598e-01  0.000000e+00  9.953508e-02  0.000000e+00  9.500000e-01 0 2  2.951978e-01
 4.284919e-02  1.449679e-01  1.507085e+01  0.000000e+00  4.925112e-01  3.743049e-01 -2.260255e-01  2.474167e-01
1  7.458535e-02 -1.197397e-01  0.000000e+00  2.369987e-01  0.000000e+00  6.100000e-01 0 2 -1.000000e+00
 1.628563e-01 -3.331553e-01  3.306226e+00  0.000000e+00  3.387247e-01  2.447546e-01  2.737161e-01  2.227531e-01
1  2.507238e-03  3.269655e-03  0.000000e+00  5.142710e-03  0.000000e+00  1.170000e+00 0 2 -1.000000e+00
 1.440908e-02  2.684014e-03  5.778665e+00  0.000000e+00  5.684709e-01 -5.707584e-03 -1.146055e-01  2.987547e-01
1 -1.061264e-01  4.694027e-03  0.000000e+00  1.162769e-01  0.000000e+00  3.000000e-01 0 2 -1.000000e+00
-2.945331e-01 -9.473260e-02  3.797645e+00  0.000000e+00  4.684434e-01 -1.327366e-01 -4.015292e-02  2.535073e-01
1  3.199647e+00  7.731092e-01  0.000000e+00  1.958809e+00  0.000000e+00  1.440000e+00 0 2 -1.000000e+00
 5.705475e+00  1.451319e+00  4.039572e+00  0.000000e+00  4.438014e-01 -2.140300e-01 -1.264795e-01  1.534483e-03
1 -5.188902e+00  3.038352e+00  0.000000e+00  3.178952e+00  0.000000e+00  5.100000e-01 0 2 -1.000000e+00
-8.259884e+00  7.785134e+00  3.368671e+00  0.000000e+00  4.202721e-01 -6.636827e-02  1.866193e-01  1.070394e-03
1 -5.721909e+00  5.631377e+00  0.000000e+00  8.200800e+00  0.000000e+00  1.080000e+00 0 2 -1.000000e+00
-1.186787e+01  1.478843e+01  3.521514e+00  0.000000e+00  4.182859e-01  3.951664e-02  2.299152e-01  7.120848e-04
3  6.128871e-02 -9.441127e-02  1.242019e+00  6.366182e-01  1.583080e-01  7.400000e-01 3 2 -1.000000e+00
-2.841383e-01  4.610836e-01 -1.898295e+00  1.260419e+01  4.757873e-01  4.323458e-01  7.840055e-01  2.662588e-01
 5.339797e-01 -4.734188e-01  1.199115e+01  0.000000e+00  3.308537e-01 -5.185608e-02  6.013925e-01  1.402424e-01
-1.389840e-03  2.037103e-03  5.224107e-04  3.012020e+01  4.600451e+01  3.117903e+00  1.007381e+01  4.547214e+01
1 -1.629167e-01  1.313962e-01  0.000000e+00  3.399239e-01  0.000000e+00  9.600000e-01 0 2 -1.000000e+00
-5.378155e-01  1.617163e-01  3.062918e+00  0.000000e+00  3.624152e-01 -2.602985e-01  1.107841e-01  1.810569e-01
3  4.235515e-03  3.744268e-01  1.157789e+00  5.872298e-01  1.174142e-01  7.400000e-01 4 2 -1.000000e+00
-3.226527e-02 -2.348878e-01 -3.782505e-01  4.709317e+01  1.893261e+00  1.811067e+00 -4.021234e-01  1.483906e+00
-5.572080e-02  9.226637e-01  3.221504e+00  0.000000e+00  3.345616e-01  3.535812e-01  8.587544e-02  7.712137e-02
-7.076204e-03 -4.971415e-02  2.859819e-02  4.805292e+01  8.802724e+00  4.795915e+00 -1.707175e+00  8.216737e+00
3  2.778132e-02  8.041987e-02  5.001465e-01  2.647240e-01  6.244512e-01  9.800000e-01 3 2 -1.000000e+00
 1.928553e-01  3.434565e-01  3.646186e+00  0.000000e+00  4.246737e-01  1.215287e-01 -2.048706e-01  1.561794e-01
-1.199005e-02 -1.128164e-01 -5.839024e+00  3.308614e+00  1.281138e+00  4.988146e-01 -3.852080e-02  8.633183e-01
-9.756038e-03 -6.143745e-02  2.445673e+00  3.316202e+00  1.853166e+00  5.617359e-01 -5.881993e-02  1.362662e+00
3  3.570911e-02  6.636758e-02  6.892888e-01  3.556700e-01  2.002803e-01  5.700000e-01 3 3 -1.000000e+00
-1.453509e-01 -2.424105e-01 -2.058925e+00  3.074055e+00  5.941993e-01  4.148538e-01 -6.915641e-01  3.950599e-01
 1.827809e-01  3.637649e-01  1.028022e+01  0.000000e+00  3.644730e-01  3.538346e-01 -4.259359e-01  1.868401e-01
-2.507900e-03 -4.162182e-03  5.470121e-03  5.085692e+00  1.486525e+01  9.593276e-01 -2.917815e+00  1.442133e+01
1 -2.534002e-01  3.908030e+00  0.000000e+00  2.213918e+00  0.000000e+00  1.330000e+00 0 2 -1.000000e+00
 2.102908e-01  6.180344e+00  1.014468e+01  0.000000e+00  5.216600e-01  3.607093e-01  1.114281e-02  3.583978e-03
3 -9.619291e-01 -8.529092e-02  1.249576e+00  6.715391e-01  1.623259e-01  9.900000e-01 4 2  2.941856e-01
-2.126135e-01 -3.536577e-01 -1.461246e+00  1.581695e+01  9.131543e-01  4.071913e-01 -7.253169e-01  2.547319e-01
 1.723847e-01  8.351298e-01  9.001931e+00  0.000000e+00  4.870597e-01  3.473923e-01 -1.770285e-01  3.881784e-02
-7.345474e-03 -1.230002e-02  7.006566e-03  1.923719e+01  1.378310e+01  1.648450e+00 -4.238751e+00  1.208139e+01
3 -3.215405e-02 -1.255388e-02  4.402319e-01  2.291496e-01  5.667146e-01  1.430000e+00 5 2 -1.000000e+00
-2.095250e-01 -1.507622e-01  6.548844e+00  0.000000e+00  3.858281e-01 -1.168164e-01 -4.591975e-01  1.652115e-01
 1.946352e-01  2.376203e-02 -3.711325e+00  3.590359e+00  6.046990e-01 -6.210790e-01 -1.999233e-01  3.586873e-01
 2.611548e-03  6.932525e-04  7.821712e-03  6.617238e+00  1.261694e+01 -2.645261e+00 -3.266285e-01  1.200675e+01
