# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 10.00, 16.00, 9.00, 16.00, 100
1  1.429132e-01 -1.158122e+00  0.000000e+00  1.217752e+00  0.000000e+00  9.500000e-01 0 2 -1.000000e+00
 4.687314e-01 -2.715623e+00  4.452810e+00  0.000000e+00  4.736890e-01  2.240475e-01  4.720978e-02  1.691598e-02
3 -4.500921e-02  7.325925e-02  1.299783e+00  6.561242e-01  9.138186e-01  8.600000e-01 2 3 -1.000000e+00
 4.064169e-01 -4.203987e-01 -6.131385e+00  1.137043e+01  4.514918e-01 -2.306697e-03  6.811396e-01  1.647849e-01
-2.739487e-01  6.870936e-01  5.602974e+00  0.000000e+00  3.580988e-01  3.351683e-01  3.481706e-01  9.621328e-02
 9.901534e-04 -1.651555e-03  6.728690e-04  3.119157e+01  3.980851e+01  2.411721e+00  3.756442e+00  3.906095e+01
1  4.658234e+00 -4.383016e+00  0.000000e+00  1.647413e+00  0.000000e+00  1.150000e+00 0 2  2.755828e-01
 1.265824e+00 -2.532128e+00  5.388247e+00  0.000000e+00  5.332142e-01  7.197150e-02  1.646816e-01  2.340188e-03
1  2.113202e-02  2.888553e-03  0.000000e+00  1.879829e-02  0.000000e+00  1.260000e+00 0 2 -1.000000e+00
 5.244293e-02  2.067069e-02  7.577621e+00  0.000000e+00  5.778274e-01 -2.023818e-01 -7.282703e-02  4.491271e-02
3  1.273542e+00  4.014184e-01  1.081058e+00  5.660971e-01  3.620641e-01  4.900000e-01 2 2  3.101761e-01
 2.148708e-01 -6.240880e-01  7.544497e+00  0.000000e+00  4.524382e-01  3.384401e-01  2.296417e-01  1.186627e-01
-3.626011e-01  2.898120e-01 -2.731592e+00  4.151353e+00  7.175224e-01 -1.607591e-01  6.481026e-01  3.109457e-01
-5.153898e-03  5.102893e-03  6.904387e-03  6.939675e+00  1.364573e+01 -4.844595e-01  3.852839e+00  1.258677e+01
1 -1.746027e+00  3.726731e+00  0.000000e+00  9.695114e-01  0.000000e+00  1.450000e+00 0 2  2.803627e-01
 1.067620e+00  2.336057e+00  4.175830e+00  0.000000e+00  4.829160e-01  1.201908e-01 -1.160033e-01  4.201506e-03
1 -3.527816e+00  4.371024e+00  0.000000e+00  1.308673e+01  0.000000e+00  2.300000e+00 0 2 -1.000000e+00
-1.556473e+01  1.205791e+01  1.713723e+01  0.000000e+00  5.872002e-01 -4.910883e-02  3.311185e-01  1.210845e-03
1 -1.241897e+00 -6.093460e-01  0.000000e+00  1.355145e+00  0.000000e+00  9.500000e-01 0 2 -1.000000e+00
-1.799629e+00 -2.724465e+00  3.981304e+00  0.000000e+00  4.607659e-01 -6.574014e-02 -1.878235e-01  4.065267e-02
3  5.335693e-01  2.967455e-01  2.514157e+00  1.346592e+00  1.602959e-01  7.500000e-01 1 2 -1.000000e+00
-5.803059e-01 -2.567030e-01 -7.966578e-01  7.772348e+01  1.148998e+00 -7.582718e-01 -8.381339e-01  5.778454e-01
 1.384570e+00  1.311815e+00  4.969921e+00  0.000000e+00  4.285117e-01 -4.998924e-02 -3.505561e-01  5.062715e-02
-5.879671e-02 -2.819747e-02  2.164493e-02  8.269840e+01  8.399502e+00 -2.040377e+00 -2.095064e+00  7.474961e+00
1 -5.374042e-04  5.440392e-01  0.000000e+00  2.385293e-01  0.000000e+00  9.600000e-01 0 2  3.029643e-01
 2.342526e-01 -2.311076e-01  1.203638e+01  0.000000e+00  5.363919e-01  9.888481e-03  3.629784e-01  1.497683e-01
3 -1.446254e-01 -9.119627e-01  4.602078e-01  2.471688e-01  1.282417e-01  1.620000e+00 5 2  2.923433e-01
 3.009752e-01 -1.070236e-01  7.553958e+00  0.000000e+00  4.263213e-01 -2.285869e-01  3.800978e-01  5.984590e-02
-1.131227e-01  9.376031e-02 -9.687322e-01  1.343084e+01  7.894456e-01  2.937090e-02  1.037182e+00  2.307915e-01
-3.204071e-03  1.856990e-03  2.703591e-03  1.702424e+01  2.143157e+01 -5.960605e+00  3.470157e+00  1.999816e+01
5 -1.753912e-02  5.422187e-02  1.503200e+00  7.132274e-01  1.000000e+00  6.500000e-01 2 2 -1.000000e+00
 5.262271e-02 -6.970079e-01  8.906642e+00  2.659387e+00  4.387916e-01  4.400946e-01  9.484623e-02  2.159987e-01
 6.404120e-01 -1.174892e-01 -4.831401e+00  3.342314e+00  5.763719e-01 -5.753637e-01  2.353650e-01  3.051815e-01
-1.597412e-01  7.911160e-01  4.104702e+00  0.000000e+00  3.701864e-01  3.487634e-01  1.772179e-01  1.579363e-01
-5.612150e-01 -3.835606e-01 -5.872444e+00  3.074688e+00  5.776429e-01 -2.439276e-01 -5.377468e-01  3.270828e-01
 1.032692e-03 -3.458553e-03  6.508550e-03  8.317222e+00  1.339932e+01  2.868782e-01 -1.297310e-01  1.275134e+01
5  1.084587e+00  1.761160e+00  2.097688e+00  8.805203e-01  1.000000e+00  2.030000e+00 5 2  2.977899e-01
-1.210479e+00  7.166828e-01  2.419022e+00  0.000000e+00  3.401802e-01 -6.136917e-02  1.349290e-01  3.674812e-03
 3.460810e-01 -5.712376e-01 -1.893516e+01  4.474832e+01  6.867470e-01  2.668106e-01  2.824028e-01  2.771700e-02
 5.377716e-01 -4.425912e-01  2.693465e+01  4.470013e+01  6.443989e-01 -1.043521e-02  2.986911e-01  2.350297e-02
 6.540969e-01  4.887132e-02 -7.980356e+00  4.515527e+01  7.395261e-01 -4.057375e-01 -1.689126e-01  4.138435e-02
 1.454155e-02 -7.325258e-03  9.773381e-03  5.361672e+01  1.121764e+01 -1.237499e+00  7.415882e-01  8.385130e+00
5  7.921954e-02  3.098923e-02  5.451880e-01  3.061506e-01  1.000000e+00  2.400000e+00 5 3 -1.000000e+00
-1.543625e-01 -8.183288e-02 -1.268354e+00  7.694121e+00  1.151442e+00 -5.827958e-01 -6.868096e-01  5.679600e-01
 3.606965e-01 -4.532071e-02  1.151498e+01  0.000000e+00  4.850693e-01 -4.125743e-01  8.995972e-02  6.408867e-02
 2.950030e-01  2.268749e-01 -1.829069e+01  1.854719e-01  5.642431e-01 -1.926004e-01 -4.554798e-01  1.665756e-01
 1.995332e-01  3.261233e-01  1.263842e+01  1.457344e-01  5.115590e-01  1.347853e-01 -3.758773e-01  1.323529e-01
-1.518731e-02 -8.600674e-03  4.768769e-02  8.517641e+00  6.392491e+00 -1.182635e+00 -2.590476e+00  5.232854e+00
3 -9.652298e-02 -2.772112e-02  8.204033e-01  4.191733e-01  3.563615e-01  4.000000e-01 3 2 -1.000000e+00
-4.150965e-01 -2.497202e-01  3.633124e+00  0.000000e+00  1.862543e-01 -2.510225e-01 -5.691438e-01  1.119111e-01
 3.539666e-01  3.594311e-02 -1.294706e+00  3.908709e+00  4.106753e-01 -1.026939e+00 -2.550985e-01  3.267750e-01
 1.608921e-03  2.828602e-04  2.744684e-04  8.587542e+00  6.390160e+01 -1.764842e+01 -1.318589e+00  6.368483e+01
1 -3.778869e+00 -2.371038e+00  0.000000e+00  2.376149e+00  0.000000e+00  1.130000e+00 0 2  3.004121e-01
 2.597021e+00 -1.622384e+00  3.585143e+01  0.000000e+00  6.107067e-01 -2.573415e-01  2.396492e-01  4.100671e-03
3 -2.127580e-01  4.620412e-02  7.280946e-01  4.125568e-01  6.265024e-02  9.900000e-01 4 2 -1.000000e+00
 1.640767e-01 -4.930558e-02 -5.102515e-01  3.832832e+01  1.580662e+00 -1.300756e+00  7.778302e-01  1.177636e+00
-5.620328e-01  4.421975e-03  8.144447e+00  0.000000e+00  3.978891e-01 -4.895389e-01  1.030134e-02  1.065025e-01
 3.242238e-02 -9.906714e-03  4.317974e-02  3.941428e+01  6.817861e+00 -2.603499e+00  1.977447e+00  6.269046e+00
5  2.356238e-02 -8.618510e-03  5.097388e-01  2.648493e-01  1.000000e+00  1.070000e+00 1 2 -1.000000e+00
-2.113130e-01  9.620216e-02 -2.093972e+00  4.351163e+00  5.880824e-01 -5.788208e-01  5.587520e-01  4.065170e-01
 2.025638e-01  1.884852e-01  5.035686e+00  0.000000e+00  3.076470e-01 -8.215293e-02 -5.234700e-01  1.610164e-01
 1.991393e-02 -2.874062e-01  4.675417e+00  4.206393e-02  3.389213e-01  4.714847e-01  2.902736e-02  1.855376e-01
 2.463021e-01 -1.196714e-01 -5.539386e+00  8.512762e-01  4.706759e-01 -4.695949e-01  4.900918e-01  2.979601e-01
-1.235804e-03  5.619432e-04  2.898242e-03  1.102240e+01  2.029099e+01 -2.541872e+00  4.543632e+00  1.981585e+01
5  6.437745e-01 -3.929050e-01  8.174858e-01  4.449935e-01  1.000000e+00  9.900000e-01 2 3  3.082511e-01
-1.894576e-02 -2.389754e-01 -2.299423e+00  1.255926e+00  1.244716e+00  7.010498e-01 -5.750426e-02  7.497669e-01
-3.499512e-01  3.504199e-01  1.219140e+01  2.267792e-01  5.413642e-01  2.524816e-02  3.573294e-01  1.728026e-01
 4.672216e-01  3.277996e-01  5.108187e+00  0.000000e+00  4.979679e-01 -7.486738e-02 -2.250931e-01  1.583670e-01
-1.215957e-01  4.783448e-01 -1.246711e+01  2.449929e-01  6.490792e-01  3.793418e-01  2.438365e-01  2.565006e-01
-5.448957e-03 -4.428434e-02  3.036540e-01  1.316705e+00  3.206745e+00  1.223985e+00 -2.799308e-01  2.476885e+00
5  9.114468e-02  2.774935e-01  6.072686e+00  2.135499e+00  1.000000e+00  8.000000e-01 1 3 -1.000000e+00
 3.311718e-02 -8.518459e-01 -2.457852e+00  3.489034e+02  1.320643e+00  7.104949e-01  6.977371e-02  2.713129e-01
-2.836103e+00  3.951017e-01  6.845323e+00  1.371209e+02  6.112790e-01 -3.749799e-02  6.010635e-02  9.865842e-03
 3.203347e+00  1.029578e+00  5.241486e+00  0.000000e+00  5.573137e-01 -5.629749e-03 -7.179016e-02  5.331514e-03
-6.188270e-01  1.797725e+00 -4.615206e+00  2.185423e+02  9.058181e-01  4.162803e-01  2.285957e-01  7.663955e-02
-7.000824e-03 -1.166069e-01  2.234561e-01  3.588515e+02  3.553507e+00  1.419003e+00  1.779770e-01  1.964571e+00
3  2.291955e-03  5.377327e-02  8.211557e-01  4.246939e-01  1.635033e-01  1.150000e+00 1 2 -1.000000e+00
-2.530552e-02 -3.687189e-01 -3.161365e+00  5.579297e+00  4.891495e-01  7.498255e-01 -1.226746e-01  2.006211e-01
-1.016602e-01  4.488792e-01  1.933518e+01  0.000000e+00  3.883518e-01  5.232307e-01  2.205084e-01  1.228874e-01
-3.394308e-05 -1.329592e-03  7.613656e-04  1.560583e+01  3.766430e+01  5.548453e+00  2.374877e-01  3.686734e+01
3  1.797454e+00  1.875410e+00  1.646221e+00  6.730697e-01  6.932179e-01  1.230000e+00 5 2  2.873844e-01
 1.008596e+00 -9.485425e-01  2.553716e+00  0.000000e+00  3.714374e-01 -1.582675e-02  5.704680e-02  4.317511e-03
-1.970046e-01  1.724261e-01 -3.683858e+00  8.459681e+01  1.055619e+00 -1.115148e-01  5.119692e-01  2.412102e-01
-4.200111e-02  3.953149e-02  1.635577e-01  8.541036e+01  3.684764e+00 -3.818354e-02  1.045204e+00  2.427136e+00
3  2.586139e-01  3.056090e+00  2.832986e+00  1.481148e+00  5.628323e-01  7.200000e-01 1 3  2.866534e-01
-2.055365e+00 -1.026645e+00  4.773732e+00  0.000000e+00  5.037626e-01 -9.888831e-02 -1.642954e-01  2.011939e-02
 5.391067e-01  1.111283e-01 -1.512464e+01  5.920798e+01  1.258135e+00 -3.496723e-01 -1.023742e-01  2.845768e-01
 3.780148e-01  8.782311e-02  8.512637e+00  5.922999e+01  1.524494e+00 -3.802912e-01 -1.140189e-01  4.291658e-01
5 -5.109211e-01  6.123473e-01  9.916817e-01  4.914770e-01  1.000000e+00  9.000000e-01 4 2  2.940481e-01
-1.210187e-01 -4.230164e-01 -3.979731e+00  9.921066e+00  5.180437e-01  6.344133e-01 -2.847365e-01  8.425298e-02
-4.161092e-01  3.693957e-01  3.866191e+00  0.000000e+00  3.518775e-01 -1.022548e-02  4.016288e-01  1.628641e-02
 4.677754e-01 -8.024915e-02  1.131433e+01  7.697857e+00  4.153427e-01 -4.502309e-01  2.252394e-01  4.137241e-02
 4.489348e-01  1.836916e-01 -7.326206e+00  7.881292e+00  5.166058e-01 -4.537841e-01 -4.052730e-01  1.151370e-01
 1.965401e-04 -3.735575e-04  1.392653e-04  2.850628e+01  8.827190e+01 -2.648400e-01 -2.087518e+01  8.622013e+01
1 -4.771175e-01  1.125230e+00  0.000000e+00  2.088739e+00  0.000000e+00  1.450000e+00 0 2 -1.000000e+00
-8.082446e-01  3.281602e+00  9.220088e+00  0.000000e+00  5.362474e-01  2.754839e-01  1.752605e-01  5.949348e-02
3  3.111285e-01  1.686480e-01  4.909703e-01  2.417169e-01  8.660559e-01  9.200000e-01 4 2  2.932415e-01
 2.000661e-02 -3.027072e-01  4.998683e+00  0.000000e+00  4.307994e-01  3.512858e-01  2.312605e-02  9.915333e-02
-2.948207e-02  1.857626e-01 -5.771778e+00  2.523369e+00  6.899299e-01  5.002432e-01  1.384092e-01  2.575764e-01
-8.840303e-04  6.934544e-03  2.990984e-02  3.377719e+00  6.912471e+00  1.107083e+00  5.457683e-01  5.726584e+00
1  8.671964e+00  2.436856e+00  0.000000e+00  4.690321e+00  0.000000e+00  8.200000e-01 0 2 -1.000000e+00
 1.648930e+01  2.073669e+00  4.022727e+00  0.000000e+00  4.487599e-01 -2.179233e-01 -8.824637e-02  8.698853e-04
1 -4.057752e+00  3.716716e+00  0.000000e+00  1.876571e+00  0.000000e+00  6.200000e-01 0 2  2.753192e-01
 7.951624e+00  2.201913e+00  3.422305e+00  0.000000e+00  4.184472e-01 -1.551658e-01 -1.480760e-01  1.030835e-03
1 -2.575100e+00 -3.440612e+00  0.000000e+00  2.944802e+00  0.000000e+00  8.800000e-01 0 2 -1.000000e+00
-4.824648e+00 -6.846806e+00  3.939734e+00  0.000000e+00  4.505189e-01  5.993642e-02 -2.109806e-01  5.760263e-03
3  8.313664e-02  1.157761e-02  6.651638e-01  3.602936e-01  4.185601e-01  7.100000e-01 5 2 -1.000000e+00
-2.613195e-01  8.411579e-02 -1.294615e+00  8.492593e+00  9.633952e-01 -7.337845e-01  4.851092e-01  6.490234e-01
 3.905343e-01  2.165151e-01  3.093019e+00  0.000000e+00  3.304256e-01 -1.256684e-01 -3.304976e-01  7.315407e-02
-9.527959e-03  1.540963e-03  1.299954e-02  1.094492e+01  1.107331e+01 -3.911571e+00  3.040635e+00  1.041279e+01
1 -8.411664e-01 -1.716269e-01  0.000000e+00  9.839544e-01  0.000000e+00  1.190000e+00 0 2 -1.000000e+00
-1.770874e+00 -1.345427e+00  3.887280e+00  0.000000e+00  4.645239e-01 -1.246789e-01 -1.180700e-01  5.243820e-03
1  3.953921e-02 -3.493964e-01  0.000000e+00  3.827923e-01  0.000000e+00  8.300000e-01 0 2  2.883906e-01
 6.922845e-01 -2.987861e-01  3.386273e+00  0.000000e+00  4.005213e-01 -2.090077e-01  1.427605e-01  2.072709e-02
1 -9.974716e-02  4.217922e-02  0.000000e+00  1.157273e-01  0.000000e+00  9.400000e-01 0 2 -1.000000e+00
-2.199238e-01  1.038872e-01  3.111488e+00  0.000000e+00  3.776987e-01 -1.928737e-01  1.693189e-01  9.760815e-02
5 -1.066200e-01 -1.372513e-01  4.717712e+00  1.785057e+00  1.000000e+00  1.190000e+00 5 2 -1.000000e+00
 5.911517e-01 -2.478293e+00  4.824386e+00  0.000000e+00  5.339862e-01  9.927806e-02 -5.698109e-03  9.346906e-03
-1.531303e+00 -3.001510e-01 -4.113524e+00  7.038197e+01  8.365884e-01 -4.525572e-01 -2.549429e-01  6.130210e-02
 9.924989e-01  5.029080e-01 -2.344787e+00  1.078342e+02  9.882012e-01 -3.974827e-01 -5.182901e-01  1.216881e-01
-1.234036e+00  1.872051e+00  6.047557e+00  3.966179e+01  5.807547e-01  9.011475e-03  1.016337e-01  1.420189e-02
 1.107262e-02  1.065710e-02  1.025347e-02  1.366114e+02  1.124478e+01 -1.253818e+00 -2.419828e+00  9.165305e+00
3  1.585240e-02 -5.388184e-02  6.502371e-01  3.338902e-01  2.168372e-01  1.010000e+00 1 2 -1.000000e+00
 4.736266e-02 -3.694370e-01  1.118896e+01  0.000000e+00  3.773394e-01  5.369133e-01  1.002822e-01  8.060145e-02
-1.078667e-01  2.619995e-01 -2.426183e+00  4.447622e+00  5.207366e-01  6.150431e-01  5.134057e-01  1.948383e-01
-4.703777e-04  1.066447e-03  4.756111e-04  1.045476e+01  4.847305e+01  4.303729e+00  1.151565e+01  4.736681e+01
1 -9.172088e-03  3.012430e-02  0.000000e+00  7.443369e-02  0.000000e+00  7.800000e-01 0 2 -1.000000e+00
-1.325110e-03  1.104729e-01  5.063735e+00  0.000000e+00  4.548367e-01  3.149287e-01  2.324465e-02  2.824183e-01
1  1.855810e-03  3.299281e-02  0.000000e+00  1.129062e-01  0.000000e+00  9.900000e-01 0 2 -1.000000e+00
-7.413144e-02  1.390959e-01  4.912854e+00  0.000000e+00  4.832067e-01  1.502019e-01  2.024032e-01  2.820488e-01
1  1.051179e+00  4.666740e-02  0.000000e+00  4.657624e-01  0.000000e+00  4.900000e-01 0 2  3.139830e-01
 1.147799e+00  3.856746e-02  3.887960e+00  0.000000e+00  4.266786e-01 -2.673805e-01 -9.077619e-04  1.158898e-02
1 -7.088436e+00  2.460616e+00  0.000000e+00  5.719840e+00  0.000000e+00  9.400000e-01 0 2 -1.000000e+00
-1.700362e+01  3.455867e+00  5.509795e+00  0.000000e+00  5.254905e-01 -1.837222e-01  9.955112e-02  2.524082e-03
3 -1.233698e-01  1.162340e+00  1.072698e+00  5.682186e-01  6.226396e-02  1.030000e+00 1 2  2.843817e-01
 1.736390e-01 -1.733297e-01 -4.340736e-01  5.382188e+01  1.423755e+00  3.929235e-01  1.526085e+00  5.744383e-01
-4.448570e-01  7.031086e-01  6.971506e+00  0.000000e+00  4.598990e-01  2.289806e-01  3.095739e-01  1.114937e-02
 1.196101e-02 -9.557800e-03  2.256018e-03  5.791055e+01  3.008706e+01 -6.955745e+00  1.882594e+01  2.824373e+01
3 -1.769673e+00  1.485649e+00  6.234874e+00  3.125902e+00  6.208624e-01  6.800000e-01 3 2  2.914671e-01
-8.126321e-01 -4.300422e+00  2.503744e+00  0.000000e+00  2.923092e-01  2.925340e-01 -1.258901e-01  1.116627e-03
-5.089200e-01  1.927051e+00 -4.032688e+00  3.914397e+02  8.109558e-01  4.625044e-01  2.641987e-01  2.294441e-02
-1.532494e-02  1.901263e-01  7.561469e-02  4.253678e+02  4.878041e+00  1.219362e+00  5.722049e-01  1.302573e+00
3 -1.215974e-02 -3.071409e-02  2.275275e-01  1.068711e-01  8.568233e-02  9.000000e-01 4 2 -1.000000e+00
-5.271181e-02 -1.414084e-01  2.432383e+00  0.000000e+00  2.997602e-01  2.029603e-01 -1.949957e-01  1.985737e-01
 3.263493e-02  6.950550e-02 -2.838838e+01  2.793219e+00  6.603719e-01  2.356356e-01 -3.082999e-01  5.397281e-01
 3.158584e-03  8.285470e-03  2.175445e-01  3.104418e+00  3.148338e+00  1.157197e-01 -7.213652e-02  2.965457e+00
3 -4.170709e-02 -1.777122e-02  6.244163e-01  3.356966e-01  9.747063e-01  9.400000e-01 4 3 -1.000000e+00
-3.257714e-01 -2.113698e-01  3.100294e+00  0.000000e+00  2.893693e-01 -1.491153e-01 -4.002630e-01  5.693139e-02
 2.893372e-01 -1.039589e-01 -3.021876e+00  7.272443e+00  4.903589e-01 -5.916709e-01  4.904894e-01  2.284885e-01
 7.528152e-04  1.605747e-04  4.074026e-04  1.905074e+01  5.161878e+01 -8.778344e+00  5.534175e+00  5.081238e+01
3 -2.120585e-01 -1.842757e-01  1.247524e+00  6.091454e-01  6.268339e-01  7.200000e-01 2 1 -1.000000e+00
-6.434971e-01 -6.327625e-01  2.779649e+00  0.000000e+00  3.359285e-01 -5.866347e-03 -2.849543e-01  3.728854e-02
 2.924790e-01  1.920194e-01 -1.742378e+00  5.638025e+01  7.238763e-01 -2.855135e-01 -7.540918e-01  3.292574e-01
 1.715372e-02  1.254864e-02  1.546192e-02  6.299476e+01  9.122888e+00 -8.521998e-01 -7.616164e-01  8.452776e+00
3  1.481587e+00  1.383694e+00  9.466522e-01  4.957608e-01  1.844366e-01  5.300000e-01 4 2  3.074885e-01
 7.576978e-01 -6.420750e-02  3.408676e+00  0.000000e+00  3.413839e-01 -3.719873e-01  4.507306e-02  8.530334e-02
