# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 10.00, 16.00, 9.00, 16.00, 100
1  1.097536e-01 -6.260263e-01  0.000000e+00  5.227939e-01  0.000000e+00  9.800000e-01 0 2  2.934201e-01
 9.028691e-01 -4.669810e-01  3.405867e+00  0.000000e+00  3.872863e-01 -1.963762e-01  2.079507e-01  1.990955e-02
1  1.494611e-01  6.408762e-02  0.000000e+00  9.034568e-02  0.000000e+00  6.500000e-01 0 2 -1.000000e+00
 2.231206e-01  1.188248e-01  3.008345e+00  0.000000e+00  3.429765e-01 -1.728445e-01 -2.634313e-01  2.785219e-01
3  3.281393e-01 -4.178619e-02  3.381681e-01  1.769308e-01  8.422949e-01  6.800000e-01 2 3  3.007907e-01
-2.864182e-01  4.379872e-02  2.254328e+00  0.000000e+00  2.772666e-01 -2.752429e-01  5.471603e-02  9.705625e-02
 4.168816e-02 -1.491532e-02  4.368098e+00  6.755413e+00  2.432468e+00 -1.003902e+00  9.028916e-01  2.051746e+00
 4.629835e-02 -1.667778e-02 -5.185949e+00  6.755356e+00  2.210037e+00 -9.607839e-01  8.566876e-01  1.840625e+00
1  2.357841e+00 -1.297765e+01  0.000000e+00  1.197138e+01  0.000000e+00  1.150000e+00 0 2 -1.000000e+00
 6.514759e+00 -2.603384e+01  4.509507e+00  0.000000e+00  4.349894e-01  2.802105e-01  1.377147e-01  7.390961e-04
3 -6.184057e-01  4.626985e-01  4.582293e+00  2.581612e+00  7.914549e-01  3.390000e+00 5 3 -1.000000e+00
-3.498984e+00  1.678647e+00  5.064709e+00  0.000000e+00  5.085979e-01 -1.389839e-01  1.572093e-01  1.646148e-02
 4.196783e-01 -4.986378e-01  1.444354e+01  9.167639e+01  1.627069e+00  1.730875e-01  5.422366e-01  5.046675e-01
 4.841490e-01 -5.867594e-01 -1.824936e+01  9.167395e+01  1.489368e+00  1.635244e-01  5.172397e-01  4.198186e-01
5 -1.200531e-02 -2.966752e-03  4.618042e-01  2.392494e-01  1.000000e+00  1.090000e+00 2 2 -1.000000e+00
 2.008972e-01  8.795543e-02 -4.647902e+00  9.204150e-01  5.480459e-01 -4.077620e-01 -5.031337e-01  3.057737e-01
 1.716436e-02 -2.439668e-01  1.053080e+01  1.863226e-01  4.114223e-01  5.005367e-01  3.045038e-02  1.965795e-01
-1.870798e-01 -1.486969e-01 -1.156505e+01  2.804267e-01  4.811455e-01 -1.094079e-01 -5.862655e-01  2.437520e-01
-1.953622e-01  1.660278e-01  7.465820e+00  0.000000e+00  4.102584e-01 -6.450015e-02  4.579205e-01  2.062380e-01
 6.978599e-04  1.578478e-04  3.673614e-03  3.182139e+00  1.776572e+01 -2.791575e+00 -1.041561e+00  1.701250e+01
1 -5.009117e+00  1.719505e+00  0.000000e+00  3.883693e+00  0.000000e+00  7.600000e-01 0 2 -1.000000e+00
-1.211382e+01 -1.179125e+00  3.272551e+00  0.000000e+00  4.246179e-01 -1.495954e-01  5.580072e-02  1.780960e-03
1 -6.344644e-01  4.047018e+00  0.000000e+00  2.195280e+00  0.000000e+00  6.400000e-01 0 2 -1.000000e+00
-2.571191e+00  7.441102e+00  3.934951e+00  0.000000e+00  4.488140e-01  1.991222e-01  1.001183e-01  5.249968e-03
