# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 10.00, 16.00, 9.00, 16.00, 100
3 -3.620829e-02 -1.240590e+00  1.278465e+00  6.749323e-01  5.926360e-01  7.400000e-01 5 3  2.983503e-01
-6.636027e-01 -6.727308e-01  5.014511e+00  0.000000e+00  4.624151e-01  1.979935e-02 -2.986374e-01  4.498045e-02
 2.579348e-01  2.134081e-01 -2.971779e+00  1.689902e+01  1.088203e+00 -1.524497e-01 -5.666018e-01  2.966570e-01
 5.525170e-02  5.205230e-02  3.242081e-01  1.735900e+01  2.926550e+00 -7.313228e-02 -7.885480e-01  1.553697e+00
1  7.170919e-01  8.434712e-03  0.000000e+00  1.266499e+00  0.000000e+00  6.900000e-01 0 2 -1.000000e+00
 1.941811e+00 -2.469162e-01  7.794283e+00  0.000000e+00  4.786319e-01 -3.621357e-01  1.112801e-01  1.373636e-01
3  2.213386e-02  1.863871e-01  6.826430e-01  3.671971e-01  5.018312e-01  5.900000e-01 3 1 -1.000000e+00
-3.842223e-02 -1.376118e-01 -1.297616e+00  7.251624e+00  1.632553e+00  9.072036e-01 -5.897028e-01  1.407081e+00
-3.548369e-02  5.450249e-01  2.585761e+00  0.000000e+00  2.852299e-01  3.477970e-01  5.657055e-02  1.513044e-01
-1.611373e-02 -6.356147e-02  4.034301e-01  7.280340e+00  3.148026e+00  1.210755e+00 -8.181332e-01  2.870469e+00
5  3.033660e-03 -1.107044e-02  7.652850e-01  3.724728e-01  1.000000e+00  7.300000e-01 2 3 -1.000000e+00
 6.143676e-03 -3.932605e-01  4.551307e+00  0.000000e+00  3.595618e-01  4.362815e-01  1.012101e-02  2.410861e-01
 3.602333e-01  3.203123e-02 -3.960375e+00  8.260971e-01  6.504792e-01 -6.005847e-01 -1.181701e-01  5.239611e-01
-3.518193e-01  4.592515e-02 -3.624690e+00  9.291944e-01  6.668429e-01 -5.984719e-01  1.694425e-01  5.390195e-01
 3.006432e-02  3.716505e-01  5.811907e+00  3.684423e-01  3.857591e-01  4.479556e-01 -6.758058e-02  2.653223e-01
-3.103887e-04  7.413331e-04  8.127648e-03  2.596549e+00  1.220188e+01 -1.358128e+00  7.750512e-01  1.183153e+01
1 -3.495502e-02 -7.775766e-02  0.000000e+00  1.038081e-01  0.000000e+00  2.310000e+00 0 2  2.944844e-01
 1.309380e-01  2.960664e-02  3.030524e+01  0.000000e+00  6.089267e-01 -3.060885e-01 -1.620201e-01  1.796187e-02
5  6.510246e+00  1.661273e+00  4.448494e+00  1.968532e+00  1.000000e+00  8.300000e-01 4 2  2.898019e-01
-2.085480e-01 -1.302592e+00 -2.424892e+00  1.883880e+02  9.971742e-01  5.806290e-01 -2.743490e-01  2.043086e-02
 1.967099e+00 -1.362941e-01  8.205014e+00  1.231707e+02  5.367641e-01 -3.029188e-01 -3.083932e-02  1.477668e-02
 1.445319e+00  1.088447e+00 -6.975315e+00  1.289247e+02  6.981698e-01 -8.120094e-02 -4.773579e-01  1.840737e-02
-2.097475e+00  1.671560e+00  3.178894e+00  0.000000e+00  4.055427e-01 -6.421953e-02  1.862270e-01  3.499035e-03
 8.497677e-03 -1.740791e-02  8.331470e-03  2.315826e+02  1.201874e+01  9.977229e-01  6.247798e-01  8.261600e+00
5 -2.070993e-02 -1.609794e-01  1.820499e+00  8.743915e-01  1.000000e+00  7.100000e-01 2 2 -1.000000e+00
 5.026221e-01 -9.824830e-01  2.780797e+00  0.000000e+00  3.432813e-01  1.699488e-01  2.068519e-01  4.289747e-02
-8.771025e-01  2.051943e-01  5.839687e+00  1.321253e+01  4.295678e-01 -3.567462e-01  1.639603e-01  9.150024e-02
 3.863023e-01  5.132181e-01 -1.154672e+00  2.683399e+01  9.188008e-01  2.775045e-01 -8.919817e-01  4.585887e-01
-8.144690e-01 -3.426638e-01 -4.342359e+00  1.396518e+01  6.101703e-01 -4.284010e-01 -4.457907e-01  2.164736e-01
 4.585791e-03  1.067363e-02  5.793114e-03  3.686347e+01  1.530251e+01  1.516606e+00 -5.444538e+00  1.428792e+01
3  1.641043e+00 -6.626325e+00  9.616432e+00  5.457298e+00  1.684956e-01  1.040000e+00 2 3  2.783298e-01
 2.618507e+00  3.858655e-01 -3.477052e+00  5.711604e+02  1.154631e+00 -5.381398e-01 -1.480411e-01  5.767614e-02
-6.913703e+00 -8.840664e-01  2.063587e+01  0.000000e+00  6.007457e-01 -3.278805e-01 -5.864353e-02  5.075908e-03
 2.924387e-01  4.408259e-02  1.147484e-01  5.982626e+02  4.454798e+00 -1.697644e+00 -5.821648e-01  2.056876e+00
3  4.140994e-02 -5.428409e-02  6.292127e-01  3.269464e-01  3.691228e-01  4.400000e-01 1 3 -1.000000e+00
 9.953480e-02 -3.881185e-01  6.343065e+00  0.000000e+00  4.271415e-01  3.555344e-01  2.100228e-01  2.515631e-01
-1.658182e-01  1.824045e-01 -2.341370e+00  5.117857e+00  7.919603e-01 -1.951027e-03  6.858404e-01  5.564920e-01
-6.697825e-03  9.128460e-03  3.341260e-02  6.734145e+00  6.797756e+00  6.206435e-01  1.816575e+00  6.293281e+00
3  3.264095e-02  3.390998e-01  1.628779e+00  8.165392e-01  2.932187e-01  1.000000e+00 1 2 -1.000000e+00
-1.432838e-01 -5.333493e-01 -8.988568e-01  5.837793e+01  6.861656e-01  9.898317e-01 -4.808842e-01  4.053268e-01
-5.295796e-02  1.092924e+00  3.065483e+00  0.000000e+00  2.908465e-01  4.164447e-01  5.709326e-02  6.330551e-02
-2.825088e-03 -1.159336e-02  1.634123e-03  7.670853e+01  2.707259e+01  5.798474e+00 -5.848833e+00  2.648452e+01
3 -1.512086e-01 -2.657227e-02  6.681993e-01  3.283066e-01  6.122027e-01  6.800000e-01 4 1 -1.000000e+00
-4.687358e-01 -6.566407e-02  2.475397e+00  0.000000e+00  2.755485e-01 -3.185910e-01 -1.391193e-01  8.080656e-02
 1.943159e-01  1.711707e-02 -1.515445e+00  1.781357e+01  7.719595e-01 -8.130821e-01 -2.253270e-01  5.042014e-01
 1.600662e-02  1.193712e-03  2.401136e-02  1.967698e+01  7.678404e+00 -1.705087e+00  2.163276e-01  7.200486e+00
1 -3.244988e+00 -1.122031e+00  0.000000e+00  1.709844e+00  0.000000e+00  8.900000e-01 0 2 -1.000000e+00
-5.727821e+00 -2.020541e+00  3.567406e+00  0.000000e+00  4.239750e-01 -1.822912e-01 -1.351261e-01  3.623579e-02
1  3.480544e-01 -1.839083e-02  0.000000e+00  8.143065e-02  0.000000e+00  1.600000e+00 0 2  3.227281e-01
 9.597818e-02  6.734118e-02  6.381558e+00  0.000000e+00  5.028258e-01 -8.490790e-02 -2.885677e-01  5.280283e-03
3 -7.483418e-03  9.902119e-02  4.960637e-01  2.550277e-01  3.404709e-01  1.220000e+00 5 2 -1.000000e+00
-3.470703e-03 -1.655101e-01 -1.249155e+00  4.645217e+00  7.448103e-01  9.301907e-01  2.020271e-02  4.974272e-01
-4.031154e-02  3.291837e-01  3.668904e+00  0.000000e+00  3.028442e-01  4.399691e-01  1.410405e-01  1.151831e-01
-6.186152e-05 -8.335028e-03  1.195132e-02  5.562980e+00  1.048495e+01  2.435176e+00 -6.011247e-01  9.980832e+00
5  2.606471e-01 -2.087297e-02  2.139567e+00  1.097113e+00  1.000000e+00  2.070000e+00 5 2 -1.000000e+00
 7.589555e-01 -9.091337e-01 -1.346468e+01  2.261670e+01  5.218245e-01 -1.306673e-02  5.502268e-01  4.378862e-02
-7.061029e-01  2.040397e-01 -9.547193e-01  7.870622e+01  7.426087e-01 -8.930566e-01  5.622530e-01  1.336790e-01
 1.055583e+00  9.496604e-01  3.432448e+00  0.000000e+00  3.960399e-01 -1.204360e-01 -2.427460e-01  1.530801e-02
 5.027443e-01 -1.117250e+00  1.385096e+01  2.244923e+01  4.791396e-01  1.945975e-01  4.015348e-01  3.674314e-02
-2.619287e-03  4.614746e-04  1.321415e-04  1.311325e+02  8.987170e+01 -1.360075e+01  1.206464e+01  8.802359e+01
3 -2.159984e-02 -1.661836e-01  4.728486e-01  2.174918e-01  2.107420e-01  7.900000e-01 4 2 -1.000000e+00
-4.374270e-02 -3.822351e-01  1.423619e+00  0.000000e+00  1.347310e-01  2.092964e-01 -4.950076e-02  1.227770e-02
 5.208728e-02  8.080103e-02 -6.755268e+00  2.602473e+01  5.591688e-01  3.872958e-01 -4.385963e-01  3.746364e-01
 4.239591e-03  1.603370e-02  1.524015e-01  2.659091e+01  3.764395e+00 -1.038722e+00  3.632080e-02  3.502440e+00
3  1.611108e-01 -1.898866e-01  1.362194e+00  7.480633e-01  6.116887e-01  1.190000e+00 1 2 -1.000000e+00
 9.471242e-01 -5.155323e-01  4.382743e+00  0.000000e+00  4.569788e-01 -8.312485e-02  2.445295e-01  1.041262e-01
-1.578943e-01  2.810274e-01 -2.680874e+00  2.401261e+01  1.236494e+00  3.854972e-01  5.294657e-01  7.551365e-01
