# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 10.00, 16.00, 9.00, 16.00, 100
3 -2.308620e-01  1.162062e-01  2.208011e+00  1.086583e+00  9.840688e-01  9.400000e-01 1 3 -1.000000e+00
 7.463831e-01 -3.023966e-01 -4.639483e+00  8.271073e+01  6.872287e-01 -3.969534e-01  3.947089e-01  2.023575e-01
-1.238989e+00  6.638374e-01  4.714592e+00  0.000000e+00  4.511335e-01 -1.541801e-01  2.556864e-01  5.725956e-02
 1.732641e-02 -8.048149e-03  8.615892e-03  1.126013e+02  1.200743e+01 -1.655343e+00  1.535834e+00  1.091666e+01
1  6.911077e+00  8.705116e-01  0.000000e+00  4.237331e+00  0.000000e+00  7.600000e-01 0 2  2.850371e-01
-3.577888e+00  5.469667e+00  3.304678e+00  0.000000e+00  4.126028e-01  5.975843e-02  1.971370e-01  3.544206e-03
1  8.516736e+00 -5.465629e-01  0.000000e+00  2.482009e+00  0.000000e+00  6.700000e-01 0 2  2.771046e-01
 7.236724e+00 -2.147263e+00  3.131855e+00  0.000000e+00  4.048243e-01 -1.754770e-01  6.436095e-02  6.130522e-04
1 -2.864137e-01 -1.330764e-01  0.000000e+00  2.348323e-01  0.000000e+00  5.300000e-01 0 2  2.969722e-01
-2.249083e-01  4.106548e-01  3.193957e+00  0.000000e+00  3.634091e-01  1.600613e-01  2.579478e-01  1.339528e-01
3  3.500808e+00 -7.748233e-01  6.070546e+00  2.864480e+00  1.403098e-01  1.150000e+00 4 2  2.827515e-01
-3.871878e+00  9.410131e-01  4.170202e+00  0.000000e+00  4.599553e-01 -2.120371e-01  8.301797e-02  4.274161e-03
 2.159940e+00  2.563906e-01 -2.972139e+01  1.978175e+02  7.549372e-01 -2.904389e-01 -9.667876e-02  2.272725e-02
 1.169070e-01 -1.722286e-02  1.005926e-01  2.323949e+02  4.195000e+00 -5.112490e-01  7.459859e-02  1.816913e+00
3  4.787005e-01 -2.374995e-01  9.452699e-01  4.883501e-01  3.083326e-01  8.400000e-01 1 1  2.924753e-01
 3.861001e-01 -5.513026e-01  2.185993e+00  0.000000e+00  2.162799e-01  1.545439e-01  3.645207e-01  2.717575e-02
-1.610194e-01  2.195381e-01 -6.740129e-01  2.589728e+01  6.277161e-01  4.154041e-01  1.204029e+00  2.740201e-01
-2.858269e-03  3.847047e-03  5.537532e-04  3.207988e+01  4.428295e+01  1.196636e+00  8.131600e+00  4.304429e+01
3  6.138457e-01 -8.659724e-02  2.946917e+00  1.361455e+00  5.158615e-01  5.000000e-01 4 1 -1.000000e+00
