# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 10.00, 16.00, 9.00, 16.00, 100
3  1.506702e-01 -9.401930e-01  2.894041e+00  1.119453e+00  6.123738e-02  1.100000e+00 1 2 -1.000000e+00
 7.326796e-02 -2.469069e+00  7.772557e+00  0.000000e+00  4.607891e-01  3.887317e-01  1.047772e-01  7.541796e-02
-1.862941e-03  4.239961e-01 -4.759710e-01  9.816734e+01  2.980233e+00  2.444392e+00  2.173480e-01  2.225590e+00
 2.189743e-03  2.224832e-01  1.603284e-01  9.830638e+01  5.626012e+00  3.893556e+00 -5.488023e-02  4.733442e+00
3  2.924458e-01  1.238584e-01  1.724735e+00  1.242077e+00  5.540994e-01  7.900000e-01 2 2 -1.000000e+00
-4.789531e-01  6.384529e-03 -1.733628e+00  2.410305e+01  1.414418e+00 -8.645811e-01  3.265678e-02  1.012281e+00
 1.053845e+00  7.971071e-01  3.128731e+00  0.000000e+00  3.646949e-01 -2.704468e-03 -2.898049e-01  8.938661e-02
-1.297715e-01 -7.645378e-03  2.957197e-01  2.455225e+01  3.425468e+00 -1.570261e+00  1.886614e-01  2.868295e+00
5  1.589807e-02  3.302687e-02  5.256172e-01  1.956549e-01  1.000000e+00  5.200000e-01 2 2 -1.000000e+00
-8.477423e-02 -2.215927e-01 -9.179904e-01  3.089964e+00  6.325271e-01  7.828591e-01 -7.819872e-01  5.398556e-01
 2.757872e-01  3.752025e-02  3.260459e+00  0.000000e+00  1.722605e-01 -6.043885e-01 -1.147261e-01  8.235233e-02
-1.671148e-01  2.297077e-01  2.982556e+00  8.692511e-02  1.772426e-01  8.257590e-02  5.786434e-01  9.958765e-02
 9.219786e-02  2.733359e-01 -2.457225e+00  5.989542e-01  4.470440e-01  6.498558e-01 -5.388978e-01  3.611764e-01
-3.762248e-04 -9.734281e-04  5.245689e-04  7.716828e+00  4.991040e+01  1.766552e+01 -1.318444e+01  4.964600e+01
1 -8.809694e-03  2.250051e-02  0.000000e+00  3.353680e-02  0.000000e+00  1.110000e+00 0 2 -1.000000e+00
-2.651781e-02  6.050694e-02  3.254592e+00  0.000000e+00  3.816655e-01  1.912023e-01  1.962678e-01  3.487303e-01
3  1.150881e-01  1.043972e-03  1.407463e+00  7.129145e-01  7.473361e-01  9.500000e-01 1 2 -1.000000e+00
-6.188270e-01 -2.442402e-01 -2.629170e+00  1.026814e+01  3.226699e-01 -6.950361e-01 -5.966984e-01  1.935898e-01
 7.884866e-01 -2.237073e-01  3.518056e+00  0.000000e+00  1.870244e-01 -5.157712e-01  3.326582e-01  8.093010e-02
-1.150573e-03 -1.421866e-04  1.320241e-04  3.221714e+01  8.910118e+01 -8.061096e+00 -1.106620e+01  8.868798e+01
1  7.179555e-02 -6.878850e-02  0.000000e+00  1.576215e-02  0.000000e+00  1.190000e+00 0 2  2.886392e-01
 4.759156e-02  4.585507e-02  3.320140e+00  0.000000e+00  4.316395e-01  1.358976e-02 -1.471626e-01  4.487021e-02
3 -2.901319e-03 -1.558178e-01  9.731043e-01  4.595235e-01  3.366554e-01  8.700000e-01 1 2 -1.000000e+00
 1.139657e-01 -5.914467e-01  3.261430e+00  0.000000e+00  2.387041e-01  4.801371e-01  2.059754e-01  1.640607e-02
 7.882022e-02  3.810228e-01 -1.097978e+00  3.341223e+01  3.955645e-01  1.060175e+00 -3.900462e-01  9.044472e-02
 5.364980e-05  2.532723e-04  2.991047e-06  8.241288e+01  6.011436e+02  8.702006e+01 -1.351616e+02  5.998213e+02
5  4.333238e-02  3.968954e-02  9.061997e-01  6.153178e-01  1.000000e+00  1.630000e+00 5 2 -1.000000e+00
 2.143877e-01  4.806036e-01  2.890743e+00  0.000000e+00  2.279143e-01  3.296837e-01 -3.761557e-01  3.805003e-02
-4.337454e-01 -7.788955e-03 -1.681310e+00  7.597171e+00  4.762244e-01 -9.245332e-01 -1.198071e-01  2.693750e-01
 1.992578e-01 -4.254698e-01  8.551405e+00  4.448822e+00  2.807630e-01  4.519801e-01  4.428047e-01  7.981374e-02
 3.848057e-01 -2.869179e-01 -6.129136e+00  4.545232e+00  3.730469e-01 -1.549183e-01  7.295379e-01  1.733701e-01
-5.790346e-04 -2.598161e-04  1.577931e-04  2.204339e+01  8.503164e+01 -2.652048e+01  4.535131e+00  8.427925e+01
3  8.596654e-02 -2.029764e-01  1.966883e+00  6.691959e-01  8.871946e-01  9.500000e-01 5 3 -1.000000e+00
 1.838616e-01 -9.327103e-01 -3.278190e+00  2.124199e+00  7.787313e-01  5.432077e-01  2.427584e-01  4.345285e-01
-7.535697e-01 -7.742593e-01  3.695007e+00  9.761566e-01  4.259091e-01  4.938845e-02 -2.377091e-01  1.604070e-01
 1.126936e+00 -1.977795e-01  3.226131e+00  0.000000e+00  4.036042e-01 -1.834603e-01  1.098247e-01  1.265388e-01
5  1.337685e-02 -5.897632e-03  4.225568e-01  1.561247e-01  1.000000e+00  1.100000e+00 1 2 -1.000000e+00
-1.076094e-01 -1.813779e-01  3.840094e+00  1.438316e-01  4.629058e-01  5.461193e-02 -1.583584e-01  1.920076e-01
 1.001747e-01 -1.167777e-01 -2.855497e+00  5.291158e-01  9.560286e-01  3.137813e-02  5.925796e-01  6.206635e-01
-7.573293e-02  7.223208e-02 -2.319385e+00  8.082725e-01  1.224667e+00 -5.713662e-02  6.916353e-01  8.404470e-01
 1.672523e-01  1.395665e-01  3.610321e+00  0.000000e+00  4.387780e-01 -9.397451e-02 -1.707491e-01  1.665574e-01
-5.736794e-03  4.468189e-03  2.041513e-01  8.917523e-01  3.632037e+00 -3.207820e-03  1.424528e+00  2.926297e+00
3 -4.357586e-02  7.836398e-02  7.823435e-01  3.836288e-01  8.635714e-01  7.400000e-01 1 3 -1.000000e+00
-1.131173e-02 -3.445254e-01 -3.342172e+00  9.584377e+00  4.988736e-01  7.404962e-01  4.471796e-02  2.993381e-01
-3.022116e-01  3.817243e-01  2.886204e+00  0.000000e+00  2.605850e-01  9.410752e-02  4.374956e-01  8.627939e-02
 1.243419e-03 -3.522387e-03  3.242954e-03  1.656257e+01  1.880916e+01  2.465590e+00 -1.651120e+00  1.831748e+01
3 -3.927999e+00 -2.643505e+00  1.900831e+00  1.167951e+00  1.243121e-01  1.070000e+00 5 2  2.971402e-01
-1.473387e+00 -5.937938e-01  3.867909e+00  0.000000e+00  3.843920e-01 -2.888832e-01 -1.923070e-01  5.663975e-02
 3.216570e-01  3.148776e-02 -4.808280e-01  6.249095e+01  1.946804e+00 -1.709332e+00 -2.331686e-01  1.326961e+00
 1.014973e-01  1.248723e-02  7.318530e-02  6.297068e+01  5.831837e+00 -3.032969e+00 -6.955600e-01  5.014479e+00
3 -1.984813e+00  1.306549e+00  1.712960e+00  8.934795e-01  8.635376e-01  9.500000e-01 1 3  3.207315e-01
-8.128819e-01 -7.732561e-01  4.019927e+00  0.000000e+00  3.840785e-01 -4.508023e-02 -3.585615e-01  3.871380e-02
 6.094076e-01  1.813773e-01 -3.471358e+00  1.139559e+01  7.477212e-01 -5.059183e-01 -3.094558e-01  1.431292e-01
 2.906953e-02  1.429656e-02  4.318644e-02  1.405593e+01  5.906840e+00 -7.916295e-01 -5.431240e-01  3.299985e+00
1  2.341792e-01  1.435096e+00  0.000000e+00  9.858114e-01  0.000000e+00  9.700000e-01 0 2 -1.000000e+00
 5.083735e-01  2.528473e+00  3.093457e+00  0.000000e+00  3.678732e-01  2.591061e-01 -9.584047e-02  1.455137e-02
3  1.361214e+00 -7.642656e-01  1.226713e+00  5.703060e-01  8.948058e-01  7.100000e-01 4 2  2.769572e-01
-8.588285e-01 -1.665325e-01  3.966221e+00  0.000000e+00  4.634708e-01 -1.609841e-01 -9.908842e-02  5.541752e-02
 2.562622e-01  3.447385e-01 -4.432494e+00  5.248712e+01  8.098195e-01  2.326185e-01 -4.557015e-01  2.431697e-01
 1.976455e-02  1.036338e-02  5.243127e-02  6.264143e+01  5.465693e+00 -3.488645e-01 -8.649384e-01  4.382763e+00
3 -4.836749e-03 -1.216709e-01  1.250783e+00  7.714544e-01  3.638670e-01  1.230000e+00 1 2 -1.000000e+00
-2.552658e-01 -7.097057e-01  8.735136e+00  0.000000e+00  4.112519e-01  4.105137e-01 -2.522352e-01  7.753102e-02
-5.487245e-02  5.249195e-01 -3.178428e+00  4.021864e+01  5.479005e-01  7.117988e-01  1.111638e-01  1.859916e-01
-1.604259e-04  4.942147e-03  3.019939e-03  7.434487e+01  1.924800e+01  4.481162e-01  1.286986e+00  1.839555e+01
1  8.230728e-01 -1.905368e-01  0.000000e+00  7.136077e-01  0.000000e+00  7.900000e-01 0 2 -1.000000e+00
 1.500199e+00 -1.763461e-01  3.716559e+00  0.000000e+00  3.997497e-01 -2.800705e-01  1.131141e-01  6.579177e-02
5  3.175527e-02 -1.937164e-02  1.186598e+00  4.074347e-01  1.000000e+00  1.930000e+00 5 2 -1.000000e+00
-9.756805e-02 -5.694735e-01 -2.924628e+00  1.152894e+01  7.958330e-01  5.827975e-01 -2.096548e-01  3.889110e-01
-5.573982e-01 -1.234093e-01  6.299600e+00  7.087914e+00  4.563109e-01 -3.546629e-01 -1.052224e-01  7.254462e-02
 6.278308e-01 -6.643632e-02  4.684255e+00  0.000000e+00  4.242868e-01 -3.327900e-01  8.494344e-02  5.245878e-02
-3.661790e-02  5.284519e-01 -2.420830e+00  1.531536e+01  8.405575e-01  6.451816e-01  1.491443e-01  4.176446e-01
-1.355432e-03  1.868634e-03  6.214854e-03  3.013273e+01  1.473326e+01  5.235747e+00  5.333636e-01  1.354784e+01
3  1.698240e+00 -1.961047e+00  3.731173e+00  2.061906e+00  9.145286e-02  1.010000e+00 4 2  2.860781e-01
-3.066388e+00 -1.447507e+00  4.368030e+00  0.000000e+00  4.112964e-01 -2.303892e-01 -2.540800e-01  2.441985e-03
 2.912174e-01  1.798028e-01 -3.994688e-01  3.283458e+02  2.547364e+00 -1.022277e+00 -1.962806e+00  7.771543e-01
 9.428211e-02  5.880541e-02  4.721857e-02  3.290106e+02  7.268006e+00 -1.818003e+00 -3.847682e+00  4.712402e+00
3  7.745370e-02  2.469699e-01  1.088833e+00  3.764183e-01  1.151928e-01  9.400000e-01 1 2 -1.000000e+00
-1.445920e-01 -3.531798e-01 -3.546716e-01  2.428515e+01  7.736812e-01  1.249895e+00 -1.143894e+00  5.711812e-01
 1.017003e-01  7.074318e-01  3.078938e+00  0.000000e+00  2.220060e-01  5.183632e-01 -1.085674e-01  6.654060e-02
-8.518667e-04 -2.047231e-03  4.264715e-05  3.875668e+01  1.840585e+02  6.534269e+01 -7.610871e+01  1.834585e+02
1  4.817156e-01  5.663759e-01  0.000000e+00  7.906334e-01  0.000000e+00  1.110000e+00 0 2 -1.000000e+00
 7.805545e-01  1.179998e+00  5.085393e+00  0.000000e+00  3.960402e-01  1.192776e-01 -3.922992e-01  4.760091e-02
5  3.702279e-02  1.505868e-02  1.221250e+00  6.470480e-01  1.000000e+00  8.300000e-01 1 3 -1.000000e+00
-5.344477e-01  1.443138e-01 -7.418736e+00  2.276448e+00  7.399650e-01 -3.876903e-01  2.282724e-01  3.888732e-01
 4.760391e-01  5.059804e-01  7.744796e+00  0.000000e+00  5.170127e-01  1.784544e-02 -3.222410e-01  2.163649e-01
-1.530939e-03 -6.180203e-01  2.967930e+01  1.372193e+00  5.973815e-01  3.583407e-01 -2.716135e-04  2.780692e-01
 2.709129e-01 -5.527269e-01 -2.727157e+01  1.393835e+00  6.480375e-01  2.421491e-01  3.192329e-01  3.191722e-01
