# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 10.00, 16.00, 9.00, 16.00, 100
3 -7.862361e-01 -5.153553e-01  9.168911e-01  5.020669e-01  2.647508e-01  1.100000e+00 3 2  3.063535e-01
-4.719096e-01 -5.373107e-01  3.573468e+00  0.000000e+00  3.343332e-01  6.691435e-02 -3.984904e-01  7.788019e-02
 1.327760e-01  1.519242e-01 -9.460782e-01  1.364062e+01  1.422912e+00  1.933565e-01 -1.094743e+00  8.288431e-01
 3.760391e-02  4.184253e-02  1.261356e-01  1.383607e+01  4.385406e+00  1.724637e-01 -1.871699e+00  3.392364e+00
3 -2.367362e-01 -5.095278e-01  3.409632e-01  1.758857e-01  3.396297e-01  7.800000e-01 1 2  2.950517e-01
 5.266700e-02 -2.453518e-01  3.437498e+00  0.000000e+00  3.271226e-01  3.627691e-01  1.739345e-01  1.829930e-01
 3.418712e-02  9.511030e-02 -1.167476e+00  9.683942e+00  1.233342e+00  7.385074e-01 -6.046519e-01  1.022176e+00
 5.378505e-03  1.785476e-02  1.133648e-01  1.011193e+01  4.452034e+00  1.297127e+00 -1.188664e+00  4.145782e+00
1  1.527123e-01  3.690257e-01  0.000000e+00  1.041017e-01  0.000000e+00  2.430000e+00 0 2  2.978701e-01
 1.564425e-01 -5.549281e-02  7.890935e+00  0.000000e+00  5.262900e-01 -2.828474e-01  1.329315e-01  2.735541e-02
5 -7.195135e-02 -1.913517e-02  1.838356e+00  7.728433e-01  1.000000e+00  9.600000e-01 3 2 -1.000000e+00
-1.031338e+00 -5.909284e-02  4.348571e+00  0.000000e+00  3.951832e-01 -3.666783e-01  3.727907e-02  7.190035e-02
 4.143031e-01  7.546243e-01 -3.610297e+00  2.251592e+01  6.437467e-01  3.925258e-01 -4.998254e-01  2.808730e-01
 7.839403e-01 -3.494640e-01  1.271512e+01  1.568978e+01  4.359589e-01 -2.726549e-01  4.063929e-01  8.504538e-02
 3.256620e-01 -7.828578e-01 -1.157129e+01  1.633431e+01  4.963818e-01  3.632877e-01  4.561514e-01  1.174969e-01
 2.485961e-03  1.382260e-03  1.637719e-03  5.855100e+01  2.693122e+01  9.943945e-01 -7.799615e+00  2.598650e+01
5 -1.312200e+00 -3.053124e-01  2.685168e+00  1.252442e+00  1.000000e+00  1.300000e+00 1 2  2.818804e-01
-2.980504e-01 -1.134872e+00  4.248704e+00  8.667771e+01  4.129945e-01  2.621049e-01 -2.012724e-01  8.533228e-03
-9.783903e-01 -3.197245e-01 -2.764289e+00  9.882281e+01  6.719208e-01 -5.829541e-01 -3.599404e-01  2.282795e-02
 8.419264e-01 -2.997983e-01 -1.594440e+00  1.235210e+02  8.131373e-01 -6.715958e-01  4.594084e-01  2.918043e-02
-1.068298e-01  1.543479e+00  2.350105e+00  0.000000e+00  3.063961e-01  2.346011e-01  2.314739e-02  3.581140e-03
 4.671627e-04 -1.086626e-03  6.795392e-05  2.073743e+02  1.226305e+02 -2.649169e+00  8.432351e+00  1.168272e+02
1  2.921649e+00 -2.818498e+00  0.000000e+00  1.900640e+00  0.000000e+00  7.000000e-01 0 2  2.783156e-01
 2.157126e+00  2.550910e+00  6.638312e+00  0.000000e+00  5.074690e-01  1.164978e-02 -3.030023e-01  8.443215e-02
5  1.079366e-02  3.652252e-02  1.120745e+00  5.437448e-01  1.000000e+00  9.600000e-01 4 2 -1.000000e+00
-1.876704e-01 -5.104863e-01 -4.287405e+00  8.182241e+00  4.488927e-01  5.157953e-01 -5.204957e-01  1.892570e-01
-3.480427e-01  5.301258e-01  9.142545e+00  0.000000e+00  3.805410e-01  2.110133e-01  4.793998e-01  1.339434e-01
 5.687865e-01  1.802598e-01  2.212876e+01  1.133055e+00  3.607875e-01 -4.723102e-01 -3.746007e-01  1.116022e-01
 3.885164e-01  4.508030e-01 -2.571593e+01  1.232969e+00  3.834812e-01  6.581627e-02 -6.439333e-01  1.320583e-01
-1.723960e-04 -7.462041e-04  4.411120e-04  3.754604e+01  4.938062e+01  8.458264e+00 -1.464402e+00  4.860737e+01
3 -1.700741e-01  1.851647e-01  9.958668e-01  4.606147e-01  7.533619e-01  5.300000e-01 1 1 -1.000000e+00
 1.999922e-01 -2.584796e-01 -1.340441e+00  3.398811e+01  3.255353e-01  2.829054e-01  1.058721e+00  1.720552e-01
-4.945162e-01  4.552491e-01  1.779279e+00  0.000000e+00  1.416985e-01  1.149270e-02  4.177609e-01  2.743724e-02
 2.732933e-03 -2.905902e-03  7.233007e-04  4.683637e+01  3.846141e+01 -7.405020e-01 -4.500884e+00  3.807052e+01
3  2.973050e-02 -3.419084e-02  4.037634e-01  1.914671e-01  5.328362e-01  6.000000e-01 4 2 -1.000000e+00
 1.682809e-01 -1.945077e-01  4.143003e+00  0.000000e+00  4.099911e-01  2.763805e-02  3.255392e-01  3.030659e-01
-8.844871e-02  1.171248e-01 -7.775379e+00  4.668080e+00  7.621239e-01  1.052423e-01  4.172771e-01  6.344352e-01
-8.956403e-03  1.115396e-02  1.908081e-01  5.402430e+00  3.348967e+00  1.832473e-01  4.931517e-01  3.132163e+00
1 -1.240521e-02 -2.528732e-02  0.000000e+00  3.109456e-02  0.000000e+00  9.200000e-01 0 2 -1.000000e+00
-5.380844e-02 -6.231811e-02  5.691208e+00  0.000000e+00  5.351040e-01  6.338083e-02 -1.907918e-01  3.814666e-01
3  1.181692e-01 -1.943006e-02  1.995932e-01  9.232262e-02  3.443290e-01  1.800000e+00 5 2  2.941093e-01
-6.991042e-02  6.820639e-03 -1.282701e+01  6.817247e-01  8.266624e-01 -3.128485e-01  1.006589e-01  1.813288e-02
 1.285149e-01  2.838102e-02  4.416710e+00  0.000000e+00  4.621327e-01 -2.300351e-01 -9.986108e-02  5.669332e-03
-9.479169e-03 -9.491824e-04  4.949027e-01  7.521853e-01  2.459288e+00 -3.298389e-01 -1.134876e-02  1.515201e-01
