# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 10.00, 16.00, 9.00, 16.00, 100
1 -3.597616e-01  9.424026e+00  0.000000e+00  4.414966e+00  0.000000e+00  1.990000e+00 0 2 -1.000000e+00
-1.694164e+00  1.436420e+01  1.289963e+01  0.000000e+00  4.916728e-01  4.148761e-01  9.355613e-02  1.657569e-03
5 -4.172846e-02  4.812882e-02  2.089322e+00  1.037348e+00  1.000000e+00  7.600000e-01 1 3 -1.000000e+00
 7.838164e-01 -6.205800e-01 -2.330197e+00  1.416936e+01  5.147350e-01 -1.855271e-01  7.938577e-01  2.938297e-01
-9.534819e-01 -4.235852e-01  8.188090e+00  2.437207e+00  3.014899e-01 -3.501594e-01 -4.931289e-01  7.138491e-02
 1.762261e-01  1.053088e+00  5.525932e+00  0.000000e+00  2.835235e-01  5.185090e-01 -2.520358e-01  6.723282e-02
-9.420367e-01  5.570019e-01 -5.329915e+00  4.161225e+00  4.441782e-01 -3.696748e-01  5.999155e-01  2.280512e-01
 7.929069e-04 -7.644563e-04  2.058260e-04  6.351287e+01  7.639175e+01 -5.208411e+00  2.825446e+01  7.567146e+01
1  4.199852e-01 -1.219160e-01  0.000000e+00  1.134510e-01  0.000000e+00  7.800000e-01 0 2  3.090551e-01
 1.768344e-01 -8.869779e-02  3.086709e+00  0.000000e+00  3.922113e-01 -1.164714e-01  1.785271e-01  4.640770e-02
3 -2.271244e-01 -4.880677e-01  1.644311e+00  7.301478e-01  1.106525e-01  1.110000e+00 2 2 -1.000000e+00
-8.037957e-01 -1.131089e+00  3.379169e+00  0.000000e+00  3.832937e-01  1.141728e-01 -2.671340e-01  6.706133e-03
 7.605874e-02  2.580163e-01 -3.739135e-01  1.475703e+02  1.446555e+00  1.346330e+00 -1.030157e+00  5.335956e-01
 6.382171e-03  2.426161e-02  5.317527e-03  1.523279e+02  1.603723e+01  5.909334e+00 -1.772180e+00  1.432783e+01
1  3.975335e+00  1.262245e+00  0.000000e+00  2.271536e+00  0.000000e+00  1.090000e+00 0 2 -1.000000e+00
 6.177700e+00  1.879379e+00  5.814052e+00  0.000000e+00  4.681871e-01 -2.749044e-01 -1.877645e-01  2.429601e-03
5 -2.507802e-02  3.244145e-02  5.298457e-01  2.499152e-01  1.000000e+00  1.120000e+00 2 3 -1.000000e+00
 1.421034e-01 -1.903934e-01 -1.435630e+00  7.104097e+00  4.345575e-01  2.652742e-01  9.725806e-01  2.710366e-01
-2.845299e-01  5.854530e-02  7.276093e+00  2.848025e-03  2.387652e-01 -6.161395e-01  2.498283e-01  1.046911e-01
 2.567934e-02  2.933774e-01  6.836729e+00  0.000000e+00  2.540797e-01  6.290366e-01 -1.201714e-01  1.114360e-01
-1.719932e-01  2.363147e-01 -1.031109e+01  2.203471e-01  3.162112e-01  2.124278e-01  7.207111e-01  1.650084e-01
 3.402800e-04 -4.597158e-04  1.823278e-04  2.167479e+01  7.800487e+01  7.255151e+00  1.981122e+01  7.747010e+01
3 -9.736241e-02 -9.122810e-02  1.665538e+00  8.775111e-01  3.246255e-01  7.500000e-01 4 2 -1.000000e+00
-7.913531e-01 -5.121395e-01  8.635938e+00  0.000000e+00  3.297516e-01 -2.050686e-01 -5.398006e-01  1.159616e-01
 5.165372e-01  5.190929e-01 -2.803446e+00  7.759828e+00  4.436377e-01  4.493390e-02 -8.149993e-01  2.021620e-01
