# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 10.00, 16.00, 9.00, 16.00, 100
3  7.421546e-01 -2.601904e-01  2.876546e+00  1.827301e+00  1.269075e-01  9.400000e-01 5 2 -1.000000e+00
 2.004388e+00 -1.286736e+00  3.831158e+00  0.000000e+00  4.395954e-01 -1.216528e-01  1.955409e-01  1.313599e-02
-5.278889e-01  7.784681e-02 -4.862027e-01  2.331821e+02  1.559635e+00 -1.438326e+00  5.487851e-01  8.263349e-01
-6.868038e-02  9.525414e-03  1.300043e-02  2.401527e+02  1.174809e+01 -6.144134e+00  9.222611e-01  1.060419e+01
5 -1.291642e-02  2.447884e-03  1.066353e-01  3.162742e-02  1.000000e+00  5.700000e-01 4 2 -1.000000e+00
 6.678298e-03 -2.961907e-02 -1.878078e+00  2.197673e-01  1.165232e+00  7.094342e-01  2.376210e-01  1.083566e+00
 3.959879e-02 -2.338902e-03  4.019460e+00  1.932826e-01  4.317142e-01 -2.697807e-01  3.711494e-02  3.612723e-01
-6.634860e-02  9.753952e-03  1.809832e+00  0.000000e+00  2.179857e-01 -2.320423e-01  7.187025e-02  1.561449e-01
 1.550312e-02  2.900609e-02 -2.038798e+00  2.135676e-01  1.082330e+00  4.547762e-01 -5.389266e-01  1.002311e+00
 2.608309e-03 -8.345978e-04  2.243242e-01  2.363163e-01  3.238789e+00  7.420197e-01 -6.124379e-02  3.124344e+00
3  1.639859e-01  3.315882e-03  1.552814e+00  8.791715e-01  3.345804e-01  1.070000e+00 1 2 -1.000000e+00
-6.506468e-01 -3.482355e-02 -1.910874e+00  3.811991e+01  4.777680e-01 -8.776181e-01 -1.607278e-01  2.405628e-01
 8.987873e-01 -1.372203e-01  5.711255e+00  0.000000e+00  3.190482e-01 -5.199498e-01  1.351099e-01  1.128893e-01
-2.856628e-03  7.887083e-05  3.101545e-04  8.361082e+01  6.006168e+01 -1.599190e+01  2.888170e+00  5.937253e+01
1  2.276266e+00 -2.257605e+00  0.000000e+00  1.009580e+00  0.000000e+00  9.800000e-01 0 2  2.978310e-01
 1.218645e+00  1.717772e+00  4.034182e+00  0.000000e+00  4.386413e-01  8.529775e-02 -2.448800e-01  1.918764e-02
3 -4.832469e-01 -5.274129e-01  1.869855e+00  8.197487e-01  9.461810e-02  7.900000e-01 2 2 -1.000000e+00
-1.266973e+00 -8.989292e-01  3.120464e+00  0.000000e+00  3.317392e-01 -7.646403e-02 -3.467861e-01  3.316580e-02
 1.884654e-01  2.749777e-01 -2.952524e-01  1.478186e+02  1.724916e+00  5.935604e-01 -1.886829e+00  1.245082e+00
 3.497012e-02  5.152449e-02  1.766345e-02  1.507555e+02  9.859601e+00  2.210545e+00 -4.122130e+00  9.193857e+00
3  3.223682e-01 -1.926357e-01  1.426070e+00  8.872751e-01  2.035089e-01  6.800000e-01 1 2 -1.000000e+00
 8.029370e-01 -8.034932e-01  3.487190e+00  0.000000e+00  3.840133e-01 -1.167003e-02  3.042031e-01  6.723493e-02
-2.805312e-01  1.237461e-01 -7.096742e-01  9.301489e+01  1.590062e+00 -9.074550e-01  9.663311e-01  1.090889e+00
-6.574370e-02  3.103188e-02  7.127556e-02  9.470026e+01  5.738995e+00 -2.000540e+00  2.103772e+00  5.050462e+00
5  1.708365e-02 -3.102448e-03  7.481373e-01  3.160416e-01  1.000000e+00  1.030000e+00 2 2 -1.000000e+00
 3.853456e-01 -4.572961e-02  6.556604e+00  0.000000e+00  3.007799e-01 -5.640155e-01  1.351935e-01  1.206846e-01
-3.616607e-01 -4.607376e-03  1.693817e+01  2.979097e+00  3.278750e-01 -6.266307e-01  6.909941e-03  1.427258e-01
-1.642204e-01 -3.466552e-01 -8.710504e+00  3.444885e+00  4.524307e-01  3.535145e-01 -5.382040e-01  2.635067e-01
-8.922623e-02  3.702039e-01 -7.432479e+00  3.708684e+00  4.571124e-01  5.478701e-01  3.593187e-01  2.718606e-01
-3.709842e-04  8.329232e-05  8.586520e-04  2.065207e+01  3.530751e+01  3.519681e+00  3.348099e-02  3.470315e+01
3 -6.315319e-02  1.046371e-01  6.476891e-01  3.632851e-01  6.877770e-01  6.900000e-01 2 1 -1.000000e+00
 1.394584e-01 -1.495096e-01 -1.975940e+00  2.076077e+01  8.251568e-01  5.802877e-02  7.302677e-01  5.259927e-01
-1.809292e-01  4.133874e-01  2.872938e+00  0.000000e+00  3.190474e-01  2.370473e-01  2.437812e-01  1.061401e-01
 1.082816e-02 -1.440073e-02  4.350815e-02  2.309070e+01  5.999157e+00  5.758706e-03  1.416804e+00  5.463607e+00
1 -1.106213e-03  6.002946e-01  0.000000e+00  2.591063e-01  0.000000e+00  1.030000e+00 0 2  2.942284e-01
-3.294834e-01  2.315363e-01  3.302625e+00  0.000000e+00  3.827636e-01 -8.577499e-02  2.661466e-01  5.751711e-02
3  2.312981e-02  4.527119e-02  5.007023e-01  2.520973e-01  1.363936e-01  1.180000e+00 4 2 -1.000000e+00
 1.229871e-01  2.799322e-01  3.585132e+00  0.000000e+00  3.723898e-01  1.947278e-01 -2.775715e-01  1.194590e-01
