# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 10.00, 16.00, 9.00, 16.00, 100
1  6.847473e+00  1.812307e-01  0.000000e+00  4.072766e+00  0.000000e+00  1.070000e+00 0 2 -1.000000e+00
 1.207378e+01  7.753184e-01  4.374530e+00  0.000000e+00  4.533812e-01 -2.647406e-01 -1.041902e-02  4.648870e-03
3 -1.756614e+00  1.581515e-01  1.177839e+00  6.313394e-01  5.430929e-01  9.600000e-01 4 2  3.207295e-01
-6.777565e-02 -3.715634e-01 -2.135059e+00  5.139839e+00  9.643144e-01  6.699026e-01 -1.444820e-01  4.757540e-01
-2.832948e-01  7.863902e-01  3.931296e+00  0.000000e+00  3.846020e-01  2.316764e-01  2.658417e-01  6.542730e-02
-4.688020e-03 -4.260881e-02  8.527005e-02  5.555893e+00  4.750015e+00  1.180761e+00 -9.700364e-01  3.837295e+00
3  5.773822e-02 -3.040376e-01  1.407518e+00  7.495497e-01  1.171365e-01  9.700000e-01 2 2 -1.000000e+00
-1.724928e-02  5.047245e-01 -3.803488e-01  5.661615e+01  1.186948e+00  1.615880e+00  2.303181e-01  9.507295e-01
 5.223699e-01 -7.952436e-01  3.247055e+00  0.000000e+00  2.606000e-01  1.251815e-01  4.723036e-01  6.122620e-02
-4.761674e-04  1.397755e-02  1.318505e-03  7.304525e+01  3.529407e+01  2.042523e+01 -6.774874e-01  3.483348e+01
5 -3.411967e-01 -4.547925e-03  2.235168e+00  1.287561e+00  1.000000e+00  1.260000e+00 1 2 -1.000000e+00
-1.135332e+00 -1.103751e+00  7.938605e+00  0.000000e+00  5.245159e-01 -7.313371e-02 -3.078472e-01  3.107076e-02
-1.511269e+00  7.587776e-02 -1.110000e+01  6.245280e+00  6.356475e-01 -4.717453e-01  1.729829e-02  7.281591e-02
 7.100251e-01 -2.525767e-02 -1.118635e+00  1.287344e+02  1.094985e+00 -9.501490e-01  1.364654e-02  3.691716e-01
-1.156024e+00  1.131321e+00  8.076599e+00  1.221005e+00  5.335883e-01 -6.725990e-02  2.986661e-01  4.677871e-02
 3.333040e-02 -2.024842e-03  1.124433e-02  1.510257e+02  1.146905e+01 -4.447413e+00  9.421943e-01  1.007818e+01
3 -1.387396e-01 -3.724326e-01  2.775300e+00  1.431155e+00  5.994052e-01  9.100000e-01 1 2 -1.000000e+00
-2.500664e-01 -1.783049e+00  3.581276e+00  0.000000e+00  3.426690e-01  3.749197e-01 -1.108563e-01  7.397771e-02
 6.319208e-01  8.483749e-01 -2.146636e+00  4.055930e+01  6.456546e-01  2.605150e-01 -7.235592e-01  3.078291e-01
 1.097685e-02  2.066236e-02  5.641433e-03  5.638706e+01  1.462070e+01  1.838769e-01 -2.868749e+00  1.386544e+01
1 -1.271695e+00 -5.945320e-01  0.000000e+00  2.946021e-01  0.000000e+00  1.000000e+00 0 2  3.077958e-01
-4.151591e-01 -2.930834e-01  1.155637e+01  0.000000e+00  4.640377e-01 -1.693416e-01 -4.147851e-01  2.031812e-01
3  1.395366e+00  5.541280e-01  7.805721e-01  4.182468e-01  5.321534e-02  6.500000e-01 4 2  3.321825e-01
-5.794700e-01  3.947367e-01  5.869412e+00  0.000000e+00  4.832517e-01 -2.681769e-01  1.572741e-01  9.954286e-03
 9.713272e-02  5.504814e-03 -3.123428e-01  2.760394e+01  1.938769e+00 -2.016898e+00 -1.225605e-01  1.191953e+00
 2.539499e-02  1.568920e-03  3.154827e-02  2.780898e+01  7.704116e+00 -3.553757e+00 -7.864591e-01  6.768036e+00
3 -1.221253e+00 -3.653362e-02  1.591486e+00  7.895540e-01  6.395532e-02  1.180000e+00 2 2  2.865370e-01
 7.724445e-01  1.089378e+00  3.659221e+00  0.000000e+00  3.777877e-01  7.428649e-02 -3.291617e-01  3.631739e-02
-1.532121e-01 -2.052215e-01 -2.340267e-01  7.359260e+01  2.081340e+00  4.852958e-01 -2.281842e+00  1.424858e+00
-2.591068e-02 -3.685883e-02  1.063828e-02  7.495739e+01  1.328746e+01  2.826558e+00 -6.999439e+00  1.229253e+01
5  7.256446e-03 -4.367691e-03  4.000412e-01  2.020554e-01  1.000000e+00  8.600000e-01 2 3 -1.000000e+00
 1.809987e-01 -9.700984e-02 -6.983076e+00  8.595019e-01  2.990609e-01 -5.221973e-01  6.015222e-01  1.958933e-01
-1.665820e-01  1.010320e-01 -3.323519e+00  2.689500e+00  3.358649e-01 -4.866508e-01  7.107266e-01  2.314565e-01
-2.636029e-02 -2.091877e-01  5.073316e+00  0.000000e+00  2.163478e-01  5.985947e-01 -2.422506e-01  1.238336e-01
 1.395965e-01  1.459069e-01  6.499370e+00  2.211937e-01  1.958693e-01 -2.990025e-02 -7.013352e-01  9.724660e-02
-8.002510e-05  5.962341e-05  1.217610e-04  1.876781e+01  9.479583e+01  3.937890e-03  2.418359e+01  9.441191e+01
