# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 10.00, 16.00, 9.00, 16.00, 100
3  6.492886e-01 -1.625811e-02  7.268908e-01  3.937429e-01  1.308668e-01  6.500000e-01 3 2  2.932864e-01
 3.041227e-01 -4.749007e-01  7.144821e+00  0.000000e+00  4.578263e-01  1.606972e-01  3.580045e-01  8.588937e-02
-1.027945e-01  1.274187e-01 -9.350198e-01  3.172132e+01  1.680333e+00  2.731053e-01  1.207379e+00  9.015946e-01
-2.928123e-02  3.608347e-02  1.300720e-01  3.216984e+01  4.819553e+00  5.263669e-01  2.573688e+00  3.570665e+00
1 -1.323476e+00 -4.655012e-01  0.000000e+00  6.230068e-01  0.000000e+00  6.100000e-01 0 2  3.010244e-01
-9.581806e-01 -4.194099e-01  3.034264e+00  0.000000e+00  3.394923e-01 -2.606451e-01 -1.968890e-01  5.967095e-02
3 -7.932693e-02 -8.326613e-02  5.315642e-01  2.698518e-01  1.701241e-01  8.200000e-01 1 2 -1.000000e+00
 1.487017e-01  1.228426e-01 -5.464196e-01  1.661354e+01  7.555606e-01 -1.854993e-01 -1.362144e+00  6.907139e-01
-1.853435e-01 -2.906478e-01  3.211889e+00  0.000000e+00  1.968296e-01  2.982739e-01 -4.947445e-01  1.413404e-01
 3.297249e-03  2.808093e-03  1.373131e-03  2.277415e+01  3.074174e+01 -3.705859e+00 -1.194049e+01  3.060602e+01
3 -2.190672e-01 -2.077167e-01  7.617198e-01  3.726904e-01  6.549974e-01  9.900000e-01 2 1 -1.000000e+00
-5.029229e-01 -4.243061e-01  1.666948e+00  0.000000e+00  1.861301e-01 -2.430827e-02 -2.487860e-01  4.317017e-02
 7.047652e-02  7.712206e-02 -1.091846e+00  1.402851e+02  1.692922e+00  1.279584e-01 -1.174584e+00  1.466439e+00
 4.208918e-02  4.518368e-02  4.409941e-01  1.403910e+02  2.970255e+00  1.662874e-01 -1.259622e+00  2.720207e+00
3  8.101225e-02 -7.467200e-02  8.056645e-01  4.441071e-01  1.097512e-01  1.630000e+00 5 2 -1.000000e+00
-2.620897e-01  2.015113e-01 -1.208665e+00  7.524426e+00  6.167104e-01 -1.541357e-01  9.749422e-01  1.997936e-01
 1.870010e-01 -4.673780e-01  1.101277e+01  0.000000e+00  3.762717e-01  3.756417e-01  3.963921e-01  4.326804e-02
-1.880716e-03  1.237700e-03  4.902361e-04  1.342744e+01  4.814713e+01 -9.958670e+00  9.156573e+00  4.659067e+01
3  2.486505e+00  1.395483e+00  1.853632e+01  8.311944e+00  6.280006e-01  6.400000e-01 2 3 -1.000000e+00
 1.339747e+01  8.455669e+00  2.937677e+00  0.000000e+00  4.086653e-01 -4.210562e-02 -8.659589e-02  1.611722e-03
-2.828043e+00 -5.069280e-01 -2.931051e+01  2.596451e+03  1.159576e+00 -2.323197e-01  7.489627e-02  1.124838e-01
-2.081713e+00 -5.893818e-01  1.840702e+01  2.596804e+03  1.323545e+00 -2.232800e-01  2.236871e-02  1.763050e-01
3 -1.618985e-02  2.940107e-02  4.276909e-01  2.025929e-01  3.308640e-01  1.280000e+00 4 2 -1.000000e+00
-9.992638e-02  2.296201e-01  3.159308e+00  0.000000e+00  3.115916e-01  2.466779e-01  3.106945e-01  1.650142e-01
 1.303483e-01 -1.307866e-01 -9.548659e+00  4.549402e+00  4.547697e-01 -1.024345e-01  6.257076e-01  2.903368e-01
 8.136309e-04 -1.589897e-03  3.493812e-03  9.241703e+00  1.827930e+01  2.371896e+00  2.593854e+00  1.779571e+01
3  7.862357e-02 -5.740187e-02  1.067983e+00  5.663238e-01  5.573170e-01  1.030000e+00 1 2 -1.000000e+00
 6.337400e-01 -1.494166e-01  3.250826e+00  0.000000e+00  2.469747e-01 -4.639876e-01  2.101156e-01  6.791061e-02
-2.749809e-01  4.116659e-01 -1.811741e+00  1.259774e+01  4.600795e-01  3.606671e-01  8.446235e-01  2.394074e-01
-1.020623e-03  9.698647e-04  2.194929e-04  3.135157e+01  7.099591e+01  5.872823e+00  1.757787e+01  7.012690e+01
3  3.907667e-01 -1.102626e+00  6.803526e+00  2.465878e+00  3.065792e-01  2.390000e+00 5 2 -1.000000e+00
 2.108449e+00 -5.129850e+00  2.156558e+00  0.000000e+00  3.189958e-01 -8.034462e-03 -5.520705e-04  1.197167e-03
-1.601249e-01  1.284317e+00 -7.034261e+00  7.724894e+02  8.460536e-01  3.940863e-01 -1.027464e-01  5.133321e-02
-2.505595e-02  4.033361e-02  3.999351e-03  8.119151e+02  1.786296e+01  6.276082e-01  5.824512e+00  1.588388e+01
5  1.467265e+00 -5.388025e+00  7.847242e+00  3.609158e+00  1.000000e+00  5.600000e-01 4 3  2.950269e-01
-2.110835e+00 -2.559039e+00 -5.135362e+00  3.571372e+01  7.338342e-01  1.037541e-01 -5.047847e-01  7.984883e-02
 3.476636e+00 -2.206998e+00  5.331893e+00  0.000000e+00  4.828513e-01 -1.285646e-01  2.517206e-01  1.774745e-02
-3.340528e+00  1.679579e+00  7.382916e+00  2.023473e+01  5.232531e-01 -1.898344e-01  2.362258e-01  2.306765e-02
 1.131527e+00  3.015822e+00 -4.676375e+00  4.001725e+01  7.572156e-01  3.874945e-01 -3.501902e-01  7.462805e-02
-5.408295e-03  6.000954e-03  5.124565e-03  8.938322e+01  1.502710e+01  9.039041e-01 -8.966890e-01  1.134617e+01
3  5.345312e-01  1.108525e+00  5.386664e-01  2.820840e-01  9.214832e-01  5.200000e-01 3 3  3.218137e-01
-2.940456e-01 -2.263702e-01  4.347009e+00  0.000000e+00  4.174592e-01 -9.079185e-02 -3.179110e-01  8.905620e-02
 9.092847e-02  1.504008e-01 -4.005696e+00  1.146994e+00  8.904959e-01  2.100867e-01 -4.663682e-01  3.956455e-01
 1.388880e-02  1.903724e-02  1.945649e-01  1.238434e+00  3.392221e+00  4.816272e-01 -5.925225e-01  2.385352e+00
3 -4.635796e+00 -7.571415e+00  2.915330e+00  1.552859e+00  7.094696e-01  8.100000e-01 1 3  3.102103e-01
 2.209236e+00  1.313980e+00  2.040240e+00  0.000000e+00  2.443753e-01 -1.148809e-01 -2.600629e-01  3.784853e-03
-2.456959e-01 -1.426834e-01  3.051659e+00  2.668782e+02  2.297627e+00 -6.001933e-01 -9.979549e-01  6.001259e-01
-2.985907e-01 -1.726105e-01 -4.301325e+00  2.668715e+02  1.946930e+00 -5.467023e-01 -9.111967e-01  4.270624e-01
3  2.921586e-01  3.113593e-01  2.495181e+00  1.323786e+00  1.519280e-01  6.700000e-01 3 2 -1.000000e+00
-4.978511e-01 -5.864616e-01 -1.488105e+00  1.048594e+02  1.003734e+00  7.145865e-02 -8.166414e-01  5.615646e-01
 1.026278e+00  1.389129e+00  9.794804e+00  0.000000e+00  4.880326e-01  6.369641e-02 -3.949158e-01  1.283821e-01
-4.551358e-02 -5.589409e-02  4.347447e-02  1.160986e+02  6.241424e+00  6.220372e-01 -2.020790e+00  5.556391e+00
3  2.352204e-01 -5.763701e-01  1.079294e+00  5.086771e-01  3.268567e-01  8.300000e-01 1 1  2.923817e-01
-1.944053e-01 -6.210806e-02 -7.071025e-01  3.660363e+01  1.419025e+00 -9.804486e-01 -7.927953e-01  5.421356e-01
 8.829720e-01  2.191609e-03  2.163341e+00  0.000000e+00  2.893471e-01 -2.066172e-01  9.426839e-03  1.405746e-02
-2.762058e-02 -6.919328e-03  1.918936e-02  3.751097e+01  9.615928e+00 -3.928932e+00 -2.585632e+00  7.765481e+00
1  3.819331e+00  2.994031e+00  0.000000e+00  3.109268e+00  0.000000e+00  1.050000e+00 0 2 -1.000000e+00
 6.739523e+00  4.303543e+00  8.238848e+00  0.000000e+00  5.073253e-01 -1.031971e-01 -3.327199e-01  2.414323e-03
3  1.245612e+00  1.035211e+00  4.897255e+00  2.356986e+00  2.470122e-01  1.140000e+00 1 2  2.791629e-01
-1.301090e+00 -3.181233e+00  2.761139e+00  0.000000e+00  3.563119e-01  1.635009e-01 -1.594756e-01  2.422925e-03
 1.436913e-01  1.498053e+00 -1.117815e+01  5.501344e+02  7.930770e-01  3.594065e-01 -5.571678e-02  2.148185e-02
 1.468545e-02  4.023790e-02  6.527116e-03  6.130541e+02  1.433377e+01  3.803126e+00 -3.180996e+00  1.109426e+01
3 -1.421283e-01 -1.010873e-01  7.863871e-01  3.997063e-01  1.433345e-01  5.300000e-01 1 2 -1.000000e+00
-4.811675e-01 -2.173175e-01  4.299257e+00  0.000000e+00  2.853382e-01 -3.323907e-01 -4.094625e-01  1.720356e-01
 2.105006e-01  1.568481e-01 -6.162316e-01  4.314660e+01  8.862375e-01 -3.218758e-01 -1.237782e+00  7.473305e-01
 9.039598e-03  6.358861e-03  4.510389e-03  5.288386e+01  1.734571e+01 -2.310631e+00 -6.335048e+00  1.709340e+01
3 -8.741869e-02 -2.020668e-01  2.564209e+00  1.333778e+00  2.899324e-01  6.000000e-01 1 2 -1.000000e+00
 3.580375e-01  1.037643e+00 -2.390356e+00  1.803114e+01  6.723279e-01  6.020988e-01 -4.039725e-01  2.780114e-01
-1.187112e+00 -1.008739e+00  8.244527e+00  0.000000e+00  4.435466e-01 -7.368306e-02 -4.276898e-01  1.182500e-01
 4.890234e-03  1.061277e-02  2.847265e-03  3.289153e+01  2.073338e+01  3.787760e+00 -4.883111e+00  1.965321e+01
3 -5.719660e-02 -3.133461e-02  3.197942e-01  1.591041e-01  6.078356e-01  7.300000e-01 2 3 -1.000000e+00
-1.953081e-01 -1.120906e-01  2.381280e+00  0.000000e+00  2.693206e-01 -1.794273e-01 -2.859300e-01  1.356670e-01
 8.406672e-02  4.353066e-02 -3.917638e+00  1.313423e+00  7.562231e-01 -3.281427e-01 -4.549784e-01  5.801801e-01
 1.244919e-02  6.761696e-03  1.529666e-01  1.396000e+00  3.584826e+00 -2.158099e-01 -3.120529e-01  3.314548e+00
1 -7.275774e+00  3.177558e+00  0.000000e+00  3.815916e+00  0.000000e+00  9.700000e-01 0 2 -1.000000e+00
-1.089599e+01  4.105963e+00  6.716237e+01  0.000000e+00  5.420755e-01 -3.183286e-01  3.057327e-01  5.116139e-04
1 -1.033396e-01 -4.481732e-01  0.000000e+00  3.771853e-01  0.000000e+00  3.900000e-01 0 2 -1.000000e+00
-2.303634e-01 -9.567468e-01  3.384897e+00  0.000000e+00  4.136110e-01  1.981235e-01 -9.575595e-02  1.225889e-01
1 -7.475992e-01 -1.421941e+00  0.000000e+00  2.653827e+00  0.000000e+00  1.270000e+00 0 2 -1.000000e+00
-1.875439e+00 -4.986128e+00  3.152488e+00  0.000000e+00  4.204505e-01  1.038193e-01 -8.882187e-02  2.047810e-02
3  1.137859e-03  2.499452e-02  2.527790e-01  1.274979e-01  8.820506e-01  9.900000e-01 2 3 -1.000000e+00
 3.511772e-02 -1.007683e-01 -4.378905e+00  1.883111e+00  6.574540e-01  4.892638e-01  3.260770e-01  5.258098e-01
 2.253608e-02  1.516973e-01  3.862416e+00  0.000000e+00  3.421098e-01  3.724939e-01 -1.875165e-01  2.192465e-01
 3.988145e-04 -3.389480e-03  2.813488e-02  2.718840e+00  7.148602e+00  1.054214e+00  1.072786e+00  6.866595e+00
5 -1.008131e-01  1.797663e-01  2.110706e+00  1.020783e+00  1.000000e+00  7.900000e-01 4 2 -1.000000e+00
-4.093629e-01 -8.567790e-01  4.973014e+00  7.817666e+00  3.644825e-01  3.118777e-01 -3.248530e-01  1.706190e-01
