# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, kappa, gamma1, gamma2 kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 2.00, 10.00, 16.00, 9.00, 16.00, 100
3  4.042792e-01 -2.011048e-01  1.791373e+00  8.637809e-01  3.929273e-01  4.500000e-01 2 1 -1.000000e+00
 1.114097e+00 -5.079024e-01  2.037142e+00  0.000000e+00  1.908562e-01 -2.842729e-01  2.881301e-01  6.342016e-02
-4.801729e-01  3.089961e-01 -8.004489e-01  2.472475e+01  5.835791e-01 -5.666583e-01  1.049573e+00  4.183890e-01
-1.112034e-02  7.091770e-03  1.308093e-03  3.149685e+01  2.961948e+01 -9.806477e-01  7.324054e+00  2.926282e+01
1 -6.230946e+00  5.507153e+00  0.000000e+00  1.305767e+00  0.000000e+00  5.300000e-01 0 2  2.832087e-01
-2.499432e+00  1.563794e+00  3.567887e+00  0.000000e+00  4.281686e-01 -3.626394e-02  2.130685e-01  1.647947e-02
3 -1.897135e+00 -5.417047e-01  7.647327e+00  4.005913e+00  8.396508e-01  1.030000e+00 5 3 -1.000000e+00
-3.598705e+00 -5.251706e+00  7.117727e+00  0.000000e+00  5.598514e-01 -1.880706e-02 -2.299626e-01  5.898765e-03
-5.751362e+00 -6.420900e-01 -1.541754e+01  2.295555e+01  6.950648e-01 -3.753740e-01 -1.301577e-01  1.907019e-02
-5.777982e+00  2.078531e+00  1.294535e+01  1.903456e+01  5.994835e-01 -2.722764e-01  9.503266e-02  2.816823e-02
3  1.554912e-01  1.232197e-01  1.221767e+00  6.041894e-01  1.854612e-01  6.400000e-01 1 2 -1.000000e+00
-3.477271e-01 -3.051901e-01 -9.388752e-01  1.058985e+01  6.619785e-01 -1.794941e-01 -1.071048e+00  4.781106e-01
 6.188218e-01  4.421375e-01  5.062382e+00  0.000000e+00  2.988969e-01 -2.063378e-01 -5.014327e-01  1.499573e-01
-5.376004e-03 -4.746090e-03  1.261202e-03  1.604046e+01  3.145698e+01 -4.724066e-01 -1.159784e+01  3.095709e+01
3 -1.011429e+00 -7.212708e-01  5.463122e+00  3.171435e+00  1.112069e-01  8.800000e-01 2 2 -1.000000e+00
-2.284956e+00 -4.030397e+00  8.017405e+00  0.000000e+00  5.558253e-01  7.903719e-02 -2.575183e-01  7.384974e-03
 8.450507e-01  4.471865e-01 -8.915911e-01  4.917449e+02  1.475779e+00 -5.840312e-01 -1.003426e+00  4.382752e-01
 1.431275e-01  7.149001e-02  4.453472e-02  5.009860e+02  6.482937e+00 -1.902259e+00 -1.997403e+00  4.924744e+00
3 -2.607203e-02 -1.098351e-01  8.623371e-01  4.648270e-01  3.799439e-01  6.200000e-01 1 2 -1.000000e+00
-3.711911e-01 -4.238127e-01  3.240464e+00  0.000000e+00  2.907262e-01  1.689648e-04 -4.409892e-01  1.959697e-01
 5.205030e-03  3.520424e-01 -1.231195e+00  6.377213e+00  8.611081e-01  9.117336e-01 -1.588098e-02  7.512495e-01
 1.623935e-03  1.360020e-02  1.497491e-02  8.435762e+00  9.960841e+00  3.668668e+00 -2.432354e-01  9.763845e+00
5  3.115881e-02  4.501817e-02  9.482174e-01  4.886480e-01  1.000000e+00  7.700000e-01 3 3 -1.000000e+00
-2.398725e-01 -3.551171e-01 -2.955708e+00  8.864349e+00  5.478253e-01  2.796735e-01 -6.815960e-01  2.559897e-01
 4.866432e-01  1.970318e-01  1.643838e+01  0.000000e+00  4.039660e-01 -3.881182e-01 -3.791932e-01  1.500780e-01
 5.450280e-02  5.189234e-01  3.275145e+01  1.414084e-01  4.132343e-01  5.482101e-01 -1.150070e-01  1.537796e-01
 2.292865e-01  4.689012e-01 -4.309020e+01  1.636445e-01  4.364667e-01  3.613827e-01 -4.584534e-01  1.651668e-01
-1.176023e-03 -1.690922e-03  1.608871e-03  2.409516e+01  2.644344e+01  1.726482e+00 -4.778500e+00  2.562231e+01
1  2.644521e-02 -4.325336e-03  0.000000e+00  8.173341e-02  0.000000e+00  6.700000e-01 0 2 -1.000000e+00
 1.320568e-01  1.580351e-02  3.548939e+00  0.000000e+00  4.403376e-01 -1.739425e-01 -3.452185e-02  2.610548e-01
3 -9.166202e-02 -3.062798e-01  1.837362e+00  9.136606e-01  1.724974e-01  9.700000e-01 1 3 -1.000000e+00
-3.084272e-01 -1.081313e+00  4.368755e+00  0.000000e+00  2.151191e-01  5.760175e-01 -2.352523e-01  1.243102e-01
 2.784831e-01  6.597881e-01 -7.535989e-01  1.958364e+01  5.291916e-01  9.680812e-01 -7.819497e-01  4.239886e-01
 2.365411e-03  5.152360e-03  2.837278e-04  3.393033e+01  6.542451e+01  1.177003e+01 -2.207894e+01  6.516786e+01
1  6.705668e-01 -3.726731e+00  0.000000e+00  2.467309e+00  0.000000e+00  8.700000e-01 0 2 -1.000000e+00
 2.831258e+00 -7.434201e+00  3.505292e+00  0.000000e+00  4.420550e-01  1.451351e-01  7.039485e-02  4.485490e-03
3 -1.274295e-02  9.550488e-03  3.025356e-01  1.446127e-01  6.024319e-01  2.040000e+00 5 3 -1.000000e+00
-1.348617e-01  9.357427e-02  5.481161e+00  0.000000e+00  3.173384e-01 -1.581711e-01  5.084935e-01  1.734930e-01
 1.111842e-01 -8.246322e-02 -9.098392e+00  6.272669e-01  4.043408e-01 -1.612235e-01  6.623643e-01  2.527452e-01
 3.560706e-04 -2.487026e-04  8.034312e-04  2.056350e+00  3.706810e+01 -3.450292e+00  6.658975e+00  3.663681e+01
3 -3.115156e-01  5.296692e-01  4.494945e+00  1.893264e+00  8.030062e-01  9.900000e-01 1 3 -1.000000e+00
-1.164234e-01 -1.307929e+00 -3.315807e+00  2.811635e+02  8.219287e-01  5.112686e-01 -2.681410e-01  1.507698e-01
-1.901223e+00  2.817483e+00  2.662613e+00  0.000000e+00  3.823693e-01  3.252183e-02  6.956393e-02  5.662923e-03
 8.221302e-03 -2.527293e-02  2.657907e-03  3.306814e+02  2.195643e+01  7.649180e+00  2.103838e+00  2.020379e+01
5  7.962066e-03  3.697328e-02  6.876556e-01  3.326162e-01  1.000000e+00  1.540000e+00 1 2 -1.000000e+00
 1.347300e-01  3.563588e-01  2.684642e+00  0.000000e+00  2.082564e-01  3.751110e-01 -3.371358e-01  3.305603e-02
 1.753946e-01 -2.540407e-01 -3.151638e+00  1.868305e+01  2.955953e-01  2.539929e-01  8.654299e-01  8.064939e-02
-2.343977e-01 -2.238265e-01  1.252024e+01  1.565416e+01  2.391697e-01 -9.149538e-02 -7.004432e-01  4.760428e-02
-3.010948e-01 -1.002954e-01 -1.040767e+01  1.577461e+01  2.566571e-01 -6.822842e-01 -4.279369e-01  5.277595e-02
-1.054446e-05 -7.279550e-05  4.684585e-06  9.202334e+01  4.656595e+02  4.669653e+01  1.617990e+01  4.647140e+02
5 -3.221383e+00  2.353493e+00  3.015961e+00  1.480642e+00  1.000000e+00  1.280000e+00 1 2  2.974819e-01
 4.847594e-01 -1.281397e+00 -7.207642e+00  1.602557e+01  6.070620e-01  3.914279e-01  3.740669e-01  4.250595e-02
 1.349026e+00  6.253151e-01  1.530251e+01  9.703962e+00  5.211391e-01 -2.703316e-01 -3.014628e-01  1.976553e-02
-1.604540e+00  1.500963e-02  7.693166e+00  0.000000e+00  4.822833e-01 -3.704859e-01  2.802191e-02  1.255910e-02
 4.007113e-01  1.408438e+00 -1.185177e+01  1.100440e+01  5.892860e-01  4.372525e-01 -2.487405e-01  4.989126e-02
 5.248561e-04 -3.189163e-04  1.315547e-04  6.538106e+01  8.903484e+01  1.197799e+01  2.292790e+00  8.510833e+01
3 -6.759888e-02 -3.755883e-01  1.370135e+00  8.128517e-01  2.362547e-01  9.500000e-01 1 2 -1.000000e+00
 2.141463e-01 -1.105257e+00  4.284918e+00  0.000000e+00  3.744023e-01  3.687231e-01  1.484556e-01  1.078669e-01
 7.806669e-02  2.581029e-01 -1.012332e+00  1.634621e+01  2.089368e+00  1.227605e+00 -8.170232e-01  1.585511e+00
 3.967811e-02  1.341009e-01  3.913222e-01  1.638287e+01  3.571969e+00  1.645033e+00 -1.163379e+00  2.967179e+00
5  6.509590e-02  3.757317e+00  7.089696e+01  3.003971e+01  1.000000e+00  9.600000e-01 1 3 -1.000000e+00
-3.964548e+00 -1.438138e+01 -2.537114e+00  8.919174e+03  1.323095e+00  5.933349e-01 -3.827437e-01  2.286858e-02
 3.541256e+01 -1.023406e+00  4.338971e+00  2.183468e+03  4.802540e-01 -1.991347e-01 -3.445394e-03  1.811479e-03
